ID;SoortRijksmonumenten;RegioS2019;Perioden;Rijksmonumenten_1
0;Rijksmonumenten totaal;Nederland;1965;1783
1;Rijksmonumenten totaal;Nederland;1966;9427
2;Rijksmonumenten totaal;Nederland;1967;15729
3;Rijksmonumenten totaal;Nederland;1968;18964
4;Rijksmonumenten totaal;Nederland;1969;20742
5;Rijksmonumenten totaal;Nederland;1970;28291
6;Rijksmonumenten totaal;Nederland;1971;31320
7;Rijksmonumenten totaal;Nederland;1972;32927
8;Rijksmonumenten totaal;Nederland;1973;35710
9;Rijksmonumenten totaal;Nederland;1974;36682
10;Rijksmonumenten totaal;Nederland;1975;37577
11;Rijksmonumenten totaal;Nederland;1976;38575
12;Rijksmonumenten totaal;Nederland;1977;38988
13;Rijksmonumenten totaal;Nederland;1978;39462
14;Rijksmonumenten totaal;Nederland;1979;39774
15;Rijksmonumenten totaal;Nederland;1980;40147
16;Rijksmonumenten totaal;Nederland;1981;40335
17;Rijksmonumenten totaal;Nederland;1982;40533
18;Rijksmonumenten totaal;Nederland;1983;40735
19;Rijksmonumenten totaal;Nederland;1984;41127
20;Rijksmonumenten totaal;Nederland;1985;41402
21;Rijksmonumenten totaal;Nederland;1986;41550
22;Rijksmonumenten totaal;Nederland;1987;41634
23;Rijksmonumenten totaal;Nederland;1988;41696
24;Rijksmonumenten totaal;Nederland;1989;41822
25;Rijksmonumenten totaal;Nederland;1990;42017
26;Rijksmonumenten totaal;Nederland;1991;42284
27;Rijksmonumenten totaal;Nederland;1992;42657
28;Rijksmonumenten totaal;Nederland;1993;43113
29;Rijksmonumenten totaal;Nederland;1994;43754
30;Rijksmonumenten totaal;Nederland;1995;44249
31;Rijksmonumenten totaal;Nederland;1996;44663
32;Rijksmonumenten totaal;Nederland;1997;45771
33;Rijksmonumenten totaal;Nederland;1998;46995
34;Rijksmonumenten totaal;Nederland;1999;48718
35;Rijksmonumenten totaal;Nederland;2000;50518
36;Rijksmonumenten totaal;Nederland;2001;53839
37;Rijksmonumenten totaal;Nederland;2002;57706
38;Rijksmonumenten totaal;Nederland;2003;58415
39;Rijksmonumenten totaal;Nederland;2004;59457
40;Rijksmonumenten totaal;Nederland;2005;60335
41;Rijksmonumenten totaal;Nederland;2006;61113
42;Rijksmonumenten totaal;Nederland;2007;61414
43;Rijksmonumenten totaal;Nederland;2008;61567
44;Rijksmonumenten totaal;Nederland;2009;61666
45;Rijksmonumenten totaal;Nederland;2010;61982
46;Rijksmonumenten totaal;Nederland;2011;62228
47;Rijksmonumenten totaal;Nederland;2012;62503
48;Rijksmonumenten totaal;Nederland;2013;62689
49;Rijksmonumenten totaal;Nederland;2014;62944
50;Rijksmonumenten totaal;Nederland;2015;63088
51;Rijksmonumenten totaal;Nederland;2016;63286
52;Rijksmonumenten totaal;Nederland;2017;63315
53;Rijksmonumenten totaal;Nederland;2018;63325
54;Rijksmonumenten totaal;Nederland;2019;63323
55;Rijksmonumenten totaal;Noord-Nederland (LD);1965;390
56;Rijksmonumenten totaal;Noord-Nederland (LD);1966;899
57;Rijksmonumenten totaal;Noord-Nederland (LD);1967;1639
58;Rijksmonumenten totaal;Noord-Nederland (LD);1968;2331
59;Rijksmonumenten totaal;Noord-Nederland (LD);1969;2339
60;Rijksmonumenten totaal;Noord-Nederland (LD);1970;2639
61;Rijksmonumenten totaal;Noord-Nederland (LD);1971;3488
62;Rijksmonumenten totaal;Noord-Nederland (LD);1972;3695
63;Rijksmonumenten totaal;Noord-Nederland (LD);1973;4173
64;Rijksmonumenten totaal;Noord-Nederland (LD);1974;4231
65;Rijksmonumenten totaal;Noord-Nederland (LD);1975;4527
66;Rijksmonumenten totaal;Noord-Nederland (LD);1976;4696
67;Rijksmonumenten totaal;Noord-Nederland (LD);1977;4753
68;Rijksmonumenten totaal;Noord-Nederland (LD);1978;4847
69;Rijksmonumenten totaal;Noord-Nederland (LD);1979;4919
70;Rijksmonumenten totaal;Noord-Nederland (LD);1980;4963
71;Rijksmonumenten totaal;Noord-Nederland (LD);1981;4999
72;Rijksmonumenten totaal;Noord-Nederland (LD);1982;5058
73;Rijksmonumenten totaal;Noord-Nederland (LD);1983;5141
74;Rijksmonumenten totaal;Noord-Nederland (LD);1984;5175
75;Rijksmonumenten totaal;Noord-Nederland (LD);1985;5250
76;Rijksmonumenten totaal;Noord-Nederland (LD);1986;5271
77;Rijksmonumenten totaal;Noord-Nederland (LD);1987;5278
78;Rijksmonumenten totaal;Noord-Nederland (LD);1988;5284
79;Rijksmonumenten totaal;Noord-Nederland (LD);1989;5318
80;Rijksmonumenten totaal;Noord-Nederland (LD);1990;5352
81;Rijksmonumenten totaal;Noord-Nederland (LD);1991;5414
82;Rijksmonumenten totaal;Noord-Nederland (LD);1992;5441
83;Rijksmonumenten totaal;Noord-Nederland (LD);1993;5463
84;Rijksmonumenten totaal;Noord-Nederland (LD);1994;5797
85;Rijksmonumenten totaal;Noord-Nederland (LD);1995;6162
86;Rijksmonumenten totaal;Noord-Nederland (LD);1996;6219
87;Rijksmonumenten totaal;Noord-Nederland (LD);1997;6400
