ID;Leeftijd;Geslacht;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1AllochtoneOuder_5;k_2eGeneratieMet2AllochtoneOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
0;Totaal over alle leeftijden;Totaal mannen en vrouwen;2003;13160415;3041419;1587023;1454396;862509;591892;1622727;1418700
1;Totaal over alle leeftijden;Totaal mannen en vrouwen;2004;13177775;3106124;1615002;1491128;873286;617843;1679299;1426834
2;Totaal over alle leeftijden;Totaal mannen en vrouwen;2005;13190361;3166187;1638540;1527658;883942;643708;1732430;1433761
3;Totaal over alle leeftijden;Totaal mannen en vrouwen;2006;13198324;3224461;1660642;1563814;894405;669417;1782915;1441549
4;Totaal over alle leeftijden;Totaal mannen en vrouwen;2007;13201927;3283275;1683730;1599556;904701;694854;1831594;1451687
5;Totaal over alle leeftijden;Totaal mannen en vrouwen;2008;13201522;3344492;1709621;1634877;914865;720013;1879470;1465030
6;Totaal over alle leeftijden;Totaal mannen en vrouwen;2009;13197693;3408913;1739044;1669867;924995;744874;1927040;1481876
7;Totaal over alle leeftijden;Totaal mannen en vrouwen;2010;13190834;3476292;1771662;1704632;935165;769463;1974271;1502021
8;Totaal over alle leeftijden;Totaal mannen en vrouwen;2011;13181606;3545854;1806615;1739237;945445;793797;2021132;1524720
9;Totaal over alle leeftijden;Totaal mannen en vrouwen;2012;13170552;3616415;1842642;1773776;955854;817918;2067621;1548790
10;Totaal over alle leeftijden;Totaal mannen en vrouwen;2013;13158116;3686796;1878487;1808305;966454;841849;2113758;1573033
11;Totaal over alle leeftijden;Totaal mannen en vrouwen;2014;13144846;3756270;1913471;1842802;977212;865591;2159503;1596758
12;Totaal over alle leeftijden;Totaal mannen en vrouwen;2015;13131044;3824660;1947450;1877209;988093;889113;2204832;1619824
13;Totaal over alle leeftijden;Totaal mannen en vrouwen;2016;13116937;3892054;1980531;1911538;999103;912422;2249757;1642303
14;Totaal over alle leeftijden;Totaal mannen en vrouwen;2017;13102673;3958506;2012732;1945770;1010256;935521;2294237;1664270
15;Totaal over alle leeftijden;Totaal mannen en vrouwen;2018;13088344;4024042;2044143;1979907;1021517;958385;2338285;1685760
16;Totaal over alle leeftijden;Totaal mannen en vrouwen;2019;13073966;4088672;2074758;2013910;1032875;981040;2381873;1706795
17;Totaal over alle leeftijden;Totaal mannen en vrouwen;2020;13059521;4152403;2104622;2047784;1044281;1003495;2425006;1727394
18;Totaal over alle leeftijden;Totaal mannen en vrouwen;2021;13044693;4215255;2133736;2081522;1055764;1025757;2467646;1747606
19;Totaal over alle leeftijden;Totaal mannen en vrouwen;2022;13029368;4277200;2162095;2115115;1067290;1047825;2509795;1767417
20;Totaal over alle leeftijden;Totaal mannen en vrouwen;2023;13013334;4338276;2189716;2148571;1078865;1069707;2551430;1786852
21;Totaal over alle leeftijden;Totaal mannen en vrouwen;2024;12996356;4398510;2216616;2181891;1090475;1091419;2592585;1805923
22;Totaal over alle leeftijden;Totaal mannen en vrouwen;2025;12978266;4457877;2242794;2215076;1102113;1112963;2633225;1824653
23;Totaal over alle leeftijden;Totaal mannen en vrouwen;2026;12958863;4516395;2268259;2248137;1113781;1134363;2673359;1843047
24;Totaal over alle leeftijden;Totaal mannen en vrouwen;2027;12937948;4574093;2293009;2281085;1125484;1155600;2712962;1861131
25;Totaal over alle leeftijden;Totaal mannen en vrouwen;2028;12915304;4630991;2317062;2313933;1137241;1176695;2752085;1878919
26;Totaal over alle leeftijden;Totaal mannen en vrouwen;2029;12890768;4687089;2340421;2346678;1149031;1197644;2790675;1896422
27;Totaal over alle leeftijden;Totaal mannen en vrouwen;2030;12864136;4742429;2363082;2379343;1160879;1218473;2828763;1913663
28;Totaal over alle leeftijden;Totaal mannen en vrouwen;2031;12835200;4796976;2385048;2411933;1172752;1239182;2866338;1930638
29;Totaal over alle leeftijden;Totaal mannen en vrouwen;2032;12803829;4850768;2406322;2444451;1184674;1259780;2903385;1947379
30;Totaal over alle leeftijden;Totaal mannen en vrouwen;2033;12769905;4903765;2426889;2476873;1196623;1280257;2939873;1963901
31;Totaal over alle leeftijden;Totaal mannen en vrouwen;2034;12733297;4955976;2446765;2509214;1208615;1300598;2975790;1980188
32;Totaal over alle leeftijden;Totaal mannen en vrouwen;2035;12693986;5007417;2465927;2541487;1220662;1320828;3011141;1996281
33;Totaal over alle leeftijden;Totaal mannen en vrouwen;2036;12652070;5058077;2484397;2573677;1232778;1340899;3045894;2012186
34;Totaal over alle leeftijden;Totaal mannen en vrouwen;2037;12607644;5107926;2502164;2605763;1244935;1360832;3080021;2027894
35;Totaal over alle leeftijden;Totaal mannen en vrouwen;2038;12560980;5156962;2519223;2637738;1257134;1380612;3113508;2043454
36;Totaal over alle leeftijden;Totaal mannen en vrouwen;2039;12512308;5205194;2535571;2669624;1269405;1400222;3146326;2058868
37;Totaal over alle leeftijden;Totaal mannen en vrouwen;2040;12461978;5252607;2551234;2701365;1281681;1419680;3178478;2074134
38;Totaal over alle leeftijden;Totaal mannen en vrouwen;2041;12410317;5299172;2566222;2732952;1294003;1438948;3209906;2089265
39;Totaal over alle leeftijden;Totaal mannen en vrouwen;2042;12357603;5344899;2580535;2764364;1306338;1458033;3240609;2104291
40;Totaal over alle leeftijden;Totaal mannen en vrouwen;2043;12304214;5389748;2594170;2795576;1318672;1476905;3270546;2119203
41;Totaal over alle leeftijden;Totaal mannen en vrouwen;2044;12250451;5433703;2607133;2826576;1331012;1495568;3299712;2133995
42;Totaal over alle leeftijden;Totaal mannen en vrouwen;2045;12196589;5476774;2619420;2857349;1343338;1514013;3328116;2148661
43;Totaal over alle leeftijden;Totaal mannen en vrouwen;2046;12142995;5518929;2631051;2887882;1355641;1532248;3355732;2163202
44;Totaal over alle leeftijden;Totaal mannen en vrouwen;2047;12089904;5560203;2642025;2918179;1367909;1550260;3382575;2177635
45;Totaal over alle leeftijden;Totaal mannen en vrouwen;2048;12037712;5600524;2652362;2948163;1380118;1568049;3408604;2191918
46;Totaal over alle leeftijden;Totaal mannen en vrouwen;2049;11986601;5639927;2662055;2977865;1392285;1585588;3433862;2206072
47;Totaal over alle leeftijden;Totaal mannen en vrouwen;2050;11936791;5678440;2671143;3007299;1404427;1602872;3458356;2220089
48;Totaal over alle leeftijden;Mannen;2003;6504498;1517917;783048;734872;433213;301656;834593;683320
49;Totaal over alle leeftijden;Mannen;2004;6516275;1549322;795911;753418;438481;314934;862267;687062
50;Totaal over alle leeftijden;Mannen;2005;6525825;1578064;806174;771890;443722;328173;887847;690220
51;Totaal over alle leeftijden;Mannen;2006;6533196;1605577;815388;790184;448856;341332;911757;693817
52;Totaal over alle leeftijden;Mannen;2007;6538442;1633142;824851;808287;453932;354361;934519;698622
53;Totaal over alle leeftijden;Mannen;2008;6541713;1661882;835677;826211;458951;367256;956829;705048
54;Totaal over alle leeftijden;Mannen;2009;6543269;1692291;848331;843961;463960;379997;979028;713256
