ID;Geslacht;CaribischNederland;Perioden;TotaalPo_1;k_4JaarOfJonger_2;k_5Jaar_3;k_6Jaar_4;k_7Jaar_5;k_8Jaar_6;k_9Jaar_7;k_10Jaar_8;k_11Jaar_9;k_12JaarOfOuder_10;TotaalVo_11;PraktijkOnderwijs_12;Leerjaren1En2_13;VmboLeerjaren34_14;HavoVwoLeerjaren36_15
0;Totaal mannen en vrouwen;Caribisch Nederland;2009/'10;2215;243;252;249;270;278;260;251;225;187;1409.0;;;;
1;Totaal mannen en vrouwen;Caribisch Nederland;2010/'11;2097;241;239;252;245;258;290;256;234;82;1442.0;;;;
2;Totaal mannen en vrouwen;Caribisch Nederland;2011/'12;2136;210;251;235;264;252;260;302;248;114;1384.0;;;;
3;Totaal mannen en vrouwen;Caribisch Nederland;2012/'13;2144;240;246;249;260;259;250;257;284;99;1435.0;;;;
4;Totaal mannen en vrouwen;Caribisch Nederland;2013/'14;2165;258;259;248;266;265;250;250;266;103;1473.0;;;;
5;Totaal mannen en vrouwen;Caribisch Nederland;2014/'15;2222;269;284;276;258;269;274;258;242;92;1454.0;136.0;627.0;432.0;259.0
6;Totaal mannen en vrouwen;Caribisch Nederland;2015/'16;2274;254;292;295;281;261;272;276;248;95;1434.0;171.0;585.0;411.0;267.0
7;Totaal mannen en vrouwen;Caribisch Nederland;2016/'17;2334;269;279;306;299;285;265;272;263;96;1461.0;198.0;537.0;456.0;270.0
8;Totaal mannen en vrouwen;Caribisch Nederland;2017/'18;2424;296;267;293;325;302;303;281;259;98;1465.0;196.0;555.0;430.0;284.0
9;Totaal mannen en vrouwen;Caribisch Nederland;2018/'19;2389;275;289;269;292;323;303;294;262;82;1439.0;236.0;563.0;379.0;261.0
10;Totaal mannen en vrouwen;Bonaire;2009/'10;1678;183;181;191;191;218;192;193;164;165;1037.0;;;;
11;Totaal mannen en vrouwen;Bonaire;2010/'11;1597;186;179;182;185;194;228;189;179;75;1078.0;;;;
12;Totaal mannen en vrouwen;Bonaire;2011/'12;1640;170;193;175;188;193;198;231;189;103;1039.0;;;;
13;Totaal mannen en vrouwen;Bonaire;2012/'13;1627;187;189;188;193;187;196;194;215;78;1102.0;;;;
14;Totaal mannen en vrouwen;Bonaire;2013/'14;1679;201;204;191;208;197;185;197;210;86;1145.0;;;;
15;Totaal mannen en vrouwen;Bonaire;2014/'15;1727;209;221;220;197;209;203;198;191;79;1147.0;99.0;476.0;360.0;212.0
16;Totaal mannen en vrouwen;Bonaire;2015/'16;1778;213;223;228;227;198;210;207;188;84;1124.0;138.0;435.0;339.0;212.0
17;Totaal mannen en vrouwen;Bonaire;2016/'17;1843;215;232;239;236;228;208;212;198;75;1125.0;153.0;420.0;345.0;207.0
18;Totaal mannen en vrouwen;Bonaire;2017/'18;1893;238;214;232;250;232;240;213;196;78;1108.0;159.0;422.0;326.0;201.0
19;Totaal mannen en vrouwen;Bonaire;2018/'19;1902;214;233;215;240;254;238;237;203;68;1123.0;202.0;436.0;296.0;189.0
20;Totaal mannen en vrouwen;Sint Eustatius;2009/'10;377;36;52;36;58;45;47;43;44;16;267.0;;;;
21;Totaal mannen en vrouwen;Sint Eustatius;2010/'11;345;33;35;55;37;47;46;47;40;5;265.0;;;;
22;Totaal mannen en vrouwen;Sint Eustatius;2011/'12;350;24;35;40;60;42;45;55;42;7;251.0;;;;
23;Totaal mannen en vrouwen;Sint Eustatius;2012/'13;363;33;41;39;45;55;39;46;54;11;244.0;;;;
24;Totaal mannen en vrouwen;Sint Eustatius;2013/'14;336;37;35;39;37;45;48;40;42;13;253.0;;;;
