ID;Bedrijfskenmerken;Marges;Perioden;Organisatiegraad_1
0;A-U Alle economische activiteiten;Waarde;2018;18.4
1;A-U Alle economische activiteiten;Waarde;2019;18.1
2;A-U Alle economische activiteiten;Waarde;2020;17.5
3;A-U Alle economische activiteiten;Waarde;2021;17.2
4;A-U Alle economische activiteiten;Waarde;2022;16.3
5;A-U Alle economische activiteiten;Waarde;2023;15.4
6;A-U Alle economische activiteiten;Waarde;2024;16.0
7;A-U Alle economische activiteiten;Ondergrens 95%-interval;2018;18.1
8;A-U Alle economische activiteiten;Ondergrens 95%-interval;2019;17.8
9;A-U Alle economische activiteiten;Ondergrens 95%-interval;2020;17.2
10;A-U Alle economische activiteiten;Ondergrens 95%-interval;2021;16.9
11;A-U Alle economische activiteiten;Ondergrens 95%-interval;2022;15.9
12;A-U Alle economische activiteiten;Ondergrens 95%-interval;2023;15.0
13;A-U Alle economische activiteiten;Ondergrens 95%-interval;2024;15.5
14;A-U Alle economische activiteiten;Bovengrens 95%-interval;2018;18.7
15;A-U Alle economische activiteiten;Bovengrens 95%-interval;2019;18.4
16;A-U Alle economische activiteiten;Bovengrens 95%-interval;2020;17.9
17;A-U Alle economische activiteiten;Bovengrens 95%-interval;2021;17.5
18;A-U Alle economische activiteiten;Bovengrens 95%-interval;2022;16.8
19;A-U Alle economische activiteiten;Bovengrens 95%-interval;2023;15.8
20;A-U Alle economische activiteiten;Bovengrens 95%-interval;2024;16.4
21;A Landbouw, bosbouw en visserij;Waarde;2018;11.7
22;A Landbouw, bosbouw en visserij;Waarde;2019;8.7
23;A Landbouw, bosbouw en visserij;Waarde;2020;10.2
24;A Landbouw, bosbouw en visserij;Waarde;2021;8.9
25;A Landbouw, bosbouw en visserij;Waarde;2022;8.9
26;A Landbouw, bosbouw en visserij;Waarde;2023;10.0
27;A Landbouw, bosbouw en visserij;Waarde;2024;10.7
28;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2018;9.2
29;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2019;6.5
30;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2020;8.0
31;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2021;6.6
32;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2022;6.1
33;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2023;7.0
34;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2024;7.6
35;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2018;14.7
36;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2019;11.5
37;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2020;13.0
38;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2021;11.9
39;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2022;12.8
40;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2023;13.9
41;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2024;14.9
42;B Delfstoffenwinning;Waarde;2018;18.1
43;B Delfstoffenwinning;Waarde;2019;20.3
44;B Delfstoffenwinning;Waarde;2020;22.2
45;B Delfstoffenwinning;Waarde;2021;15.2
46;B Delfstoffenwinning;Waarde;2022;17.8
47;B Delfstoffenwinning;Waarde;2023;13.9
48;B Delfstoffenwinning;Waarde;2024;25.3
49;B Delfstoffenwinning;Ondergrens 95%-interval;2018;13.3
50;B Delfstoffenwinning;Ondergrens 95%-interval;2019;13.8
51;B Delfstoffenwinning;Ondergrens 95%-interval;2020;16.2
52;B Delfstoffenwinning;Ondergrens 95%-interval;2021;10.4
53;B Delfstoffenwinning;Ondergrens 95%-interval;2022;10.0
54;B Delfstoffenwinning;Ondergrens 95%-interval;2023;8.5
55;B Delfstoffenwinning;Ondergrens 95%-interval;2024;17.2
56;B Delfstoffenwinning;Bovengrens 95%-interval;2018;24.3
57;B Delfstoffenwinning;Bovengrens 95%-interval;2019;28.6
58;B Delfstoffenwinning;Bovengrens 95%-interval;2020;29.8
59;B Delfstoffenwinning;Bovengrens 95%-interval;2021;21.5
60;B Delfstoffenwinning;Bovengrens 95%-interval;2022;29.9
61;B Delfstoffenwinning;Bovengrens 95%-interval;2023;22.0
62;B Delfstoffenwinning;Bovengrens 95%-interval;2024;35.6
63;B-E Nijverheid (geen bouw) en energie;Waarde;2018;22.0
64;B-E Nijverheid (geen bouw) en energie;Waarde;2019;22.3
65;B-E Nijverheid (geen bouw) en energie;Waarde;2020;21.0
66;B-E Nijverheid (geen bouw) en energie;Waarde;2021;20.8
67;B-E Nijverheid (geen bouw) en energie;Waarde;2022;18.3
68;B-E Nijverheid (geen bouw) en energie;Waarde;2023;19.4
69;B-E Nijverheid (geen bouw) en energie;Waarde;2024;20.2
70;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2018;21.1
71;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2019;21.2
72;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2020;19.9
73;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2021;19.7
74;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2022;17.0
75;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2023;18.0
76;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2024;18.8
77;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2018;23.0
78;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2019;23.3
79;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2020;22.0
80;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2021;21.9
81;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2022;19.7
82;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2023;20.8
