ID;Melkvee;GrootveeEenheid;RegioS;Perioden;BedrijvenZonderBeweiding_1;BedrijvenMetBeweiding_2;MelkveeZonderBeweiding_3;Totaal_4;MinderDan720UrenPerJaar_5;k_720Tot1440UrenPerJaar_6;k_1440Tot2160UrenPerJaar_7;k_2160Tot2880UrenPerJaar_8;k_2880OfMeerUrenPerJaar_9;UrenBijDagEnNachtWeiden_10;UrenBijBeperktWeiden_11;DagEnNachtWeiden_12;OverdagWeiden_13
0;Totaal rundvee melkveehouderij;Totaal;Nederland;2010;;;;;;;;;;;;;
1;Totaal rundvee melkveehouderij;Totaal;Nederland;2011;15.0;85.0;35.0;65.0;;;;;;;;;
2;Totaal rundvee melkveehouderij;Totaal;Nederland;2012;16.0;84.0;36.0;64.0;;;;;;;;;
3;Totaal rundvee melkveehouderij;Totaal;Nederland;2013;;;;;;;;;;;;;
4;Totaal rundvee melkveehouderij;Totaal;Nederland;2014;;;;;;;;;;;;;
5;Totaal rundvee melkveehouderij;Totaal;Nederland;2015;;;;;;;;;;;;;
6;Totaal rundvee melkveehouderij;Totaal;Nederland;2016;18.0;82.0;41.0;59.0;;;;;;;;;
7;Totaal rundvee melkveehouderij;Totaal;Nederland;2017;18.0;82.0;39.0;61.0;;;;;;;;;
8;Totaal rundvee melkveehouderij;Totaal;Nederland;2018;17.0;83.0;37.0;63.0;;;;;;;;;
9;Totaal rundvee melkveehouderij;Totaal;Nederland;2019;16.0;84.0;36.0;64.0;;;;;;;;;
10;Totaal rundvee melkveehouderij;Totaal;Nederland;2020;16.0;84.0;36.0;64.0;;;;;;;;;
11;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2010;;;;;;;;;;;;;
12;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2011;19.0;81.0;40.0;60.0;;;;;;;;;
13;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2012;20.0;80.0;41.0;59.0;;;;;;;;;
14;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2013;;;;;;;;;;;;;
15;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2014;;;;;;;;;;;;;
16;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2015;;;;;;;;;;;;;
17;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2016;21.0;79.0;46.0;54.0;;;;;;;;;
18;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2017;21.0;79.0;43.0;57.0;;;;;;;;;
19;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2018;20.0;80.0;42.0;58.0;;;;;;;;;
20;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2019;19.0;81.0;42.0;58.0;;;;;;;;;
21;Totaal rundvee melkveehouderij;Totaal;Groningen (PV);2020;21.0;79.0;43.0;57.0;;;;;;;;;
22;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2010;;;;;;;;;;;;;
23;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2011;16.0;84.0;38.0;62.0;;;;;;;;;
24;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2012;17.0;83.0;39.0;61.0;;;;;;;;;
