ID;ProvincieOpdrachtgever;Periode;TotaleBouwsom_1;TotaalNieuwbouw_2;Woningen_3;Bedrijfsgebouwen_4;AgrarischeGebouwen_5;IndustrieEnBouwnijverheid_6;HandelEnHoreca_7;VervoerEnCommunicatie_8;ZakelijkeDienstverlening_9;OpenbaarBestuur_10;Onderwijs_11;GezondheidsEnWelzijnszorg_12;OverigeDienstverlening_13;BouwsomOverig_14
0;Totaal Nederland;1995 Januari;912;737;514;222;23;42;34;22;34;14;22;10;21;175
1;Totaal Nederland;1995 Februari;849;695;515;179;21;22;28;7;9;28;6;22;36;154
2;Totaal Nederland;1995 Maart;1035;829;509;320;23;36;39;35;38;17;36;71;25;206
3;Totaal Nederland;1995 1e kwartaal;2796;2260;1537;723;68;100;102;64;81;58;64;103;83;536
4;Totaal Nederland;1995 April;888;706;420;285;21;32;27;35;52;24;61;18;15;182
5;Totaal Nederland;1995 Mei;1088;887;609;277;28;45;49;29;36;9;10;38;33;201
6;Totaal Nederland;1995 juni;1158;941;586;355;29;54;62;25;78;34;8;32;33;217
7;Totaal Nederland;1995 2e kwartaal;3133;2533;1615;917;79;131;137;89;166;67;79;88;81;600
8;Totaal Nederland;1995 Juli;991;779;460;320;22;68;41;32;27;16;34;20;60;212
9;Totaal Nederland;1995 Augustus;1125;914;533;380;28;38;60;29;88;41;46;28;22;211
10;Totaal Nederland;1995 September;930;739;489;250;25;37;63;12;28;22;25;18;20;191
11;Totaal Nederland;1995 3e kwartaal;3047;2433;1482;950;75;142;165;74;142;79;105;66;102;614
12;Totaal Nederland;1995 Oktober;944;775;537;239;15;40;55;31;28;15;7;26;22;169
13;Totaal Nederland;1995 November;1017;835;542;292;21;67;68;21;33;25;10;27;20;182
14;Totaal Nederland;1995 December;1184;1011;711;302;25;38;48;13;57;38;9;49;25;173
15;Totaal Nederland;1995 4e kwartaal;3145;2620;1791;831;61;146;171;64;118;78;25;102;66;525
16;Totaal Nederland;1995;12120;9845;6426;3420;282;519;574;292;507;282;273;359;332;2275
17;Totaal Nederland;1996 Januari;926;752;435;318;19;58;47;6;94;23;5;37;29;174
18;Totaal Nederland;1996 Februari;1092;875;626;248;16;54;48;22;47;8;10;29;14;217
19;Totaal Nederland;1996 Maart;1022;842;596;246;20;55;50;11;61;16;4;12;17;180
20;Totaal Nederland;1996 1e kwartaal;3040;2469;1657;811;55;167;144;39;202;47;20;78;59;571
21;Totaal Nederland;1996 April;936;753;476;276;25;49;49;13;36;5;4;55;40;183
22;Totaal Nederland;1996 Mei;1144;893;532;360;29;50;88;33;79;9;38;20;14;251
23;Totaal Nederland;1996 Juni;1272;1076;645;430;33;40;51;40;168;29;25;24;20;196
24;Totaal Nederland;1996 2e kwartaal;3352;2722;1653;1072;88;139;189;87;283;44;68;100;74;630
25;Totaal Nederland;1996 Juli;1075;859;516;342;28;59;90;25;39;28;16;29;28;216
26;Totaal Nederland;1996 Augustus;1077;835;525;311;20;90;81;20;50;12;5;22;11;242
27;Totaal Nederland;1996 September;1063;868;577;292;27;83;50;19;36;24;11;24;18;195
28;Totaal Nederland;1996 3e kwartaal;3215;2563;1618;944;75;232;221;64;126;64;31;75;56;652
29;Totaal Nederland;1996 Oktober;1282;1077;741;337;32;73;53;22;81;6;10;25;35;205
30;Totaal Nederland;1996 November;1288;1055;760;296;29;57;57;25;43;13;15;19;38;233
31;Totaal Nederland;1996 December;1192;1014;673;338;27;62;54;41;80;17;3;25;29;178
32;Totaal Nederland;1996 4e kwartaal;3761;3144;2175;970;88;191;164;88;203;36;29;69;102;617
33;Totaal Nederland;1996;13368;10899;7102;3797;306;730;719;277;814;191;147;322;291;2469
34;Totaal Nederland;1997 Januari;900;727;464;263;21;44;50;39;54;2;5;15;33;173
35;Totaal Nederland;1997 Februari;835;685;431;255;20;44;48;24;52;10;10;26;21;150
36;Totaal Nederland;1997 Maart;1099;917;578;340;29;66;52;39;52;10;26;17;49;182
37;Totaal Nederland;1997 1e kwartaal;2834;2329;1473;856;70;154;150;101;158;22;41;57;103;505
38;Totaal Nederland;1997 April;1180;969;570;399;34;74;52;22;131;45;3;19;19;211
39;Totaal Nederland;1997 Mei;1055;894;534;361;45;95;42;18;107;6;19;10;19;161
40;Totaal Nederland;1997 Juni;1368;1099;707;393;44;68;69;27;98;4;17;30;36;269
41;Totaal Nederland;1997 2e kwartaal;3603;2963;1810;1154;123;237;163;67;337;55;39;60;73;640
42;Totaal Nederland;1997 Juli;1100;886;546;340;50;41;103;17;71;11;17;18;12;214
43;Totaal Nederland;1997 Augustus;981;813;524;289;48;39;64;35;44;8;15;18;18;168
44;Totaal Nederland;1997 September;1543;1302;851;451;65;64;92;40;90;48;12;20;20;241
45;Totaal Nederland;1997 3e kwartaal;3624;3001;1921;1080;164;144;258;93;204;68;44;55;50;623
46;Totaal Nederland;1997 Oktober;1383;1127;788;340;39;56;51;17;78;37;20;15;27;256
47;Totaal Nederland;1997 November;1432;1172;711;461;47;83;90;72;102;20;10;14;23;260
48;Totaal Nederland;1997 December;1369;1106;716;388;48;45;49;51;93;23;18;36;25;263
49;Totaal Nederland;1997 4e kwartaal;4183;3404;2215;1190;134;185;191;140;273;80;48;64;75;779
50;Totaal Nederland;1997;14246;11699;7419;4279;491;720;761;401;972;224;172;237;301;2547
51;Totaal Nederland;1998 Januari;1025;794;454;340;34;58;68;25;86;5;15;21;28;231
52;Totaal Nederland;1998 Februari;1071;891;526;363;38;77;63;35;67;8;37;9;29;180
53;Totaal Nederland;1998 Maart;1376;1051;643;408;36;52;68;13;151;24;14;13;37;325
54;Totaal Nederland;1998 1e kwartaal;3471;2735;1623;1113;108;187;199;74;304;36;67;44;94;736
55;Totaal Nederland;1998 April;1106;882;460;423;40;98;74;50;104;10;9;28;10;224
56;Totaal Nederland;1998 Mei;1045;869;480;388;47;51;84;38;103;12;26;15;12;176
57;Totaal Nederland;1998 Juni;1235;1000;535;465;46;83;79;40;113;26;17;29;32;235
58;Totaal Nederland;1998 2e kwartaal;3387;2752;1476;1277;134;232;238;128;320;48;52;72;53;635
59;Totaal Nederland;1998 Juli;1293;1043;538;505;42;97;48;57;109;20;41;25;66;250
60;Totaal Nederland;1998 Augustus;1044;843;417;426;46;63;59;31;71;26;19;38;73;201
61;Totaal Nederland;1998 September;1375;1104;616;486;49;70;85;41;128;30;17;28;38;271
62;Totaal Nederland;1998 3e kwartaal;3711;2989;1571;1418;137;230;192;129;308;76;77;92;177;722
63;Totaal Nederland;1998 Oktober;1376;1146;688;457;33;46;82;46;187;7;14;28;14;230
64;Totaal Nederland;1998 November;1355;1113;669;443;40;101;99;28;80;39;10;20;26;242
65;Totaal Nederland;1998 December;1726;1412;820;592;46;103;119;55;155;36;16;27;35;314
66;Totaal Nederland;1998 4e kwartaal;4457;3671;2177;1492;118;250;300;129;423;82;39;76;75;786
67;Totaal Nederland;1998;15026;12147;6848;5300;498;899;929;460;1355;242;235;283;399;2879
68;Totaal Nederland;1999 Januari;1151;955;484;471;36;50;83;59;168;24;12;20;19;196
69;Totaal Nederland;1999 Februari;971;755;428;325;39;51;39;30;93;5;20;27;21;216
70;Totaal Nederland;1999 Maart;1382;1097;574;521;47;49;62;44;226;13;5;15;60;285
71;Totaal Nederland;1999 1e kwartaal;3503;2806;1487;1321;123;152;186;133;487;42;35;63;100;697
72;Totaal Nederland;1999 April;1221;988;569;420;49;49;83;32;108;38;25;15;21;233
73;Totaal Nederland;1999 Mei;1427;1177;635;543;67;110;66;102;125;12;18;27;16;250
74;Totaal Nederland;1999 Juni;1438;1171;636;533;46;71;62;44;175;52;5;46;32;267
75;Totaal Nederland;1999 2e kwartaal;4085;3335;1840;1495;162;230;211;178;408;102;47;88;69;750
76;Totaal Nederland;1999 Juli;1523;1281;746;535;43;40;72;28;232;10;12;59;39;242
77;Totaal Nederland;1999 Augustus;1236;981;562;418;51;57;46;20;132;51;6;33;22;255
78;Totaal Nederland;1999 September;1281;1057;614;443;36;59;99;58;121;19;17;24;10;224
79;Totaal Nederland;1999 3e kwartaal;4040;3319;1922;1397;131;157;218;106;485;79;35;115;71;721
80;Totaal Nederland;1999 Oktober;1372;1056;584;826;393;46;79;53;157;6;22;26;44;316
81;Totaal Nederland;1999 November;1497;1253;733;520;42;61;101;58;175;17;20;33;13;244
