ID;KenmerkenVanHuishoudens;Perioden;Koopkrachtverandering_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageAchteruit_8
0;10909;1977-1979;2.2;-11.0;-2.1;2.2;8.5;19.0;100.0;34.0
1;10909;1979-1981;-2.0;-17.0;-7.1;-2.0;3.0;12.0;100.0;63.0
2;10909;1981-1983;-2.3;-16.0;-7.2;-2.3;2.8;13.0;100.0;63.0
3;10909;1983-1985;-0.5;-14.0;-5.0;-0.5;4.9;15.0;100.0;53.0
4;10909;1984-1985;1.6;-19.0;-4.8;1.6;9.8;25.0;100.0;43.0
5;10909;1985-1986;4.2;-16.0;-2.2;4.2;12.3;28.0;100.0;32.0
6;10909;1985-1987;4.2;-10.0;-0.7;4.2;10.3;19.0;100.0;28.0
7;10909;1986-1987;3.9;-16.0;-2.8;3.9;13.1;29.0;100.0;32.0
8;10909;1987-1988;1.5;-18.0;-4.4;1.5;9.6;24.0;100.0;42.0
9;10909;1987-1989;2.3;-10.0;-2.1;2.3;8.1;17.0;100.0;34.0
10;10909;1988-1989;2.7;-15.0;-2.8;2.7;10.8;26.0;100.0;34.0
11;10909;1989-1990;3.7;-16.0;-3.0;3.7;12.2;26.0;100.0;33.0
12;10909;1989-1991;2.4;-11.0;-2.2;2.4;8.5;18.0;100.0;35.0
13;10909;1990-1991;0.7;-18.0;-4.7;0.7;8.5;23.0;100.0;46.0
14;10909;1991-1992;0.5;-17.0;-4.7;0.5;7.7;21.0;100.0;44.0
15;10909;1991-1993;0.8;-13.0;-3.6;0.8;6.1;14.0;100.0;42.0
16;10909;1992-1993;1.0;-18.0;-4.8;1.0;7.7;20.0;100.0;42.0
17;10909;1993-1994;0.0;-18.0;-5.6;0.0;7.5;21.0;100.0;50.0
18;10909;1993-1995;0.5;-12.0;-3.8;0.5;5.9;15.0;100.0;46.0
19;10909;1994-1995;1.0;-17.0;-4.6;1.0;8.6;23.0;100.0;42.0
20;10909;1995-1996;1.3;-17.0;-4.4;1.3;8.5;22.0;100.0;41.0
21;10909;1995-1997;1.3;-12.0;-3.1;1.3;6.8;16.0;100.0;39.0
22;10909;1996-1997;1.5;-16.0;-4.5;1.5;9.6;23.0;100.0;41.0
23;10909;1997-1998;2.8;-15.0;-3.4;2.8;10.1;24.0;100.0;35.0
24;10909;1997-1999;1.9;-11.0;-2.6;1.9;7.6;17.0;100.0;36.0
25;10909;1998-1999;1.2;-17.0;-4.6;1.2;9.7;25.0;100.0;40.0
26;10909;1999-2000;2.0;-16.0;-3.6;2.0;11.2;27.0;100.0;37.0
27;10109;1977-1979;2.5;-12.0;-2.5;2.5;9.0;19.0;78.0;35.0
28;10109;1979-1981;-2.3;-18.0;-8.0;-2.3;3.0;11.0;75.0;63.0
29;10109;1981-1983;-2.4;-18.0;-8.0;-2.4;3.1;12.0;73.0;62.0
30;10109;1983-1985;0.0;-14.0;-4.8;0.0;5.4;15.0;71.0;50.0
31;10109;1984-1985;2.4;-20.0;-4.8;2.4;10.9;26.0;69.0;39.0
32;10109;1985-1986;5.0;-17.0;-2.5;5.0;13.4;29.0;69.0;31.0
33;10109;1985-1987;4.9;-10.0;-0.7;4.9;10.8;19.0;70.0;27.0
34;10109;1986-1987;4.8;-17.0;-2.8;4.8;14.0;29.0;69.0;32.0
35;10109;1987-1988;2.5;-19.0;-5.0;2.5;10.8;25.0;71.0;39.0
36;10109;1987-1989;3.1;-11.0;-2.4;3.1;9.0;17.0;71.0;33.0
37;10109;1988-1989;3.7;-16.0;-3.4;3.7;11.9;27.0;71.0;34.0
38;10109;1989-1990;4.9;-17.0;-3.1;4.9;13.6;27.0;71.0;32.0
39;10109;1989-1991;3.1;-12.0;-2.7;3.1;9.3;18.0;70.0;34.0
40;10109;1990-1991;1.6;-20.0;-5.8;1.6;9.6;24.0;70.0;43.0
41;10109;1991-1992;1.2;-19.0;-5.7;1.2;8.8;22.0;70.0;44.0
42;10109;1991-1993;1.4;-14.0;-4.3;1.4;6.8;15.0;70.0;42.0
43;10109;1992-1993;2.0;-20.0;-5.7;2.0;8.9;21.0;69.0;41.0
44;10109;1993-1994;1.4;-20.0;-6.2;1.4;8.8;22.0;69.0;44.0
45;10109;1993-1995;1.4;-14.0;-4.3;1.4;6.9;16.0;69.0;42.0
46;10109;1994-1995;2.0;-18.0;-5.5;2.0;10.2;25.0;68.0;42.0
47;10109;1995-1996;1.9;-19.0;-5.7;1.9;9.7;23.0;69.0;42.0
48;10109;1995-1997;1.8;-13.0;-4.0;1.8;7.6;16.0;69.0;41.0
49;10109;1996-1997;2.1;-18.0;-5.5;2.1;10.8;25.0;69.0;42.0
50;10109;1997-1998;3.0;-18.0;-4.9;3.0;11.7;26.0;69.0;39.0
