ID;SIC2008;Periods;Indices_1;Change_2;AggregatedChange_3
0;46 Wholesale trade (no motor vehicles);2005 1st quarter;96.4;;
1;46 Wholesale trade (no motor vehicles);2005 2nd quarter;99.4;;
2;46 Wholesale trade (no motor vehicles);2005 3rd quarter;98.4;;
3;46 Wholesale trade (no motor vehicles);2005 4th quarter;105.9;;
4;46 Wholesale trade (no motor vehicles);2005;100.0;;
5;46 Wholesale trade (no motor vehicles);2006 1st quarter;102.2;6.1;6.1
6;46 Wholesale trade (no motor vehicles);2006 2nd quarter;105.7;6.4;6.2
7;46 Wholesale trade (no motor vehicles);2006 3rd quarter;103.7;5.4;6.0
8;46 Wholesale trade (no motor vehicles);2006 4th quarter;110.4;4.3;5.5
9;46 Wholesale trade (no motor vehicles);2006;105.5;5.5;5.5
10;46 Wholesale trade (no motor vehicles);2007 1st quarter;111.0;8.5;8.5
11;46 Wholesale trade (no motor vehicles);2007 2nd quarter;115.7;9.5;9.0
12;46 Wholesale trade (no motor vehicles);2007 3rd quarter;114.2;10.1;9.4
13;46 Wholesale trade (no motor vehicles);2007 4th quarter;124.4;12.7;10.2
14;46 Wholesale trade (no motor vehicles);2007;116.3;10.2;10.2
15;46 Wholesale trade (no motor vehicles);2008 1st quarter;122.9;10.8;10.8
16;46 Wholesale trade (no motor vehicles);2008 2nd quarter;129.3;11.7;11.3
17;46 Wholesale trade (no motor vehicles);2008 3rd quarter;127.6;11.7;11.4
18;46 Wholesale trade (no motor vehicles);2008 4th quarter;122.4;-1.6;7.9
19;46 Wholesale trade (no motor vehicles);2008;125.5;7.9;7.9
20;46 Wholesale trade (no motor vehicles);2009 1st quarter;111.7;-9.1;-9.1
21;46 Wholesale trade (no motor vehicles);2009 2nd quarter;114.1;-11.8;-10.5
22;46 Wholesale trade (no motor vehicles);2009 3rd quarter;112.0;-12.2;-11.1
23;46 Wholesale trade (no motor vehicles);2009 4th quarter;117.0;-4.4;-9.4
24;46 Wholesale trade (no motor vehicles);2009;113.7;-9.4;-9.4
25;46 Wholesale trade (no motor vehicles);2010 1st quarter;116.2;4.0;4.0
26;46 Wholesale trade (no motor vehicles);2010 2nd quarter;124.8;9.4;6.7
27;46 Wholesale trade (no motor vehicles);2010 3rd quarter;122.8;9.6;7.7
28;46 Wholesale trade (no motor vehicles);2010 4th quarter;130.8;11.8;8.8
29;46 Wholesale trade (no motor vehicles);2010;123.6;8.8;8.8
30;46 Wholesale trade (no motor vehicles);2011 1st quarter;131.3;13.0;13.0
31;46 Wholesale trade (no motor vehicles);2011 2nd quarter;134.1;7.5;10.2
32;46 Wholesale trade (no motor vehicles);2011 3rd quarter;133.1;8.4;9.5
33;46 Wholesale trade (no motor vehicles);2011 4th quarter;131.5;0.6;7.2
34;46 Wholesale trade (no motor vehicles);2011;132.5;7.2;7.2
35;46 Wholesale trade (no motor vehicles);2012 1st quarter;131.7;0.3;0.3
36;46 Wholesale trade (no motor vehicles);2012 2nd quarter;135.7;1.1;0.7
37;46 Wholesale trade (no motor vehicles);2012 3rd quarter;136.2;2.4;1.3
38;46 Wholesale trade (no motor vehicles);2012 4th quarter;132.9;1.1;1.2
39;46 Wholesale trade (no motor vehicles);2012;134.1;1.2;1.2
40;462-469 Wholesale;2005 1st quarter;96.3;;
41;462-469 Wholesale;2005 2nd quarter;99.3;;
42;462-469 Wholesale;2005 3rd quarter;98.5;;
43;462-469 Wholesale;2005 4th quarter;105.9;;
44;462-469 Wholesale;2005;100.0;;
45;462-469 Wholesale;2006 1st quarter;102.2;6.2;6.2
46;462-469 Wholesale;2006 2nd quarter;105.7;6.4;6.3
47;462-469 Wholesale;2006 3rd quarter;103.7;5.3;6.0
48;462-469 Wholesale;2006 4th quarter;110.3;4.2;5.5
49;462-469 Wholesale;2006;105.5;5.5;5.5
50;462-469 Wholesale;2007 1st quarter;110.7;8.3;8.3
51;462-469 Wholesale;2007 2nd quarter;115.5;9.3;8.8
52;462-469 Wholesale;2007 3rd quarter;114.2;10.1;9.2
53;462-469 Wholesale;2007 4th quarter;124.3;12.7;10.1
54;462-469 Wholesale;2007;116.2;10.1;10.1
55;462-469 Wholesale;2008 1st quarter;122.8;10.9;10.9
56;462-469 Wholesale;2008 2nd quarter;129.2;11.9;11.4
57;462-469 Wholesale;2008 3rd quarter;127.5;11.6;11.5
58;462-469 Wholesale;2008 4th quarter;122.3;-1.7;8.0
59;462-469 Wholesale;2008;125.5;8.0;8.0
60;462-469 Wholesale;2009 1st quarter;111.3;-9.3;-9.3
61;462-469 Wholesale;2009 2nd quarter;113.8;-12.0;-10.7
62;462-469 Wholesale;2009 3rd quarter;111.9;-12.3;-11.2
63;462-469 Wholesale;2009 4th quarter;116.7;-4.5;-9.6
64;462-469 Wholesale;2009;113.4;-9.6;-9.6
65;462-469 Wholesale;2010 1st quarter;116.1;4.3;4.3
66;462-469 Wholesale;2010 2nd quarter;124.7;9.6;7.0
67;462-469 Wholesale;2010 3rd quarter;122.8;9.7;7.9
68;462-469 Wholesale;2010 4th quarter;130.6;11.9;8.9
69;462-469 Wholesale;2010;123.5;8.9;8.9
70;462-469 Wholesale;2011 1st quarter;131.1;12.9;12.9
71;462-469 Wholesale;2011 2nd quarter;133.9;7.4;10.1
72;462-469 Wholesale;2011 3rd quarter;133.1;8.4;9.5
73;462-469 Wholesale;2011 4th quarter;131.3;0.5;7.1
74;462-469 Wholesale;2011;132.3;7.1;7.1
75;462-469 Wholesale;2012 1st quarter;131.5;0.3;0.3
76;462-469 Wholesale;2012 2nd quarter;135.6;1.2;0.8
77;462-469 Wholesale;2012 3rd quarter;136.3;2.4;1.3
78;462-469 Wholesale;2012 4th quarter;132.7;1.1;1.3
79;462-469 Wholesale;2012;134.0;1.3;1.3
80;462 Wholesale of agricultural products;2005 1st quarter;101.3;;
81;462 Wholesale of agricultural products;2005 2nd quarter;101.2;;
82;462 Wholesale of agricultural products;2005 3rd quarter;92.6;;
83;462 Wholesale of agricultural products;2005 4th quarter;104.9;;
84;462 Wholesale of agricultural products;2005;100.0;;
85;462 Wholesale of agricultural products;2006 1st quarter;110.5;9.0;9.0
86;462 Wholesale of agricultural products;2006 2nd quarter;106.7;5.5;7.3
87;462 Wholesale of agricultural products;2006 3rd quarter;94.8;2.4;5.7
88;462 Wholesale of agricultural products;2006 4th quarter;102.8;-2.0;3.7
89;462 Wholesale of agricultural products;2006;103.7;3.7;3.7
90;462 Wholesale of agricultural products;2007 1st quarter;132.9;20.3;20.3
91;462 Wholesale of agricultural products;2007 2nd quarter;133.7;25.3;22.8
92;462 Wholesale of agricultural products;2007 3rd quarter;133.8;41.1;28.3
93;462 Wholesale of agricultural products;2007 4th quarter;168.0;63.4;37.0
94;462 Wholesale of agricultural products;2007;142.1;37.0;37.0
95;462 Wholesale of agricultural products;2008 1st quarter;175.3;31.9;31.9
96;462 Wholesale of agricultural products;2008 2nd quarter;176.6;32.1;32.0
97;462 Wholesale of agricultural products;2008 3rd quarter;189.8;41.8;35.3
98;462 Wholesale of agricultural products;2008 4th quarter;147.8;-12.0;21.3
99;462 Wholesale of agricultural products;2008;172.4;21.3;21.3
100;462 Wholesale of agricultural products;2009 1st quarter;164.6;-6.1;-6.1
101;462 Wholesale of agricultural products;2009 2nd quarter;162.8;-7.9;-7.0
102;462 Wholesale of agricultural products;2009 3rd quarter;143.9;-24.2;-13.0
103;462 Wholesale of agricultural products;2009 4th quarter;148.0;0.2;-10.2
104;462 Wholesale of agricultural products;2009;154.8;-10.2;-10.2
105;462 Wholesale of agricultural products;2010 1st quarter;160.5;-2.5;-2.5
106;462 Wholesale of agricultural products;2010 2nd quarter;174.5;7.2;2.4
107;462 Wholesale of agricultural products;2010 3rd quarter;161.8;12.4;5.4
108;462 Wholesale of agricultural products;2010 4th quarter;175.3;18.4;8.5
109;462 Wholesale of agricultural products;2010;168.0;8.5;8.5
110;462 Wholesale of agricultural products;2011 1st quarter;195.0;21.4;21.4
111;462 Wholesale of agricultural products;2011 2nd quarter;199.2;14.1;17.6
112;462 Wholesale of agricultural products;2011 3rd quarter;176.1;8.9;14.8
113;462 Wholesale of agricultural products;2011 4th quarter;180.0;2.7;11.6
114;462 Wholesale of agricultural products;2011;187.6;11.6;11.6
115;462 Wholesale of agricultural products;2012 1st quarter;203.6;4.4;4.4
116;462 Wholesale of agricultural products;2012 2nd quarter;229.4;15.2;9.9
117;462 Wholesale of agricultural products;2012 3rd quarter;209.9;19.2;12.7
118;462 Wholesale of agricultural products;2012 4th quarter;194.5;8.0;11.6
119;462 Wholesale of agricultural products;2012;209.3;11.6;11.6
120;4621 Wholesale of grain, seeds etc.;2005 1st quarter;;;
121;4621 Wholesale of grain, seeds etc.;2005 2nd quarter;;;
122;4621 Wholesale of grain, seeds etc.;2005 3rd quarter;;;
123;4621 Wholesale of grain, seeds etc.;2005 4th quarter;;;
124;4621 Wholesale of grain, seeds etc.;2005;;;
125;4621 Wholesale of grain, seeds etc.;2006 1st quarter;;;
126;4621 Wholesale of grain, seeds etc.;2006 2nd quarter;;;
127;4621 Wholesale of grain, seeds etc.;2006 3rd quarter;;;
128;4621 Wholesale of grain, seeds etc.;2006 4th quarter;;;
129;4621 Wholesale of grain, seeds etc.;2006;;;
130;4621 Wholesale of grain, seeds etc.;2007 1st quarter;166.1;;
131;4621 Wholesale of grain, seeds etc.;2007 2nd quarter;174.8;;
132;4621 Wholesale of grain, seeds etc.;2007 3rd quarter;187.3;;
133;4621 Wholesale of grain, seeds etc.;2007 4th quarter;255.3;;
134;4621 Wholesale of grain, seeds etc.;2007;195.9;;
135;4621 Wholesale of grain, seeds etc.;2008 1st quarter;250.0;50.5;50.5
136;4621 Wholesale of grain, seeds etc.;2008 2nd quarter;270.9;55.0;52.8
137;4621 Wholesale of grain, seeds etc.;2008 3rd quarter;320.7;71.2;59.3
138;4621 Wholesale of grain, seeds etc.;2008 4th quarter;196.8;-22.9;32.5
139;4621 Wholesale of grain, seeds etc.;2008;259.6;32.5;32.5
140;4621 Wholesale of grain, seeds etc.;2009 1st quarter;226.0;-9.6;-9.6
141;4621 Wholesale of grain, seeds etc.;2009 2nd quarter;223.9;-17.3;-13.6
142;4621 Wholesale of grain, seeds etc.;2009 3rd quarter;209.1;-34.8;-21.7
