ID;TypeMaatwerkarrangement;RegioS;Perioden;Stand_1;Instroom_2;Uitstroom_3
0;Totaal;Aa en Hunze;1e halfjaar 2015;0.0;825.0;405.0
1;Totaal;Aa en Hunze;2e halfjaar 2015;425.0;95.0;400.0
2;Totaal;Aa en Hunze;2015;0.0;920.0;805.0
3;Totaal;Aa en Hunze;1e halfjaar 2016;245.0;760.0;120.0
4;Totaal;Aa en Hunze;2e halfjaar 2016;885.0;510.0;1175.0
5;Totaal;Aa en Hunze;2016;245.0;1270.0;1295.0
6;Totaal;Aa en Hunze;1e halfjaar 2017;765.0;1070.0;445.0
7;Totaal;Aa en Hunze;2e halfjaar 2017;1390.0;610.0;1675.0
8;Totaal;Aa en Hunze;2017;765.0;1680.0;2125.0
9;Totaal;Aa en Hunze;1e halfjaar 2018;260.0;2175.0;720.0
10;Totaal;Aa en Hunze;2e halfjaar 2018;1715.0;695.0;1955.0
11;Totaal;Aa en Hunze;2018;260.0;2865.0;2670.0
12;Totaal;Aa en Hunze;1e halfjaar 2019;950.0;2260.0;595.0
13;Totaal;Aa en Hunze;2e halfjaar 2019;2615.0;705.0;2110.0
14;Totaal;Aa en Hunze;2019;950.0;2965.0;2705.0
15;Totaal;Aa en Hunze;1e halfjaar 2020;1035.0;2065.0;1015.0
16;Totaal;Aa en Hunze;2e halfjaar 2020;2085.0;820.0;1800.0
17;Totaal;Aa en Hunze;2020;1035.0;2885.0;2815.0
18;Totaal;Aalburg;1e halfjaar 2015;;;
19;Totaal;Aalburg;2e halfjaar 2015;;;
20;Totaal;Aalburg;2015;;;
21;Totaal;Aalburg;1e halfjaar 2016;1160.0;190.0;130.0
22;Totaal;Aalburg;2e halfjaar 2016;1220.0;180.0;105.0
23;Totaal;Aalburg;2016;1160.0;370.0;230.0
24;Totaal;Aalburg;1e halfjaar 2017;1220.0;250.0;170.0
25;Totaal;Aalburg;2e halfjaar 2017;1300.0;210.0;165.0
26;Totaal;Aalburg;2017;1220.0;460.0;335.0
27;Totaal;Aalburg;1e halfjaar 2018;1730.0;360.0;160.0
28;Totaal;Aalburg;2e halfjaar 2018;1930.0;185.0;960.0
29;Totaal;Aalburg;2018;1730.0;540.0;1120.0
30;Totaal;Aalburg;1e halfjaar 2019;;;
31;Totaal;Aalburg;2e halfjaar 2019;;;
32;Totaal;Aalburg;2019;;;
33;Totaal;Aalburg;1e halfjaar 2020;;;
34;Totaal;Aalburg;2e halfjaar 2020;;;
35;Totaal;Aalburg;2020;;;
36;Totaal;Aalsmeer;1e halfjaar 2015;;;
37;Totaal;Aalsmeer;2e halfjaar 2015;;;
38;Totaal;Aalsmeer;2015;;;
39;Totaal;Aalsmeer;1e halfjaar 2016;;;
40;Totaal;Aalsmeer;2e halfjaar 2016;1875.0;1065.0;630.0
41;Totaal;Aalsmeer;2016;;;
42;Totaal;Aalsmeer;1e halfjaar 2017;2475.0;920.0;535.0
43;Totaal;Aalsmeer;2e halfjaar 2017;2860.0;515.0;445.0
44;Totaal;Aalsmeer;2017;2475.0;1435.0;980.0
45;Totaal;Aalsmeer;1e halfjaar 2018;;;
46;Totaal;Aalsmeer;2e halfjaar 2018;;;
47;Totaal;Aalsmeer;2018;;;
48;Totaal;Aalsmeer;1e halfjaar 2019;;;
49;Totaal;Aalsmeer;2e halfjaar 2019;;;
50;Totaal;Aalsmeer;2019;;;
51;Totaal;Aalsmeer;1e halfjaar 2020;;;
52;Totaal;Aalsmeer;2e halfjaar 2020;;;
53;Totaal;Aalsmeer;2020;;;
54;Totaal;Aalten;1e halfjaar 2015;1115.0;820.0;175.0
55;Totaal;Aalten;2e halfjaar 2015;1760.0;380.0;1070.0
56;Totaal;Aalten;2015;1115.0;1200.0;1245.0
57;Totaal;Aalten;1e halfjaar 2016;850.0;1060.0;345.0
58;Totaal;Aalten;2e halfjaar 2016;;;
59;Totaal;Aalten;2016;;;
60;Totaal;Aalten;1e halfjaar 2017;1085.0;2950.0;690.0
61;Totaal;Aalten;2e halfjaar 2017;3345.0;1640.0;3155.0
62;Totaal;Aalten;2017;1085.0;4590.0;3845.0
63;Totaal;Aalten;1e halfjaar 2018;1740.0;870.0;535.0
64;Totaal;Aalten;2e halfjaar 2018;2080.0;620.0;625.0
65;Totaal;Aalten;2018;1740.0;1495.0;1160.0
66;Totaal;Aalten;1e halfjaar 2019;2070.0;1040.0;865.0
67;Totaal;Aalten;2e halfjaar 2019;2245.0;780.0;875.0
68;Totaal;Aalten;2019;2070.0;1825.0;1740.0
69;Totaal;Aalten;1e halfjaar 2020;2570.0;655.0;340.0
70;Totaal;Aalten;2e halfjaar 2020;2885.0;280.0;385.0
71;Totaal;Aalten;2020;2570.0;935.0;725.0
72;Totaal;Achtkarspelen;1e halfjaar 2015;1600.0;690.0;275.0
73;Totaal;Achtkarspelen;2e halfjaar 2015;2015.0;1880.0;2445.0
74;Totaal;Achtkarspelen;2015;1600.0;2565.0;2720.0
75;Totaal;Achtkarspelen;1e halfjaar 2016;1285.0;2810.0;2015.0
76;Totaal;Achtkarspelen;2e halfjaar 2016;2075.0;375.0;405.0
77;Totaal;Achtkarspelen;2016;1285.0;3185.0;2420.0
78;Totaal;Achtkarspelen;1e halfjaar 2017;1845.0;755.0;380.0
79;Totaal;Achtkarspelen;2e halfjaar 2017;2220.0;460.0;660.0
80;Totaal;Achtkarspelen;2017;1845.0;1215.0;1040.0
81;Totaal;Achtkarspelen;1e halfjaar 2018;2350.0;1675.0;890.0
82;Totaal;Achtkarspelen;2e halfjaar 2018;3135.0;1335.0;990.0
83;Totaal;Achtkarspelen;2018;2350.0;3010.0;1885.0
84;Totaal;Achtkarspelen;1e halfjaar 2019;2965.0;1315.0;955.0
85;Totaal;Achtkarspelen;2e halfjaar 2019;3330.0;1210.0;1830.0
86;Totaal;Achtkarspelen;2019;2965.0;2525.0;2785.0
87;Totaal;Achtkarspelen;1e halfjaar 2020;930.0;1745.0;375.0
88;Totaal;Achtkarspelen;2e halfjaar 2020;2300.0;345.0;505.0
89;Totaal;Achtkarspelen;2020;930.0;2090.0;885.0
90;Totaal;Alblasserdam;1e halfjaar 2015;430.0;320.0;100.0
91;Totaal;Alblasserdam;2e halfjaar 2015;655.0;75.0;210.0
92;Totaal;Alblasserdam;2015;430.0;400.0;305.0
93;Totaal;Alblasserdam;1e halfjaar 2016;;;
94;Totaal;Alblasserdam;2e halfjaar 2016;;;
95;Totaal;Alblasserdam;2016;;;
96;Totaal;Alblasserdam;1e halfjaar 2017;;;
97;Totaal;Alblasserdam;2e halfjaar 2017;1605.0;325.0;345.0
98;Totaal;Alblasserdam;2017;;;
99;Totaal;Alblasserdam;1e halfjaar 2018;1585.0;415.0;270.0
100;Totaal;Alblasserdam;2e halfjaar 2018;1735.0;370.0;295.0
101;Totaal;Alblasserdam;2018;1585.0;790.0;560.0
102;Totaal;Alblasserdam;1e halfjaar 2019;1740.0;420.0;345.0
103;Totaal;Alblasserdam;2e halfjaar 2019;1815.0;440.0;345.0
104;Totaal;Alblasserdam;2019;1740.0;860.0;690.0
105;Totaal;Alblasserdam;1e halfjaar 2020;1695.0;225.0;165.0
106;Totaal;Alblasserdam;2e halfjaar 2020;1755.0;250.0;280.0
107;Totaal;Alblasserdam;2020;1695.0;475.0;445.0
108;Totaal;Albrandswaard;1e halfjaar 2015;1190.0;385.0;190.0
109;Totaal;Albrandswaard;2e halfjaar 2015;1385.0;130.0;235.0
110;Totaal;Albrandswaard;2015;1190.0;515.0;425.0
111;Totaal;Albrandswaard;1e halfjaar 2016;2005.0;335.0;140.0
112;Totaal;Albrandswaard;2e halfjaar 2016;2200.0;155.0;245.0
113;Totaal;Albrandswaard;2016;2005.0;495.0;380.0
114;Totaal;Albrandswaard;1e halfjaar 2017;1665.0;535.0;505.0
115;Totaal;Albrandswaard;2e halfjaar 2017;1695.0;185.0;330.0
116;Totaal;Albrandswaard;2017;1665.0;720.0;835.0
117;Totaal;Albrandswaard;1e halfjaar 2018;1535.0;370.0;220.0
