ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
0;2022;17593685;17326993;4654444;3149008;8655458;602665;265418;266692;8120744;3149006;4971738;4327730;602669;41339;8120744;3149006;4971738;2661420;949213;956020;405085;2.13;2625540;1136309;1077535;411696;2022871;765810;902060;355001;602669;370499;175475;56695;2625536;492553;269066;526593;559232;778092
1;2023;17735810;17460559;4667641;3206477;8708517;610112;267812;275251;8212678;3206468;5006210;4354259;610110;41841;8212678;3206468;5006210;2692159;955562;954009;404480;2.13;2634044;1146377;1076403;411264;2023934;770544;899363;354027;610110;375833;177040;57237;2634043;509292;262126;510809;570370;781446
2;2024;17868084;17585578;4679767;3254298;8764633;616566;270314;282506;8295520;3254301;5041219;4382316;616575;42328;8295520;3254301;5041219;2722487;962212;952213;404308;2.12;2642855;1156348;1075323;411186;2026280;775853;896949;353478;616575;380495;178374;57708;2642856;515875;268371;489932;586698;781980
3;2025;17980424;17691802;4690346;3291369;8815966;621808;272313;288622;8363833;3291369;5072464;4407985;621792;42687;8363833;3291369;5072464;2749469;967663;950721;404611;2.12;2650668;1164837;1074287;411541;2028876;780418;894995;353463;621792;384419;179292;58078;2650667;528084;271672;467907;602750;780254
4;2026;18088023;17793407;4701029;3327873;8863986;626215;274304;294616;8429103;3327862;5101241;4431993;626209;43039;8429103;3327862;5101241;2773586;972862;949233;405561;2.11;2658597;1173144;1072981;412473;2032388;785115;893134;354139;626209;388029;179847;58334;2658596;538679;281890;436077;621971;779979
5;2027;18191746;17891392;4713555;3363591;8907763;630279;276204;300354;8491082;3363591;5127491;4453881;630271;43339;8491082;3363591;5127491;2793697;975103;950377;408314;2.11;2667348;1177447;1074564;415340;2037077;786588;893914;356575;630271;390859;180650;58765;2667350;549061;283802;424479;626534;783474
6;2028;18290757;17984754;4726848;3398734;8947069;634024;278079;306003;8549892;3398734;5151158;4473532;634035;43591;8549892;3398734;5151158;2810281;973502;954254;413121;2.1;2676441;1176952;1079082;420408;2042406;783952;897437;361017;634035;393000;181645;59391;2676440;559483;292823;424930;609248;789956
7;2029;18387190;18075557;4742304;3433563;8982079;637661;279950;311633;8606074;3433562;5172512;4491045;637660;43807;8606074;3433562;5172512;2823033;970365;959533;419581;2.1;2686685;1174318;1085124;427244;2049025;779629;902323;367073;637660;394689;182801;60171;2686685;568140;302393;428969;588853;798330
8;2030;18479924;18162726;4759904;3467331;9012464;641226;281801;317198;8658795;3467330;5191465;4506231;641226;44008;8658795;3467330;5191465;2832101;965066;966059;428239;2.1;2697976;1169121;1092366;436488;2056750;773082;908374;375294;641226;396039;183992;61194;2697975;577311;310865;437074;562009;810716
9;2031;18569153;18246423;4779453;3500126;9038387;644873;283584;322730;8708361;3500125;5208236;4519191;644868;44177;8708361;3500125;5208236;2837738;958306;973258;438934;2.1;2710436;1162237;1100242;447954;2065568;765007;915015;385546;644868;397230;185227;62408;2710436;585693;319349;448783;534015;822596
10;2032;18655512;18327243;4800987;3531646;9060592;648677;285341;328269;8754933;3531645;5223288;4530296;648683;44309;8754933;3531645;5223288;2840054;948607;982499;452128;2.09;2724100;1151465;1110490;462143;2075417;753539;923624;398254;648683;397926;186866;63889;2724102;593853;326903;467500;493882;841964
