ID;Geslacht;Kenmerken;Perioden;TotaalBaanvinders_1;k_1JaarGeledenGewerkt_2;VoorhScholierStudentSchoolverlater_3;VoorheenWerkzaam_4;VoorheenArbeidsongeschikt_5;Herintreder_6;OverigeBaanvinders_7;Baanwisselaars_8;TotaalOnbenutArbeidsaanbod_9;k_1JaarGeledenGewerkt_10;VoorhScholierStudentSchoolverlater_11;VoorheenWerkzaam_12;VoorheenArbeidsongeschikt_13;Herintreder_14;OverigOnbenutArbeidsaanbod_15
0;Mannen en vrouwen;Totaal leeftijd;2000;1147.0;538.0;320.0;119.0;12.0;70.0;88.0;513.0;718.0;93.0;143.0;118.0;88.0;170.0;106.0
1;Mannen en vrouwen;Totaal leeftijd;2001;1150.0;563.0;306.0;133.0;13.0;74.0;61.0;547.0;676.0;112.0;147.0;109.0;82.0;152.0;75.0
2;Mannen en vrouwen;Totaal leeftijd;2002;1061.0;535.0;274.0;123.0;11.0;62.0;56.0;516.0;713.0;138.0;161.0;112.0;75.0;149.0;79.0
3;Mannen en vrouwen;Totaal leeftijd;2003;909.0;432.0;246.0;120.0;13.0;43.0;56.0;406.0;864.0;193.0;177.0;153.0;99.0;145.0;96.0
4;Mannen en vrouwen;Totaal leeftijd;2004;807.0;372.0;227.0;117.0;11.0;34.0;46.0;351.0;1004.0;194.0;209.0;210.0;106.0;177.0;108.0
5;Mannen en vrouwen;Totaal leeftijd;2005;820.0;369.0;223.0;139.0;9.0;32.0;48.0;341.0;1047.0;184.0;220.0;229.0;113.0;183.0;117.0
6;Mannen en vrouwen;Totaal leeftijd;2006;972.0;437.0;258.0;155.0;11.0;42.0;69.0;406.0;970.0;138.0;205.0;218.0;114.0;177.0;118.0
7;Mannen en vrouwen;15 tot 25 jarigen;2000;377.0;94.0;232.0;16.0;;;34.0;85.0;136.0;14.0;95.0;7.0;;;17.0
8;Mannen en vrouwen;15 tot 25 jarigen;2001;370.0;104.0;233.0;22.0;;;9.0;99.0;143.0;20.0;109.0;8.0;;;4.0
9;Mannen en vrouwen;15 tot 25 jarigen;2002;348.0;107.0;213.0;17.0;;;9.0;100.0;155.0;23.0;116.0;8.0;;;6.0
10;Mannen en vrouwen;15 tot 25 jarigen;2003;311.0;85.0;193.0;25.0;;;8.0;76.0;190.0;33.0;133.0;15.0;;2.0;6.0
11;Mannen en vrouwen;15 tot 25 jarigen;2004;272.0;68.0;176.0;20.0;;;8.0;62.0;229.0;34.0;157.0;22.0;2.0;;13.0
12;Mannen en vrouwen;15 tot 25 jarigen;2005;273.0;74.0;168.0;23.0;;;9.0;61.0;229.0;28.0;165.0;20.0;2.0;2.0;13.0
13;Mannen en vrouwen;15 tot 25 jarigen;2006;311.0;84.0;190.0;25.0;;;11.0;76.0;202.0;19.0;157.0;13.0;;;10.0
14;Mannen en vrouwen;25 tot 35 jarigen;2000;415.0;241.0;88.0;53.0;4.0;6.0;23.0;234.0;160.0;33.0;48.0;25.0;11.0;22.0;21.0
15;Mannen en vrouwen;25 tot 35 jarigen;2001;395.0;236.0;73.0;52.0;3.0;6.0;25.0;232.0;144.0;34.0;38.0;24.0;14.0;17.0;17.0
16;Mannen en vrouwen;25 tot 35 jarigen;2002;339.0;203.0;61.0;49.0;2.0;4.0;20.0;194.0;166.0;47.0;45.0;27.0;13.0;19.0;16.0
17;Mannen en vrouwen;25 tot 35 jarigen;2003;281.0;163.0;53.0;43.0;3.0;2.0;17.0;155.0;191.0;60.0;44.0;35.0;14.0;20.0;19.0
18;Mannen en vrouwen;25 tot 35 jarigen;2004;268.0;151.0;51.0;43.0;3.0;4.0;17.0;144.0;211.0;52.0;52.0;46.0;18.0;22.0;21.0
19;Mannen en vrouwen;25 tot 35 jarigen;2005;270.0;141.0;55.0;50.0;2.0;4.0;18.0;134.0;205.0;46.0;55.0;44.0;17.0;22.0;21.0
20;Mannen en vrouwen;25 tot 35 jarigen;2006;328.0;178.0;68.0;52.0;3.0;6.0;22.0;167.0;179.0;37.0;48.0;36.0;18.0;15.0;25.0
21;Mannen en vrouwen;35 tot 45 jarigen;2000;232.0;136.0;;30.0;4.0;44.0;18.0;131.0;187.0;20.0;;31.0;26.0;83.0;28.0
22;Mannen en vrouwen;35 tot 45 jarigen;2001;248.0;149.0;;36.0;4.0;43.0;16.0;146.0;179.0;29.0;;29.0;22.0;71.0;27.0
23;Mannen en vrouwen;35 tot 45 jarigen;2002;233.0;141.0;;34.0;5.0;38.0;15.0;138.0;183.0;33.0;;31.0;22.0;73.0;24.0
24;Mannen en vrouwen;35 tot 45 jarigen;2003;198.0;117.0;;32.0;4.0;26.0;19.0;113.0;227.0;47.0;;45.0;36.0;70.0;29.0
25;Mannen en vrouwen;35 tot 45 jarigen;2004;167.0;97.0;;33.0;4.0;20.0;13.0;90.0;264.0;51.0;;60.0;33.0;86.0;34.0
26;Mannen en vrouwen;35 tot 45 jarigen;2005;171.0;98.0;;36.0;4.0;20.0;13.0;94.0;277.0;53.0;;65.0;38.0;88.0;34.0
27;Mannen en vrouwen;35 tot 45 jarigen;2006;202.0;109.0;;44.0;5.0;24.0;20.0;102.0;253.0;38.0;;56.0;38.0;90.0;31.0
28;Mannen en vrouwen;45 tot 55 jarigen;2000;108.0;59.0;;17.0;3.0;18.0;11.0;57.0;161.0;19.0;;31.0;34.0;55.0;23.0
29;Mannen en vrouwen;45 tot 55 jarigen;2001;117.0;64.0;;19.0;4.0;21.0;9.0;62.0;143.0;21.0;;27.0;30.0;51.0;14.0
30;Mannen en vrouwen;45 tot 55 jarigen;2002;119.0;70.0;;20.0;3.0;18.0;9.0;71.0;140.0;26.0;;24.0;24.0;46.0;20.0
31;Mannen en vrouwen;45 tot 55 jarigen;2003;96.0;57.0;;14.0;4.0;12.0;9.0;53.0;168.0;37.0;;35.0;33.0;42.0;22.0
32;Mannen en vrouwen;45 tot 55 jarigen;2004;83.0;49.0;;17.0;3.0;9.0;6.0;47.0;194.0;35.0;;49.0;36.0;53.0;22.0
33;Mannen en vrouwen;45 tot 55 jarigen;2005;86.0;46.0;;23.0;2.0;7.0;7.0;43.0;207.0;35.0;;58.0;34.0;55.0;26.0
34;Mannen en vrouwen;45 tot 55 jarigen;2006;106.0;56.0;;25.0;2.0;11.0;12.0;51.0;198.0;25.0;;60.0;36.0;53.0;25.0
35;Mannen en vrouwen;55 tot 65 jarigen;2000;15.0;8.0;;3.0;;;2.0;7.0;74.0;8.0;;24.0;17.0;9.0;18.0
36;Mannen en vrouwen;55 tot 65 jarigen;2001;20.0;9.0;;4.0;;4.0;2.0;8.0;67.0;7.0;;21.0;14.0;13.0;12.0
37;Mannen en vrouwen;55 tot 65 jarigen;2002;23.0;14.0;;4.0;;2.0;3.0;13.0;69.0;10.0;;22.0;15.0;11.0;13.0
38;Mannen en vrouwen;55 tot 65 jarigen;2003;22.0;10.0;;5.0;;3.0;4.0;9.0;88.0;16.0;;24.0;15.0;13.0;20.0
39;Mannen en vrouwen;55 tot 65 jarigen;2004;17.0;8.0;;4.0;;;3.0;8.0;106.0;21.0;;34.0;17.0;16.0;18.0
40;Mannen en vrouwen;55 tot 65 jarigen;2005;20.0;10.0;;7.0;;;2.0;8.0;128.0;21.0;;42.0;23.0;18.0;23.0
41;Mannen en vrouwen;55 tot 65 jarigen;2006;25.0;10.0;;10.0;;;4.0;9.0;138.0;18.0;;52.0;22.0;19.0;27.0
42;Mannen en vrouwen;Eenpersoonshuishouden;2000;198.0;83.0;63.0;26.0;2.0;7.0;18.0;76.0;142.0;20.0;27.0;31.0;31.0;11.0;22.0
43;Mannen en vrouwen;Eenpersoonshuishouden;2001;189.0;94.0;46.0;23.0;3.0;7.0;17.0;90.0;144.0;27.0;32.0;27.0;25.0;13.0;19.0
