ID;Leeftijd;Marges;RegioS;Perioden;ErvarenGezondheidGoedZeerGoed_1;EenOfMeerLangdurigeAandoeningen_2;BeperktVanwegeProblemenMetGezondheid_3;EenOfMeerLichamelijkeBeperkingen_4;BeperkingInHoren_5;BeperkingInZien_6;BeperkingInBewegen_7;Ondergewicht_8;NormaalGewicht_9;Overgewicht_10;MatigOvergewicht_11;ErnstigOvergewicht_12;VoldoetAanBeweegrichtlijn_13;VoldoetAanNormGezondBewegen_14;VoldoetAanFitnorm_15;VoldoetAanTenMinste1Bewegingsnorm_16;WekelijkseSporters_17;Mantelzorger_18;ZwaarBelasteMantelzorgers_19;UrenMantelzorgPerWeek_20;Mantelzorgontvanger_21;UrenOntvangenMantelzorgPerWeek_22
0;Totaal;Waarde;Nederland;2016;75.6;33.9;32.9;14.8;4.5;5.5;9.6;1.7;49.4;48.9;35.0;13.8;51.7;63.0;26.2;64.9;51.3;14.2;14.2;11.0;9.9;20.5
1;Totaal;Waarde;Noord-Nederland (LD);2016;77.3;34.6;32.6;14.0;4.3;4.6;9.1;1.5;47.5;50.9;36.4;14.5;50.5;64.2;27.5;66.0;46.6;13.9;14.1;11.2;9.4;21.6
2;Totaal;Waarde;Oost-Nederland (LD);2016;77.2;34.6;34.6;14.7;4.8;5.2;9.3;1.6;48.4;50.0;36.1;13.9;52.6;63.9;27.2;65.9;52.4;14.9;13.4;10.7;10.3;18.7
3;Totaal;Waarde;West-Nederland (LD);2016;75.6;33.6;32.1;14.4;4.2;5.7;9.6;1.9;50.7;47.4;34.0;13.5;52.6;62.7;25.6;64.8;51.9;13.2;14.9;11.0;9.3;20.8
4;Totaal;Waarde;Zuid-Nederland (LD);2016;73.4;33.2;33.4;16.0;5.0;6.0;10.2;1.6;48.5;49.9;35.7;14.2;49.4;62.1;25.9;63.9;51.3;16.2;13.8;11.2;10.9;21.0
5;Totaal;Waarde;Groningen (PV);2016;75.9;36.3;34.0;14.2;4.1;5.2;9.3;1.7;48.4;49.9;35.2;14.7;50.3;63.4;25.2;65.3;48.1;13.3;13.0;12.0;8.9;25.1
6;Totaal;Waarde;Fryslân (PV);2016;78.9;33.4;30.7;12.0;3.4;3.8;7.7;1.3;48.3;50.4;37.0;13.4;52.2;65.1;28.7;66.9;46.5;13.9;11.9;9.9;8.2;21.3
7;Totaal;Waarde;Drenthe (PV);2016;77.0;34.2;33.5;16.5;5.7;5.0;10.8;1.6;45.5;52.9;37.2;15.7;48.4;63.9;28.7;65.8;44.9;14.6;18.1;11.8;11.3;19.1
8;Totaal;Waarde;Overijssel (PV);2016;77.6;34.3;34.4;15.5;5.2;5.5;9.7;1.5;48.1;50.4;36.7;13.7;54.9;66.5;29.1;68.6;52.3;15.5;12.1;10.5;10.2;17.9
9;Totaal;Waarde;Flevoland (PV);2016;74.3;34.3;32.9;14.1;3.8;4.5;9.4;1.7;45.9;52.4;37.5;14.9;45.8;55.5;20.7;57.5;48.1;14.3;16.3;14.5;11.3;16.6
10;Totaal;Waarde;Gelderland (PV);2016;77.4;34.8;35.0;14.4;4.8;5.2;9.0;1.6;49.1;49.4;35.5;13.8;52.7;64.1;27.4;66.0;53.4;14.7;13.6;10.0;10.3;19.5
11;Totaal;Waarde;Utrecht (PV);2016;77.6;31.4;30.0;12.1;3.6;4.4;7.9;2.1;53.9;44.0;31.9;12.2;54.3;63.5;26.7;65.6;56.3;14.1;14.7;9.4;9.7;21.0
12;Totaal;Waarde;Noord-Holland (PV);2016;76.7;32.4;31.1;13.4;3.7;5.5;8.8;2.0;52.9;45.2;32.8;12.4;55.3;64.7;26.4;66.7;54.5;12.2;15.1;10.8;8.8;21.6
13;Totaal;Waarde;Zuid-Holland (PV);2016;74.2;35.5;33.3;15.9;4.7;6.2;10.8;1.8;48.2;50.0;35.3;14.7;50.1;60.6;24.4;62.6;49.2;13.0;15.4;11.7;9.4;20.3
