ID;Opslagdiensten;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Totaal opslagdiensten;2006 3e kwartaal;100.0;;;100
1;Totaal opslagdiensten;2006 4e kwartaal;100.9;0.9;;100
2;Totaal opslagdiensten;2007 1e kwartaal;102.4;1.5;;100
3;Totaal opslagdiensten;2007 2e kwartaal;102.8;0.4;;100
4;Totaal opslagdiensten;2007 3e kwartaal;103.6;0.8;3.6;100
5;Totaal opslagdiensten;2007 4e kwartaal;104.7;1.1;3.8;100
6;Totaal opslagdiensten;2007 Jaargemiddelde;103.4;;;100
7;Totaal opslagdiensten;2008 1e kwartaal;107.4;2.6;4.9;100
8;Tankopslag;2006 3e kwartaal;100.0;;;25
9;Tankopslag;2006 4e kwartaal;102.6;2.6;;25
10;Tankopslag;2007 1e kwartaal;104.6;1.9;;25
11;Tankopslag;2007 2e kwartaal;104.1;0.5;;25
12;Tankopslag;2007 3e kwartaal;104.9;0.8;4.9;25
13;Tankopslag;2007 4e kwartaal;109.0;3.9;6.2;25
14;Tankopslag;2007 Jaargemiddelde;105.7;;;25
15;Tankopslag;2008 1e kwartaal;111.8;2.6;6.9;25
16;Koel- en vriesopslag;2006 3e kwartaal;100.0;;;15
17;Koel- en vriesopslag;2006 4e kwartaal;100.5;0.5;;15
18;Koel- en vriesopslag;2007 1e kwartaal;102.3;1.8;;15
19;Koel- en vriesopslag;2007 2e kwartaal;103.0;0.7;;15
20;Koel- en vriesopslag;2007 3e kwartaal;103.2;0.2;3.2;15
21;Koel- en vriesopslag;2007 4e kwartaal;103.5;0.3;3.0;15
22;Koel- en vriesopslag;2007 Jaargemiddelde;103.0;;;15
23;Koel- en vriesopslag;2008 1e kwartaal;107.2;3.6;4.8;15
24;Overige opslag;2006 3e kwartaal;100.0;;;60
25;Overige opslag;2006 4e kwartaal;100.4;0.4;;60
26;Overige opslag;2007 1e kwartaal;101.5;1.1;;60
27;Overige opslag;2007 2e kwartaal;102.2;0.7;;60
28;Overige opslag;2007 3e kwartaal;103.2;1.0;3.2;60
29;Overige opslag;2007 4e kwartaal;103.2;0.0;2.8;60
30;Overige opslag;2007 Jaargemiddelde;102.5;;;60
31;Overige opslag;2008 1e kwartaal;105.5;2.2;3.9;60
