ID;RegioS;Gegevenssoort;TotaalMetLastVanVerkeerIndustrie_1;Railverkeer_2;Wegverkeer_3;Vliegverkeer_4;BedrijvenIndustrie_5;Buren_6;SpelendeKinderen_7;LadenEnLossen_8;TotaalVerkeerIndustrieEOLandbouw_9;Verkeer_10;BedrijvenIndustrie_11;Landbouw_12;OpenHaard_13
0;Nederland totaal;Aantal;42.7;18.4;6.4;30.9;3.6;20.6;12.6;6.3;21.5;6.8;9.1;10.0;8.5
1;Nederland totaal;Standaardfout;0.5;0.4;0.2;0.5;0.2;0.4;0.3;0.2;0.4;0.3;0.3;0.3;0.3
2;Landsdeel Noord;Aantal;30.1;9.3;2.7;22.9;2.8;15.8;7.9;4.8;19.2;3.4;8.6;10.2;9.0
3;Landsdeel Noord;Standaardfout;1.4;0.9;0.5;1.3;0.5;1.1;0.8;0.7;1.2;0.6;0.9;0.9;0.9
4;Landsdeel Oost;Aantal;39.8;15.8;5.6;28.6;3.6;19.5;12.5;5.9;18.5;4.0;6.8;10.4;9.7
5;Landsdeel Oost;Standaardfout;1.1;0.8;0.5;1.0;0.4;0.9;0.7;0.5;0.8;0.4;0.5;0.7;0.6
6;Landsdeel West;Aantal;46.2;21.3;7.9;33.2;3.5;23.4;14.6;7.0;21.2;8.5;9.4;7.9;7.6
7;Landsdeel West;Standaardfout;0.7;0.6;0.4;0.7;0.3;0.6;0.5;0.4;0.6;0.4;0.4;0.4;0.4
8;Landsdeel Zuid;Aantal;44.2;19.4;5.8;32.1;4.2;18.0;10.6;6.1;25.8;7.5;10.7;13.7;9.2
9;Landsdeel Zuid;Standaardfout;1.0;0.8;0.5;1.0;0.4;0.8;0.6;0.5;0.9;0.6;0.7;0.7;0.6
10;Groningen;Aantal;29.6;4.7;3.7;26.6;2.9;21.1;8.7;6.1;22.4;5.0;13.5;8.7;7.9
11;Groningen;Standaardfout;2.3;1.1;1.0;2.3;0.9;2.1;1.4;1.2;2.1;1.1;1.8;1.4;1.4
12;Friesland;Aantal;33.0;15.6;2.3;20.2;3.0;12.6;7.0;3.8;18.6;2.8;6.5;11.1;10.1
13;Friesland;Standaardfout;2.4;1.8;0.8;2.0;0.9;1.7;1.3;1.0;2.0;0.8;1.2;1.6;1.5
14;Drenthe;Aantal;26.7;6.3;2.1;21.8;2.5;13.4;8.1;4.2;15.8;2.1;4.9;10.9;8.8
15;Drenthe;Standaardfout;2.6;1.4;0.9;2.5;0.9;2.0;1.6;1.2;2.2;0.9;1.3;1.8;1.7
16;Overijssel;Aantal;42.1;19.3;6.1;29.3;3.9;17.9;11.8;5.8;17.0;4.9;6.3;9.2;8.8
17;Overijssel;Standaardfout;1.9;1.5;0.9;1.7;0.7;1.5;1.2;0.9;1.4;0.8;0.9;1.1;1.1
18;Flevoland;Aantal;38.5;20.0;6.8;23.3;3.4;18.0;13.7;6.3;12.1;1.9;3.9;7.3;10.2
19;Flevoland;Standaardfout;3.4;2.8;1.8;2.9;1.3;2.7;2.4;1.7;2.3;1.0;1.3;1.8;2.1
20;Gelderland;Aantal;38.8;13.0;5.1;29.2;3.4;20.8;12.6;6.0;20.4;3.8;7.6;11.5;10.1
21;Gelderland;Standaardfout;1.4;1.0;0.6;1.3;0.5;1.2;1.0;0.7;1.2;0.6;0.8;0.9;0.9
22;Utrecht;Aantal;44.3;17.8;7.8;32.1;4.7;26.6;17.0;10.3;19.8;8.1;6.1;9.4;7.3
23;Utrecht;Standaardfout;1.9;1.4;1.0;1.8;0.8;1.7;1.4;1.1;1.5;1.0;0.9;1.1;1.0
24;Noord-Holland;Aantal;52.6;33.7;9.0;33.5;2.6;24.5;13.9;7.5;21.5;10.0;10.1;7.0;7.2
25;Noord-Holland;Standaardfout;1.3;1.2;0.7;1.2;0.4;1.1;0.9;0.7;1.0;0.8;0.8;0.6;0.6
26;Zuid-Holland;Aantal;44.2;14.4;8.0;34.7;4.0;22.5;15.0;6.0;20.0;8.0;9.8;6.1;7.5
27;Zuid-Holland;Standaardfout;1.1;0.8;0.6;1.0;0.4;0.9;0.8;0.5;0.9;0.6;0.6;0.5;0.6
28;Zeeland;Aantal;28.8;10.5;0.8;22.5;2.5;13.3;9.2;2.5;33.9;3.3;10.8;25.8;11.7
29;Zeeland;Standaardfout;2.9;2.0;0.6;2.7;1.0;2.2;1.9;1.0;3.1;1.2;2.0;2.8;2.1
30;Noord-Brabant;Aantal;40.1;14.1;5.5;30.0;3.7;17.9;10.6;5.7;23.3;6.4;10.0;11.9;9.1
31;Noord-Brabant;Standaardfout;1.3;0.9;0.6;1.2;0.5;1.0;0.8;0.6;1.1;0.6;0.8;0.8;0.7
32;Limburg;Aantal;52.9;30.5;6.2;36.4;5.3;18.3;10.6;6.9;31.2;9.8;12.1;17.4;9.2
33;Limburg;Standaardfout;1.8;1.7;0.9;1.8;0.8;1.4;1.1;0.9;1.7;1.1;1.2;1.4;1.1
