ID;WijzeVanReserveren;TypeAccommodatie;Perioden;Gasten_1;Overnachtingen_2
0;Totaal reserveringen;Totaal accommodaties;2005/'06;10012;25210
1;Totaal reserveringen;Hotel en pension;2005/'06;8081;15143
2;Totaal reserveringen;Andere accommodatie;2005/'06;1931;10067
3;Gereserveerd bij de accommodatie;Totaal accommodaties;2005/'06;3421;9861
4;Gereserveerd bij de accommodatie;Hotel en pension;2005/'06;2499;4691
5;Gereserveerd bij de accommodatie;Andere accommodatie;2005/'06;922;5169
6;Gereserveerd via een instantie;Totaal accommodaties;2005/'06;2800;7220
7;Gereserveerd via een instantie;Hotel en pension;2005/'06;2303;4355
8;Gereserveerd via een instantie;Andere accommodatie;2005/'06;497;2865
9;Niet gereserveerd;Totaal accommodaties;2005/'06;1869;4637
10;Niet gereserveerd;Hotel en pension;2005/'06;1445;2973
11;Niet gereserveerd;Andere accommodatie;2005/'06;424;1663
12;Op andere wijze;Totaal accommodaties;2005/'06;392;810
13;Op andere wijze;Hotel en pension;2005/'06;373;686
14;Op andere wijze;Andere accommodatie;2005/'06;19;124
15;Onbekend;Totaal accommodaties;2005/'06;1530;2683
16;Onbekend;Hotel en pension;2005/'06;1461;2438
17;Onbekend;Andere accommodatie;2005/'06;69;246
