ID;BedrijfstakkenBranchesSBI2008;Marges;Seizoencorrectie;Perioden;Ondernemersvertrouwen_1;OntwikkelingEconomischKlimaat_2;VerwachtingEconomischKlimaat_3;OnzekerheidsindicatorEconomischKlimaat_4
0;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 januari;-25.2;-28.7;-21.7;
1;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 februari;;;;
2;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 maart;;;;
3;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 april;-22.8;-29.1;-16.5;
4;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 mei;;;;
5;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 juni;;;;
6;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 juli;-24.8;-28.6;-20.9;
7;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 augustus;;;;
8;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 september;;;;
9;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 oktober;-24.1;-27.8;-20.4;
10;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 november;;;;
11;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2012 december;;;;
12;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 januari;-27.5;-31.9;-23.2;
13;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 februari;;;;
14;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 maart;;;;
15;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 april;-26.2;-33.0;-19.3;
16;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 mei;;;;
17;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 juni;;;;
18;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 juli;-19.0;-23.9;-14.1;
19;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 augustus;;;;
20;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 september;;;;
21;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 oktober;-10.6;-13.5;-7.7;
22;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 november;;;;
23;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2013 december;;;;
24;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 januari;-2.0;-6.2;2.3;
25;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 februari;;;;
26;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 maart;;;;
27;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 april;2.2;-0.2;4.7;
28;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 mei;;;;
29;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 juni;;;;
30;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 juli;0.8;-2.3;3.9;
31;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 augustus;;;;
32;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 september;;;;
33;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 oktober;0.3;-2.5;3.0;
34;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 november;;;;
35;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2014 december;;;;
36;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 januari;2.2;0.3;4.1;
37;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 februari;;;;
38;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 maart;;;;
39;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 april;5.0;4.8;5.1;
40;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 mei;;;;
41;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 juni;;;;
42;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 juli;7.5;7.5;7.5;
43;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 augustus;;;;
44;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 september;;;;
45;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 oktober;7.9;7.1;8.7;
46;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 november;;;;
47;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2015 december;;;;
48;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 januari;8.8;8.4;9.1;
49;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 februari;;;;
50;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 maart;;;;
51;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 april;5.7;6.2;5.1;
52;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 mei;;;;
53;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 juni;;;;
54;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 juli;5.6;5.4;5.8;
55;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 augustus;;;;
56;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 september;;;;
57;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 oktober;9.4;9.0;9.7;
58;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 november;;;;
59;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2016 december;;;;
60;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 januari;14.3;15.0;13.6;
61;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 februari;;;;
62;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 maart;;;;
63;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 april;13.4;15.0;11.8;
64;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 mei;;;;
65;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 juni;;;;
66;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 juli;12.4;13.9;11.0;
67;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 augustus;;;;
68;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 september;;;;
69;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 oktober;14.3;14.8;13.9;
70;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 november;;;;
71;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2017 december;;;;
72;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 januari;16.5;17.9;15.1;
73;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 februari;;;;
74;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 maart;;;;
75;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 april;12.8;14.4;11.2;
76;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 mei;;;;
77;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 juni;;;;
78;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 juli;11.0;12.0;10.1;
79;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 augustus;;;;
80;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 september;;;;
81;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 oktober;8.9;8.0;9.7;
82;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 november;;;;
83;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2018 december;;;;
84;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 januari;3.9;4.2;3.6;
85;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 februari;;;;
