ID;Perioden;Bibliotheekorganisaties_1;Bibliotheekvestigingen_2;Leden_3;Totaal_4;Boeken_5;Totaal_6;Boeken_7;OverheidsuitgavenVoorBibliotheken_8
0;1900;;1.0;;;;;;
1;1901;;;;;;;;
2;1902;;;;;;;;
3;1903;;2.0;;;;;;
4;1904;;;;;;;;
5;1905;;;;;;;;
6;1906;;6.0;;;;;;
7;1907;;;;;;;;
8;1908;;;;;;;;
9;1909;;;;;;;;
10;1910;;8.0;;;;;;
11;1911;;;;;;;;
12;1912;;;;;;;;
13;1913;;;;;;;;
14;1914;;27.0;;154.0;154.0;513.0;;
15;1915;;31.0;;190.0;190.0;719.0;;
16;1916;;38.0;;298.0;298.0;886.0;;
17;1917;;47.0;;375.0;375.0;1160.0;;
18;1918;;56.0;;437.0;437.0;1364.0;;
19;1919;;65.0;;496.0;496.0;1578.0;;
20;1920;;68.0;;589.0;589.0;1764.0;;0.2
21;1921;;;;;;;;
22;1922;;;;;;;;
23;1923;;83.0;;980.0;980.0;3351.0;3351.0;
24;1924;;84.0;;1081.0;1081.0;3566.0;3566.0;
25;1925;;86.0;;1184.0;1184.0;3762.0;3762.0;
26;1926;;86.0;;1266.0;1266.0;3934.0;3934.0;
27;1927;;88.0;;1357.0;1357.0;4140.0;4140.0;
28;1928;;91.0;;1497.0;1497.0;4145.0;4145.0;
29;1929;;96.0;;1541.0;1541.0;4366.0;4366.0;
30;1930;;102.0;;1611.0;1611.0;4814.0;4814.0;
31;1931;;102.0;;1702.0;1702.0;5258.0;5258.0;
32;1932;;111.0;;1803.0;1803.0;6150.0;6150.0;
33;1933;;111.0;;1881.0;1881.0;6288.0;6288.0;
34;1934;;112.0;;1901.0;1901.0;6499.0;6499.0;
35;1935;;112.0;;1982.0;1982.0;6649.0;6649.0;
36;1936;;112.0;;2052.0;2052.0;6781.0;6781.0;
37;1937;;112.0;;2102.0;2102.0;6794.0;6794.0;
38;1938;;115.0;;2160.0;2160.0;6812.0;6812.0;
39;1939;;115.0;;2207.0;2207.0;6652.0;6652.0;
40;1940;;116.0;;2292.0;2292.0;6994.0;6994.0;
41;1941;;116.0;;2316.0;2316.0;8850.0;8850.0;
42;1942;;118.0;;2340.0;2340.0;10078.0;10078.0;
43;1943;;118.0;;2423.0;2423.0;10882.0;10882.0;
44;1944;;118.0;;2339.0;2339.0;8436.0;8436.0;
45;1945;;119.0;;2426.0;2426.0;6432.0;6432.0;
46;1946;;116.0;;3763.0;3763.0;7481.0;7481.0;
47;1947;;116.0;;2619.0;2619.0;7051.0;7051.0;
48;1948;;133.0;;2804.0;2804.0;7837.0;7837.0;
49;1949;;140.0;;2939.0;2939.0;7909.0;7909.0;
50;1950;;153.0;238.0;2940.0;2940.0;8396.0;8396.0;1.5
51;1951;;164.0;265.0;2996.0;2996.0;9242.0;9242.0;1.8
52;1952;;;293.0;3113.0;3113.0;10507.0;10507.0;2.0
53;1953;;;302.0;3178.0;3178.0;10741.0;10741.0;2.4
54;1954;;197.0;337.0;3382.0;3382.0;11662.0;11662.0;2.9
55;1955;;223.0;390.0;3817.0;3817.0;13383.0;13383.0;3.7
56;1956;;255.0;444.0;4031.0;4031.0;15617.0;15617.0;4.4
57;1957;;277.0;492.0;4298.0;4298.0;17786.0;17786.0;4.7
58;1958;;327.0;521.0;4528.0;4528.0;19242.0;19242.0;5.1
59;1959;;363.0;551.0;4892.0;4892.0;20891.0;20891.0;5.8
60;1960;;423.0;582.0;5266.0;5266.0;22316.0;22316.0;6.8
61;1961;;441.0;598.0;5649.0;5649.0;23646.0;23646.0;7.7
62;1962;;519.0;784.0;6328.0;6328.0;27722.0;27722.0;9.1
63;1963;;612.0;703.0;6621.0;6621.0;28032.0;28032.0;11.2
64;1964;;615.0;746.0;7154.0;7154.0;30075.0;30075.0;14.8
65;1965;304.0;632.0;815.0;7722.0;7721.0;31080.0;31080.0;17.6
