ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Prijs_3;VoortschrijdendJaargemiddeldePrijs_4;Volume_5;VoortschrijdendJaargemiddeldeVolume_6;Waarde_7;CumulatieveWaarde_8;Prijs_9;CumulatievePrijs_10;Volume_11;CumulatiefVolume_12
0;9602 Kappers en schoonheidssalons;1993 januari;59.0;;;;;;;;;;;
1;9602 Kappers en schoonheidssalons;1993 februari;61.0;;;;;;;;;;;
2;9602 Kappers en schoonheidssalons;1993 maart;69.0;;;;;;;;;;;
3;9602 Kappers en schoonheidssalons;1993 1e kwartaal;63.0;;;;;;;;;;;
4;9602 Kappers en schoonheidssalons;1993 april;69.0;;;;;;;;;;;
5;9602 Kappers en schoonheidssalons;1993 mei;70.0;;;;;;;;;;;
6;9602 Kappers en schoonheidssalons;1993 juni;70.0;;;;;;;;;;;
7;9602 Kappers en schoonheidssalons;1993 2e kwartaal;69.0;;;;;;;;;;;
8;9602 Kappers en schoonheidssalons;1993 juli;71.0;;;;;;;;;;;
9;9602 Kappers en schoonheidssalons;1993 augustus;62.0;;;;;;;;;;;
10;9602 Kappers en schoonheidssalons;1993 september;68.0;;;;;;;;;;;
11;9602 Kappers en schoonheidssalons;1993 3e kwartaal;67.0;;;;;;;;;;;
12;9602 Kappers en schoonheidssalons;1993 oktober;67.0;;;;;;;;;;;
13;9602 Kappers en schoonheidssalons;1993 november;64.0;;;;;;;;;;;
14;9602 Kappers en schoonheidssalons;1993 december;80.0;67.0;;;;;;;;;;
15;9602 Kappers en schoonheidssalons;1993 4e kwartaal;70.0;67.0;;;;;;;;;;
16;9602 Kappers en schoonheidssalons;1993;67.0;67.0;;;;;;;;;;
17;9602 Kappers en schoonheidssalons;1994 januari;62.0;68.0;;;;;4.3;4.3;;;;
18;9602 Kappers en schoonheidssalons;1994 februari;63.0;68.0;;;;;2.9;3.6;;;;
19;9602 Kappers en schoonheidssalons;1994 maart;78.0;68.0;;;;;13.0;7.0;;;;
20;9602 Kappers en schoonheidssalons;1994 1e kwartaal;67.0;68.0;;;;;7.0;7.0;;;;
21;9602 Kappers en schoonheidssalons;1994 april;70.0;69.0;;;;;2.3;5.8;;;;
22;9602 Kappers en schoonheidssalons;1994 mei;70.0;69.0;;;;;0.6;4.7;;;;
23;9602 Kappers en schoonheidssalons;1994 juni;74.0;69.0;;;;;6.2;4.9;;;;
24;9602 Kappers en schoonheidssalons;1994 2e kwartaal;71.0;69.0;;;;;3.0;4.9;;;;
25;9602 Kappers en schoonheidssalons;1994 juli;68.0;69.0;;;;;-4.4;3.5;;;;
26;9602 Kappers en schoonheidssalons;1994 augustus;65.0;69.0;;;;;5.3;3.7;;;;
27;9602 Kappers en schoonheidssalons;1994 september;68.0;69.0;;;;;0.1;3.3;;;;
28;9602 Kappers en schoonheidssalons;1994 3e kwartaal;67.0;69.0;;;;;0.1;3.3;;;;
29;9602 Kappers en schoonheidssalons;1994 oktober;67.0;69.0;;;;;-0.4;2.9;;;;
30;9602 Kappers en schoonheidssalons;1994 november;67.0;69.0;;;;;5.4;3.2;;;;
31;9602 Kappers en schoonheidssalons;1994 december;81.0;69.0;;;;;0.3;2.9;;;;
32;9602 Kappers en schoonheidssalons;1994 4e kwartaal;72.0;69.0;;;;;1.6;2.9;;;;
33;9602 Kappers en schoonheidssalons;1994;69.0;69.0;;;;;2.9;2.9;;;;
34;9602 Kappers en schoonheidssalons;1995 januari;61.0;69.0;;;;;-1.2;-1.2;;;;
35;9602 Kappers en schoonheidssalons;1995 februari;64.0;69.0;;;;;2.6;0.7;;;;
36;9602 Kappers en schoonheidssalons;1995 maart;75.0;69.0;;;;;-3.1;-0.8;;;;
37;9602 Kappers en schoonheidssalons;1995 1e kwartaal;67.0;69.0;;;;;-0.8;-0.8;;;;
38;9602 Kappers en schoonheidssalons;1995 april;69.0;69.0;;;;;-1.6;-1.0;;;;
39;9602 Kappers en schoonheidssalons;1995 mei;73.0;69.0;;;;;3.8;0.0;;;;
40;9602 Kappers en schoonheidssalons;1995 juni;75.0;69.0;;;;;1.8;0.3;;;;
41;9602 Kappers en schoonheidssalons;1995 2e kwartaal;72.0;69.0;;;;;1.3;0.3;;;;
42;9602 Kappers en schoonheidssalons;1995 juli;66.0;69.0;;;;;-2.1;0.0;;;;
43;9602 Kappers en schoonheidssalons;1995 augustus;69.0;70.0;;;;;6.7;0.8;;;;
44;9602 Kappers en schoonheidssalons;1995 september;71.0;70.0;;;;;4.7;1.2;;;;
45;9602 Kappers en schoonheidssalons;1995 3e kwartaal;69.0;70.0;;;;;3.0;1.2;;;;
46;9602 Kappers en schoonheidssalons;1995 oktober;69.0;70.0;;;;;3.0;1.4;;;;
47;9602 Kappers en schoonheidssalons;1995 november;70.0;70.0;;;;;4.3;1.6;;;;
48;9602 Kappers en schoonheidssalons;1995 december;80.0;70.0;;;;;-1.0;1.4;;;;
49;9602 Kappers en schoonheidssalons;1995 4e kwartaal;73.0;70.0;;;;;1.9;1.4;;;;
50;9602 Kappers en schoonheidssalons;1995;70.0;70.0;;;;;1.4;1.4;;;;
51;9602 Kappers en schoonheidssalons;1996 januari;65.0;71.0;;;;;6.7;6.7;;;;
52;9602 Kappers en schoonheidssalons;1996 februari;68.0;71.0;;;;;6.4;6.5;;;;
53;9602 Kappers en schoonheidssalons;1996 maart;75.0;71.0;;;;;-0.4;3.9;;;;
54;9602 Kappers en schoonheidssalons;1996 1e kwartaal;69.0;71.0;;;;;3.9;3.9;;;;
55;9602 Kappers en schoonheidssalons;1996 april;71.0;71.0;;;;;3.2;3.7;;;;
56;9602 Kappers en schoonheidssalons;1996 mei;79.0;72.0;;;;;9.2;4.9;;;;
57;9602 Kappers en schoonheidssalons;1996 juni;73.0;72.0;;;;;-2.2;3.6;;;;
58;9602 Kappers en schoonheidssalons;1996 2e kwartaal;75.0;72.0;;;;;3.3;3.6;;;;
59;9602 Kappers en schoonheidssalons;1996 juli;73.0;72.0;;;;;9.7;4.5;;;;
60;9602 Kappers en schoonheidssalons;1996 augustus;73.0;72.0;;;;;5.7;4.6;;;;
61;9602 Kappers en schoonheidssalons;1996 september;69.0;72.0;;;;;-2.8;3.8;;;;
62;9602 Kappers en schoonheidssalons;1996 3e kwartaal;72.0;72.0;;;;;4.1;3.8;;;;
63;9602 Kappers en schoonheidssalons;1996 oktober;76.0;73.0;;;;;9.9;4.4;;;;
64;9602 Kappers en schoonheidssalons;1996 november;72.0;73.0;;;;;2.9;4.2;;;;
65;9602 Kappers en schoonheidssalons;1996 december;80.0;73.0;;;;;0.8;3.9;;;;
66;9602 Kappers en schoonheidssalons;1996 4e kwartaal;76.0;73.0;;;;;4.4;3.9;;;;
67;9602 Kappers en schoonheidssalons;1996;73.0;73.0;;;;;3.9;3.9;;;;
68;9602 Kappers en schoonheidssalons;1997 januari;71.0;74.0;;;;;9.2;9.2;;;;
69;9602 Kappers en schoonheidssalons;1997 februari;69.0;74.0;;;;;1.2;5.1;;;;
70;9602 Kappers en schoonheidssalons;1997 maart;77.0;74.0;;;;;2.1;4.0;;;;
71;9602 Kappers en schoonheidssalons;1997 1e kwartaal;72.0;74.0;;;;;4.0;4.0;;;;
72;9602 Kappers en schoonheidssalons;1997 april;75.0;74.0;;;;;4.8;4.2;;;;
73;9602 Kappers en schoonheidssalons;1997 mei;83.0;74.0;;;;;4.8;4.3;;;;
74;9602 Kappers en schoonheidssalons;1997 juni;75.0;74.0;;;;;2.4;4.0;;;;
75;9602 Kappers en schoonheidssalons;1997 2e kwartaal;78.0;74.0;;;;;4.0;4.0;;;;
76;9602 Kappers en schoonheidssalons;1997 juli;79.0;75.0;;;;;8.3;4.6;;;;
77;9602 Kappers en schoonheidssalons;1997 augustus;72.0;75.0;;;;;-1.3;3.9;;;;
78;9602 Kappers en schoonheidssalons;1997 september;75.0;75.0;;;;;7.9;4.3;;;;
79;9602 Kappers en schoonheidssalons;1997 3e kwartaal;75.0;75.0;;;;;4.9;4.3;;;;
80;9602 Kappers en schoonheidssalons;1997 oktober;82.0;76.0;;;;;7.5;4.7;;;;
81;9602 Kappers en schoonheidssalons;1997 november;75.0;76.0;;;;;3.3;4.5;;;;
82;9602 Kappers en schoonheidssalons;1997 december;87.0;77.0;;;;;8.8;4.9;;;;
83;9602 Kappers en schoonheidssalons;1997 4e kwartaal;81.0;77.0;;;;;6.7;4.9;;;;
84;9602 Kappers en schoonheidssalons;1997;77.0;77.0;;;;;4.9;4.9;;;;
85;9602 Kappers en schoonheidssalons;1998 januari;75.0;77.0;;;;;5.6;5.6;;;;
86;9602 Kappers en schoonheidssalons;1998 februari;72.0;77.0;;;;;4.6;5.1;;;;
87;9602 Kappers en schoonheidssalons;1998 maart;78.0;77.0;;;;;1.7;3.9;;;;
88;9602 Kappers en schoonheidssalons;1998 1e kwartaal;75.0;77.0;;;;;3.9;3.9;;;;
89;9602 Kappers en schoonheidssalons;1998 april;81.0;78.0;;;;;8.6;5.1;;;;
90;9602 Kappers en schoonheidssalons;1998 mei;83.0;78.0;;;;;0.2;4.0;;;;
91;9602 Kappers en schoonheidssalons;1998 juni;79.0;78.0;;;;;4.8;4.2;;;;
92;9602 Kappers en schoonheidssalons;1998 2e kwartaal;81.0;78.0;;;;;4.4;4.2;;;;
93;9602 Kappers en schoonheidssalons;1998 juli;84.0;79.0;;;;;6.9;4.6;;;;
94;9602 Kappers en schoonheidssalons;1998 augustus;72.0;79.0;;;;;0.3;4.1;;;;
