ID;LandenGroepen;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3
0;1;1996 januari;903503;1099603;196100
1;1;1996 februari;811466;1061134;249668
2;1;1996 maart;867150;1165039;297889
3;1;1996 april;964179;980238;16059
4;1;1996 mei;921470;933001;11531
5;1;1996 juni;818394;871592;53198
6;1;1996 juli;946131;917465;-28666
7;1;1996 augustus;956910;829509;-127401
8;1;1996 september;961854;993086;31232
9;1;1996 oktober;1183195;1043720;-139475
10;1;1996 november;1243199;1163253;-79946
11;1;1996 december;1244352;1443278;198926
12;1;1996;11821803;12500918;679115
13;1;1997 januari;1263841;1483250;219409
14;1;1997 februari;1126235;1125072;-1163
15;1;1997 maart;1040007;1118335;78328
16;1;1997 april;1110823;1093773;-17050
17;1;1997 mei;1066906;1049745;-17161
18;1;1997 juni;1027141;977179;-49962
19;1;1997 juli;1162268;999311;-162957
20;1;1997 augustus;1229566;1029595;-199971
21;1;1997 september;1030813;997239;-33574
22;1;1997 oktober;1137364;1106574;-30790
23;1;1997 november;1035745;1165709;129964
24;1;1997 december;950523;1201012;250489
25;1;1997;13181232;13346794;165562
26;1;1998 januari;1008858;1176331;167473
27;1;1998 februari;923306;987442;64136
28;1;1998 maart;934228;1101516;167288
29;1;1998 april;919551;959304;39753
30;1;1998 mei;860100;834851;-25249
31;1;1998 juni;811871;801711;-10160
32;1;1998 juli;831350;845805;14455
33;1;1998 augustus;845891;793236;-52655
34;1;1998 september;836796;787705;-49091
35;1;1998 oktober;795463;846102;50639
36;1;1998 november;659308;920790;261482
37;1;1998 december;683001;945665;262664
38;1;1998;10109723;11000458;890735
39;1;1999 januari;782082;868630;86548
40;1;1999 februari;662335;829362;167027
41;1;1999 maart;863192;940820;77628
42;1;1999 april;904446;864601;-39845
43;1;1999 mei;941917;784177;-157740
44;1;1999 juni;946044;801348;-144696
45;1;1999 juli;1166749;867312;-299437
46;1;1999 augustus;1067870;969127;-98743
47;1;1999 september;1245919;1022887;-223032
48;1;1999 oktober;1210834;1153668;-57166
49;1;1999 november;1368457;1363257;-5200
50;1;1999 december;1498540;1572161;73621
51;1;1999;12658385;12037350;-621035
52;1;2000 januari;1676335;1635747;-40588
53;1;2000 februari;1779021;1695070;-83951
54;1;2000 maart;1633954;1736994;103040
55;1;2000 april;1624734;1554095;-70639
56;1;2000 mei;1726188;1651107;-75081
57;1;2000 juni;2030601;1661442;-369159
58;1;2000 juli;2011802;1751461;-260341
59;1;2000 augustus;1837650;1718696;-118954
60;1;2000 september;2294625;1834643;-459982
61;1;2000 oktober;2122927;1991927;-131000
62;1;2000 november;2163549;2184815;21266
63;1;2000 december;2023991;2026988;2997
64;1;2000;22925377;21442985;-1482392
65;1;2001 januari;2061056;2316325;255269
66;1;2001 februari;1791399;2057360;265961
67;1;2001 maart;2028620;2131895;103275
68;1;2001 april;1928278;2216432;288154
69;1;2001 mei;2234956;2216017;-18939
70;1;2001 juni;2043682;1864355;-179327
71;1;2001 juli;2067987;1806194;-261793
72;1;2001 augustus;1975651;1767091;-208560
73;1;2001 september;1794104;1888455;94351
74;1;2001 oktober;1578711;1778113;199402
75;1;2001 november;1676300;1772509;96209
76;1;2001 december;1597022;1831337;234315
77;1;2001;22777766;23646083;868317
78;1;2002 januari;1588485;1802156;213671
79;1;2002 februari;1688543;1630870;-57673
80;1;2002 maart;1964577;1847180;-117397
81;1;2002 april;1815000;1765670;-49330
82;1;2002 mei;1942141;1684053;-258088
83;1;2002 juni;1846152;1691290;-154862
84;1;2002 juli;1544338;1542671;-1667
85;1;2002 augustus;1785750;1513088;-272662
86;1;2002 september;1828098;1764082;-64016
87;1;2002 oktober;1946125;1854750;-91375
88;1;2002 november;1741686;1635558;-106128
89;1;2002 december;2039320;2173731;134411
90;1;2002;21730215;20905099;-825116
91;1;2003 januari;1939184;2185080;245896
92;1;2003 februari;1940689;2136917;196228
93;1;2003 maart;2175570;2121789;-53781
94;1;2003 april;1941544;1588809;-352735
95;1;2003 mei;1761422;1524219;-237203
96;1;2003 juni;1790178;1532435;-257743
97;1;2003 juli;1788330;1527532;-260798
98;1;2003 augustus;2029570;1486054;-543516
99;1;2003 september;1731192;1483832;-247360
100;1;2003 oktober;1801022;1950319;149297
101;1;2003 november;1709818;1813506;103688
102;1;2003 december;1876421;1964054;87633
103;1;2003;22484940;21314546;-1170394
104;1;2004 januari;1921389;2010577;89188
105;1;2004 februari;1868096;1874054;5958
106;1;2004 maart;2130672;2078311;-52361
107;1;2004 april;2052718;1824085;-228633
108;1;2004 mei;2283554;1928987;-354567
109;1;2004 juni;2377168;1782864;-594304
110;1;2004 juli;2452264;2013819;-438445
111;1;2004 augustus;2768416;2056934;-711482
112;1;2004 september;2609345;2135515;-473830
113;1;2004 oktober;2694922;2379893;-315029
114;1;2004 november;2531748;2391715;-140033
115;1;2004 december;2427331;2435514;8183
116;1;2004;28117623;24912268;-3205355
117;1;2005 januari;2548585;2613809;65224
118;1;2005 februari;2478658;2441823;-36835
119;1;2005 maart;3067190;2520903;-546287
120;1;2005 april;2884094;2628895;-255199
121;1;2005 mei;2919182;2535766;-383416
122;1;2005 juni;3012669;2380371;-632298
123;1;2005 juli;3370679;2515873;-854806
124;1;2005 augustus;3426580;2721101;-705479
125;1;2005 september;3541570;2998720;-542850
126;1;2005 oktober;3639614;3101015;-538599
127;1;2005 november;3668338;3505450;-162888
128;1;2005 december;3701985;3623138;-78847
129;1;2005;38259144;33586864;-4672280
130;1;2006 januari;4024177;3932760;-91417
131;1;2006 februari;3523597;3785515;261918
132;1;2006 maart;4122623;4434634;312011
133;1;2006 april;3883684;3756251;-127433
134;1;2006 mei;4407970;3563252;-844718
135;1;2006 juni;4338637;3585101;-753536
136;1;2006 juli;4478830;3426354;-1052476
137;1;2006 augustus;4698177;3813223;-884954
138;1;2006 september;4165039;3196458;-968581
139;1;2006 oktober;4227432;3670283;-557149
140;1;2006 november;3770741;3730721;-40020
141;1;2006 december;3678331;3974107;295776
142;1;2006;49319238;44868659;-4450579
143;1;2007 januari;3651605;3521142;-130463
144;1;2007 februari;3603218;3326239;-276979
145;1;2007 maart;3978032;3513457;-464575
146;1;2007 april;4063375;3582759;-480616
147;1;2007 mei;4645687;3498197;-1147490
148;1;2007 juni;4183116;3559222;-623894
149;1;2007 juli;4333949;3707030;-626919
150;1;2007 augustus;4406154;3639606;-766548
151;1;2007 september;4390434;3793288;-597146
152;1;2007 oktober;4217665;4313129;95464
153;1;2007 november;5091177;4844425;-246752
154;1;2007 december;4857710;5034958;177248
155;1;2007;51422122;46333452;-5088670
156;1;2008 januari;5119676;4903668;-216008
157;1;2008 februari;4737614;5027883;290269
158;1;2008 maart;5425255;5145502;-279753
159;1;2008 april;5195396;5370230;174834
160;1;2008 mei;5779583;4767547;-1012036
161;1;2008 juni;6298652;5455023;-843629
162;1;2008 juli;6175944;5237924;-938020
163;1;2008 augustus;6217653;5357557;-860096
164;1;2008 september;6086619;5403917;-682702
165;1;2008 oktober;5060250;5437243;376993
166;1;2008 november;3950207;4408174;457967
167;1;2008 december;3096398;3867326;770928
168;1;2008;63143247;60381994;-2761253
169;1;2009 januari;3287215;4120723;833508
170;1;2009 februari;2970037;3651816;681779
171;1;2009 maart;3436547;3345040;-91507
172;1;2009 april;3339099;3002763;-336336
173;1;2009 mei;3661160;3090877;-570283
174;1;2009 juni;3675026;2821673;-853353
175;1;2009 juli;3917675;3212056;-705619
176;1;2009 augustus;3942501;3352410;-590091
177;1;2009 september;3848079;3206144;-641935
178;1;2009 oktober;3993974;3464947;-529027
179;1;2009 november;3977059;3820635;-156424
180;1;2009 december;4406890;3959591;-447299
181;1;2009;44455262;41048675;-3406587
182;1;2010 januari;4827736;4183320;-644416
183;1;2010 februari;4507189;4285128;-222061
184;1;2010 maart;5249062;4874043;-375019
185;1;2010 april;5009908;4317950;-691958
186;1;2010 mei;5195771;4374064;-821707
187;1;2010 juni;5079423;4178154;-901269
188;1;2010 juli;5531062;4417888;-1113174
189;1;2010 augustus;5109363;4458840;-650523
190;1;2010 september;4773753;4419393;-354360
191;1;2010 oktober;5347125;4625557;-721568
192;1;2010 november;5379543;5126943;-252600
193;1;2010 december;6114549;5842767;-271782
194;1;2010;62124484;55104047;-7020437
195;1;2011 januari;6346091;6002001;-344090
196;1;2011 februari;5900935;6050704;149769
197;1;2011 maart;7265533;6562786;-702747
198;1;2011 april;6115096;6374603;259507
199;1;2011 mei;7062343;5710285;-1352058
200;1;2011 juni;7027841;5449212;-1578629
201;1;2011 juli;6644644;5671972;-972672
202;1;2011 augustus;7359822;5678734;-1681088
203;1;2011 september;7192534;5673383;-1519151
204;1;2011 oktober;7065705;5988141;-1077564
205;1;2011 november;7788175;6916246;-871929
206;1;2011 december;6934803;6997338;62535
207;1;2011;82703522;73075405;-9628117
208;1;2012 januari;7492202;7420119;-72083
209;1;2012 februari;8478866;7757720;-721146
210;1;2012 maart;8748316;7426572;-1321744
211;1;2012 april;8382956;7621181;-761775
212;1;2012 mei;8414863;7201402;-1213461
213;1;2012 juni;7501787;6378168;-1123619
214;1;2012 juli;8031203;6741755;-1289448
215;1;2012 augustus;9198243;6600515;-2597728
216;1;2012 september;8500998;7133484;-1367514
217;1;2012 oktober;9260617;8128271;-1132346
218;1;2012 november;9494903;7937433;-1557470
219;1;2012 december;8791918;7760865;-1031053
220;1;2012;102296872;88107485;-14189387
221;1;2013 januari;8568871;8074259;-494612
222;1;2013 februari;8570003;7662976;-907027
223;1;2013 maart;8066695;8285029;218334
224;1;2013 april;7800532;7152252;-648280
225;1;2013 mei;8136832;7593728;-543104
226;1;2013 juni;7713840;6720641;-993199
227;1;2013 juli;7986953;7060205;-926748
228;1;2013 augustus;7479868;6776619;-703249
229;1;2013 september;7917564;6361591;-1555973
230;1;2013 oktober;8055845;7466450;-589395
231;1;2013 november;7490221;7460457;-29764
232;1;2013 december;7648110;7121340;-526770
233;1;2013;95435334;87735547;-7699787
234;1;2014 januari;7736798;7651490;-85308
235;1;2014 februari;6895711;6837525;-58186
236;1;2014 maart;7500660;6512368;-988292
237;1;2014 april;7265998;6726057;-539941
238;1;2014 mei;7831918;5986591;-1845327
239;1;2014 juni;6964027;6007523;-956504
240;1;2014 juli;7660324;6155017;-1505307
241;1;2014 augustus;7037419;5478583;-1558836
242;1;2014 september;6750410;5945955;-804455
243;1;2014 oktober;6423873;6313637;-110236
244;1;2014 november;5632715;6040224;407509
245;1;2014 december;5455917;5834772;378855
246;1;2014;83155770;75489742;-7666028
247;1;2015 januari;4806528;5239361;432833
248;1;2015 februari;4855472;5337947;482475
249;1;2015 maart;5990350;5854190;-136160
250;1;2015 april;6000597;5354040;-646557
251;1;2015 mei;6532479;4942080;-1590399
252;1;2015 juni;6104264;5323956;-780308
253;1;2015 juli;5951165;4867608;-1083557
254;1;2015 augustus;5389324;4384429;-1004895
255;1;2015 september;5161036;4220160;-940876
256;1;2015 oktober;5109199;4383726;-725473
257;1;2015 november;4295486;4034767;-260719
258;1;2015 december;4406008;4456398;50390
259;1;2015;64601908;58398662;-6203246
260;1;2016 januari;3792689;3924378;131689
261;1;2016 februari;3725896;3746787;20891
262;1;2016 maart;3967283;4012188;44905
263;1;2016 april;4351035;4052452;-298583
264;1;2016 mei;4770482;4213972;-556510
265;1;2016 juni;4634293;4197597;-436696
266;1;2016 juli;4768976;4175021;-593955
267;1;2016 augustus;4439980;4136808;-303172
268;1;2016 september;4665125;4208019;-457106
269;1;2016 oktober;5281941;4906891;-375050
270;1;2016 november;5089095;5209583;120488
271;1;2016 december;5541510;5494503;-47007
272;1;2016;55028305;52278199;-2750106
273;1;2017 januari;6149254;5832585;-316669
274;1;2017 februari;5715797;5888592;172795
275;1;2017 maart;6031454;5661682;-369772
276;1;2017 april;5589153;4815660;-773493
277;1;2017 mei;5418389;5163336;-255053
278;1;2017 juni;5175274;4865816;-309458
279;1;2017 juli;4856460;4646994;-209466
280;1;2017 augustus;5149131;4333729;-815402
281;1;2017 september;4973549;4875544;-98005
282;1;2017 oktober;5146399;4924944;-221455
283;1;2017 november;6159098;5451230;-707868
284;1;2017 december;6256430;5790470;-465960
285;1;2017;66620388;62250582;-4369806
286;1;2018 januari;6807265;5862183;-945082
287;1;2018 februari;6377224;5828935;-548289
288;1;2018 maart;6360635;5721427;-639208
289;1;2018 april;6027614;5156774;-870840
290;1;2018 mei;6410691;6212165;-198526
291;1;2018 juni;6429141;5445514;-983627
292;1;2018 januari-juni;38412570;34226998;-4185572
293;2;1996 januari;211355;965898;754543
294;2;1996 februari;190252;951004;760752
295;2;1996 maart;245754;1042346;796592
296;2;1996 april;233501;840424;606923
297;2;1996 mei;232133;786083;553950
298;2;1996 juni;212624;750883;538259
299;2;1996 juli;198595;782666;584071
300;2;1996 augustus;187904;689816;501912
301;2;1996 september;257561;873798;616237
302;2;1996 oktober;273938;925969;652031
303;2;1996 november;276483;1021253;744770
304;2;1996 december;300314;1306990;1006676
305;2;1996;2820414;10937130;8116716
306;2;1997 januari;339188;1340709;1001521
307;2;1997 februari;323567;1024141;700574
308;2;1997 maart;299224;981018;681794
309;2;1997 april;314038;942485;628447
310;2;1997 mei;339386;888266;548880
311;2;1997 juni;281445;850445;569000
312;2;1997 juli;290798;856789;565991
313;2;1997 augustus;279652;888504;608852
314;2;1997 september;320750;867160;546410
315;2;1997 oktober;307500;987228;679728
316;2;1997 november;307323;1050169;742846
317;2;1997 december;298954;1085539;786585
318;2;1997;3701825;11762453;8060628
319;2;1998 januari;249772;1034283;784511
320;2;1998 februari;263180;889558;626378
321;2;1998 maart;304970;967890;662920
322;2;1998 april;321066;841377;520311
323;2;1998 mei;276439;706362;429923
324;2;1998 juni;261846;650547;388701
325;2;1998 juli;283304;713404;430100
326;2;1998 augustus;262294;671998;409704
327;2;1998 september;224857;680449;455592
328;2;1998 oktober;270930;724027;453097
329;2;1998 november;221558;823628;602070
330;2;1998 december;231894;833110;601216
331;2;1998;3172110;9536633;6364523
332;2;1999 januari;254351;768652;514301
333;2;1999 februari;252225;737976;485751
334;2;1999 maart;276713;839972;563259
335;2;1999 april;288165;759182;471017
336;2;1999 mei;302829;682910;380081
337;2;1999 juni;281001;688808;407807
338;2;1999 juli;356070;762080;406010
339;2;1999 augustus;369231;879079;509848
340;2;1999 september;442236;925700;483464
341;2;1999 oktober;405351;1020295;614944
342;2;1999 november;465259;1243385;778126
343;2;1999 december;546615;1446679;900064
344;2;1999;4240046;10754718;6514672
345;2;2000 januari;642139;1469041;826902
346;2;2000 februari;593875;1525961;932086
347;2;2000 maart;682216;1558171;875955
348;2;2000 april;692118;1374195;682077
349;2;2000 mei;690832;1470399;779567
350;2;2000 juni;655842;1453845;798003
351;2;2000 juli;696830;1552475;855645
352;2;2000 augustus;678618;1539073;860455
353;2;2000 september;601493;1570971;969478
354;2;2000 oktober;766298;1778543;1012245
355;2;2000 november;832032;1976561;1144529
356;2;2000 december;842801;1810440;967639
357;2;2000;8375094;19079675;10704581
358;2;2001 januari;809451;2128173;1318722
359;2;2001 februari;718951;1815095;1096144
360;2;2001 maart;658536;1943025;1284489
361;2;2001 april;645618;2011657;1366039
362;2;2001 mei;792075;1988519;1196444
363;2;2001 juni;680508;1648608;968100
364;2;2001 juli;640864;1622584;981720
365;2;2001 augustus;689471;1584246;894775
366;2;2001 september;683101;1679735;996634
367;2;2001 oktober;586374;1644591;1058217
368;2;2001 november;609424;1640032;1030608
369;2;2001 december;619221;1700093;1080872
370;2;2001;8133594;21406358;13272764
371;2;2002 januari;669622;1646904;977282
372;2;2002 februari;710136;1438685;728549
373;2;2002 maart;857027;1653595;796568
374;2;2002 april;839611;1457505;617894
375;2;2002 mei;733457;1409088;675631
376;2;2002 juni;837977;1418975;580998
377;2;2002 juli;593647;1270632;676985
378;2;2002 augustus;731788;1275033;543245
379;2;2002 september;859316;1523740;664424
380;2;2002 oktober;729506;1533769;804263
381;2;2002 november;691317;1402708;711391
382;2;2002 december;973575;1966434;992859
383;2;2002;9226979;17997068;8770089
384;2;2003 januari;777063;1867466;1090403
385;2;2003 februari;833215;1885764;1052549
386;2;2003 maart;1061743;1860706;798963
387;2;2003 april;807785;1328357;520572
388;2;2003 mei;741844;1244533;502689
389;2;2003 juni;760151;1305863;545712
390;2;2003 juli;774124;1263355;489231
391;2;2003 augustus;786530;1236233;449703
392;2;2003 september;663761;1227266;563505
393;2;2003 oktober;771845;1666481;894636
394;2;2003 november;834151;1601603;767452
395;2;2003 december;841260;1727947;886687
396;2;2003;9653472;18215574;8562102
397;2;2004 januari;829669;1714525;884856
398;2;2004 februari;830392;1594650;764258
399;2;2004 maart;921545;1681121;759576
400;2;2004 april;916604;1529792;613188
401;2;2004 mei;971548;1548064;576516
402;2;2004 juni;1113403;1429651;316248
403;2;2004 juli;1000499;1686796;686297
404;2;2004 augustus;1262332;1692716;430384
405;2;2004 september;1153247;1837007;683760
406;2;2004 oktober;1173083;2042080;868997
407;2;2004 november;1098996;2037736;938740
408;2;2004 december;1042083;2189531;1147448
409;2;2004;12313401;20983669;8670268
410;2;2005 januari;1211930;2210587;998657
411;2;2005 februari;1020803;2108273;1087470
412;2;2005 maart;1332336;2243585;911249
413;2;2005 april;1313557;2148021;834464
414;2;2005 mei;1271640;1838403;566763
415;2;2005 juni;1215307;1877867;662560
416;2;2005 juli;1336791;1967986;631195
417;2;2005 augustus;1258939;2056123;797184
418;2;2005 september;1401190;2326453;925263
419;2;2005 oktober;1547214;2507425;960211
420;2;2005 november;1454092;2830195;1376103
421;2;2005 december;1574997;3083780;1508783
422;2;2005;15938796;27198698;11259902
423;2;2006 januari;1821768;3291390;1469622
424;2;2006 februari;1509825;3153987;1644162
425;2;2006 maart;1842740;3700216;1857476
426;2;2006 april;2017727;2867402;849675
427;2;2006 mei;2314143;2570099;255956
428;2;2006 juni;1929023;2621508;692485
429;2;2006 juli;2262004;2519699;257695
430;2;2006 augustus;2072082;2914258;842176
431;2;2006 september;1829259;2556130;726871
432;2;2006 oktober;1859189;2945068;1085879
433;2;2006 november;1670998;3043577;1372579
434;2;2006 december;1704939;3188276;1483337
435;2;2006;22833697;35371610;12537913
436;2;2007 januari;1659836;2864778;1204942
437;2;2007 februari;1702874;2623901;921027
438;2;2007 maart;2019310;2626379;607069
439;2;2007 april;1999523;2513351;513828
440;2;2007 mei;2201754;2489479;287725
441;2;2007 juni;2129001;2377005;248004
442;2;2007 juli;2098450;2624048;525598
443;2;2007 augustus;2161789;2606794;445005
444;2;2007 september;2089273;2770540;681267
445;2;2007 oktober;1959861;3251208;1291347
446;2;2007 november;2425512;3835166;1409654
447;2;2007 december;2097028;4101505;2004477
448;2;2007;24544211;34684154;10139943
449;2;2008 januari;2007229;4018312;2011083
450;2;2008 februari;1976224;3886939;1910715
451;2;2008 maart;2061721;4137989;2076268
452;2;2008 april;1875500;3841177;1965677
453;2;2008 mei;2226957;3591775;1364818
454;2;2008 juni;2241090;3686210;1445120
455;2;2008 juli;2314821;4025072;1710251
456;2;2008 augustus;2197270;3905901;1708631
457;2;2008 september;2188000;3952838;1764838
