ID;Jaar;AantalRekeningen_1;TegoedOp31December_2;AantalRekeningen_3;TegoedOp31December_4;AantalRekeningen_5;TegoedOp31December_6;AantalRekeningen_7;TegoedOp31December_8;AantalRekeningen_9;TegoedOp31December_10;AantalRekeningen_11;TegoedOp31December_12;AantalRekeningen_13;TegoedOp31December_14;AantalRekeningen_15;TegoedOp31December_16
0;2003;2701;42595;3236;23664;2207;2251;3970;3750;;;7;9;14030;112824;26152;185094
1;2004;3615;56107;3322;21592;2236;2415;3786;4488;;;5;6;13038;117110;26003;201718
2;2005;4613;66792;3115;18811;2265;2622;3532;2182;;;3;4;11789;120557;25317;210968
3;2006;5348;74225;2940;17517;2239;2841;3444;2673;;;2;3;11574;124081;25547;221339
4;2007;5837;66470;2743;15490;2212;3017;3308;3115;;;1;2;12043;149036;26144;237131
5;2008;6208;55316;2418;13404;2185;3153;3291;3546;28.0;287.0;1;2;12721;175551;26853;251258
