ID;Perioden;TotaalEchtscheidingen_1;TussenManEnVrouw_2;TussenMannen_3;TussenVrouwen_4;TotaalEchtscheidingen_5;EchtscheidingenZonderKinderen_6;TotaalEchtscheidingenMetKinderen_7;Met1Kind_8;Met2Kinderen_9;Met3Kinderen_10;Met4OfMeerKinderen_11;GeenLeeftijdsverschil_12;TotaalMannenOuder_13;k_1Tot5JaarOuder_14;k_5Tot10JaarOuder_15;k_10Tot15JaarOuder_16;k_15Tot20JaarOuder_17;k_20JaarOfMeerOuder_18;TotaalVrouwenOuder_19;k_1Tot5JaarOuder_20;k_5Tot10JaarOuder_21;k_10Tot15JaarOuder_22;k_15Tot20JaarOuder_23;k_20JaarOfMeerOuder_24;TotaalMannen1eHuwelijk_25;Vrouw1eHuwelijk_26;Vrouw2eHuwelijk_27;Vrouw3eOfVolgendHuwelijk_28;TotaalMannen2eHuwelijk_29;Vrouw1eHuwelijk_30;Vrouw2eHuwelijk_31;Vrouw3eOfVolgendHuwelijk_32;TotaalMannen3eOfVolgendeHuwelijk_33;Vrouw1eHuwelijk_34;Vrouw2eHuwelijk_35;Vrouw3eOfVolgendHuwelijk_36;ManNederlandVrouwNederland_37;ManNederlandVrouwBuitenland_38;ManNederlandVrouwEULandExclusi_39;ManNederlandVrouwBelgie_40;ManNederlandVrouwDuitsland_41;ManNederlandVrouwMarokko_42;ManNederlandVrouwNederlandseAnti_43;ManNederlandVrouwSuriname_44;ManNederlandVrouwTurkije_45;VrouwNederlandManBuitenland_46;VrouwNederlandManEULandExclusi_47;VrouwNederlandManBelgie_48;VrouwNederlandManDuitsland_49;VrouwNederlandManMarokko_50;VrouwNederlandManNederlandseAnti_51;VrouwNederlandManSuriname_52;VrouwNederlandManTurkije_53;Buitenland_54;EULandExclusiefNederland_55;Belgie_56;Duitsland_57;Marokko_58;NederlandseAntillenAruba_59;Suriname_60;Turkije_61;BeidenVerschillendBuitenland_62;MinderDanEenJaar_63;k_1Jaar_64;k_2Jaar_65;k_3Jaar_66;k_4Jaar_67;k_5Jaar_68;k_6Jaar_69;k_7Jaar_70;k_8Jaar_71;k_9Jaar_72;k_10Tot15Jaar_73;k_15Tot20Jaar_74;k_20Tot25Jaar_75;k_25Tot30Jaar_76;k_30Tot40Jaar_77;k_40Tot50Jaar_78;k_50JaarOfLanger_79;Voor1950_80;k_1950Tot1955_81;k_1955Tot1960_82;k_1960Tot1965_83;k_1965Tot1970_84;k_1970Tot1975_85;k_1975Tot1980_86;k_1980Tot1985_87;k_1985Tot1990_88;k_1990Tot1995_89;k_1995Tot2000_90;k_2000_91;k_2001_92;k_2002_93;k_2003_94;k_2004_95;k_2005_96;k_2006_97;k_2007_98;k_2008_99;k_2009_100;k_2010_101;k_2011_102;k_2012_103;k_2013_104;k_2014_105;k_2015_106;k_2016_107;k_2017_108;k_2018_109;k_2019_110;k_2020_111;k_2021_112;k_2022_113;k_2023_114;TotaalVanEchtScheidendePersonen_115;TotaalMannen_116;JongerDan20Jaar_117;k_20Tot25Jaar_118;k_25Tot30Jaar_119;k_30Tot35Jaar_120;k_35Tot40Jaar_121;k_40Tot45Jaar_122;k_45Tot50Jaar_123;k_50JaarOfOuder_124;TotaalVrouwen_125;JongerDan20Jaar_126;k_20Tot25Jaar_127;k_25Tot30Jaar_128;k_30Tot35Jaar_129;k_35Tot40Jaar_130;k_40Tot45Jaar_131;k_45Tot50Jaar_132;k_50JaarOfOuder_133;JongerDan20Jaar_134;k_20Tot25Jaar_135;k_25Tot30Jaar_136;k_30Tot35Jaar_137;k_35Tot40Jaar_138;k_40Tot45Jaar_139;k_45Tot50Jaar_140;k_50JaarOfOuder_141;JongerDan20Jaar_142;k_20Tot25Jaar_143;k_25Tot30Jaar_144;k_30Tot35Jaar_145;k_35Tot40Jaar_146;k_40Tot45Jaar_147;k_45Tot50Jaar_148;k_50JaarOfOuder_149;k_1eHuwelijk_150;k_2eHuwelijk_151;k_3eOfVolgendHuwelijk_152;k_1eHuwelijk_153;k_2eHuwelijk_154;k_3eOfVolgendHuwelijk_155;BijEchtscheidingBetrokkenKinderen_156
0;1996;34871;34871.0;;;34871;18707;16164;6321;7122;2109;612;2946;24922;14810;6993;1997;702;420;7003;4611;1480;544;247;121;29260;26073;2713;474;4813;2427;2012;374;798;337;334;127;23186;2551;766;134;325;133;77;235;62;3422;676;118;215;457;86;165;483;3643;219;68;76;635;92;1085;750;2069;65;745;1831;2450;3096;3086;2254;1711;1511;1350;4909;3785;3528;2624;1607;280;39;75;128;401;782;1892;3348;3590;4308;6820;12717;810;;;;;;;;;;;;;;;;;;;;;;;;;65859;32409;621;10472;11127;5068;2382;1248;716;775;33450;3627;14799;8050;3421;1665;929;551;408;1;359;3149;6402;6460;5596;4507;5935;31;1345;5184;7073;6521;5259;3927;4110;26798;4813;798;27416;5059;975;29515
1;1997;33740;33740.0;;;33740;17750;15990;6117;7039;2186;648;3068;23943;14189;6773;1926;630;425;6729;4451;1465;503;192;118;28196;25174;2572;450;4726;2435;1948;343;818;321;377;120;22690;2451;743;135;312;126;95;186;50;3205;645;104;230;407;100;147;474;3716;197;59;66;690;99;925;797;1678;41;858;1613;2016;2801;2704;2365;1957;1448;1356;5132;3795;3284;2476;1562;295;37;62;117;293;660;1582;2985;3361;4178;6147;11843;2512;;;;;;;;;;;;;;;;;;;;;;;;;63662;31339;601;9669;10884;5076;2376;1285;697;751;32323;3339;13896;8062;3533;1675;913;502;403;1;291;2723;6151;6376;5437;4424;5936;31;1087;4784;6789;6510;5171;3805;4146;25795;4726;818;26513;4897;913;29521
2;1998;32459;32459.0;;;32459;16632;15827;5942;7114;2160;611;2944;23535;13980;6587;1862;691;415;5980;4258;1157;363;131;71;27060;24443;2249;368;4566;2373;1868;325;833;365;333;135;22808;2349;708;121;336;106;91;192;60;2682;663;96;209;268;92;145;298;3320;179;45;66;611;94;823;712;1300;63;911;1709;1669;2244;2329;2052;1779;1609;1407;5231;3719;3300;2437;1642;313;45;57;96;277;578;1369;2696;3316;3918;5787;10013;4352;;;;;;;;;;;;;;;;;;;;;;;;;61310;30287;523;9158;10495;5043;2285;1265;694;824;31023;3044;13482;7946;3336;1599;775;468;373;3;211;2361;5451;6263;5407;4383;6208;28;885;4400;6389;6331;5244;3602;4144;24888;4566;833;25745;4450;828;29285
3;1999;33571;33571.0;;;33571;16420;17151;6371;7744;2417;619;3026;24532;14771;6768;1957;666;370;6013;4312;1198;341;109;53;28247;25742;2167;338;4547;2464;1786;297;777;340;309;128;24130;2402;704;125;327;92;72;202;65;2650;684;113;233;277;86;159;256;3424;204;44;72;676;131;737;674;965;67;983;1715;1858;1933;1982;2019;1840;1703;1634;5861;4016;3330;2512;1734;343;41;41;90;253;509;1225;2512;3330;4016;5861;9178;6556;;;;;;;;;;;;;;;;;;;;;;;;;63697;31409;514;9317;10994;5369;2442;1283;732;758;32288;3119;13891;8585;3564;1543;799;409;378;1;222;2210;5347;6703;5793;4615;6518;21;918;4064;6735;6898;5542;3750;4360;26085;4547;777;27263;4262;763;31789
4;2000;34650;34650.0;;;34650;16695;17955;6780;8132;2420;623;3222;25167;15137;7135;1859;622;414;6261;4544;1191;365;110;51;29308;26684;2259;365;4542;2426;1811;305;800;350;317;133;25499;2317;733;144;325;72;74;208;74;2628;652;96;218;293;89;186;292;3292;214;51;90;664;119;708;652;914;74;1103;1904;2039;2062;1721;1826;1830;1713;1651;6330;4127;3469;2596;1852;309;44;34;81;186;436;1087;2397;3287;3953;5763;8523;8829;74.0;;;;;;;;;;;;;;;;;;;;;;;;65783;32543;538;9262;11593;5713;2565;1289;730;853;33240;2979;14006;9107;3759;1666;870;461;392;2;231;2015;5673;6879;6160;4821;6762;30;901;3871;6816;7243;5811;4081;4487;27201;4542;800;28050;4387;803;32974
5;2001;37104;;;;37104;17453;19651;7167;9174;2625;685;3311;27072;16372;7563;2006;677;454;6721;4969;1189;325;117;121;31509;28785;2367;357;4752;2532;1863;357;843;383;334;126;27334;2542;794;144;325;82;80;204;88;2860;703;122;207;300;107;174;327;3474;193;50;58;735;102;638;772;894;89;1077;1991;2101;2229;1954;1807;1836;1710;1730;6945;4854;3648;2646;2107;343;37;22;66;181;404;1037;2214;3264;4296;5915;8457;10082;1077.0;89.0;;;;;;;;;;;;;;;;;;;;;;;70672;34958;522;9699;12557;6279;2781;1465;785;870;35714;3172;14757;10090;4122;1817;889;451;416;0;250;1982;5728;7476;6885;5384;7253;18;953;3841;7214;8045;6511;4339;4793;29363;4752;843;30310;4564;840;36326
6;2002;33179;;;;33179;14500;18679;6722;8749;2567;641;2954;24348;14704;6783;1849;619;393;5877;4276;1144;312;101;44;28058;25590;2123;345;4400;2361;1734;305;721;360;256;105;23948;2432;755;143;328;99;73;216;88;2474;605;101;206;303;112;169;300;3453;176;57;56;711;128;635;820;872;56;686;1431;1813;1975;1736;1605;1399;1451;1499;6562;4666;3551;2416;1971;327;35;14;47;140;327;837;1818;2833;3912;5362;7188;8528;1431.0;686.0;56.0;;;;;;;;;;;;;;;;;;;;;;62956;31173;466;8597;10783;5881;2618;1323;728;777;31783;2874;12983;8830;3827;1661;823;412;373;0;218;1435;4427;6560;6483;5169;6881;20;762;2840;5943;7155;6406;4134;4523;26052;4400;721;26915;4113;755;34693
7;2003;31479;;;;31479;13204;18275;6583;8541;2500;651;2835;23037;13690;6599;1773;606;369;5607;4053;1111;288;100;55;26568;24039;2159;370;4148;2254;1594;300;763;338;311;114;22236;2331;651;135;284;102;65;193;117;2392;543;104;158;303;87;166;336;3673;160;48;50;730;136;629;971;847;74;648;1289;1583;1855;1819;1536;1414;1303;1355;6268;4617;3330;2183;1882;288;35;13;31;122;232;684;1477;2367;3609;4906;6517;7927;1583.0;1289.0;648.0;74.0;;;;;;;;;;;;;;;;;;;;;59620;29417;449;7707;10290;5594;2599;1326;683;769;30203;2802;11857;8304;3861;1731;858;441;349;0;194;1201;4008;5990;6460;4997;6567;12;767;2562;5380;6672;6326;4166;4318;24506;4148;763;25355;4064;784;33915
8;2004;31098;31036.0;13.0;49.0;31098;13043;18055;6398;8593;2446;618;2914;22503;13501;6221;1779;614;388;5681;4190;1068;267;98;58;26209;23754;2109;346;4149;2214;1636;299;740;342;288;110;21964;2382;645;117;279;112;75;213;132;2374;578;115;180;254;90;148;382;3446;168;58;39;711;117;522;932;932;67;667;1322;1461;1761;1728;1567;1410;1390;1294;6076;4759;3220;2198;1841;298;39;10;29;66;232;555;1286;2198;3220;4759;6076;7389;1761.0;1461.0;1322.0;667.0;67.0;;;;;;;;;;;;;;;;;;;;59039;29074;477;7255;10043;5697;2671;1314;795;822;29965;2516;11425;8440;4091;1766;870;479;378;5;216;1219;3562;5772;6368;5128;6804;24;750;2390;4957;6592;6393;4350;4509;24204;4132;738;25158;4050;757;33559
9;2005;31905;31810.0;32.0;63.0;31905;13593;18312;6535;8715;2457;605;2904;23046;13724;6521;1780;631;390;5955;4391;1096;302;108;58;27017;24455;2188;374;4165;2257;1620;288;723;336;288;99;22742;2472;850;124;259;124;68;177;145;2368;564;94;171;298;102;155;396;3520;186;49;38;753;110;540;917;803;101;631;1248;1622;1602;1871;1690;1508;1371;1287;6029;4931;3414;2225;2002;331;42;9;23;72;197;546;1190;1977;3214;4556;6026;7020;1871.0;1602.0;1622.0;1248.0;631.0;101.0;;;;;;;;;;;;;;;;;;;60568;29814;438;7119;10219;6115;2827;1481;752;863;30754;2432;11388;8902;4363;1888;889;503;389;3;180;1239;3204;5782;6679;5385;7342;13;742;2405;4766;6591;6622;4743;4872;24935;4157;722;25888;4104;762;33890
