ID;StandenEnBeroepOpDeKapitaalmarkt;Perioden;Totaal_1;TotaalBeleggingsfondsen_2;TotaalAandelenfondsen_3;TotaalRegiofondsen_4;Nederland_5;Europa_6;NoordAmerika_7;Azie_8;Wereldwijd_9;Overig_10;Sectorfondsen_11;TotaalObligatiefondsen_12;EuroGebied_13;Wereldwijd_14;Overige_15;Depositofondsen_16;Mixfondsen_17;Trackers_18;OverigeFondsen_19;TotaalVastgoedfondsen_20;DirecteVastgoedfondsen_21;IndirecteVastgoedfondsen_22
18;5;2008 juli;7;7;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0
19;5;2008 augustus;3017;2996;216;181;20;19;1;4;134;2;36;6;6;0;0;2;4;2760;7;21;0;21
20;5;2008 september;3833;3821;929;851;17;2;0;7;808;17;78;114;55;59;0;1;3;2773;1;12;0;12
21;5;2008 oktober;2367;2364;453;423;43;27;8;19;323;3;30;20;16;3;0;0;21;1866;5;3;2;0
22;5;2008 november;2714;2710;203;97;19;5;1;9;63;0;106;15;12;3;0;4;61;2416;11;4;0;4
23;5;2008 december;2869;2817;195;162;11;73;2;1;74;0;33;49;34;15;0;0;7;2564;2;52;2;50
24;5;2009 januari;1338;1314;141;110;3;7;2;4;93;1;31;68;35;32;0;0;19;1082;3;24;18;6
25;5;2009 februari;878;868;67;45;8;3;1;1;32;0;23;28;12;16;0;0;5;767;1;10;0;10
26;5;2009 maart;881;876;28;20;1;8;6;3;0;2;8;8;0;8;0;0;7;829;3;5;0;4
27;5;2009 april;1231;1185;159;141;29;47;4;28;33;0;18;87;60;27;0;3;39;886;11;47;23;24
28;5;2009 mei;1492;1479;262;252;18;2;63;6;164;0;10;75;49;26;0;2;32;1086;22;13;2;11
29;5;2009 juni;1536;1186;123;105;25;15;4;11;50;0;19;68;19;49;0;1;26;946;21;350;339;11
30;5;2009 juli;1564;1556;220;196;12;10;53;0;120;0;24;112;61;51;0;2;11;1195;16;8;0;8
31;5;2009 augustus;1426;1414;88;77;13;9;5;1;48;0;11;30;2;28;0;0;5;1282;7;13;0;13
32;5;2009 september;1210;1108;235;215;28;18;4;3;163;0;20;101;58;43;0;3;52;712;4;103;76;27
33;5;2009 oktober;1147;1129;74;52;20;5;7;1;18;0;23;97;44;53;0;0;17;924;17;18;10;8
34;5;2009 november;1240;1121;140;123;18;33;2;8;61;0;17;219;106;113;0;0;52;703;6;119;99;20
35;5;2009 december;2197;2166;65;50;18;5;1;0;26;0;15;100;24;75;0;0;14;1966;20;30;0;30
36;5;2010 januari;1055;1041;49;34;12;5;2;0;14;0;15;42;4;39;0;3;16;930;1;14;0;14
37;5;2010 februari;828;820;57;50;13;4;7;1;24;1;7;204;156;47;1;1;17;519;22;7;5;2
38;5;2010 maart;2260;1218;159;144;63;5;8;1;62;6;15;359;259;98;2;2;81;531;86;1042;1037;5
39;5;2010 april;1325;1311;144;82;7;17;3;1;52;3;61;200;135;64;1;3;108;790;66;14;1;13
40;5;2010 mei;1101;1088;148;134;79;6;0;0;49;0;14;84;62;21;0;0;26;805;26;13;12;1
