ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
5199;Stolwijkersluis (ged.);623;Vlist                      ;75;Krimpenerwaard                                    ;28;ZH. ;nee;nee
5200;Stolwijkersluis (ged.);513;Gouda                      ;74;Gouda en omstreken                                ;28;ZH. ;nee;nee
5201;Stompetoren;458;Schermer                   ;56;Noordhollands Middengewest                        ;27;NH. ;ja ;nee
5202;Stompwijk;548;Leidschendam               ;80;Randgebied 's-Gravenhage                          ;28;ZH. ;nee;nee
5203;Stoof;1655;Halderberge                ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
5204;Stootshorn;1987;Menterwolde                ;3;Groninger Oldambt                                 ;20;Gr. ;nee;nee
5205;Stormpolder;542;Krimpen aan den IJssel     ;88;Oostelijk randgebied Rotterdam                    ;28;ZH. ;nee;nee
5206;Stougjesdijk;585;Binnenmaas                 ;90;Hoeksche Waard                                    ;28;ZH. ;nee;nee
5207;Stoutenburg;327;Leusden                    ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;ja ;nee
5208;Stox;918;Helden                     ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
5209;Strabeek;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5210;Strabrecht;1658;Heeze-Leende               ;117;Valkenswaard en oostelijke randgemeenten          ;30;NB. ;nee;nee
5211;Stramproy;988;Weert                      ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;ja ;nee
5212;Straten;823;Oirschot                   ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
5213;Strateris;946;Nederweert                 ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
5214;Stratum;772;Eindhoven                  ;113;Eindhoven                                         ;30;NB. ;nee;nee
5215;Streefkerk;694;Liesveld                   ;77;Overige gemeenten Alblasserwaard                  ;28;ZH. ;ja ;nee
5216;Streek;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;nee;nee
5217;Streek, De;1651;Eemsmond                   ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;nee;nee
5218;Streukel;193;Zwolle                     ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
5219;Strevelshoek;597;Ridderkerk                 ;87;Oostelijk IJsselmonde                             ;28;ZH. ;nee;nee
5220;Strijbeek;1723;Alphen-Chaam               ;108;Gebied om Tilburg                                 ;30;NB. ;ja ;nee
5221;Strijen;617;Strijen                    ;90;Hoeksche Waard                                    ;28;ZH. ;ja ;ja 
5222;Strijenham;716;Tholen                     ;94;Sint Philipsland en Tholen                        ;29;Z.  ;nee;nee
5223;Strijensas;617;Strijen                    ;90;Hoeksche Waard                                    ;28;ZH. ;ja ;nee
5224;Strijp;603;Rijswijk                   ;80;Randgebied 's-Gravenhage                          ;28;ZH. ;nee;nee
5225;Strijp;1659;Laarbeek                   ;115;Industriegebied Helmond                           ;30;NB. ;nee;nee
5226;Strijp;772;Eindhoven                  ;113;Eindhoven                                         ;30;NB. ;nee;nee
5227;Strijpe;614;Westvoorne                 ;91;Voorne-Putten en Rozenburg                        ;28;ZH. ;nee;nee
5228;Strikberg;1665;Made                       ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;nee;nee
5229;Stroe;462;Wieringen                  ;51;Wieringen, Wieringermeer                          ;27;NH. ;nee;nee
5230;Stroe;203;Barneveld                  ;31;Gelderse Vallei                                   ;25;Gld.;ja ;nee
5231;Stroet;395;Harenkarspel               ;53;Westelijk West-Friesland                          ;27;NH. ;nee;nee
5232;557;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
5233;Stroodorp;1695;Noord-Beveland             ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;nee;nee
5234;Strooivledder;1701;Westerveld                 ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
5235;Strucht;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5236;Stuifakker;614;Westvoorne                 ;91;Voorne-Putten en Rozenburg                        ;28;ZH. ;nee;nee
5237;Stuifzand;118;Hoogeveen                  ;18;Zuiddrents randgebied                             ;22;D.  ;ja ;nee
5238;Stuivezand;1665;Made                       ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;nee;nee
