ID;HerkomstMiddelen;Perioden;Totaal_1;DoorBedrijven_2;DoorInstellingen_3;DoorHogerOnderwijsinstellingen_4;RDUitbesteedAanHetBuitenland_5;NationaleUitgavenAanRD_6
0;1;1999;7646;4263;1138;2245;431.0;7234.0
1;1;2001;8655;4712;1179;2764;654.0;8421.0
2;1;2003;9148;4806;1216;3126;502.0;8701.0
3;1;2005;9772;5169;1216;3387;817.0;9416.0
4;1;2007;10342;5495;1259;3588;844.0;10085.0
5;1;2009;10408;4900;1327;4181;926.0;10205.0
6;2;1999;3752;3391;249;112;417.0;4169.0
7;2;2001;4172;3784;243;145;628.0;4800.0
8;2;2003;4299;3921;200;179;500.0;4800.0
9;2;2005;4526;4086;177;263;796.0;5322.0
10;2;2007;5045;4563;215;268;803.0;5848.0
11;2;2009;4699;3925;430;344;905.0;5604.0
12;3;1999;2729;203;712;1813;14.0;2743.0
13;3;2001;3257;213;748;2295;26.0;3282.0
14;3;2003;3582;159;837;2587;2.0;3584.0
15;3;2005;3676;177;815;2684;21.0;3696.0
16;3;2007;3806;125;832;2849;42.0;3847.0
17;3;2009;4117;183;693;3241;21.0;4138.0
18;4;1999;9;2;7;0;0.0;9.0
19;4;2001;10;3;7;0;0.0;10.0
20;4;2003;15;3;12;0;0.0;15.0
21;4;2005;25;5;19;1;0.0;25.0
22;4;2007;19;2;16;1;0.0;19.0
23;4;2009;30;7;23;0;0.0;30.0
24;5;1999;313;21;39;252;0.0;313.0
25;5;2001;329;34;43;253;0.0;329.0
26;5;2003;302;5;32;266;0.0;302.0
27;5;2005;373;12;48;313;0.0;373.0
28;5;2007;370;10;37;323;0.0;370.0
29;5;2009;432;3;36;393;0.0;432.0
30;6;1999;844;646;130;68;;
31;6;2001;887;679;138;70;;
32;6;2003;949;719;135;95;;
33;6;2005;1173;890;157;126;;
34;6;2007;1102;795;159;147;;
35;6;2009;1129;781;145;203;;
