ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;Total_9;Total_10;InitialStockOfRawAndAuxiliaryMater_11;PurchasedRawAndAuxiliaryMaterials_12;ClosingStockRawAndAuxiliaryMat_13;Total_14;InitialStockOfCommodities_15;PurchasedCommodities_16;ClosingStockOfCommodities_17;PaymentsToSubcontractors_18;PurchaseValueNotElsewhereClassified_19;Total_20;GrossWagesAndSalaries_21;Total_22;EmployerPaidSocialInsurancePremiums_23;PensionAndEarlyRetirementPremiums_24;OtherSocialInsuranceCosts_25;OtherPersonnelCosts_26;Total_27;CostsOfEnergyUse_28;HousingCosts_29;EquipmentAndInventoryCosts_30;TransportCosts_31;SalesCosts_32;CommunicationCosts_33;CostsOfOtherServices_34;OtherLiabilities_35;DepreciationFixedAssets_36;OperatingResults_37;NetFinancialIncome_38;BalanceOfProvisions_39;NetExtraordinaryIncome_40;PreTaxResults_41
0;C Manufacturing;2009;796.4;916.2;719.0;799.3;257204.0;250008.0;7197.0;244949.0;157152.0;121069.0;;;;28169.0;;;;7104.0;809.0;41695.0;28996.0;6554.0;3620.0;2934.0;388.0;5757.0;38202.0;6389.0;3595.0;4563.0;1459.0;3878.0;501.0;6036.0;11782.0;7901.0;12255.0;538.0;-253.0;-1346.0;11194.0
1;C Manufacturing;2010;794.6;906.3;712.7;798.9;280471.0;271274.0;9197.0;263024.0;172572.0;132952.0;;;;30091.0;;;;7939.0;1590.0;42235.0;29366.0;6559.0;3693.0;2866.0;346.0;5964.0;40409.0;5820.0;3726.0;4838.0;1471.0;4113.0;487.0;6191.0;13762.0;7809.0;17447.0;1485.0;-409.0;-463.0;18059.0
2;C Manufacturing;2011;797.1;905.8;714.9;802.8;316812.0;307818.0;8997.0;299204.0;204096.0;159816.0;;;;34244.0;;;;8303.0;1732.0;44457.0;30345.0;7252.0;3898.0;3354.0;363.0;6497.0;42412.0;6084.0;3901.0;5207.0;1618.0;3990.0;509.0;6678.0;14425.0;8242.0;17607.0;581.0;-480.0;1012.0;18720.0
3;C Manufacturing;2012;776.1;887.4;696.3;786.0;325587.0;316566.0;9020.0;308708.0;213576.0;167708.0;;;;36674.0;;;;7323.0;1872.0;44512.0;30379.0;7057.0;4056.0;3002.0;455.0;6621.0;42330.0;6468.0;3884.0;5051.0;1617.0;3882.0;506.0;6773.0;14151.0;8290.0;16878.0;2301.0;-374.0;-640.0;18166.0
4;C Manufacturing;2013;771.6;882.4;687.5;781.3;314539.0;306453.0;8085.0;299339.0;206383.0;161651.0;;;;35761.0;;;;7377.0;1594.0;44386.0;30104.0;7299.0;4068.0;3231.0;336.0;6648.0;40696.0;6695.0;3799.0;4831.0;1515.0;3848.0;464.0;7073.0;12472.0;7873.0;15200.0;786.0;-221.0;-343.0;15423.0
5;10-12 Manufacture of food and beverages;2009;124.2;154.1;104.0;126.9;62174.0;61627.0;548.0;58054.0;41173.0;32569.0;2679.0;32308.0;2418.0;7535.0;412.0;7535.0;412.0;850.0;219.0;6428.0;4175.0;989.0;553.0;435.0;47.0;1218.0;8926.0;1143.0;712.0;815.0;320.0;1256.0;75.0;1046.0;3558.0;1528.0;4120.0;131.0;-1.0;-1127.0;3124.0
6;10-12 Manufacture of food and beverages;2010;127.5;158.0;107.1;130.9;60131.0;59583.0;548.0;56402.0;38675.0;31806.0;2342.0;32043.0;2579.0;5580.0;372.0;5718.0;510.0;803.0;486.0;6808.0;4419.0;1061.0;569.0;492.0;41.0;1287.0;9418.0;1005.0;726.0;837.0;299.0;1370.0;67.0;1213.0;3902.0;1501.0;3729.0;381.0;-27.0;87.0;4170.0
7;10-12 Manufacture of food and beverages;2011;126.9;156.7;105.9;129.9;66588.0;65953.0;635.0;62956.0;45119.0;37459.0;2335.0;37602.0;2479.0;6760.0;484.0;6827.0;550.0;448.0;451.0;6868.0;4431.0;1062.0;585.0;478.0;45.0;1330.0;9520.0;989.0;735.0;879.0;318.0;1170.0;70.0;1292.0;4067.0;1449.0;3633.0;341.0;-51.0;30.0;3952.0
8;10-12 Manufacture of food and beverages;2012;125.4;155.4;104.2;129.9;67915.0;67316.0;598.0;64246.0;46600.0;38724.0;2375.0;38762.0;2412.0;6661.0;490.0;6694.0;523.0;495.0;719.0;7057.0;4491.0;1130.0;619.0;510.0;45.0;1393.0;9089.0;1075.0;767.0;862.0;332.0;1163.0;69.0;1411.0;3410.0;1500.0;3669.0;-81.0;-39.0;67.0;3615.0
9;10-12 Manufacture of food and beverages;2013;128.0;159.1;104.7;131.8;71684.0;71009.0;675.0;67636.0;49957.0;41885.0;2629.0;42046.0;2791.0;6949.0;474.0;6995.0;520.0;497.0;627.0;7290.0;4602.0;1220.0;655.0;565.0;43.0;1425.0;8806.0;1080.0;793.0;871.0;342.0;1176.0;67.0;1487.0;2992.0;1583.0;4048.0;-81.0;-22.0;12.0;3958.0
10;10 Manufacture of food products;2009;114.0;142.7;94.4;116.3;53060.0;52573.0;487.0;50846.0;38270.0;30142.0;2382.0;29915.0;2156.0;7140.0;385.0;7148.0;392.0;769.0;219.0;5715.0;3675.0;878.0;494.0;383.0;42.0;1121.0;5612.0;1039.0;597.0;681.0;287.0;792.0;67.0;935.0;1215.0;1249.0;2214.0;156.0;-15.0;-1.0;2354.0
11;10 Manufacture of food products;2010;117.3;146.5;97.5;120.3;52264.0;51764.0;499.0;49334.0;36308.0;29886.0;2070.0;30114.0;2298.0;5216.0;334.0;5354.0;472.0;722.0;484.0;6072.0;3889.0;948.0;509.0;438.0;38.0;1198.0;5718.0;931.0;609.0;709.0;267.0;834.0;58.0;1089.0;1222.0;1236.0;2930.0;393.0;-13.0;83.0;3394.0
12;10 Manufacture of food products;2011;116.8;145.4;96.6;119.6;58546.0;57945.0;601.0;55839.0;42649.0;35421.0;2048.0;35551.0;2178.0;6435.0;442.0;6506.0;512.0;351.0;442.0;6139.0;3911.0;953.0;526.0;427.0;41.0;1234.0;5860.0;915.0;626.0;754.0;284.0;834.0;61.0;1172.0;1213.0;1191.0;2707.0;357.0;-41.0;-2.0;3021.0
13;10 Manufacture of food products;2012;116.0;144.6;95.2;119.7;60461.0;59956.0;505.0;57767.0;44032.0;36549.0;2072.0;36634.0;2158.0;6367.0;452.0;6401.0;486.0;401.0;716.0;6340.0;3979.0;1022.0;557.0;465.0;41.0;1297.0;6152.0;993.0;657.0;736.0;294.0;832.0;61.0;1300.0;1280.0;1243.0;2694.0;-69.0;-29.0;68.0;2664.0
14;10 Manufacture of food products;2013;118.8;148.6;96.0;122.0;64754.0;64160.0;594.0;61648.0;47481.0;39783.0;2381.0;39922.0;2519.0;6680.0;449.0;6722.0;491.0;394.0;623.0;6542.0;4102.0;1073.0;593.0;480.0;39.0;1328.0;6294.0;997.0;680.0;735.0;307.0;819.0;59.0;1387.0;1311.0;1330.0;3107.0;-98.0;-19.0;7.0;2996.0
15;101 Slaughtering, processing of meat;2009;14.1;22.5;12.9;19.7;8539.0;8501.0;39.0;8324.0;6592.0;6329.0;129.0;6330.0;130.0;176.0;17.0;168.0;10.0;44.0;44.0;898.0;449.0;104.0;65.0;38.0;6.0;340.0;704.0;89.0;96.0;85.0;44.0;81.0;7.0;147.0;155.0;129.0;215.0;-23.0;-1.0;-8.0;184.0
