ID;Perioden;TotaalZorgEnWelzijn_1;GeneeskundigeEnLangdurigeZorg_2;WelzijnJeugdzorgEnKinderopvang_3;BeleidEnBeheer_4;TotaalFinancieringsbronnen_5;Overheid_6;ZiekenfondswetZorgverzekeringswet_7;AWBZWLZ_8;OverigeFinancieringsbronnen_9;ZorguitgavenInPrijzenVan2010_10;UitgavenPerHoofdVanDeBevolking_11;UitgavenAlsPercentageVanHetBbp_12;TotaalZorguitgaven_13;UitgavenGeneeskundigeLangdurigeZorg_14;UitgavenWelzijnJeugdzorgKinderopvang_15;UitgavenAanZorgHoeveelheidsindex_16;BevolkingInNederland_17;UitgavenPerHoofdVanDeBevolking_18
0;1972;6450;5638;588;223;6450;1615;2081;1003;1751;29194.0;484;8.7;8;8;7;34.0;80;9
1;1973;7539;6602;673;264;7539;1884;2395;1251;2009;30473.0;561;8.9;9;9;8;36.0;81;11
2;1974;8917;7849;759;309;8917;2238;2820;1532;2327;31512.0;658;9.0;10;11;9;37.0;82;13
3;1975;10592;9347;889;356;10592;2758;3355;1853;2626;32390.0;775;9.9;12;13;10;38.0;82;15
4;1976;12063;10664;1012;387;12063;3108;3791;2194;2970;33500.0;876;9.9;14;15;12;39.0;83;17
5;1977;13362;11786;1152;424;13362;3420;4216;2455;3271;34409.0;964;10.2;16;16;13;40.0;83;19
6;1978;14652;12917;1273;461;14652;3696;4658;2727;3572;35425.0;1051;10.3;17;18;15;41.0;84;20
7;1979;15833;13919;1386;528;15833;3839;5056;2985;3953;36191.0;1128;10.5;18;19;16;42.0;84;22
8;1980;17310;15237;1483;590;17310;4065;5525;3485;4235;36970.0;1223;10.6;20;21;17;43.0;85;24
9;1981;18591;16365;1586;640;18591;4350;6006;3743;4493;37542.0;1305;10.8;22;22;18;44.0;86;25
10;1982;19919;17517;1689;713;19919;4613;6534;3999;4773;38099.0;1392;11.2;23;24;19;44.0;86;27
11;1983;20696;18139;1765;792;20696;4798;6660;4211;5027;38767.0;1440;11.2;24;25;20;45.0;86;28
12;1984;21007;18369;1805;833;21007;4771;6780;4319;5137;38909.0;1456;10.8;24;25;21;45.0;87;28
13;1985;21771;19041;1869;861;21771;4916;6956;4447;5453;39584.0;1502;10.8;25;26;21;46.0;87;29
14;1986;22637;19725;1972;941;22637;5040;6893;4621;6083;40366.0;1553;10.9;26;27;23;47.0;88;30
15;1987;23190;20244;2014;931;23190;5080;7110;4798;6201;41191.0;1581;11.1;27;28;23;48.0;88;31
16;1988;23927;20848;2129;950;23927;5191;7272;4961;6503;41861.0;1621;11.0;28;28;24;49.0;89;31
17;1989;24922;21637;2238;1047;24922;4785;6854;6476;6807;43093.0;1678;10.8;29;29;26;50.0;89;33
18;1990;26658;23123;2460;1075;26658;5018;7241;6940;7459;44555.0;1783;10.9;31;32;28;52.0;90;35
19;1991;28737;24881;2712;1144;28737;5399;8041;7529;7768;45702.0;1907;11.2;33;34;31;53.0;91;37
20;1992;30725;26556;2927;1242;30725;5681;7015;10432;7598;46967.0;2024;11.5;36;36;34;55.0;91;39
21;1993;32167;27803;3086;1278;32167;5909;7331;11132;7795;47999.0;2104;11.7;37;38;35;56.0;92;41
22;1994;33368;28743;3238;1387;33368;6113;7642;11454;8160;49056.0;2169;11.5;39;39;37;57.0;93;42
23;1995;35148;30047;3640;1461;35148;6706;7570;12030;8842;50866.0;2274;10.8;41;41;42;59.0;93;44
24;1996;36413;31255;3683;1476;36413;6823;10124;9055;10412;51852.0;2345;10.7;42;43;42;60.0;93;45
25;1997;38208;32682;4011;1515;38208;4802;10888;11923;10595;53426.0;2448;10.5;45;45;46;62.0;94;47
26;1998 voor revisie;40828;34737;4513;1578;40828;5434;11310;12693;11391;55637.0;2599;10.5;48;47;52;65.0;95;50
27;1998 na revisie;39380;33875;3442;2063;39380;5481;11545;11385;10968;53725.0;2507;10.0;46;46;40;63.0;95;49
28;1999;42394;36195;4002;2197;42394;6132;12032;12205;12025;55771.0;2681;10.1;49;49;46;65.0;95;52
29;2000;45361;38583;4477;2301;45361;6604;12816;13202;12740;57347.0;2848;10.0;53;53;51;67.0;96;55
30;2001;50767;43225;5055;2487;50767;7516;14414;14863;13975;60709.0;3164;10.5;59;59;58;71.0;97;61
31;2002;56663;48745;5214;2703;56663;8060;15883;17010;15710;63677.0;3509;11.3;66;66;60;74.0;97;68
32;2003;60888;52582;5513;2793;60888;8380;16942;18679;16888;66495.0;3753;11.9;71;72;63;78.0;98;73
33;2004;63003;54700;5463;2840;63003;8136;17045;19388;18434;68272.0;3870;11.9;73;75;63;80.0;98;75
34;2005;65424;56571;5592;3261;65424;8934;17533;20169;18788;70402.0;4009;11.9;76;77;64;82.0;98;78
35;2006;68495;59152;5827;3516;68495;9327;26546;21425;11197;72523.0;4190;11.7;80;81;67;85.0;98;81
36;2007;72713;62404;6618;3691;72713;12519;27651;21450;11093;76107.0;4439;11.7;85;85;76;89.0;99;86
37;2008;77705;66592;7533;3579;77705;13639;31240;20231;12594;79164.0;4725;12.0;91;91;87;92.0;99;92
38;2009;82298;70213;8417;3668;82298;14974;32947;21509;12869;83030.0;4979;13.2;96;96;97;97.0;99;96
39;2010;85790;73402;8705;3683;85790;15393;34481;22522;13394;85790.0;5163;13.4;100;100;100;100.0;100;100
40;2011;88125;75593;8670;3862;88125;15260;35112;23275;14479;89512.0;5279;13.6;103;103;100;104.0;100;102
