ID;RegioS;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;Capaciteit_8;CorresponderendAantalInstallaties_9;TotaalHoeveelheidSlibAfgevoerd_10;LandbouwBodem_11;DiervoedersDestructiebedrijven_12;Composteren_13;Storten_14;Verbranden_15;Vergisten_16;InzetAlsBrandstof_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;Vergisten_25;InzetAlsBrandstof_26;OverigeBestemmingen_27
0;Nederland;1993;599;35;324;240;189;26;25;15395;274;1287033;601694;90254;117130;324624;84350;;;68981;222860;41740;16648;7623;114425;27297;;;15127
1;Nederland;1994;621;38;338;245;192;27;26;15659;279;1130015;534520;77366;84151;297366;83646;;;52966;210624;39160;13457;7860;113193;22722;;;14232
2;Nederland;1995;600;38;327;235;186;19;30;15734;268;1036574;396590;93483;29991;305945;107811;;;102754;219988;29690;14271;3777;125819;28501;;;17929
3;Nederland;1996;618;41;339;238;186;21;31;15768;272;1087328;419650;128039;58666;280783;106787;;;93405;241588;35881;18909;2917;128899;26328;;;28655
4;Nederland;1997;609;38;332;239;184;22;33;15858;264;913786;328490;140017;13370;233336;64603;;;133970;208249;27161;14977;2132;108476;9137;;;46366
5;Nederland;1998;595;40;325;230;177;20;33;15242;254;836460;231507;136883;10542;171971;114402;;;171156;202639;26371;17143;1248;66900;36403;;;54574
6;Nederland;1999;627;47;340;240;185;20;35;15333;258;790625;236448;110379;15684;147985;153002;;;127127;198263;25568;13338;2307;56856;49040;;;51154
7;Nederland;2000;623;47;338;238;183;20;35;15156;253;1010185;301022;150310;7033;124189;191222;;;236409;205750;36127;21333;1109;39389;46880;;;60912
8;Nederland;2001;615;44;338;233;178;20;35;15038;246;988925;316959;123420;37497;101029;185352;;;224668;188079;28010;21693;9146;34428;49028;;;45773
9;Nederland;2002;577;40;318;219;164;20;35;14758;235;1182064;372250;110167;58499;141522;218040;;;281586;217629;38411;18651;14491;30397;47206;;;68474
10;Nederland;2003;553;35;305;213;160;20;33;14508;227;1078560;315145;85143;38019;122283;195243;;;322726;196491;34402;12833;9890;26131;37558;;;75678
11;Nederland;2004;532;32;290;210;156;21;33;14353;223;1041929;274673;40342;65449;83197;210806;;;367462;187388;27745;7631;14214;19869;37252;;;80676
12;Nederland;2005;488;29;263;196;146;17;33;14342;208;954591;323376;47898;52257;72006;185505;;;273549;174651;33703;7479;8849;18312;31549;;;74760
13;Nederland;2006;466;26;255;185;138;16;31;13667;198;772217;212690;26839;72397;49312;146037;;;264941;160748;25661;4079;9139;21149;34099;;;66621
14;Nederland;2007;452;26;242;184;137;16;31;13541;195;842262;214641;33063;92551;60889;142326;;;298793;182039;20471;4443;12882;26532;31511;;;86200
15;Nederland;2008;453;21;242;190;144;16;30;13473;199;1156877;233534;43459;75509;109437;197223;;;497714;172673;19903;6084;10247;19815;29835;;;86789
16;Nederland;2009;467;28;233;206;156;17;33;13804;209;1046138;186467;37144;67421;122112;185638;;;447356;169386;17182;5198;9557;21777;28382;;;87289
17;Nederland;2010;474;29;236;209;158;17;34;14118;215;1084602;215803;30482;53645;149868;132586;;;502218;191143;23853;4273;8775;29714;20229;;;104299
18;Nederland;2011;462;28;228;206;156;16;34;13966;211;1080785;179912;28237;62976;69005;101764;;;638891;182540;20708;3734;11765;26628;23704;;;96001
19;Nederland;2012;449;24;219;206;154;13;39;13943;214;1098820;176957;14667;85406;103715;101229;;;616846;190926;17214;1773;16026;21539;19268;;;115107
20;Nederland;2013;440;24;207;209;157;13;39;13966;216;1120637;200128;21355;99934;112913;117875;184433.0;165229.0;218770;201789;20988;2265;16717;23196;16884;22157.0;34596.0;64987
21;Nederland;2014;427;23;198;206;154;12;40;13822;214;1104566;192517;28882;88456;104636;76721;260466.0;113861.0;239028;194572;15416;3003;18213;31632;13708;28870.0;24333.0;59395
22;Nederland;2015;432;24;199;209;154;14;41;13805;218;1087004;144978;30819;110337;83381;79833;306092.0;98764.0;232799;198187;14152;3095;20404;32014;12961;34249.0;23102.0;58209
23;Noord-Nederland (LD);1993;71;5;30;36;27;5;4;2503;39;219117;158877;19836;0;13131;1524;;;25749;16975;8135;3448;0;4357;914;;;121
24;Noord-Nederland (LD);1994;74;5;33;36;26;5;5;2597;39;235141;192734;18300;0;12463;796;;;10848;15987;7505;3399;0;3717;536;;;830
25;Noord-Nederland (LD);1995;69;4;32;33;24;4;5;2593;34;226375;148321;19400;7432;10262;913;;;40048;12999;4847;3372;910;2173;528;;;1168
26;Noord-Nederland (LD);1996;74;4;37;33;24;4;5;2589;35;184613;136016;20996;7267;8336;2159;;;9839;11566;4766;1835;791;2360;1075;;;740
27;Noord-Nederland (LD);1997;74;4;36;34;24;4;6;2521;36;173580;133386;21037;140;8103;123;;;10790;10097;5893;475;14;1874;39;;;1801
28;Noord-Nederland (LD);1998;74;5;35;34;25;4;5;2364;35;121848;64977;22189;0;4245;700;;;29737;9043;3461;1902;0;1070;552;;;2058
29;Noord-Nederland (LD);1999;78;6;34;38;28;3;7;2498;37;156904;97882;26241;0;18266;2692;;;11823;12819;4306;2169;0;4219;578;;;1548
30;Noord-Nederland (LD);2000;78;7;33;38;28;3;7;2498;37;205504;125694;31498;0;11289;1949;;;35075;18751;7514;4598;0;2566;366;;;3708
31;Noord-Nederland (LD);2001;76;7;30;39;29;3;7;2517;38;228826;157032;11445;12856;5726;1491;;;40277;18909;7916;2861;2504;1702;198;;;3729
32;Noord-Nederland (LD);2002;71;7;27;37;27;3;7;2432;37;261084;176215;10472;15563;9113;3025;;;46697;21486;9526;2094;1790;2418;419;;;5239
33;Noord-Nederland (LD);2003;67;6;25;36;26;3;7;2412;36;219197;124110;3871;8976;13341;1812;;;67087;24012;6211;968;1707;2159;229;;;12739
34;Noord-Nederland (LD);2004;65;5;25;35;25;3;7;2408;35;208905;110547;4112;7845;44468;189;;;41744;19112;5481;1028;1372;3457;66;;;7708
35;Noord-Nederland (LD);2005;64;5;25;34;24;3;7;2368;34;256710;156791;5235;10276;36258;544;;;47606;21776;6877;1047;1622;2558;41;;;9632
36;Noord-Nederland (LD);2006;61;3;25;33;23;3;7;2298;33;158974;85709;5242;28198;5303;586;;;33936;11145;4164;681;2112;1668;42;;;2478
37;Noord-Nederland (LD);2007;59;3;23;33;23;3;7;2318;33;186485;113034;4834;31153;3589;495;;;33379;13052;4804;580;2899;1489;61;;;3220
38;Noord-Nederland (LD);2008;61;3;24;34;24;3;7;2302;32;214174;125620;6319;7479;5035;17275;;;52446;16702;6719;822;1059;1356;2578;;;4169
