ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;TotaalVerleendeDiensten_28;NatwassenVanKledingEnTextiel_29;StrijkenVanKledingEnTextiel_30;SteriliserenVanKledingEnLinnen_31;Tapijtreiniging_32;VerhuurVanLinnenEnBedrijfskleding_33;ChemischReinigen_34;OppersenEnVerven_35;DepothoudenEnOfWasverzenden_36;WasserettesWassalons_37;OverigeDienstverlening_38;OntvangstenVoorUitleenEnSubsidie_39;TotaalPersoneelskosten_40;BrutoLonenEnSalarissen_41;SocialeLasten_42;Pensioenpremies_43;KostenUitzendkrachten_44;KostenIngeleendPersoneel_45;OverigePersoneelskosten_46;TotaalOverigeBedrijfslasten_47;TotaalHuisvestingskosten_48;BetaaldeHurenPachtenEDVanLeasing_49;OnroerendeZaakbelastingMilieuheffing_50;Energiekosten_51;ReparatieEnOnderhoudskosten_52;Verzekeringen_53;OverigeHuisvestingskosten_54;TotaalInventarisEnMachinekosten_55;BetaaldeHurenEnKostenVanOperLease_56;Onderhoudskosten_57;OverigeInventarisEnMachinekosten_58;TotaalAutokosten_59;BetaaldeHurenEnKostenVanOperLease_60;Brandstof_61;OverigeAutokosten_62;TotaalVerkoopkosten_63;ReclameEnAdvertentiekosten_64;ReisVerblijfsEnRepresentatiekosten_65;OverigeVerkoopkosten_66;TotaalAndereKosten_67;AccountantsEnAdviesdiensten_68;KantoorbenodigdhDrukwerkVakliteratuur_69;OverigeVerzekeringen_70;OverigeKostprijsverhogendeBelastingen_71;Communicatiekosten_72;Beheerskosten_73;OverigeAutomatiseringskosten_74;NogNietEerderGenoemdeBedrijfskosten_75;TotaalAantalWerkzamePersonen_76;WerknemersOpDeLoonlijst_77;WerknemersNietOpLoonlijst_78;OverigPersoneel_79;AantalVte_80;TotaalInvesteringen_81;TotaalMaterieleVasteActiva_82;Bedrijfsruimten_83;Vervoermiddelen_84;Computers_85;OverigeMachinesApparatenED_86;OverigeMaterieleVasteActiva_87;TotaalImmaterieleVasteActiva_88
0;Totaal SBI 93011;1996;4.6;473;471;458;13;2;430;17.1;46.6;17.4;18.9;81;23;12;18;8;21;42;-6;36;84.3;7.9;7.7;18.6;51.2;23.5;471;97.3;44.8;1.7;1.0;2.1;39.8;2.8;1.5;0.4;0.2;2.8;0.3;200;73.4;9.3;2.7;10.3;0.8;3.8;81;23;32.7;7.2;32.6;12.8;4.7;10.0;12;13.4;76.6;9.9;18;33.9;23.5;42.6;8;36.5;34.7;28.9;21;20.8;11.0;7.8;0.3;11.0;26.8;5.4;17.0;110;85.5;4.0;10.5;92;88;99.0;11.4;7.4;1.6;24.0;54.6;1.0
1;Totaal SBI 93011;1997;4.7;478;477;463;14;1;428;18.5;46.9;17.2;17.4;74;20;11;18;6;19;50;-8;42;83.4;9.1;8.9;20.0;51.2;23.4;477;97.1;43.3;1.9;0.8;2.2;42.1;3.0;0.3;0.7;0.1;2.8;0.6;201;72.7;9.5;3.0;11.2;0.8;3.5;74;20;34.7;6.3;33.7;10.8;5.7;8.8;11;10.1;71.3;18.7;18;33.7;28.7;37.9;6;42.7;26.2;31.2;19;22.5;13.2;7.9;0.7;12.4;19.1;5.5;18.6;110;84.7;3.5;11.8;93;95;96.7;11.6;5.0;1.5;20.5;58.1;3.3
2;Totaal SBI 93011;1998;4.7;520;519;500;19;1;461;19.1;46.8;17.0;17.1;79;21;11;18;5;23;59;-2;57;83.1;9.5;11.0;16.7;57.9;26.5;519;96.3;43.1;1.7;2.3;1.6;37.5;2.5;0.0;0.4;0.4;6.9;1.5;216;68.8;11.4;3.3;13.0;0.7;4.2;79;21;;;;;;;11;;;;18;;;;5;;;;23;;;;;;;;;114;83.8;3.4;12.8;90;87;87.9;8.0;5.0;1.5;27.2;46.3;12.1
3;Totaal SBI 93011;1999;4.3;574;573;548;25;1;504;20.6;45.2;16.9;17.3;87;22;12;21;6;25;70;-8;62;81.9;10.5;10.9;20.1;;;573;95.6;39.3;1.6;2.3;1.0;46.9;2.1;0.0;0.1;0.6;1.6;1.7;228;67.8;12.3;4.0;12.9;0.2;4.5;87;22;;;;;;;12;;;;21;;;;6;;;;25;;;;;;;;;111;84.0;3.4;12.6;92;115;89.5;5.7;8.0;1.7;35.7;38.4;10.5
4;Tot 100 000 euro;1996;2.2;7;7;7;0;0;6;22.2;15.6;19.0;43.2;2;0;0;1;1;1;2;0;2;83.0;21.2;21.9;19.9;;;7;100.0;30.5;9.4;0.4;47.9;4.6;2.0;3.7;0.0;0.3;1.1;0.0;1;85.7;5.8;0.0;4.5;0.0;4.0;2;0;55.3;2.5;29.5;6.5;4.4;1.9;0;16.0;62.0;21.9;1;38.7;38.0;23.3;1;77.1;1.0;22.0;1;11.5;10.6;13.9;0.0;16.8;0.7;0.0;46.5;4;24.6;73.9;1.5;3;1;100.0;1.0;36.2;1.5;50.9;10.4;0.0
5;Tot 100 000 euro;1997;2.3;9;9;9;0;0;7;24.8;16.3;13.6;45.3;3;1;0;1;1;1;2;0;2;81.3;24.2;24.6;17.3;;;9;99.9;21.3;16.2;0.1;46.2;6.3;0.8;1.8;1.3;4.6;1.3;0.3;1;79.3;8.6;0.2;4.1;2.8;5.3;3;1;60.2;6.2;21.2;6.6;2.6;3.2;0;26.7;63.8;9.5;1;28.5;45.1;26.4;1;63.9;4.5;31.6;1;25.0;7.3;11.4;0.7;17.7;0.5;0.0;37.3;5;37.6;62.4;0.0;4;2;96.6;72.9;18.5;0.5;3.8;0.9;3.4
6;Tot 100 000 euro;1998;2.4;12;12;12;0;0;8;26.9;16.6;12.2;44.3;4;1;0;1;1;1;3;0;3;80.8;26.1;26.4;20.6;;;12;100.0;21.7;17.6;0.1;46.0;5.0;5.7;1.3;0.3;0.3;2.1;10.3;1;73.1;9.3;0.8;19.3;4.6;3.2;4;1;;;;;;;0;;;;1;;;;1;;;;1;;;;;;;;;5;31.8;57.5;10.8;3;2;99.8;65.6;5.5;0.7;12.7;15.3;0.2
7;Tot 100 000 euro;1999;2.1;10;10;9;1;0;7;34.3;15.6;9.1;41.0;3;1;0;1;1;1;3;0;3;75.3;27.0;27.0;15.3;;;10;94.5;14.7;24.3;0.1;33.1;3.3;5.3;0.8;6.8;3.7;2.5;3.6;1;80.4;9.1;0.0;9.3;3.9;0.9;3;1;;;;;;;0;;;;1;;;;1;;;;1;;;;;;;;;4;28.5;62.7;8.8;3;1;100.0;47.1;29.0;3.4;12.9;7.6;0.0
8;100 000 tot 500 000 euro;1996;1.2;28;28;28;0;0;26;17.2;45.8;8.5;28.5;7;2;1;2;1;2;2;0;2;84.1;5.8;6.0;12.8;;;28;100.0;42.5;8.1;0.0;23.3;3.4;5.2;4.5;6.5;2.9;3.6;0.4;12;79.2;8.3;1.9;3.5;5.0;2.4;7;2;57.6;4.5;27.2;4.7;1.4;4.7;1;15.2;73.9;11.0;2;17.3;28.6;54.2;1;44.0;25.0;31.0;2;28.4;4.3;11.6;0.4;7.6;39.5;0.0;8.2;8;78.2;14.6;7.2;7;4;81.6;6.4;30.0;0.7;38.5;6.1;18.4
9;100 000 tot 500 000 euro;1997;1.2;30;29;29;0;1;26;21.0;44.0;8.9;26.1;7;2;1;2;1;2;4;-1;3;81.5;9.1;9.2;7.8;;;29;99.8;44.9;14.1;0.0;14.7;5.3;5.8;3.7;9.5;0.6;1.4;1.0;11;72.7;8.6;2.8;6.1;7.5;3.5;7;2;39.3;9.1;31.6;12.0;2.4;5.5;1;31.3;47.6;21.2;2;41.1;33.3;25.7;1;47.2;23.3;29.5;2;36.1;8.3;13.1;0.8;12.7;10.1;3.2;15.7;9;81.8;8.5;9.7;7;2;96.9;12.8;31.5;2.3;35.8;14.6;3.1
