ID;Persoonskenmerken;Perioden;TotaalAantalPersonen_1;TotDeAOWLeeftijd_2;VanafAOWLeeftijd_3
0;Totaal personen;2007 januari;389380.0;355530.0;33640.0
1;Totaal personen;2007 februari;388240.0;354260.0;33890.0
2;Totaal personen;2007 maart;385150.0;350920.0;34140.0
3;Totaal personen;2007 april;383120.0;348650.0;34380.0
4;Totaal personen;2007 mei;380570.0;345910.0;34570.0
5;Totaal personen;2007 juni;376880.0;342080.0;34720.0
6;Totaal personen;2007 juli;373370.0;337790.0;35500.0
7;Totaal personen;2007 augustus;371040.0;335390.0;35560.0
8;Totaal personen;2007 september;367850.0;332040.0;35730.0
9;Totaal personen;2007 oktober;365380.0;329370.0;35910.0
10;Totaal personen;2007 november;359930.0;323580.0;36170.0
11;Totaal personen;2007 december;356800.0;320220.0;36360.0
12;Totaal personen;2008 januari;355640.0;318760.0;36630.0
13;Totaal personen;2008 februari;355760.0;318350.0;37140.0
14;Totaal personen;2008 maart;354810.0;317090.0;37430.0
15;Totaal personen;2008 april;353790.0;315850.0;37630.0
16;Totaal personen;2008 mei;352580.0;314350.0;37900.0
17;Totaal personen;2008 juni;350620.0;312230.0;38040.0
18;Totaal personen;2008 juli;349240.0;310210.0;38680.0
19;Totaal personen;2008 augustus;347210.0;307930.0;38920.0
20;Totaal personen;2008 september;344810.0;305350.0;39070.0
21;Totaal personen;2008 oktober;344010.0;304340.0;39300.0
22;Totaal personen;2008 november;342550.0;302780.0;39420.0
23;Totaal personen;2008 december;344200.0;304200.0;39640.0
24;Totaal personen;2009 januari;346010.0;305680.0;39930.0
25;Totaal personen;2009 februari;349340.0;308760.0;40130.0
26;Totaal personen;2009 maart;351540.0;310760.0;40280.0
27;Totaal personen;2009 april;354340.0;313300.0;40490.0
28;Totaal personen;2009 mei;357280.0;316120.0;40570.0
29;Totaal personen;2009 juni;359130.0;317820.0;40660.0
30;Totaal personen;2009 juli;361720.0;319610.0;41380.0
31;Totaal personen;2009 augustus;363410.0;321050.0;41560.0
32;Totaal personen;2009 september;364950.0;322350.0;41710.0
33;Totaal personen;2009 oktober;368140.0;325300.0;41890.0
34;Totaal personen;2009 november;369220.0;326110.0;42080.0
35;Totaal personen;2009 december;373760.0;330390.0;42250.0
36;Totaal personen;2010 januari;379840.0;336140.0;42500.0
37;Totaal personen;2010 februari;385060.0;340950.0;42860.0
38;Totaal personen;2010 maart;388920.0;344370.0;43140.0
39;Totaal personen;2010 april;391900.0;347010.0;43460.0
40;Totaal personen;2010 mei;392450.0;348440.0;43750.0
41;Totaal personen;2010 juni;393040.0;348950.0;43800.0
42;Totaal personen;2010 juli;393780.0;349130.0;44500.0
43;Totaal personen;2010 augustus;394890.0;350090.0;44610.0
44;Totaal personen;2010 september;395080.0;350130.0;44690.0
45;Totaal personen;2010 oktober;397070.0;351880.0;44890.0
46;Totaal personen;2010 november;398190.0;352760.0;45060.0
47;Totaal personen;2010 december;402400.0;356680.0;45310.0
48;Totaal personen;2011 januari;406270.0;360550.0;45630.0
49;Totaal personen;2011 februari;409360.0;363340.0;45910.0
50;Totaal personen;2011 maart;411600.0;365320.0;46160.0
51;Totaal personen;2011 april;412640.0;366150.0;46320.0
52;Totaal personen;2011 mei;412750.0;365970.0;46560.0
53;Totaal personen;2011 juni;412380.0;365360.0;46730.0
54;Totaal personen;2011 juli;412320.0;364570.0;47450.0
55;Totaal personen;2011 augustus;411540.0;363840.0;47570.0
56;Totaal personen;2011 september;410690.0;362880.0;47670.0
57;Totaal personen;2011 oktober;412260.0;364300.0;47810.0
58;Totaal personen;2011 november;412440.0;364400.0;47880.0
59;Totaal personen;2011 december;415550.0;367370.0;48010.0
60;Totaal personen;2012 januari;413670.0;366940.0;46690.0
61;Totaal personen;2012 februari;415280.0;368470.0;46790.0
62;Totaal personen;2012 maart;415790.0;368850.0;46910.0
63;Totaal personen;2012 april;416350.0;369340.0;46990.0
64;Totaal personen;2012 mei;417480.0;370390.0;47060.0
65;Totaal personen;2012 juni;417840.0;370810.0;47000.0
66;Totaal personen;2012 juli;418280.0;370910.0;47340.0
67;Totaal personen;2012 augustus;418200.0;371440.0;46730.0
68;Totaal personen;2012 september;418360.0;371780.0;46550.0
69;Totaal personen;2012 oktober;420550.0;373650.0;46870.0
70;Totaal personen;2012 november;424230.0;377120.0;47090.0
71;Totaal personen;2012 december;427760.0;380630.0;47100.0
72;Totaal personen;2013 januari;432320.0;386550.0;45750.0
73;Totaal personen;2013 februari;437100.0;391060.0;46010.0
74;Totaal personen;2013 maart;441100.0;395340.0;45740.0
75;Totaal personen;2013 april;444860.0;399050.0;45790.0
76;Totaal personen;2013 mei;447370.0;401420.0;45920.0
77;Totaal personen;2013 juni;448050.0;402190.0;45830.0
