ID;IndustryBranchesSIC93;Periods;EnterprisesApplyingForAnEPOPatent_1;PatentApplicationsAtTheEPO_2;EnterprisesApplyingForANLOCPatent_3;PatentApplicationsAtTheNLOC_4
99;16 Manufacture of tobacco products;2000;1.0;1.0;;
100;16 Manufacture of tobacco products;2001;;;;
101;16 Manufacture of tobacco products;2002;;;1.0;1.0
102;16 Manufacture of tobacco products;2003;1.0;1.0;1.0;2.0
103;16 Manufacture of tobacco products;2004;;;;
104;16 Manufacture of tobacco products;2005;;;;
105;16 Manufacture of tobacco products;2006;;;;
106;16 Manufacture of tobacco products;2007;;;;
107;16 Manufacture of tobacco products;2008;;;;
108;17 Manufacture of textiles;2000;3.0;7.0;6.0;10.0
109;17 Manufacture of textiles;2001;5.0;5.0;3.0;6.0
110;17 Manufacture of textiles;2002;4.0;8.0;8.0;13.0
111;17 Manufacture of textiles;2003;6.0;8.0;6.0;7.0
112;17 Manufacture of textiles;2004;4.0;10.0;9.0;12.0
113;17 Manufacture of textiles;2005;5.0;11.0;9.0;12.0
114;17 Manufacture of textiles;2006;7.0;17.0;9.0;13.0
115;17 Manufacture of textiles;2007;4.0;10.0;10.0;15.0
116;17 Manufacture of textiles;2008;5.0;8.0;4.0;8.0
117;18 Manufacture of wearing apparel;2000;1.0;1.0;1.0;1.0
118;18 Manufacture of wearing apparel;2001;2.0;2.0;1.0;1.0
119;18 Manufacture of wearing apparel;2002;;;;
120;18 Manufacture of wearing apparel;2003;;;;
121;18 Manufacture of wearing apparel;2004;;;;
122;18 Manufacture of wearing apparel;2005;1.0;1.0;1.0;1.0
123;18 Manufacture of wearing apparel;2006;;;1.0;1.0
124;18 Manufacture of wearing apparel;2007;;;;
125;18 Manufacture of wearing apparel;2008;;;;
126;"19 Tanning and dressing of leather;...";2000;;;;
127;"19 Tanning and dressing of leather;...";2001;;;2.0;2.0
128;"19 Tanning and dressing of leather;...";2002;1.0;1.0;1.0;1.0
129;"19 Tanning and dressing of leather;...";2003;1.0;1.0;;
130;"19 Tanning and dressing of leather;...";2004;;;;
131;"19 Tanning and dressing of leather;...";2005;;;;
132;"19 Tanning and dressing of leather;...";2006;2.0;2.0;;
133;"19 Tanning and dressing of leather;...";2007;1.0;1.0;1.0;1.0
134;"19 Tanning and dressing of leather;...";2008;;;1.0;1.0
135;20 Manufacture of wood products, cork;2000;2.0;3.0;11.0;13.0
136;20 Manufacture of wood products, cork;2001;2.0;2.0;9.0;10.0
137;20 Manufacture of wood products, cork;2002;3.0;4.0;5.0;8.0
138;20 Manufacture of wood products, cork;2003;2.0;2.0;8.0;8.0
139;20 Manufacture of wood products, cork;2004;4.0;5.0;5.0;10.0
140;20 Manufacture of wood products, cork;2005;1.0;1.0;3.0;4.0
141;20 Manufacture of wood products, cork;2006;;;8.0;12.0
142;20 Manufacture of wood products, cork;2007;2.0;2.0;4.0;5.0
143;20 Manufacture of wood products, cork;2008;;;3.0;4.0
144;21 Manufacture of pulp, paper, ...;2000;7.0;21.0;10.0;15.0
145;21 Manufacture of pulp, paper, ...;2001;7.0;15.0;9.0;14.0
146;21 Manufacture of pulp, paper, ...;2002;6.0;10.0;7.0;10.0
147;21 Manufacture of pulp, paper, ...;2003;3.0;3.0;6.0;7.0
148;21 Manufacture of pulp, paper, ...;2004;3.0;3.0;10.0;13.0
149;21 Manufacture of pulp, paper, ...;2005;10.0;13.0;7.0;11.0
150;21 Manufacture of pulp, paper, ...;2006;5.0;8.0;7.0;12.0
151;21 Manufacture of pulp, paper, ...;2007;4.0;7.0;3.0;5.0
152;21 Manufacture of pulp, paper, ...;2008;6.0;10.0;4.0;14.0
153;22 Publishing;2000;7.0;7.0;13.0;15.0
154;22 Publishing;2001;3.0;3.0;7.0;10.0
155;22 Publishing;2002;3.0;3.0;8.0;9.0
156;22 Publishing;2003;5.0;4.0;9.0;11.0
157;22 Publishing;2004;3.0;2.0;10.0;15.0
158;22 Publishing;2005;3.0;4.0;8.0;12.0
159;22 Publishing;2006;2.0;5.0;8.0;11.0
160;22 Publishing;2007;4.0;7.0;6.0;7.0
161;22 Publishing;2008;2.0;2.0;2.0;3.0
162;23 Manufacture of coke;2000;2.0;112.0;;
163;23 Manufacture of coke;2001;2.0;159.0;;
164;23 Manufacture of coke;2002;2.0;153.0;;
165;23 Manufacture of coke;2003;2.0;148.0;3.0;37.0
166;23 Manufacture of coke;2004;2.0;215.0;;
167;23 Manufacture of coke;2005;2.0;144.0;1.0;14.0
168;23 Manufacture of coke;2006;;;;
169;23 Manufacture of coke;2007;;;;
170;23 Manufacture of coke;2008;2.0;2.0;;
171;24 Manufacture, chemicals/chemical ...;2000;35.0;304.0;15.0;77.0
172;24 Manufacture, chemicals/chemical ...;2001;37.0;302.0;13.0;38.0
173;24 Manufacture, chemicals/chemical ...;2002;39.0;259.0;11.0;40.0
174;24 Manufacture, chemicals/chemical ...;2003;35.0;297.0;12.0;20.0
175;24 Manufacture, chemicals/chemical ...;2004;33.0;493.0;9.0;18.0
176;24 Manufacture, chemicals/chemical ...;2005;33.0;500.0;11.0;13.0
177;24 Manufacture, chemicals/chemical ...;2006;29.0;565.0;14.0;16.0
178;24 Manufacture, chemicals/chemical ...;2007;38.0;830.0;11.0;16.0
179;24 Manufacture, chemicals/chemical ...;2008;32.0;697.0;10.0;11.0
180;25 Manufacture of rubber / plastic ...;2000;21.0;31.0;31.0;45.0
181;25 Manufacture of rubber / plastic ...;2001;20.0;30.0;25.0;36.0
182;25 Manufacture of rubber / plastic ...;2002;17.0;24.0;29.0;36.0
183;25 Manufacture of rubber / plastic ...;2003;19.0;25.0;35.0;43.0
184;25 Manufacture of rubber / plastic ...;2004;24.0;32.0;35.0;47.0
185;25 Manufacture of rubber / plastic ...;2005;18.0;32.0;32.0;52.0
186;25 Manufacture of rubber / plastic ...;2006;28.0;45.0;25.0;35.0
187;25 Manufacture of rubber / plastic ...;2007;25.0;49.0;31.0;43.0
188;25 Manufacture of rubber / plastic ...;2008;20.0;37.0;28.0;51.0
189;26 Manufacture non-metallic mineral ...;2000;4.0;6.0;6.0;8.0
190;26 Manufacture non-metallic mineral ...;2001;6.0;6.0;11.0;17.0
191;26 Manufacture non-metallic mineral ...;2002;7.0;12.0;12.0;14.0
192;26 Manufacture non-metallic mineral ...;2003;7.0;19.0;12.0;14.0
193;26 Manufacture non-metallic mineral ...;2004;3.0;6.0;8.0;13.0
194;26 Manufacture non-metallic mineral ...;2005;7.0;8.0;9.0;14.0
195;26 Manufacture non-metallic mineral ...;2006;6.0;8.0;10.0;14.0
196;26 Manufacture non-metallic mineral ...;2007;3.0;4.0;13.0;19.0
197;26 Manufacture non-metallic mineral ...;2008;6.0;9.0;5.0;6.0
198;27 Manufacture of basic metals;2000;2.0;30.0;6.0;30.0
199;27 Manufacture of basic metals;2001;4.0;26.0;5.0;21.0
200;27 Manufacture of basic metals;2002;4.0;25.0;4.0;12.0
201;27 Manufacture of basic metals;2003;4.0;27.0;8.0;13.0
202;27 Manufacture of basic metals;2004;7.0;27.0;5.0;8.0
203;27 Manufacture of basic metals;2005;5.0;25.0;4.0;4.0
204;27 Manufacture of basic metals;2006;5.0;23.0;3.0;3.0
205;27 Manufacture of basic metals;2007;5.0;22.0;6.0;6.0
206;27 Manufacture of basic metals;2008;5.0;30.0;3.0;3.0
207;28 Manufacture of fabricated metal ...;2000;27.0;46.0;60.0;78.0
208;28 Manufacture of fabricated metal ...;2001;24.0;37.0;52.0;69.0
209;28 Manufacture of fabricated metal ...;2002;23.0;28.0;46.0;69.0
210;28 Manufacture of fabricated metal ...;2003;26.0;42.0;59.0;94.0
211;28 Manufacture of fabricated metal ...;2004;26.0;49.0;52.0;81.0
212;28 Manufacture of fabricated metal ...;2005;34.0;60.0;49.0;71.0
213;28 Manufacture of fabricated metal ...;2006;34.0;56.0;45.0;71.0
214;28 Manufacture of fabricated metal ...;2007;27.0;49.0;48.0;80.0
215;28 Manufacture of fabricated metal ...;2008;32.0;50.0;55.0;65.0
216;29 Manufacture of machinery and ...;2000;70.0;188.0;95.0;168.0
217;29 Manufacture of machinery and ...;2001;65.0;212.0;91.0;168.0
218;29 Manufacture of machinery and ...;2002;55.0;200.0;87.0;146.0
219;29 Manufacture of machinery and ...;2003;65.0;314.0;105.0;197.0
220;29 Manufacture of machinery and ...;2004;76.0;302.0;111.0;205.0
221;29 Manufacture of machinery and ...;2005;70.0;252.0;113.0;200.0
222;29 Manufacture of machinery and ...;2006;80.0;246.0;90.0;170.0
223;29 Manufacture of machinery and ...;2007;78.0;217.0;76.0;148.0
224;29 Manufacture of machinery and ...;2008;78.0;199.0;75.0;281.0
225;30 Manufacture, office machinery ...;2000;2.0;38.0;3.0;16.0
226;30 Manufacture, office machinery ...;2001;2.0;28.0;3.0;16.0
227;30 Manufacture, office machinery ...;2002;3.0;32.0;1.0;11.0
228;30 Manufacture, office machinery ...;2003;1.0;45.0;5.0;17.0
229;30 Manufacture, office machinery ...;2004;5.0;40.0;1.0;14.0
230;30 Manufacture, office machinery ...;2005;1.0;66.0;3.0;12.0
231;30 Manufacture, office machinery ...;2006;1.0;47.0;3.0;3.0
232;30 Manufacture, office machinery ...;2007;2.0;42.0;2.0;2.0
233;30 Manufacture, office machinery ...;2008;1.0;36.0;1.0;1.0
234;31 Manufacture of electrical machinery;2000;11.0;77.0;12.0;41.0
235;31 Manufacture of electrical machinery;2001;11.0;71.0;17.0;52.0
236;31 Manufacture of electrical machinery;2002;10.0;56.0;12.0;39.0
237;31 Manufacture of electrical machinery;2003;11.0;66.0;10.0;32.0
238;31 Manufacture of electrical machinery;2004;12.0;46.0;12.0;48.0
239;31 Manufacture of electrical machinery;2005;12.0;40.0;10.0;39.0
240;31 Manufacture of electrical machinery;2006;10.0;42.0;10.0;43.0
241;31 Manufacture of electrical machinery;2007;14.0;63.0;11.0;42.0
242;31 Manufacture of electrical machinery;2008;13.0;1155.0;10.0;33.0
243;32 Manufacture of radio;2000;2.0;1505.0;6.0;14.0
244;32 Manufacture of radio;2001;8.0;1819.0;4.0;8.0
245;32 Manufacture of radio;2002;4.0;2462.0;6.0;8.0
246;32 Manufacture of radio;2003;2.0;2599.0;6.0;6.0
247;32 Manufacture of radio;2004;6.0;2300.0;6.0;12.0
248;32 Manufacture of radio;2005;4.0;2353.0;7.0;13.0
249;32 Manufacture of radio;2006;7.0;2236.0;5.0;13.0
250;32 Manufacture of radio;2007;8.0;1977.0;8.0;8.0
251;32 Manufacture of radio;2008;9.0;335.0;10.0;14.0
252;33 Manufacture of medical;2000;18.0;41.0;24.0;39.0
253;33 Manufacture of medical;2001;20.0;43.0;21.0;26.0
254;33 Manufacture of medical;2002;18.0;37.0;16.0;22.0
255;33 Manufacture of medical;2003;22.0;47.0;19.0;30.0
256;33 Manufacture of medical;2004;17.0;27.0;21.0;28.0
257;33 Manufacture of medical;2005;22.0;81.0;26.0;36.0
258;33 Manufacture of medical;2006;21.0;42.0;15.0;30.0
259;33 Manufacture of medical;2007;21.0;34.0;26.0;33.0
260;33 Manufacture of medical;2008;30.0;51.0;19.0;34.0
261;34 Manufacture of motor vehicles;2000;6.0;44.0;8.0;39.0
262;34 Manufacture of motor vehicles;2001;6.0;46.0;12.0;16.0
263;34 Manufacture of motor vehicles;2002;10.0;35.0;15.0;30.0
264;34 Manufacture of motor vehicles;2003;8.0;32.0;17.0;18.0
265;34 Manufacture of motor vehicles;2004;10.0;33.0;9.0;14.0
266;34 Manufacture of motor vehicles;2005;7.0;18.0;8.0;10.0
267;34 Manufacture of motor vehicles;2006;8.0;15.0;11.0;34.0
268;34 Manufacture of motor vehicles;2007;9.0;21.0;5.0;18.0
269;34 Manufacture of motor vehicles;2008;5.0;12.0;10.0;16.0
270;35 Manufacture of transport equipment;2000;10.0;15.0;11.0;16.0
271;35 Manufacture of transport equipment;2001;4.0;6.0;12.0;13.0
272;35 Manufacture of transport equipment;2002;5.0;6.0;12.0;20.0
273;35 Manufacture of transport equipment;2003;6.0;14.0;15.0;26.0
274;35 Manufacture of transport equipment;2004;11.0;13.0;16.0;32.0
275;35 Manufacture of transport equipment;2005;7.0;12.0;10.0;18.0
276;35 Manufacture of transport equipment;2006;9.0;36.0;18.0;28.0
277;35 Manufacture of transport equipment;2007;7.0;13.0;13.0;20.0
278;35 Manufacture of transport equipment;2008;10.0;19.0;13.0;23.0
279;36 Manufacture of furniture;2000;7.0;8.0;26.0;33.0
280;36 Manufacture of furniture;2001;11.0;17.0;21.0;22.0
281;36 Manufacture of furniture;2002;11.0;11.0;10.0;13.0
282;36 Manufacture of furniture;2003;5.0;5.0;22.0;23.0
283;36 Manufacture of furniture;2004;7.0;9.0;29.0;32.0
284;36 Manufacture of furniture;2005;11.0;13.0;15.0;17.0
285;36 Manufacture of furniture;2006;10.0;9.0;11.0;11.0
286;36 Manufacture of furniture;2007;4.0;4.0;11.0;13.0
287;36 Manufacture of furniture;2008;4.0;4.0;13.0;14.0
288;37 Preparation for recycling;2000;;;;
289;37 Preparation for recycling;2001;1.0;1.0;;
290;37 Preparation for recycling;2002;1.0;1.0;1.0;1.0
291;37 Preparation for recycling;2003;1.0;1.0;;
292;37 Preparation for recycling;2004;;;1.0;2.0
293;37 Preparation for recycling;2005;;;1.0;1.0
294;37 Preparation for recycling;2006;;;1.0;1.0
295;37 Preparation for recycling;2007;;;1.0;1.0
296;37 Preparation for recycling;2008;;;1.0;1.0
297;E Electricity,gas, steam, hot water ...;2000;1.0;1.0;1.0;1.0
298;E Electricity,gas, steam, hot water ...;2001;1.0;5.0;6.0;10.0
299;E Electricity,gas, steam, hot water ...;2002;5.0;11.0;3.0;5.0
300;E Electricity,gas, steam, hot water ...;2003;2.0;4.0;5.0;10.0
301;E Electricity,gas, steam, hot water ...;2004;4.0;6.0;4.0;7.0
302;E Electricity,gas, steam, hot water ...;2005;2.0;2.0;6.0;6.0
303;E Electricity,gas, steam, hot water ...;2006;3.0;3.0;4.0;5.0
304;E Electricity,gas, steam, hot water ...;2007;3.0;4.0;3.0;2.0
305;E Electricity,gas, steam, hot water ...;2008;5.0;11.0;8.0;10.0
306;40 Production of electricity, ...;2000;;;1.0;1.0
307;40 Production of electricity, ...;2001;1.0;5.0;4.0;9.0
308;40 Production of electricity, ...;2002;4.0;10.0;3.0;5.0
309;40 Production of electricity, ...;2003;2.0;4.0;5.0;10.0
310;40 Production of electricity, ...;2004;4.0;6.0;3.0;5.0
311;40 Production of electricity, ...;2005;2.0;2.0;5.0;6.0
312;40 Production of electricity, ...;2006;3.0;3.0;2.0;2.0
313;40 Production of electricity, ...;2007;2.0;2.0;2.0;1.0
314;40 Production of electricity, ...;2008;4.0;10.0;7.0;9.0
315;41 Collection and distribution of water;2000;1.0;1.0;;
316;41 Collection and distribution of water;2001;;;2.0;1.0
317;41 Collection and distribution of water;2002;1.0;1.0;;
318;41 Collection and distribution of water;2003;;;;
319;41 Collection and distribution of water;2004;;;1.0;2.0
320;41 Collection and distribution of water;2005;;;1.0;1.0
321;41 Collection and distribution of water;2006;;;2.0;3.0
322;41 Collection and distribution of water;2007;1.0;2.0;1.0;1.0
323;41 Collection and distribution of water;2008;1.0;1.0;1.0;1.0
324;F Construction;2000;20.0;33.0;60.0;98.0
325;F Construction;2001;30.0;97.0;47.0;62.0
326;F Construction;2002;9.0;12.0;56.0;79.0
327;F Construction;2003;24.0;29.0;59.0;80.0
328;F Construction;2004;26.0;31.0;67.0;84.0
329;F Construction;2005;20.0;22.0;63.0;85.0
330;F Construction;2006;17.0;32.0;60.0;91.0
331;F Construction;2007;26.0;38.0;64.0;88.0
332;F Construction;2008;14.0;20.0;62.0;72.0
333;"G Wholesale and retail trade; repair ...";2000;106.0;193.0;215.0;262.0
334;"G Wholesale and retail trade; repair ...";2001;108.0;170.0;192.0;217.0
335;"G Wholesale and retail trade; repair ...";2002;101.0;162.0;202.0;258.0
336;"G Wholesale and retail trade; repair ...";2003;108.0;220.0;219.0;264.0
337;"G Wholesale and retail trade; repair ...";2004;122.0;219.0;199.0;227.0
338;"G Wholesale and retail trade; repair ...";2005;114.0;182.0;204.0;249.0
339;"G Wholesale and retail trade; repair ...";2006;126.0;411.0;205.0;312.0
340;"G Wholesale and retail trade; repair ...";2007;152.0;277.0;181.0;241.0
341;"G Wholesale and retail trade; repair ...";2008;128.0;254.0;188.0;260.0
342;50 Sale and repair of motor vehicles;2000;5.0;5.0;9.0;12.0
343;50 Sale and repair of motor vehicles;2001;2.0;3.0;9.0;9.0
344;50 Sale and repair of motor vehicles;2002;5.0;5.0;13.0;14.0
345;50 Sale and repair of motor vehicles;2003;3.0;5.0;14.0;14.0
346;50 Sale and repair of motor vehicles;2004;7.0;7.0;6.0;6.0
347;50 Sale and repair of motor vehicles;2005;2.0;2.0;8.0;7.0
348;50 Sale and repair of motor vehicles;2006;2.0;2.0;10.0;12.0
349;50 Sale and repair of motor vehicles;2007;6.0;6.0;5.0;5.0
350;50 Sale and repair of motor vehicles;2008;3.0;3.0;7.0;7.0
351;51 Wholesale trade and commission ...;2000;94.0;178.0;180.0;221.0
352;51 Wholesale trade and commission ...;2001;97.0;159.0;160.0;184.0
353;51 Wholesale trade and commission ...;2002;88.0;147.0;169.0;219.0
354;51 Wholesale trade and commission ...;2003;96.0;195.0;182.0;221.0
355;51 Wholesale trade and commission ...;2004;102.0;194.0;177.0;205.0
356;51 Wholesale trade and commission ...;2005;105.0;172.0;173.0;216.0
357;51 Wholesale trade and commission ...;2006;114.0;387.0;170.0;260.0
358;51 Wholesale trade and commission ...;2007;133.0;254.0;155.0;205.0
359;51 Wholesale trade and commission ...;2008;116.0;237.0;156.0;224.0
360;52 Retail trade;2000;7.0;11.0;26.0;30.0
361;52 Retail trade;2001;9.0;9.0;23.0;24.0
362;52 Retail trade;2002;8.0;11.0;20.0;25.0
363;52 Retail trade;2003;9.0;20.0;23.0;29.0
364;52 Retail trade;2004;13.0;18.0;16.0;15.0
365;52 Retail trade;2005;7.0;8.0;23.0;26.0
366;52 Retail trade;2006;10.0;22.0;25.0;40.0
367;52 Retail trade;2007;13.0;17.0;21.0;30.0
368;52 Retail trade;2008;9.0;15.0;25.0;30.0
369;H Hotels and restaurants;2000;2.0;2.0;4.0;4.0
370;H Hotels and restaurants;2001;;;10.0;9.0
371;H Hotels and restaurants;2002;2.0;2.0;3.0;4.0
372;H Hotels and restaurants;2003;5.0;4.0;4.0;5.0
373;H Hotels and restaurants;2004;2.0;2.0;5.0;5.0
374;H Hotels and restaurants;2005;3.0;3.0;4.0;4.0
375;H Hotels and restaurants;2006;3.0;3.0;5.0;5.0
376;H Hotels and restaurants;2007;5.0;6.0;6.0;6.0
377;H Hotels and restaurants;2008;2.0;2.0;4.0;6.0
378;I Transport, storage and communication;2000;8.0;44.0;20.0;53.0
379;I Transport, storage and communication;2001;10.0;55.0;15.0;31.0
380;I Transport, storage and communication;2002;5.0;58.0;14.0;14.0
381;I Transport, storage and communication;2003;5.0;31.0;15.0;13.0
382;I Transport, storage and communication;2004;6.0;30.0;15.0;19.0
383;I Transport, storage and communication;2005;9.0;28.0;15.0;17.0
384;I Transport, storage and communication;2006;10.0;56.0;20.0;18.0
385;I Transport, storage and communication;2007;13.0;71.0;13.0;14.0
386;I Transport, storage and communication;2008;6.0;41.0;10.0;11.0
387;"60 Land transport; transport via ...";2000;3.0;3.0;7.0;7.0
388;"60 Land transport; transport via ...";2001;4.0;5.0;7.0;8.0
389;"60 Land transport; transport via ...";2002;2.0;2.0;4.0;3.0
390;"60 Land transport; transport via ...";2003;1.0;1.0;6.0;4.0
391;"60 Land transport; transport via ...";2004;1.0;2.0;9.0;13.0
392;"60 Land transport; transport via ...";2005;2.0;2.0;7.0;8.0
393;"60 Land transport; transport via ...";2006;3.0;4.0;6.0;6.0
394;"60 Land transport; transport via ...";2007;3.0;8.0;4.0;5.0
395;"60 Land transport; transport via ...";2008;1.0;1.0;3.0;4.0
396;61 Water transport;2000;;;4.0;4.0
397;61 Water transport;2001;1.0;1.0;2.0;2.0
398;61 Water transport;2002;;;2.0;2.0
399;61 Water transport;2003;;;;
400;61 Water transport;2004;;;1.0;1.0
401;61 Water transport;2005;;;;
402;61 Water transport;2006;1.0;1.0;4.0;1.0
403;61 Water transport;2007;2.0;1.0;2.0;2.0
404;61 Water transport;2008;1.0;2.0;2.0;2.0
405;62 Air transport;2000;;;1.0;1.0
406;62 Air transport;2001;1.0;1.0;;
407;62 Air transport;2002;;;1.0;2.0
408;62 Air transport;2003;;;;
409;62 Air transport;2004;;;;
410;62 Air transport;2005;;;1.0;1.0
411;62 Air transport;2006;1.0;2.0;;
412;62 Air transport;2007;;;;
413;62 Air transport;2008;;;;
414;63 Supporting / auxiliary transport ...;2000;2.0;2.0;4.0;4.0
415;63 Supporting / auxiliary transport ...;2001;1.0;1.0;2.0;4.0
416;63 Supporting / auxiliary transport ...;2002;2.0;2.0;4.0;3.0
417;63 Supporting / auxiliary transport ...;2003;;;4.0;4.0
418;63 Supporting / auxiliary transport ...;2004;3.0;3.0;;
419;63 Supporting / auxiliary transport ...;2005;2.0;2.0;6.0;7.0
420;63 Supporting / auxiliary transport ...;2006;4.0;18.0;4.0;5.0
421;63 Supporting / auxiliary transport ...;2007;4.0;17.0;4.0;4.0
422;63 Supporting / auxiliary transport ...;2008;1.0;2.0;4.0;4.0
423;64 Post and telecommunications;2000;3.0;39.0;4.0;37.0
424;64 Post and telecommunications;2001;3.0;49.0;4.0;18.0
425;64 Post and telecommunications;2002;1.0;54.0;3.0;4.0
426;64 Post and telecommunications;2003;4.0;30.0;5.0;6.0
427;64 Post and telecommunications;2004;2.0;25.0;5.0;5.0
428;64 Post and telecommunications;2005;5.0;24.0;1.0;1.0
429;64 Post and telecommunications;2006;1.0;32.0;6.0;6.0
430;64 Post and telecommunications;2007;4.0;45.0;3.0;4.0
431;64 Post and telecommunications;2008;3.0;36.0;1.0;1.0
432;J Financial intermediation;2000;28.0;52.0;40.0;49.0
433;J Financial intermediation;2001;37.0;80.0;36.0;46.0
434;J Financial intermediation;2002;30.0;56.0;39.0;44.0
435;J Financial intermediation;2003;23.0;56.0;25.0;28.0
436;J Financial intermediation;2004;24.0;58.0;36.0;43.0
437;J Financial intermediation;2005;27.0;67.0;41.0;40.0
438;J Financial intermediation;2006;45.0;80.0;43.0;50.0
439;J Financial intermediation;2007;40.0;83.0;46.0;47.0
440;J Financial intermediation;2008;32.0;53.0;48.0;47.0
441;65 Financial intermediation;2000;21.0;32.0;30.0;36.0
442;65 Financial intermediation;2001;29.0;54.0;28.0;37.0
443;65 Financial intermediation;2002;26.0;31.0;28.0;32.0
444;65 Financial intermediation;2003;18.0;29.0;22.0;25.0
445;65 Financial intermediation;2004;22.0;29.0;29.0;35.0
446;65 Financial intermediation;2005;20.0;25.0;32.0;32.0
447;65 Financial intermediation;2006;42.0;77.0;36.0;42.0
448;65 Financial intermediation;2007;35.0;77.0;39.0;40.0
449;65 Financial intermediation;2008;30.0;52.0;42.0;43.0
450;66 Insurance and pension funding;2000;;;;
451;66 Insurance and pension funding;2001;;;;
452;66 Insurance and pension funding;2002;;;;
453;66 Insurance and pension funding;2003;;;;
454;66 Insurance and pension funding;2004;;;;
455;66 Insurance and pension funding;2005;;;;
456;66 Insurance and pension funding;2006;;;1.0;1.0
457;66 Insurance and pension funding;2007;;;1.0;1.0
458;66 Insurance and pension funding;2008;;;;
