ID;RegioS;GeslachtLeeftijd;Perioden;NieuwePupillen_1;TotaalBeeindigdeVoogdij_2;Meerderjarigheid_3;AndereReden_4;PupillenPer3112_5;NieuwePupillen_6;TotaalBeeindigdeVoorlopigeVoogdij_7;Ondertoezichtstelling_8;AndereReden_9;PupillenPer3112_10;NieuwePupillen_11;TotaalBeeindigdeOndertoezichtstelling_12;Voogdij_13;Meerderjarigheid_14;AndereReden_15;PupillenPer3112_16
0;Nederland;Totaal geslacht/leeftijd;1998;4193;2321;2133.0;188;11491;197;205;0;0;41;5447;4838;266;1658.0;2914;19445
1;Nederland;Totaal geslacht/leeftijd;1999;5721;3183;2965.0;218;13962;175;184;16;168;40;5598;5246;348;2372.0;2526;20441
2;Nederland;Totaal geslacht/leeftijd;2000;7361;4537;4158.0;379;16668;225;182;36;146;162;5513;5203;372;1760.0;3071;20955
3;Nederland;Totaal geslacht/leeftijd;2001;6164;5279;4848.0;431;17421;290;255;41;214;138;4957;5442;281;54.0;5107;20605
4;Nederland;Totaal geslacht/leeftijd;2002;4351;6197;5679.0;518;15424;334;321;43;278;154;5378;5890;483;125.0;5282;20429
5;Nederland;Jongens;1998;2900;1500;1392.0;108;7095;91;99;0;0;0;2955;2615;126;895.0;1594;10476
6;Nederland;Jongens;1999;4093;2197;2069.0;128;8945;91;94;9;85;20;2898;2745;185;1257.0;1303;11001
7;Nederland;Jongens;2000;5225;3213;2973.0;240;10857;114;91;13;78;83;2876;2787;194;933.0;1660;11237
8;Nederland;Jongens;2001;4252;3794;3535.0;259;11219;146;125;17;108;74;2585;2807;142;19.0;2646;11075
9;Nederland;Jongens;2002;2822;4380;4084.0;296;9540;166;165;21;144;72;2717;3070;259;75.0;2736;10903
10;Nederland;Meisjes;1998;1293;821;741.0;80;4396;106;106;0;0;0;2492;2223;140;763.0;1320;8969
11;Nederland;Meisjes;1999;1628;986;896.0;90;5017;84;90;7;83;20;2700;2501;163;1115.0;1223;9440
12;Nederland;Meisjes;2000;2136;1324;1185.0;139;5811;111;91;23;68;79;2637;2416;178;827.0;1411;9718
13;Nederland;Meisjes;2001;1912;1485;1313.0;172;6202;144;130;24;106;64;2372;2635;139;35.0;2461;9530
14;Nederland;Meisjes;2002;1529;1817;1595.0;222;5884;168;156;22;134;82;2661;2820;224;50.0;2546;9526
15;Nederland;0-4 jaar;1998;311;47;;0;2559;91;0;0;0;0;1035;284;0;;0;2050
16;Nederland;0-4 jaar;1999;342;64;;0;768;86;83;0;0;24;1068;282;0;;0;2127
17;Nederland;0-4 jaar;2000;430;116;;116;907;108;88;13;75;69;1030;307;63;;244;2148
18;Nederland;0-4 jaar;2001;492;180;;180;1044;102;190;39;151;46;913;296;63;;233;2066
19;Nederland;0-4 jaar;2002;440;259;;259;1024;134;265;42;223;50;1064;344;63;;281;2095
20;Nederland;5-9 jaar;1998;233;38;;0;2139;33;0;0;0;0;1188;660;0;;0;4793
21;Nederland;5-9 jaar;1999;315;37;;0;1373;25;33;0;0;4;1291;710;0;;0;5047
22;Nederland;5-9 jaar;2000;277;35;;35;1357;33;27;9;18;31;1161;694;99;;595;5040
23;Nederland;5-9 jaar;2001;282;36;;36;1381;51;10;0;10;31;1042;787;94;;693;4845
24;Nederland;5-9 jaar;2002;338;63;;63;1429;36;3;0;3;26;973;842;155;;687;4575
25;Nederland;10-14 jaar;1998;656;44;;0;2526;44;0;0;0;0;1800;945;0;;0;6486
26;Nederland;10-14 jaar;1999;1189;59;;0;3210;37;37;0;0;6;1736;862;0;;0;6703
27;Nederland;10-14 jaar;2000;1379;56;;56;3519;46;30;8;22;38;1780;972;131;;841;7015
28;Nederland;10-14 jaar;2001;1120;62;;62;3559;70;18;0;18;36;1626;1058;81;;977;7008
29;Nederland;10-14 jaar;2002;1051;77;;77;3563;89;14;0;14;43;1708;1236;180;;1056;6893
30;Nederland;15-17 jaar;1998;2993;2192;0.0;0;4267;29;0;0;0;0;1424;2949;0;0.0;0;6116
