ID;Energiedragers;Perioden;Hoeveelheid_1;OntwikkelingTOVEenJaarEerder_2;Prijsindexcijfer_3;OntwikkelingTOVEenJaarEerder_4
0;Totaal energiedragers;1995 januari;304.0;6.4;33.4;3.8
1;Totaal energiedragers;1995 februari;264.0;-9.9;33.4;4.2
2;Totaal energiedragers;1995 maart;299.0;12.8;33.0;2.7
3;Totaal energiedragers;1995 1e kwartaal;867.0;2.8;33.3;3.6
4;Totaal energiedragers;1995 april;236.0;-0.9;34.1;5.8
5;Totaal energiedragers;1995 mei;218.0;2.9;34.3;5.5
6;Totaal energiedragers;1995 juni;208.0;-0.1;33.9;3.5
7;Totaal energiedragers;1995 2e kwartaal;663.0;0.6;34.1;4.9
8;Totaal energiedragers;1995 juli;193.0;5.8;32.9;-0.3
9;Totaal energiedragers;1995 augustus;200.0;5.4;33.1;0.6
10;Totaal energiedragers;1995 september;212.0;-5.2;33.3;2.1
11;Totaal energiedragers;1995 3e kwartaal;605.0;1.6;33.1;0.8
12;Totaal energiedragers;1995 oktober;235.0;-5.3;31.9;-2.7
13;Totaal energiedragers;1995 november;257.0;3.5;32.1;-2.5
14;Totaal energiedragers;1995 december;339.0;18.9;32.7;-0.2
15;Totaal energiedragers;1995 4e kwartaal;831.0;6.3;32.3;-1.8
16;Totaal energiedragers;1995;2965.0;2.9;33.2;1.8
17;Totaal energiedragers;1996 januari;341.0;12.0;33.2;-0.6
18;Totaal energiedragers;1996 februari;327.0;24.1;33.1;-0.9
19;Totaal energiedragers;1996 maart;300.0;0.3;34.0;3.2
20;Totaal energiedragers;1996 1e kwartaal;968.0;11.6;33.4;0.6
21;Totaal energiedragers;1996 april;234.0;-1.1;35.7;4.6
22;Totaal energiedragers;1996 mei;235.0;7.8;35.2;2.4
23;Totaal energiedragers;1996 juni;201.0;-3.5;34.8;2.9
24;Totaal energiedragers;1996 2e kwartaal;670.0;1.0;35.2;3.3
25;Totaal energiedragers;1996 juli;201.0;3.9;36.1;9.5
26;Totaal energiedragers;1996 augustus;199.0;-0.4;36.3;9.6
27;Totaal energiedragers;1996 september;215.0;1.8;37.1;11.4
28;Totaal energiedragers;1996 3e kwartaal;616.0;1.7;36.5;10.2
29;Totaal energiedragers;1996 oktober;242.0;3.0;37.9;18.8
30;Totaal energiedragers;1996 november;279.0;8.5;37.4;16.3
31;Totaal energiedragers;1996 december;329.0;-2.7;38.0;16.2
32;Totaal energiedragers;1996 4e kwartaal;850.0;2.4;37.8;17.1
33;Totaal energiedragers;1996;3104.0;4.7;35.7;7.7
34;Totaal energiedragers;1997 januari;357.0;4.6;39.2;18.3
35;Totaal energiedragers;1997 februari;267.0;-18.3;38.6;16.5
36;Totaal energiedragers;1997 maart;262.0;-12.8;37.9;11.3
37;Totaal energiedragers;1997 1e kwartaal;886.0;-8.5;38.6;15.3
38;Totaal energiedragers;1997 april;256.0;9.6;37.7;5.8
39;Totaal energiedragers;1997 mei;224.0;-4.9;38.4;9.1
40;Totaal energiedragers;1997 juni;209.0;4.2;38.1;9.3
41;Totaal energiedragers;1997 2e kwartaal;689.0;2.9;38.1;8.0
42;Totaal energiedragers;1997 juli;203.0;1.0;37.8;4.8
43;Totaal energiedragers;1997 augustus;191.0;-4.5;38.1;4.8
44;Totaal energiedragers;1997 september;212.0;-1.7;37.6;1.4
45;Totaal energiedragers;1997 3e kwartaal;605.0;-1.7;37.8;3.6
46;Totaal energiedragers;1997 oktober;252.0;4.1;38.4;1.3
47;Totaal energiedragers;1997 november;270.0;-3.3;37.8;1.3
48;Totaal energiedragers;1997 december;297.0;-9.7;37.3;-1.9
49;Totaal energiedragers;1997 4e kwartaal;819.0;-3.7;37.9;0.2
50;Totaal energiedragers;1997;3000.0;-3.4;38.1;6.6
51;Totaal energiedragers;1998 januari;307.0;-14.0;37.8;-3.6
52;Totaal energiedragers;1998 februari;268.0;0.4;37.0;-4.2
53;Totaal energiedragers;1998 maart;285.0;8.9;36.6;-3.3
54;Totaal energiedragers;1998 1e kwartaal;860.0;-2.9;37.1;-3.7
55;Totaal energiedragers;1998 april;239.0;-6.8;35.8;-5.2
56;Totaal energiedragers;1998 mei;220.0;-1.8;36.1;-5.9
57;Totaal energiedragers;1998 juni;212.0;1.2;35.0;-8.0
58;Totaal energiedragers;1998 2e kwartaal;670.0;-2.7;35.6;-6.4
59;Totaal energiedragers;1998 juli;206.0;1.6;33.4;-11.7
60;Totaal energiedragers;1998 augustus;205.0;7.6;33.5;-12.1
61;Totaal energiedragers;1998 september;223.0;5.3;33.3;-11.4
62;Totaal energiedragers;1998 3e kwartaal;634.0;4.8;33.4;-11.7
63;Totaal energiedragers;1998 oktober;254.0;0.9;32.8;-14.6
64;Totaal energiedragers;1998 november;307.0;13.8;31.8;-15.9
65;Totaal energiedragers;1998 december;296.0;-0.3;31.1;-16.5
66;Totaal energiedragers;1998 4e kwartaal;858.0;4.7;31.9;-15.7
67;Totaal energiedragers;1998;3022.0;0.7;34.5;-9.3
68;Totaal energiedragers;1999 januari;295.0;-3.9;30.6;-19.1
69;Totaal energiedragers;1999 februari;287.0;6.8;30.9;-16.5
70;Totaal energiedragers;1999 maart;279.0;-2.1;31.9;-12.8
71;Totaal energiedragers;1999 1e kwartaal;861.0;0.1;31.1;-16.2
72;Totaal energiedragers;1999 april;242.0;1.5;32.7;-8.5
73;Totaal energiedragers;1999 mei;217.0;-1.1;33.0;-8.7
74;Totaal energiedragers;1999 juni;219.0;3.5;33.2;-5.2
75;Totaal energiedragers;1999 2e kwartaal;680.0;1.4;33.0;-7.5
76;Totaal energiedragers;1999 juli;208.0;0.8;35.9;7.4
77;Totaal energiedragers;1999 augustus;197.0;-3.6;36.3;8.4
78;Totaal energiedragers;1999 september;210.0;-5.8;37.3;11.8
79;Totaal energiedragers;1999 3e kwartaal;617.0;-2.6;36.5;9.2
80;Totaal energiedragers;1999 oktober;241.0;-5.3;40.1;22.3
81;Totaal energiedragers;1999 november;281.0;-8.5;41.5;30.4
82;Totaal energiedragers;1999 december;315.0;6.3;42.5;36.6
83;Totaal energiedragers;1999 4e kwartaal;837.0;-2.4;41.4;29.6
84;Totaal energiedragers;1999;2994.0;-0.9;35.5;2.8
85;Totaal energiedragers;2000 januari;308.0;4.3;46.1;50.6
86;Totaal energiedragers;2000 februari;285.0;-0.7;47.3;53.2
87;Totaal energiedragers;2000 maart;279.0;-0.2;46.8;46.7
88;Totaal energiedragers;2000 1e kwartaal;870.0;1.0;46.7;50.1
89;Totaal energiedragers;2000 april;237.0;-2.0;47.9;46.5
90;Totaal energiedragers;2000 mei;228.0;4.8;51.8;57.1
91;Totaal energiedragers;2000 juni;214.0;-2.6;50.6;52.5
92;Totaal energiedragers;2000 2e kwartaal;680.0;0.0;50.1;52.0
93;Totaal energiedragers;2000 juli;214.0;3.1;52.1;45.3
94;Totaal energiedragers;2000 augustus;216.0;9.4;54.6;50.3
95;Totaal energiedragers;2000 september;220.0;4.8;56.5;51.7
96;Totaal energiedragers;2000 3e kwartaal;651.0;5.5;54.4;49.1
97;Totaal energiedragers;2000 oktober;260.0;8.0;58.9;46.8
98;Totaal energiedragers;2000 november;287.0;1.9;59.6;43.6
99;Totaal energiedragers;2000 december;317.0;0.7;56.3;32.4
100;Totaal energiedragers;2000 4e kwartaal;865.0;3.3;58.3;40.8
101;Totaal energiedragers;2000;3067.0;2.4;52.4;47.6
102;Totaal energiedragers;2001 januari;327.0;6.3;59.8;29.8
103;Totaal energiedragers;2001 februari;291.0;2.4;61.7;30.5
104;Totaal energiedragers;2001 maart;310.0;11.1;60.5;29.2
105;Totaal energiedragers;2001 1e kwartaal;927.0;6.6;60.7;29.8
106;Totaal energiedragers;2001 april;259.0;8.9;60.8;27.0
107;Totaal energiedragers;2001 mei;240.0;5.4;60.8;17.5
108;Totaal energiedragers;2001 juni;206.0;-3.4;59.6;17.8
109;Totaal energiedragers;2001 2e kwartaal;704.0;3.5;60.4;20.6
110;Totaal energiedragers;2001 juli;211.0;-1.4;56.4;8.2
111;Totaal energiedragers;2001 augustus;228.0;5.3;56.5;3.4
112;Totaal energiedragers;2001 september;226.0;3.0;55.2;-2.3
113;Totaal energiedragers;2001 3e kwartaal;665.0;2.2;56.0;3.0
114;Totaal energiedragers;2001 oktober;248.0;-4.5;51.5;-12.6
115;Totaal energiedragers;2001 november;283.0;-1.2;51.0;-14.4
116;Totaal energiedragers;2001 december;327.0;3.2;51.5;-8.5
117;Totaal energiedragers;2001 4e kwartaal;859.0;-0.7;51.4;-11.9
118;Totaal energiedragers;2001;3157.0;2.9;57.1;9.0
119;Totaal energiedragers;2002 januari;325.0;-0.7;50.4;-15.7
120;Totaal energiedragers;2002 februari;288.0;-1.2;52.4;-15.2
121;Totaal energiedragers;2002 maart;289.0;-6.6;54.4;-10.1
122;Totaal energiedragers;2002 1e kwartaal;901.0;-2.8;52.4;-13.6
123;Totaal energiedragers;2002 april;253.0;-2.4;53.6;-11.9
124;Totaal energiedragers;2002 mei;228.0;-4.9;51.8;-14.9
125;Totaal energiedragers;2002 juni;217.0;5.2;50.5;-15.4
126;Totaal energiedragers;2002 2e kwartaal;697.0;-1.0;51.9;-14.0
127;Totaal energiedragers;2002 juli;221.0;4.7;52.5;-7.0
128;Totaal energiedragers;2002 augustus;215.0;-5.3;53.0;-6.0
129;Totaal energiedragers;2002 september;224.0;-0.8;54.1;-2.1
130;Totaal energiedragers;2002 3e kwartaal;662.0;-0.5;53.2;-5.1
131;Totaal energiedragers;2002 oktober;285.0;14.8;54.6;6.0
132;Totaal energiedragers;2002 november;296.0;4.4;54.0;5.9
133;Totaal energiedragers;2002 december;324.0;-1.0;58.2;12.9
134;Totaal energiedragers;2002 4e kwartaal;905.0;5.4;55.6;8.3
135;Totaal energiedragers;2002;3166.0;0.3;53.3;-6.7
136;Totaal energiedragers;2003 januari;341.0;4.9;61.4;21.9
137;Totaal energiedragers;2003 februari;316.0;9.9;62.9;20.1
138;Totaal energiedragers;2003 maart;281.0;-2.9;59.0;8.5
139;Totaal energiedragers;2003 1e kwartaal;938.0;4.1;61.1;16.7
140;Totaal energiedragers;2003 april;258.0;2.3;55.1;2.9
141;Totaal energiedragers;2003 mei;252.0;10.2;55.3;6.9
142;Totaal energiedragers;2003 juni;206.0;-5.2;56.0;11.0
143;Totaal energiedragers;2003 2e kwartaal;716.0;2.7;55.5;6.8
144;Totaal energiedragers;2003 juli;225.0;1.6;52.8;0.6
145;Totaal energiedragers;2003 augustus;216.0;0.1;53.7;1.2
146;Totaal energiedragers;2003 september;232.0;3.3;52.9;-2.2
147;Totaal energiedragers;2003 3e kwartaal;673.0;1.7;53.1;-0.1
148;Totaal energiedragers;2003 oktober;305.0;6.9;54.4;-0.5
149;Totaal energiedragers;2003 november;289.0;-2.1;55.8;3.3
150;Totaal energiedragers;2003 december;330.0;1.7;57.5;-1.2
151;Totaal energiedragers;2003 4e kwartaal;925.0;2.2;55.9;0.5
152;Totaal energiedragers;2003;3251.0;2.7;56.4;5.9
153;Totaal energiedragers;2004 januari;335.0;-1.8;57.3;-6.7
