ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;OntvangstenVoorUitleenEnSubsidie_27;TotaalPersoneelskosten_28;BrutoLonenEnSalarissen_29;SocialeLasten_30;Pensioenpremies_31;KostenUitzendkrachten_32;KostenIngeleendPersoneel_33;OverigePersoneelskosten_34;TotaalOverigeBedrijfslasten_35;TotaalHuisvestingskosten_36;BetaaldeHurenPachtenEDVanLeasing_37;OnroerendeZaakbelastingMilieuheffing_38;Energiekosten_39;ReparatieEnOnderhoudskosten_40;Verzekeringen_41;OverigeHuisvestingskosten_42;TotaalInventarisEnMachinekosten_43;BetaaldeHurenEnKostenVanOperLease_44;Onderhoudskosten_45;OverigeInventarisEnMachinekosten_46;TotaalAutokosten_47;BetaaldeHurenEnKostenVanOperLease_48;Brandstof_49;OverigeAutokosten_50;TotaalVerkoopkosten_51;ReclameEnAdvertentiekosten_52;ReisVerblijfsEnRepresentatiekosten_53;OverigeVerkoopkosten_54;TotaalAndereKosten_55;AccountantsEnAdviesdiensten_56;KantoorbenodigdhDrukwerkVakliteratuur_57;OverigeVerzekeringen_58;OverigeKostprijsverhogendeBelastingen_59;Communicatiekosten_60;Beheerskosten_61;OverigeAutomatiseringskosten_62;NogNietEerderGenoemdeBedrijfskosten_63;TotaalAantalWerkzamePersonen_64;WerknemersOpDeLoonlijst_65;WerknemersNietOpLoonlijst_66;OverigPersoneel_67;AantalVte_68;TotaalInvesteringen_69;TotaalMaterieleVasteActiva_70;Bedrijfsruimten_71;Vervoermiddelen_72;Computers_73;OverigeMachinesApparatenED_74;OverigeMaterieleVasteActiva_75;TotaalImmaterieleVasteActiva_76
0;Totaal SBI 7413;1996;24.9;502.0;497.0;492.0;5.0;5.0;435.0;22.6;46.8;4.5;26.0;113.0;20.0;5.0;15.0;22.0;51.0;67.0;-5.0;62.0;80.2;12.7;12.3;4.9;66.0;37.3;0.2;204.0;79.7;4.9;5.0;3.1;0.8;6.7;113.0;20.0;76.5;0.5;7.6;5.1;0.9;9.4;5.0;46.2;24.0;29.7;15.0;52.1;21.5;26.4;22.0;24.6;59.4;15.9;51.0;11.4;18.7;1.4;0.5;23.9;25.9;3.1;15.0;104.0;78.2;19.7;2.2;75.0;25.0;98.4;10.6;31.0;37.8;4.9;14.0;1.6
1;Totaal SBI 7413;1997;25.5;618.0;613.0;611.0;1.0;5.0;535.0;25.5;44.0;4.5;25.9;139.0;23.0;6.0;17.0;27.0;66.0;83.0;-2.0;81.0;77.7;13.0;13.1;6.4;74.1;39.3;0.2;235.0;81.3;5.0;4.4;2.1;0.7;6.6;139.0;23.0;77.3;0.5;6.6;5.6;0.9;9.1;6.0;50.5;18.9;30.6;17.0;54.1;13.7;32.2;27.0;29.5;61.0;9.5;66.0;13.6;17.3;1.4;0.0;20.6;21.1;4.3;21.7;112.0;78.2;20.1;1.7;83.0;40.0;75.1;4.2;11.9;25.6;13.8;19.6;24.9
2;Totaal SBI 7413;1998;24.4;641.0;634.0;632.0;2.0;7.0;561.0;28.5;41.0;4.5;25.9;146.0;25.0;6.0;18.0;25.0;71.0;80.0;-6.0;74.0;74.8;11.6;11.6;5.6;79.1;39.4;0.4;230.0;78.8;7.5;4.5;1.9;1.2;6.4;146.0;25.0;;;;;;;6.0;;;;18.0;;;;25.0;;;;71.0;;;;;;;;;115.0;79.7;16.8;3.5;80.0;36.0;94.2;9.4;14.4;30.5;22.6;17.5;5.8
3;Totaal SBI 7413;1999;24.9;721.0;717.0;714.0;3.0;4.0;662.0;34.1;39.1;4.0;22.8;151.0;25.0;7.0;19.0;24.0;76.0;59.0;-2.0;57.0;68.5;7.9;7.9;4.1;;;0.3;259.0;75.7;8.1;4.4;2.6;2.7;6.9;151.0;25.0;;;;;;;7.0;;;;19.0;;;;24.0;;;;76.0;;;;;;;;;109.0;78.2;18.5;3.3;79.0;30.0;95.5;19.3;14.7;36.8;6.4;18.3;4.5
4;Tot 250 000 euro;1996;22.0;116.0;116.0;116.0;0.0;0.0;88.0;8.5;42.1;7.6;41.7;37.0;4.0;1.0;6.0;7.0;19.0;29.0;0.0;29.0;93.6;24.6;24.8;6.2;;;0.1;37.0;81.4;3.3;11.3;0.5;1.7;1.9;37.0;4.0;82.4;0.0;6.9;1.1;0.5;9.2;1.0;20.7;5.6;73.7;6.0;28.9;31.7;39.4;7.0;19.7;61.8;18.5;19.0;8.2;20.2;1.0;0.3;19.3;34.0;1.1;16.0;34.0;40.6;58.4;1.0;29.0;7.0;99.3;1.9;57.6;23.3;2.8;13.7;0.7
5;Tot 250 000 euro;1997;22.0;139.0;137.0;136.0;1.0;2.0;106.0;12.5;42.2;6.8;38.5;41.0;5.0;2.0;9.0;7.0;18.0;33.0;0.0;33.0;90.4;23.6;23.5;8.3;;;0.2;45.0;88.0;3.9;5.7;0.1;0.0;2.4;41.0;5.0;83.7;0.0;6.8;0.3;0.0;9.2;2.0;55.4;3.9;40.7;9.0;37.3;14.0;48.7;7.0;36.9;60.5;2.5;18.0;14.0;17.7;1.8;0.0;19.4;8.0;4.2;35.0;37.0;40.7;59.2;0.1;31.0;12.0;99.9;0.0;33.1;26.6;2.1;38.0;0.1
6;Tot 250 000 euro;1998;21.2;156.0;154.0;153.0;1.0;2.0;116.0;29.8;30.9;5.9;33.5;39.0;5.0;1.0;8.0;8.0;17.0;40.0;-2.0;38.0;77.6;24.6;24.4;8.5;;;0.3;36.0;84.3;3.6;4.8;0.5;4.9;2.3;39.0;5.0;;;;;;;1.0;;;;8.0;;;;8.0;;;;17.0;;;;;;;;;32.0;43.8;54.9;1.3;29.0;13.0;95.7;17.2;8.0;20.2;27.7;22.6;4.3
7;Tot 250 000 euro;1999;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;250 000 tot 2 000 000 euro;1996;2.5;157.0;156.0;153.0;3.0;1.0;132.0;23.2;48.5;2.8;25.6;34.0;7.0;1.0;3.0;7.0;15.0;25.0;-2.0;23.0;80.4;15.3;14.9;5.4;;;0.3;64.0;78.2;4.8;2.5;6.5;0.6;7.7;34.0;7.0;83.6;0.3;6.2;2.2;0.3;7.5;1.0;40.7;23.2;36.2;3.0;51.7;19.9;28.3;7.0;19.8;66.5;13.7;15.0;15.0;20.9;1.7;1.2;25.9;22.3;2.1;11.0;26.0;97.2;1.9;0.9;19.0;8.0;99.0;6.1;40.6;30.1;4.3;17.9;1.0
9;250 000 tot 2 000 000 euro;1997;3.1;224.0;222.0;222.0;0.0;2.0;191.0;30.1;40.7;3.5;25.6;49.0;8.0;1.0;3.0;11.0;25.0;33.0;-1.0;32.0;74.1;14.5;14.3;9.0;;;0.2;78.0;80.5;5.2;2.5;2.5;0.9;8.5;49.0;8.0;82.6;0.6;5.2;2.8;0.5;8.3;1.0;36.3;17.1;46.6;3.0;52.2;18.7;29.0;11.0;22.3;68.6;9.1;25.0;12.2;20.0;0.9;0.0;17.3;33.1;2.6;13.9;30.0;95.0;1.7;3.3;22.0;20.0;52.6;2.8;4.2;13.1;21.3;11.2;47.4
