ID;Bedrijfsomvang;BedrijfstakBranchesSBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;1;45 Bouwnijverheid;2000 januari;56;
1;1;45 Bouwnijverheid;2000 februari;84;
2;1;45 Bouwnijverheid;2000 maart;101;
3;1;45 Bouwnijverheid;2000 1e kwartaal;80;
4;1;45 Bouwnijverheid;2000 april;95;
5;1;45 Bouwnijverheid;2000 mei;107;
6;1;45 Bouwnijverheid;2000 juni;107;
7;1;45 Bouwnijverheid;2000 2e kwartaal;103;
8;1;45 Bouwnijverheid;2000 juli;96;
9;1;45 Bouwnijverheid;2000 augustus;69;
10;1;45 Bouwnijverheid;2000 september;109;
11;1;45 Bouwnijverheid;2000 3e kwartaal;91;
12;1;45 Bouwnijverheid;2000 oktober;113;
13;1;45 Bouwnijverheid;2000 november;120;
14;1;45 Bouwnijverheid;2000 december;144;
15;1;45 Bouwnijverheid;2000 4e kwartaal;126;
16;1;45 Bouwnijverheid;2000;100;
17;1;45 Bouwnijverheid;2001 januari;54;-2.2
18;1;45 Bouwnijverheid;2001 februari;86;2.5
19;1;45 Bouwnijverheid;2001 maart;108;6.8
20;1;45 Bouwnijverheid;2001 1e kwartaal;83;3.2
21;1;45 Bouwnijverheid;2001 april;101;7.0
22;1;45 Bouwnijverheid;2001 mei;113;5.4
23;1;45 Bouwnijverheid;2001 juni;125;17.0
24;1;45 Bouwnijverheid;2001 2e kwartaal;113;9.9
25;1;45 Bouwnijverheid;2001 juli;107;12.1
26;1;45 Bouwnijverheid;2001 augustus;77;12.2
27;1;45 Bouwnijverheid;2001 september;117;6.5
28;1;45 Bouwnijverheid;2001 3e kwartaal;100;9.8
29;1;45 Bouwnijverheid;2001 oktober;126;11.1
30;1;45 Bouwnijverheid;2001 november;128;6.4
31;1;45 Bouwnijverheid;2001 december;145;0.4
32;1;45 Bouwnijverheid;2001 4e kwartaal;133;5.5
33;1;45 Bouwnijverheid;2001;107;7.2
34;1;45 Bouwnijverheid;2002 januari;70;27.9
35;1;45 Bouwnijverheid;2002 februari;90;4.6
36;1;45 Bouwnijverheid;2002 maart;112;3.5
37;1;45 Bouwnijverheid;2002 1e kwartaal;90;9.2
38;1;45 Bouwnijverheid;2002 april;108;6.4
39;1;45 Bouwnijverheid;2002 mei;107;-4.9
40;1;45 Bouwnijverheid;2002 juni;122;-1.9
41;1;45 Bouwnijverheid;2002 2e kwartaal;112;-0.4
42;1;45 Bouwnijverheid;2002 juli;108;0.9
43;1;45 Bouwnijverheid;2002 augustus;76;-1.2
44;1;45 Bouwnijverheid;2002 september;119;2.2
45;1;45 Bouwnijverheid;2002 3e kwartaal;101;0.9
46;1;45 Bouwnijverheid;2002 oktober;127;0.9
47;1;45 Bouwnijverheid;2002 november;126;-1.1
48;1;45 Bouwnijverheid;2002 december;131;-9.1
49;1;45 Bouwnijverheid;2002 4e kwartaal;128;-3.4
50;1;45 Bouwnijverheid;2002;108;0.8
51;1;45 Bouwnijverheid;2003 januari;68;-2.4
52;1;45 Bouwnijverheid;2003 februari;88;-2.2
53;1;45 Bouwnijverheid;2003 maart;104;-7.3
54;1;45 Bouwnijverheid;2003 1e kwartaal;86;-4.4
55;1;45 Bouwnijverheid;2003 april;106;-1.8
56;1;45 Bouwnijverheid;2003 mei;110;2.6
57;1;45 Bouwnijverheid;2003 juni;114;-6.7
58;1;45 Bouwnijverheid;2003 2e kwartaal;110;-2.2
59;1;45 Bouwnijverheid;2003 juli;102;-5.3
60;1;45 Bouwnijverheid;2003 augustus;73;-4.7
61;1;45 Bouwnijverheid;2003 september;114;-4.2
62;1;45 Bouwnijverheid;2003 3e kwartaal;96;-4.7
63;1;45 Bouwnijverheid;2003 oktober;120;-5.5
