ID;RegioS;Perioden;PersonenMetEenBetalingsachterstand_1;PersMetBetalingsachterstandRelatief_2
0;Nederland;2010;244210.0;1.9
1;Nederland;2011;274750.0;2.1
2;Nederland;2012;278670.0;2.1
3;Nederland;2013;282440.0;2.1
4;Nederland;2014;298240.0;2.2
5;Nederland;2015;282190.0;2.1
6;Nederland;2016;249930.0;1.8
7;Nederland;2017;229870.0;1.7
8;Nederland;2018;206100.0;1.5
9;Nederland;2019;190250.0;1.4
10;Nederland;2020;174720.0;1.2
11;Nederland;2021;161900.0;1.1
12;Nederland;2022;158980.0;1.1
13;Nederland;2023;166070.0;1.1
14;Noord-Nederland (LD);2010;24280.0;1.8
15;Noord-Nederland (LD);2011;25250.0;1.8
16;Noord-Nederland (LD);2012;25730.0;1.9
17;Noord-Nederland (LD);2013;25120.0;1.8
18;Noord-Nederland (LD);2014;26420.0;1.9
19;Noord-Nederland (LD);2015;25680.0;1.9
20;Noord-Nederland (LD);2016;24250.0;1.7
21;Noord-Nederland (LD);2017;23010.0;1.7
22;Noord-Nederland (LD);2018;19860.0;1.4
23;Noord-Nederland (LD);2019;18550.0;1.3
24;Noord-Nederland (LD);2020;16450.0;1.2
25;Noord-Nederland (LD);2021;14730.0;1.0
26;Noord-Nederland (LD);2022;13920.0;1.0
27;Noord-Nederland (LD);2023;14100.0;1.0
28;Oost-Nederland (LD);2010;44730.0;1.6
29;Oost-Nederland (LD);2011;48920.0;1.8
30;Oost-Nederland (LD);2012;48910.0;1.8
31;Oost-Nederland (LD);2013;48210.0;1.7
32;Oost-Nederland (LD);2014;50870.0;1.8
33;Oost-Nederland (LD);2015;50540.0;1.8
34;Oost-Nederland (LD);2016;46260.0;1.6
35;Oost-Nederland (LD);2017;42930.0;1.5
36;Oost-Nederland (LD);2018;38230.0;1.3
37;Oost-Nederland (LD);2019;34450.0;1.2
38;Oost-Nederland (LD);2020;31990.0;1.1
39;Oost-Nederland (LD);2021;28960.0;1.0
40;Oost-Nederland (LD);2022;28120.0;0.9
41;Oost-Nederland (LD);2023;28810.0;0.9
42;West-Nederland (LD);2010;125240.0;2.0
43;West-Nederland (LD);2011;145360.0;2.3
44;West-Nederland (LD);2012;146730.0;2.3
45;West-Nederland (LD);2013;152060.0;2.4
46;West-Nederland (LD);2014;160030.0;2.5
47;West-Nederland (LD);2015;150500.0;2.3
48;West-Nederland (LD);2016;133170.0;2.1
49;West-Nederland (LD);2017;121580.0;1.9
50;West-Nederland (LD);2018;109860.0;1.7
51;West-Nederland (LD);2019;101990.0;1.5
52;West-Nederland (LD);2020;94030.0;1.4
53;West-Nederland (LD);2021;88310.0;1.3
54;West-Nederland (LD);2022;86870.0;1.3
55;West-Nederland (LD);2023;91440.0;1.3
56;Zuid-Nederland (LD);2010;49950.0;1.7
57;Zuid-Nederland (LD);2011;55220.0;1.9
58;Zuid-Nederland (LD);2012;57310.0;2.0
59;Zuid-Nederland (LD);2013;57050.0;2.0
60;Zuid-Nederland (LD);2014;60920.0;2.1
61;Zuid-Nederland (LD);2015;55460.0;1.9
62;Zuid-Nederland (LD);2016;46260.0;1.6
63;Zuid-Nederland (LD);2017;42350.0;1.4
64;Zuid-Nederland (LD);2018;38160.0;1.3
65;Zuid-Nederland (LD);2019;35270.0;1.2
66;Zuid-Nederland (LD);2020;32250.0;1.1
67;Zuid-Nederland (LD);2021;29910.0;1.0
68;Zuid-Nederland (LD);2022;30080.0;1.0
69;Zuid-Nederland (LD);2023;31730.0;1.0
70;Groningen (PV);2010;10370.0;2.2
71;Groningen (PV);2011;9520.0;2.0
72;Groningen (PV);2012;9200.0;1.9
73;Groningen (PV);2013;9020.0;1.9
74;Groningen (PV);2014;9750.0;2.0
75;Groningen (PV);2015;9790.0;2.1
76;Groningen (PV);2016;9580.0;2.0
77;Groningen (PV);2017;9180.0;1.9
78;Groningen (PV);2018;8190.0;1.7
79;Groningen (PV);2019;7530.0;1.6
80;Groningen (PV);2020;6670.0;1.4
81;Groningen (PV);2021;6050.0;1.2
82;Groningen (PV);2022;5760.0;1.2
83;Groningen (PV);2023;5860.0;1.2
84;Fryslân (PV);2010;6680.0;1.5
85;Fryslân (PV);2011;8360.0;1.6
86;Fryslân (PV);2012;9320.0;1.8
87;Fryslân (PV);2013;9260.0;1.8
88;Fryslân (PV);2014;9650.0;1.9
89;Fryslân (PV);2015;9170.0;1.8
90;Fryslân (PV);2016;8440.0;1.6
91;Fryslân (PV);2017;8040.0;1.6
92;Fryslân (PV);2018;6620.0;1.3
93;Fryslân (PV);2019;6440.0;1.2
94;Fryslân (PV);2020;5680.0;1.1
95;Fryslân (PV);2021;5030.0;0.9
96;Fryslân (PV);2022;4750.0;0.9
97;Fryslân (PV);2023;4770.0;0.9
98;Drenthe (PV);2010;6380.0;1.6
99;Drenthe (PV);2011;7380.0;1.9
100;Drenthe (PV);2012;7200.0;1.9
101;Drenthe (PV);2013;6840.0;1.8
102;Drenthe (PV);2014;7020.0;1.8
103;Drenthe (PV);2015;6720.0;1.7
104;Drenthe (PV);2016;6220.0;1.6
105;Drenthe (PV);2017;5800.0;1.5
106;Drenthe (PV);2018;5040.0;1.3
107;Drenthe (PV);2019;4580.0;1.1
108;Drenthe (PV);2020;4100.0;1.0
109;Drenthe (PV);2021;3640.0;0.9
110;Drenthe (PV);2022;3400.0;0.8
111;Drenthe (PV);2023;3470.0;0.8
112;Overijssel (PV);2010;13940.0;1.6
113;Overijssel (PV);2011;14590.0;1.6
114;Overijssel (PV);2012;14270.0;1.6
115;Overijssel (PV);2013;13410.0;1.5
116;Overijssel (PV);2014;14190.0;1.6
117;Overijssel (PV);2015;14620.0;1.6
118;Overijssel (PV);2016;13460.0;1.5
119;Overijssel (PV);2017;12780.0;1.4
120;Overijssel (PV);2018;11430.0;1.2
121;Overijssel (PV);2019;10090.0;1.1
122;Overijssel (PV);2020;9520.0;1.0
123;Overijssel (PV);2021;8520.0;0.9
124;Overijssel (PV);2022;8270.0;0.9
125;Overijssel (PV);2023;8410.0;0.9
126;Flevoland (PV);2010;7700.0;2.6
127;Flevoland (PV);2011;9390.0;3.2
128;Flevoland (PV);2012;9270.0;3.1
129;Flevoland (PV);2013;9510.0;3.2
130;Flevoland (PV);2014;9990.0;3.3
131;Flevoland (PV);2015;9660.0;3.1
132;Flevoland (PV);2016;8630.0;2.8
133;Flevoland (PV);2017;8170.0;2.6
134;Flevoland (PV);2018;7150.0;2.2
135;Flevoland (PV);2019;6550.0;2.0
136;Flevoland (PV);2020;5880.0;1.8
137;Flevoland (PV);2021;5560.0;1.6
138;Flevoland (PV);2022;5410.0;1.6
139;Flevoland (PV);2023;5490.0;1.6
140;Gelderland (PV);2010;23100.0;1.5
141;Gelderland (PV);2011;24940.0;1.6
142;Gelderland (PV);2012;25330.0;1.6
143;Gelderland (PV);2013;25290.0;1.6
144;Gelderland (PV);2014;26690.0;1.7
145;Gelderland (PV);2015;26260.0;1.6
146;Gelderland (PV);2016;24170.0;1.5
147;Gelderland (PV);2017;21980.0;1.3
148;Gelderland (PV);2018;19650.0;1.2
149;Gelderland (PV);2019;17810.0;1.1
150;Gelderland (PV);2020;16590.0;1.0
151;Gelderland (PV);2021;14870.0;0.9
152;Gelderland (PV);2022;14440.0;0.8
153;Gelderland (PV);2023;14920.0;0.9
154;Utrecht (PV);2010;10880.0;1.2
155;Utrecht (PV);2011;14210.0;1.5
156;Utrecht (PV);2012;14690.0;1.5
157;Utrecht (PV);2013;15390.0;1.6
