ID;SBI93;Perioden;Indexcijfers_1;Ontwikkeling_2;Indexcijfers_3;Ontwikkeling_4;Indexcijfers_5;Ontwikkeling_6
0;C Delfstoffenwinning totaal;2000 januari;129;27;135;18;116;51
1;C Delfstoffenwinning totaal;2000 februari;117;16;123;6;104;52
2;C Delfstoffenwinning totaal;2000 maart;115;36;119;26;107;66
3;C Delfstoffenwinning totaal;2000 1e kwartaal;120;26;126;16;109;56
4;C Delfstoffenwinning totaal;2000 april;91;45;90;35;91;70
5;C Delfstoffenwinning totaal;2000 mei;77;57;73;41;84;98
6;C Delfstoffenwinning totaal;2000 juni;69;51;61;41;86;71
7;C Delfstoffenwinning totaal;2000 2e kwartaal;79;51;75;39;87;78
8;C Delfstoffenwinning totaal;2000 juli;74;67;70;51;83;102
9;C Delfstoffenwinning totaal;2000 augustus;63;43;61;33;67;67
10;C Delfstoffenwinning totaal;2000 september;68;49;67;37;70;81
11;C Delfstoffenwinning totaal;2000 3e kwartaal;68;53;66;40;73;83
12;C Delfstoffenwinning totaal;2000 oktober;105;62;100;46;115;102
13;C Delfstoffenwinning totaal;2000 november;141;49;140;36;141;86
14;C Delfstoffenwinning totaal;2000 december;152;22;158;20;139;25
15;C Delfstoffenwinning totaal;2000 4e kwartaal;132;40;133;32;131;61
16;C Delfstoffenwinning totaal;2000;100;39;100;29;100;66
17;C Delfstoffenwinning totaal;2001 januari;200;55;196;44;209;79
18;C Delfstoffenwinning totaal;2001 februari;159;36;159;29;160;54
19;C Delfstoffenwinning totaal;2001 maart;168;46;169;43;165;55
20;C Delfstoffenwinning totaal;2001 1e kwartaal;176;46;175;39;178;63
21;C Delfstoffenwinning totaal;2001 april;136;50;131;45;147;62
22;C Delfstoffenwinning totaal;2001 mei;101;32;90;24;124;48
23;C Delfstoffenwinning totaal;2001 juni;88;27;79;30;105;22
24;C Delfstoffenwinning totaal;2001 2e kwartaal;108;37;100;34;125;44
25;C Delfstoffenwinning totaal;2001 juli;82;11;71;1;105;27
26;C Delfstoffenwinning totaal;2001 augustus;77;23;72;18;89;33
27;C Delfstoffenwinning totaal;2001 september;87;28;83;23;95;37
28;C Delfstoffenwinning totaal;2001 3e kwartaal;82;20;75;14;96;32
29;C Delfstoffenwinning totaal;2001 oktober;99;-6;87;-13;122;6
30;C Delfstoffenwinning totaal;2001 november;146;4;146;4;147;4
31;C Delfstoffenwinning totaal;2001 december;172;13;177;12;161;15
32;C Delfstoffenwinning totaal;2001 4e kwartaal;139;5;137;3;142;8
33;C Delfstoffenwinning totaal;2001;126;26;122;22;135;35
34;C Delfstoffenwinning totaal;2002 januari;181;-9;186;-5;171;-18
35;C Delfstoffenwinning totaal;2002 februari;139;-13;142;-10;131;-18
36;C Delfstoffenwinning totaal;2002 maart;131;-22;133;-22;126;-24
37;C Delfstoffenwinning totaal;2002 1e kwartaal;150;-14;154;-12;143;-20
38;C Delfstoffenwinning totaal;2002 april;110;-19;111;-15;110;-26
39;C Delfstoffenwinning totaal;2002 mei;90;-12;84;-7;101;-18
40;C Delfstoffenwinning totaal;2002 juni;74;-15;66;-16;90;-14
41;C Delfstoffenwinning totaal;2002 2e kwartaal;91;-16;87;-13;100;-20
42;C Delfstoffenwinning totaal;2002 juli;76;-8;65;-8;97;-8
43;C Delfstoffenwinning totaal;2002 augustus;63;-18;56;-23;79;-11
44;C Delfstoffenwinning totaal;2002 september;77;-11;70;-15;91;-5
45;C Delfstoffenwinning totaal;2002 3e kwartaal;72;-12;64;-15;89;-8
46;C Delfstoffenwinning totaal;2002 oktober;126;27;116;33;145;18
47;C Delfstoffenwinning totaal;2002 november;135;-8;133;-8;139;-6
48;C Delfstoffenwinning totaal;2002 december;170;-1;172;-3;167;4
49;C Delfstoffenwinning totaal;2002 4e kwartaal;144;3;141;2;150;5
50;C Delfstoffenwinning totaal;2002;114;-9;111;-9;121;-11
51;C Delfstoffenwinning totaal;2003 januari;210;16;221;19;189;10
52;C Delfstoffenwinning totaal;2003 februari;188;36;190;33;185;41
53;C Delfstoffenwinning totaal;2003 maart;145;11;141;6;153;21
54;C Delfstoffenwinning totaal;2003 1e kwartaal;181;21;184;20;176;23
55;C Delfstoffenwinning totaal;2003 april;113;3;116;4;109;-1
56;C Delfstoffenwinning totaal;2003 mei;86;-4;84;0;89;-12
57;C Delfstoffenwinning totaal;2003 juni;63;-15;52;-21;86;-5
58;C Delfstoffenwinning totaal;2003 2e kwartaal;87;-4;84;-4;95;-6
59;C Delfstoffenwinning totaal;2003 juli;64;-15;54;-18;85;-12
60;C Delfstoffenwinning totaal;2003 augustus;60;-5;51;-8;77;-2
61;C Delfstoffenwinning totaal;2003 september;77;0;72;3;86;-5
62;C Delfstoffenwinning totaal;2003 3e kwartaal;67;-7;59;-7;83;-7
63;C Delfstoffenwinning totaal;2003 oktober;143;14;144;24;140;-4
64;C Delfstoffenwinning totaal;2003 november;147;8;150;12;140;0
65;C Delfstoffenwinning totaal;2003 december;179;5;185;8;168;1
66;C Delfstoffenwinning totaal;2003 4e kwartaal;156;9;160;13;149;-1
67;C Delfstoffenwinning totaal;2003;123;8;122;9;126;4
68;C Delfstoffenwinning totaal;2004 januari;201;-4;212;-4;179;-5
69;C Delfstoffenwinning totaal;2004 februari;176;-6;183;-3;162;-12
70;C Delfstoffenwinning totaal;2004 maart;160;10;160;13;160;4
71;C Delfstoffenwinning totaal;2004 1e kwartaal;179;-1;185;1;167;-5
72;C Delfstoffenwinning totaal;2004 april;114;1;118;2;107;-1
73;C Delfstoffenwinning totaal;2004 mei;88;3;79;-7;107;21
74;C Delfstoffenwinning totaal;2004 juni;77;22;63;21;106;24
75;C Delfstoffenwinning totaal;2004 2e kwartaal;93;7;86;3;107;13
76;C Delfstoffenwinning totaal;2004 juli;78;22;71;33;93;9
77;C Delfstoffenwinning totaal;2004 augustus;61;3;51;0;83;7
78;C Delfstoffenwinning totaal;2004 september;93;21;85;17;111;28
79;C Delfstoffenwinning totaal;2004 3e kwartaal;78;16;69;17;95;15
80;C Delfstoffenwinning totaal;2004 oktober;124;-13;117;-19;138;-1
81;C Delfstoffenwinning totaal;2004 november;166;13;160;7;179;28
82;C Delfstoffenwinning totaal;2004 december;193;8;179;-3;223;32
83;C Delfstoffenwinning totaal;2004 4e kwartaal;161;3;152;-5;180;21
84;C Delfstoffenwinning totaal;2004;128;4;123;1;137;9
85;C Delfstoffenwinning totaal;2005 januari;221;10;229;8;205;15
86;C Delfstoffenwinning totaal;2005 februari;200;14;199;9;202;25
87;C Delfstoffenwinning totaal;2005 maart;198;24;202;26;190;19
88;C Delfstoffenwinning totaal;2005 1e kwartaal;206;15;210;13;199;19
89;C Delfstoffenwinning totaal;2005 april;138;21;128;9;159;48
90;C Delfstoffenwinning totaal;2005 mei;109;24;98;24;132;23
91;C Delfstoffenwinning totaal;2005 juni;104;35;88;40;136;28
92;C Delfstoffenwinning totaal;2005 2e kwartaal;117;26;105;21;142;33
93;C Delfstoffenwinning totaal;2005 juli;77;-1;54;-23;124;33
94;C Delfstoffenwinning totaal;2005 augustus;85;38;71;40;113;37
95;C Delfstoffenwinning totaal;2005 september;100;8;92;9;117;5
96;C Delfstoffenwinning totaal;2005 3e kwartaal;87;13;73;5;118;23
97;C Delfstoffenwinning totaal;2005 oktober;131;6;119;1;158;15
98;C Delfstoffenwinning totaal;2005 november;207;24;186;16;249;39
99;C Delfstoffenwinning totaal;2005 december;270;39;254;42;301;35
100;C Delfstoffenwinning totaal;2005 4e kwartaal;203;26;186;23;236;31
101;C Delfstoffenwinning totaal;2005;153;20;143;17;174;27
102;C Delfstoffenwinning totaal;2006 januari;306;38;291;27;336;64
103;C Delfstoffenwinning totaal;2006 februari;274;37;260;30;303;50
104;C Delfstoffenwinning totaal;2006 maart;283;43;263;30;323;70
105;C Delfstoffenwinning totaal;2006 1e kwartaal;288;39;271;29;321;61
106;C Delfstoffenwinning totaal;2006 april;205;48;187;46;240;51
107;C Delfstoffenwinning totaal;2006 mei;142;30;118;21;189;43
108;C Delfstoffenwinning totaal;2006 juni;128;23;117;32;151;11
109;C Delfstoffenwinning totaal;2006 2e kwartaal;158;35;141;34;193;36
110;C Delfstoffenwinning totaal;2006 juli;116;51;97;78;156;26
111;C Delfstoffenwinning totaal;2006 augustus;106;24;90;26;138;22
112;C Delfstoffenwinning totaal;2006 september;120;20;111;20;139;19
113;C Delfstoffenwinning totaal;2006 3e kwartaal;114;30;99;37;144;22
114;C Delfstoffenwinning totaal;2006 oktober;147;12;141;19;158;0
115;C Delfstoffenwinning totaal;2006 november;208;1;198;6;229;-8
116;C Delfstoffenwinning totaal;2006 december;257;-5;236;-7;299;-1
117;C Delfstoffenwinning totaal;2006 4e kwartaal;204;1;192;3;229;-3
