ID;Persoonskenmerken;Perioden;AantalMinutenHuiswerkPerDag_1;HuiswerkWelEensInKnoeiBijbaanWerk_2;JaMoeilijk_3;HetGaatWel_4;NeeNietMoeilijk_5;Ja_6;Gedeeltelijk_7;Nee_8;OpleidingMoeilijkerDanVerwacht_9;OpleidingMakkelijkerDanVerwacht_10;OplMinderPraktijkGerichtDanVerwacht_11;OplMeerPraktijkGerichtDanGedacht_12;SfeerOpOpleidingValtTegen_13;AndereReden_14;ZeerGoed_15;Goed_16;NochGoedNochSlecht_17;ZeerSlecht_18;ZeerTevreden_19;Tevreden_20;NochTevredenNochOntevreden_21;ZeerOntevreden_22;OpHoogteToekomstigeBeroepsmogelijkh_23;OpDeHoogteHoeJeMoetSolliciteren_24;HeelVaak_25;Vaak_26;Soms_27;ZeldenOfNooit_28;VerderLerenStuderen_29;SolliciterenGaanWerken_30;WerkenEnTegelijkStuderen_31;IetsAnders_32;WelEensGespijbeldOfLessenVerzuimd_33;AantalUrenSpijbelen_34;VerzuimdWegensZiekteOngevalED_35;AantalDagenZiekteverzuim_36
0;Totaal persoonskenmerken;1997;108.0;8.0;12.0;42.0;45.0;65.0;21.0;14.0;6.0;7.0;7.0;3.0;2.0;9.0;16.0;68.0;14.0;3.0;16.0;57.0;20.0;7.0;26.0;46.0;;;;;55.0;26.0;16.0;3.0;22.0;2.0;26.0;4.0
1;Totaal persoonskenmerken;2001;103.0;26.0;12.0;42.0;46.0;58.0;23.0;18.0;7.0;7.0;10.0;2.0;5.0;11.0;17.0;62.0;17.0;4.0;17.0;55.0;19.0;9.0;25.0;42.0;19.0;37.0;30.0;14.0;52.0;24.0;18.0;5.0;22.0;3.0;34.0;4.0
2;Totaal persoonskenmerken;2003;100.0;21.0;11.0;43.0;46.0;63.0;21.0;16.0;6.0;8.0;9.0;2.0;4.0;9.0;18.0;65.0;14.0;4.0;17.0;58.0;18.0;7.0;28.0;43.0;18.0;35.0;32.0;14.0;55.0;25.0;16.0;4.0;20.0;2.0;33.0;3.0
3;Mannen;1997;102.0;7.0;13.0;41.0;46.0;63.0;22.0;15.0;5.0;7.0;8.0;2.0;3.0;11.0;15.0;68.0;15.0;3.0;14.0;56.0;22.0;8.0;24.0;44.0;;;;;54.0;24.0;18.0;3.0;22.0;3.0;24.0;4.0
4;Mannen;2001;92.0;22.0;12.0;42.0;46.0;59.0;24.0;18.0;7.0;7.0;10.0;2.0;3.0;12.0;17.0;61.0;17.0;4.0;15.0;53.0;21.0;12.0;24.0;39.0;17.0;37.0;31.0;14.0;50.0;26.0;19.0;4.0;24.0;3.0;33.0;3.0
5;Mannen;2003;90.0;18.0;11.0;42.0;46.0;62.0;22.0;16.0;6.0;8.0;10.0;2.0;3.0;9.0;16.0;66.0;14.0;4.0;14.0;58.0;20.0;8.0;27.0;42.0;17.0;34.0;33.0;16.0;56.0;23.0;16.0;5.0;20.0;2.0;29.0;3.0
6;Vrouwen;1997;116.0;8.0;12.0;44.0;44.0;68.0;20.0;13.0;7.0;7.0;6.0;3.0;2.0;8.0;17.0;68.0;13.0;3.0;18.0;58.0;18.0;6.0;28.0;49.0;;;;;57.0;28.0;13.0;2.0;23.0;2.0;29.0;4.0
7;Vrouwen;2001;114.0;30.0;12.0;42.0;46.0;58.0;23.0;19.0;8.0;7.0;10.0;2.0;6.0;9.0;16.0;62.0;17.0;5.0;19.0;58.0;16.0;7.0;26.0;45.0;20.0;36.0;30.0;14.0;55.0;23.0;17.0;5.0;20.0;3.0;36.0;4.0
8;Vrouwen;2003;111.0;25.0;11.0;44.0;44.0;64.0;19.0;17.0;6.0;8.0;7.0;1.0;4.0;9.0;20.0;63.0;13.0;4.0;21.0;58.0;16.0;5.0;28.0;45.0;20.0;36.0;31.0;12.0;53.0;28.0;16.0;3.0;19.0;3.0;37.0;4.0
9;12-17-jarigen;1997;99.0;4.0;10.0;44.0;46.0;68.0;18.0;15.0;10.0;9.0;4.0;2.0;2.0;6.0;16.0;69.0;13.0;2.0;14.0;59.0;20.0;7.0;25.0;53.0;;;;;79.0;9.0;11.0;1.0;13.0;2.0;29.0;3.0
