ID;RegioS;Ecosysteemtypen;Perioden;VoorzieningVoedselEnSierteeltgewassen_1;VoorzieningVeevoedergewassen_2;Houtvoorziening_3;Waterzuivering_4;Luchtfiltratie_5;Koolstofvastlegging_6;Koolstofopslag_7;Bestuiving_8;Regenwaterregulatie_9;Kustbescherming_10;VerminderingStedelijkeHitteEilanden_11;NatuurrecreatieWandelen_12;NatuurrecreatieOverig_13;Natuurtoerisme_14;TotaalEcosysteemdiensten_15;VoorzieningVoedselEnSierteeltgewassen_16;VoorzieningVeevoedergewassen_17;Houtvoorziening_18;Waterzuivering_19;Luchtfiltratie_20;Koolstofvastlegging_21;Koolstofopslag_22;Bestuiving_23;Regenwaterregulatie_24;Kustbescherming_25;VerminderingStedelijkeHitteEilanden_26;NatuurrecreatieWandelen_27;NatuurrecreatieOverig_28;Natuurtoerisme_29;GroeneLeefomgeving_30
0;Nederland;Totaal;2013;17922.0;11942.0;2140.0;425.0;23812.0;600.0;;334.0;27.0;7089.0;1.1;371.0;;65077.0;8785.0;328.0;737.0;80.0;153.0;195.0;99.0;;268.0;;138.0;;354.0;2132.0;3080.0;1222.0
1;Nederland;Totaal;2014;19899.0;13275.0;2096.0;416.0;23107.0;601.0;;350.0;27.0;6394.0;1.0;347.0;;64320.0;8941.0;363.0;713.0;74.0;124.0;191.0;102.0;;289.0;;138.0;;327.0;2257.0;3148.0;1214.0
2;Nederland;Totaal;2015;17245.0;12122.0;2063.0;421.0;18772.0;606.0;;366.0;27.0;6974.0;1.0;351.0;;64245.0;9138.0;425.0;843.0;77.0;179.0;161.0;107.0;;311.0;;140.0;;323.0;2037.0;3330.0;1206.0
3;Nederland;Totaal;2016;17567.0;12608.0;2024.0;426.0;18240.0;607.0;;361.0;27.0;6254.0;1.0;350.0;;67491.0;9680.0;463.0;978.0;84.0;188.0;159.0;110.0;;319.0;;152.0;;372.0;2106.0;3452.0;1296.0
4;Nederland;Totaal;2017;20907.0;13060.0;2002.0;429.0;17958.0;606.0;;306.0;27.0;6293.0;1.1;367.0;;81089.0;10270.0;419.0;866.0;77.0;196.0;158.0;114.0;;376.0;;149.0;;443.0;2217.0;3869.0;1386.0
5;Nederland;Totaal;2018;17322.0;10343.0;1974.0;451.0;19410.0;604.0;;355.0;27.0;6302.0;1.1;404.0;;84923.0;10809.0;392.0;663.0;82.0;191.0;173.0;118.0;;388.0;;153.0;;548.0;2328.0;4298.0;1476.0
6;Nederland;Totaal;2019;19109.0;11215.0;1942.0;441.0;17288.0;603.0;;347.0;27.0;6305.0;1.2;409.0;;79182.0;11047.0;499.0;695.0;64.0;196.0;156.0;122.0;;346.0;;156.0;;567.0;2270.0;4407.0;1570.0
7;Nederland;Totaal;2020;19084.0;11075.0;1915.0;458.0;14342.0;602.0;;334.0;27.0;6291.0;1.1;677.0;;69754.0;10590.0;507.0;613.0;83.0;193.0;140.0;126.0;;401.0;;156.0;;909.0;2031.0;3768.0;1664.0
8;Nederland;Totaal;2021;18868.0;12051.0;1888.0;441.0;14874.0;603.0;;322.0;27.0;6270.0;1.1;869.0;;79783.0;13313.0;564.0;597.0;88.0;171.0;152.0;130.0;;396.0;;163.0;;1307.0;2514.0;5251.0;1979.0
9;Nederland;Totaal;2022;19509.0;9915.0;1851.0;438.0;15408.0;600.0;;;23.0;6224.0;1.2;;;68413.0;;590.0;587.0;99.0;172.0;167.0;134.0;;;;178.0;;;2426.0;4960.0;2173.0
10;Nederland;Totaal bebouwde omgeving;2013;;;;;325.0;12.0;;;37.0;;0.9;56.0;;;;;;;;5.0;2.0;;;;;;54.0;;;50.0
11;Nederland;Totaal bebouwde omgeving;2014;;;;;314.0;12.0;;;38.0;;0.8;52.0;;;;;;;;5.0;2.0;;;;;;48.0;;;
12;Nederland;Totaal bebouwde omgeving;2015;;;;;253.0;12.0;;8.0;36.0;;0.8;54.0;;;112.0;;;;;4.0;2.0;;7.0;;;;49.0;;;50.0
13;Nederland;Totaal bebouwde omgeving;2016;;;;;249.0;12.0;;8.0;36.0;;0.8;62.0;;;;;;;;4.0;2.0;;7.0;;;;66.0;;;
14;Nederland;Totaal bebouwde omgeving;2017;;;;;219.0;11.0;;7.0;36.0;;0.9;55.0;;;;;;;;4.0;2.0;;8.0;;;;67.0;;;
15;Nederland;Totaal bebouwde omgeving;2018;;;;;232.0;11.0;;8.0;36.0;;0.9;61.0;;;159.0;;;;;4.0;2.0;;8.0;;;;83.0;;;61.0
16;Nederland;Totaal bebouwde omgeving;2019;;;;;203.0;11.0;;8.0;36.0;;1.0;63.0;;;;;;;;4.0;2.0;;7.0;;;;87.0;;;
17;Nederland;Totaal bebouwde omgeving;2020;;;;;167.0;11.0;;7.0;36.0;;0.9;104.0;;;223.0;;;;;3.0;2.0;;8.0;;;;140.0;;;70.0
18;Nederland;Totaal bebouwde omgeving;2021;;;;;172.0;11.0;;7.0;36.0;;0.9;135.0;;;296.0;;;;;3.0;2.0;;8.0;;;;203.0;;;79.0
19;Nederland;Totaal bebouwde omgeving;2022;;;;;186.0;12.0;;;19.0;;1.0;;;;;;;;;4.0;3.0;;;;;;;;;88.0
20;Nederland;Bebouwd gebied;2013;;;;;174.0;5.0;;;14.0;;0.9;51.0;;;;;;;;3.0;1.0;;;;;;49.0;;;20.0
21;Nederland;Bebouwd gebied;2014;;;;;169.0;5.0;;;16.0;;0.8;47.0;;;;;;;;2.0;1.0;;;;;;44.0;;;
22;Nederland;Bebouwd gebied;2015;;;;;134.0;5.0;;3.0;13.0;;0.8;49.0;;;71.0;;;;;2.0;1.0;;3.0;;;;45.0;;;20.0
23;Nederland;Bebouwd gebied;2016;;;;;128.0;5.0;;3.0;13.0;;0.8;57.0;;;;;;;;2.0;1.0;;3.0;;;;61.0;;;
24;Nederland;Bebouwd gebied;2017;;;;;99.0;5.0;;2.0;13.0;;0.9;50.0;;;;;;;;2.0;1.0;;3.0;;;;61.0;;;
25;Nederland;Bebouwd gebied;2018;;;;;104.0;4.0;;3.0;13.0;;0.9;56.0;;;105.0;;;;;2.0;1.0;;3.0;;;;76.0;;;25.0
26;Nederland;Bebouwd gebied;2019;;;;;91.0;4.0;;2.0;13.0;;1.0;57.0;;;;;;;;2.0;1.0;;2.0;;;;79.0;;;
27;Nederland;Bebouwd gebied;2020;;;;;75.0;4.0;;2.0;13.0;;0.9;94.0;;;162.0;;;;;1.0;1.0;;3.0;;;;127.0;;;30.0
28;Nederland;Bebouwd gebied;2021;;;;;76.0;4.0;;2.0;13.0;;0.9;123.0;;;224.0;;;;;2.0;1.0;;3.0;;;;184.0;;;35.0
