ID;Geslacht;LeeftijdOp31December;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Mannen en Vrouwen;Totaal;2023;336911;192469;144442
1;Mannen en Vrouwen;Totaal;2024;323309;201225;122084
2;Mannen en Vrouwen;Totaal;2025;314613;209453;105160
3;Mannen en Vrouwen;Totaal;2026;305314;217562;87752
4;Mannen en Vrouwen;Totaal;2027;305503;227798;77705
5;Mannen en Vrouwen;Totaal;2028;305973;238432;67541
6;Mannen en Vrouwen;Totaal;2029;307754;240326;67428
7;Mannen en Vrouwen;Totaal;2030;308688;241717;66971
8;Mannen en Vrouwen;Totaal;2031;309702;242704;66998
9;Mannen en Vrouwen;Totaal;2032;310202;243302;66900
10;Mannen en Vrouwen;Totaal;2033;309773;243440;66333
11;Mannen en Vrouwen;Totaal;2034;309123;244149;64974
12;Mannen en Vrouwen;Totaal;2035;309330;244902;64428
13;Mannen en Vrouwen;Totaal;2036;309381;245792;63589
14;Mannen en Vrouwen;Totaal;2037;309409;246701;62708
15;Mannen en Vrouwen;Totaal;2038;309439;247521;61918
16;Mannen en Vrouwen;Totaal;2039;309495;248236;61259
17;Mannen en Vrouwen;Totaal;2040;309565;248877;60688
18;Mannen en Vrouwen;Totaal;2041;309618;249430;60188
19;Mannen en Vrouwen;Totaal;2042;309706;249930;59776
20;Mannen en Vrouwen;Totaal;2043;309769;250414;59355
21;Mannen en Vrouwen;Totaal;2044;309872;250836;59036
22;Mannen en Vrouwen;Totaal;2045;309881;251232;58649
23;Mannen en Vrouwen;Totaal;2046;309895;251545;58350
24;Mannen en Vrouwen;Totaal;2047;309929;251815;58114
25;Mannen en Vrouwen;Totaal;2048;309956;252051;57905
26;Mannen en Vrouwen;Totaal;2049;309978;252294;57684
27;Mannen en Vrouwen;Totaal;2050;310012;252514;57498
28;Mannen en Vrouwen;Totaal;2051;310049;252834;57215
29;Mannen en Vrouwen;Totaal;2052;310053;253084;56969
30;Mannen en Vrouwen;Totaal;2053;310056;253291;56765
31;Mannen en Vrouwen;Totaal;2054;310103;253516;56587
32;Mannen en Vrouwen;Totaal;2055;310136;253758;56378
33;Mannen en Vrouwen;Totaal;2056;310194;254037;56157
34;Mannen en Vrouwen;Totaal;2057;310244;254317;55927
35;Mannen en Vrouwen;Totaal;2058;310319;254607;55712
36;Mannen en Vrouwen;Totaal;2059;310436;254899;55537
37;Mannen en Vrouwen;Totaal;2060;310499;255182;55317
38;Mannen en Vrouwen;Totaal;2061;310632;255464;55168
39;Mannen en Vrouwen;Totaal;2062;310742;255742;55000
40;Mannen en Vrouwen;Totaal;2063;310853;256005;54848
41;Mannen en Vrouwen;Totaal;2064;311001;256262;54739
42;Mannen en Vrouwen;Totaal;2065;311082;256521;54561
43;Mannen en Vrouwen;Totaal;2066;311228;256782;54446
44;Mannen en Vrouwen;Totaal;2067;311339;257028;54311
45;Mannen en Vrouwen;Totaal;2068;311396;257256;54140
46;Mannen en Vrouwen;Totaal;2069;311513;257480;54033
47;Mannen en Vrouwen;Totaal;2070;311608;257672;53936
48;Mannen en Vrouwen;0 jaar;2023;1772;436;1336
49;Mannen en Vrouwen;0 jaar;2024;1730;457;1273
50;Mannen en Vrouwen;0 jaar;2025;1720;487;1233
51;Mannen en Vrouwen;0 jaar;2026;1710;524;1186
52;Mannen en Vrouwen;0 jaar;2027;1713;568;1145
53;Mannen en Vrouwen;0 jaar;2028;1718;619;1099
54;Mannen en Vrouwen;0 jaar;2029;1735;639;1096
55;Mannen en Vrouwen;0 jaar;2030;1751;661;1090
56;Mannen en Vrouwen;0 jaar;2031;1760;682;1078
57;Mannen en Vrouwen;0 jaar;2032;1769;699;1070
58;Mannen en Vrouwen;0 jaar;2033;1776;712;1064
59;Mannen en Vrouwen;0 jaar;2034;1779;726;1053
60;Mannen en Vrouwen;0 jaar;2035;1783;737;1046
61;Mannen en Vrouwen;0 jaar;2036;1785;745;1040
62;Mannen en Vrouwen;0 jaar;2037;1788;751;1037
63;Mannen en Vrouwen;0 jaar;2038;1787;754;1033
64;Mannen en Vrouwen;0 jaar;2039;1789;755;1034
65;Mannen en Vrouwen;0 jaar;2040;1789;755;1034
66;Mannen en Vrouwen;0 jaar;2041;1789;755;1034
