ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;BanenVanWerknemersInDecember_1
0;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2010 december;7888.2
1;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2011 december;7937.7
2;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2012 december;7820.1
3;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2013 december;7701.0
4;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2014 december;7735.2
5;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2015 december;7846.1
6;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2016 december;7978.4
7;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2017 december;8208.6
8;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2018 december;8422.0
9;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2019 december;8560.5
10;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2020 december;8401.6
11;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2021 december;8697.6
12;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2022 december;8941.8
13;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2023 december;9020.0
14;A-U Alle economische activiteiten;Nederland;2010 december;7884.5
15;A-U Alle economische activiteiten;Nederland;2011 december;7932.9
16;A-U Alle economische activiteiten;Nederland;2012 december;7820.1
17;A-U Alle economische activiteiten;Nederland;2013 december;7701.0
18;A-U Alle economische activiteiten;Nederland;2014 december;7735.2
19;A-U Alle economische activiteiten;Nederland;2015 december;7846.1
20;A-U Alle economische activiteiten;Nederland;2016 december;7978.4
21;A-U Alle economische activiteiten;Nederland;2017 december;8208.6
22;A-U Alle economische activiteiten;Nederland;2018 december;8422.0
23;A-U Alle economische activiteiten;Nederland;2019 december;8543.9
24;A-U Alle economische activiteiten;Nederland;2020 december;8384.8
25;A-U Alle economische activiteiten;Nederland;2021 december;8679.6
26;A-U Alle economische activiteiten;Nederland;2022 december;8921.6
27;A-U Alle economische activiteiten;Nederland;2023 december;8996.7
28;A-U Alle economische activiteiten;"Nederland; niet in te delen";2010 december;3.7
29;A-U Alle economische activiteiten;"Nederland; niet in te delen";2011 december;4.8
30;A-U Alle economische activiteiten;"Nederland; niet in te delen";2012 december;
31;A-U Alle economische activiteiten;"Nederland; niet in te delen";2013 december;
32;A-U Alle economische activiteiten;"Nederland; niet in te delen";2014 december;
33;A-U Alle economische activiteiten;"Nederland; niet in te delen";2015 december;
34;A-U Alle economische activiteiten;"Nederland; niet in te delen";2016 december;
35;A-U Alle economische activiteiten;"Nederland; niet in te delen";2017 december;
