ID;BedrijfstakkenBranchesSBI93;Grootteklasse;Perioden;TotaalRDUitgaven_1;TotaalExploitatieUitgaven_2;BrutoLoonuitgaven_3;OverigeExploitatieUitgaven_4;TotaalRDInvesteringen_5;Gebouwen_6;Overig_7;TotaalRDPersoneelAbsoluut_8;Onderzoekers_9;Assistenten_10;OverigPersoneel_11;TotaalVrouwen_12;Onderzoekers_13;Assistenten_14;OverigPersoneel_15;TotaalArbeidsjaren_16;Onderzoekers_17;Assistenten_18;OverigPersoneel_19;AantalBedrijvenMetRD_20
0;Totaal bedrijfstakken;Totaal werknemers;1994;2915.0;2628.0;1622.0;1004.0;288.0;84.0;204.0;49184.0;17554.0;20157.0;11473.0;;;;;35993.0;13126.0;15609.0;7258.0;2631.0
1;Totaal bedrijfstakken;Totaal werknemers;1995;3132.0;2824.0;1701.0;1122.0;309.0;60.0;248.0;49209.0;16528.0;21654.0;11027.0;;;;;37817.0;13655.0;16607.0;7555.0;2336.0
2;Totaal bedrijfstakken;Totaal werknemers;1996;3342.0;3018.0;1812.0;1207.0;323.0;61.0;261.0;;;;;;;;;39501.0;14860.0;17930.0;6712.0;2775.0
3;Totaal bedrijfstakken;Totaal werknemers;1997;3714.0;3358.0;2053.0;1306.0;356.0;81.0;275.0;51664.0;20539.0;21483.0;9638.0;;;;;42411.0;17300.0;17762.0;7347.0;3172.0
4;Totaal bedrijfstakken;Totaal werknemers;1998;3720.0;3368.0;2038.0;1330.0;352.0;98.0;254.0;56172.0;22687.0;21947.0;11538.0;;;;;43872.0;18164.0;17517.0;8191.0;2815.0
5;Totaal bedrijfstakken;Totaal werknemers;1999;4263.0;3847.0;2239.0;1608.0;417.0;110.0;306.0;61377.0;24635.0;22608.0;14133.0;;;;;45181.0;19359.0;17226.0;8595.0;3472.0
6;Totaal bedrijfstakken;Totaal werknemers;2000;4457.0;4031.0;2361.0;1669.0;427.0;113.0;314.0;62451.0;26645.0;25073.0;10733.0;;;;;47509.0;20022.0;19945.0;7542.0;3837.0
7;Totaal bedrijfstakken;Totaal werknemers;2001;4712.0;4240.0;2544.0;1696.0;472.0;109.0;363.0;61180.0;28313.0;21779.0;11088.0;7580.0;2628.0;2278.0;2674.0;48366.0;22414.0;18102.0;7851.0;3624.0
8;Totaal bedrijfstakken;10-49 werknemers;1994;94.0;79.0;64.0;16.0;14.0;2.0;12.0;4194.0;1677.0;1514.0;1004.0;;;;;1794.0;827.0;670.0;299.0;781.0
9;Totaal bedrijfstakken;10-49 werknemers;1995;105.0;84.0;69.0;15.0;21.0;6.0;15.0;4024.0;1590.0;1633.0;801.0;;;;;1970.0;909.0;732.0;329.0;741.0
10;Totaal bedrijfstakken;10-49 werknemers;1996;163.0;149.0;106.0;43.0;13.0;2.0;10.0;;;;;;;;;3601.0;1734.0;1256.0;608.0;1211.0
11;Totaal bedrijfstakken;10-49 werknemers;1997;250.0;221.0;185.0;36.0;29.0;7.0;23.0;7639.0;3514.0;2824.0;1300.0;;;;;4850.0;2491.0;1752.0;606.0;1475.0
12;Totaal bedrijfstakken;10-49 werknemers;1998;232.0;208.0;144.0;64.0;24.0;10.0;14.0;8284.0;3663.0;2663.0;1958.0;;;;;4824.0;2280.0;1486.0;1058.0;1310.0
13;Totaal bedrijfstakken;10-49 werknemers;1999;349.0;294.0;226.0;69.0;54.0;31.0;23.0;10687.0;4703.0;3302.0;2682.0;;;;;5763.0;2947.0;1685.0;1131.0;1754.0
14;Totaal bedrijfstakken;10-49 werknemers;2000;265.0;237.0;173.0;64.0;28.0;11.0;17.0;10453.0;4953.0;3530.0;1970.0;;;;;6071.0;2987.0;2091.0;993.0;1990.0
15;Totaal bedrijfstakken;10-49 werknemers;2001;378.0;334.0;257.0;77.0;44.0;25.0;19.0;11561.0;5453.0;3106.0;3003.0;1900.0;545.0;437.0;918.0;7200.0;3578.0;1899.0;1724.0;1869.0
