ID;Geslacht;LeeftijdOp31December;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Mannen en Vrouwen;Totaal;2020;210629;151812;58817
1;Mannen en Vrouwen;Totaal;2021;243588;173301;70287
2;Mannen en Vrouwen;Totaal;2022;278977;181564;97413
3;Mannen en Vrouwen;Totaal;2023;288194;192871;95323
4;Mannen en Vrouwen;Totaal;2024;290245;203610;86635
5;Mannen en Vrouwen;Totaal;2025;294785;213206;81579
6;Mannen en Vrouwen;Totaal;2026;296415;220022;76393
7;Mannen en Vrouwen;Totaal;2027;297577;225447;72130
8;Mannen en Vrouwen;Totaal;2028;298952;229489;69463
9;Mannen en Vrouwen;Totaal;2029;297867;232498;65369
10;Mannen en Vrouwen;Totaal;2030;296781;234415;62366
11;Mannen en Vrouwen;Totaal;2031;296341;235674;60667
12;Mannen en Vrouwen;Totaal;2032;295627;236608;59019
13;Mannen en Vrouwen;Totaal;2033;294901;237201;57700
14;Mannen en Vrouwen;Totaal;2034;294116;237563;56553
15;Mannen en Vrouwen;Totaal;2035;294056;237950;56106
16;Mannen en Vrouwen;Totaal;2036;293943;238381;55562
17;Mannen en Vrouwen;Totaal;2037;293783;238808;54975
18;Mannen en Vrouwen;Totaal;2038;293616;239148;54468
19;Mannen en Vrouwen;Totaal;2039;293434;239406;54028
20;Mannen en Vrouwen;Totaal;2040;293245;239640;53605
21;Mannen en Vrouwen;Totaal;2041;293030;239820;53210
22;Mannen en Vrouwen;Totaal;2042;293021;240021;53000
23;Mannen en Vrouwen;Totaal;2043;293019;240256;52763
24;Mannen en Vrouwen;Totaal;2044;293026;240524;52502
25;Mannen en Vrouwen;Totaal;2045;293031;240792;52239
26;Mannen en Vrouwen;Totaal;2046;293043;241048;51995
27;Mannen en Vrouwen;Totaal;2047;293046;241291;51755
28;Mannen en Vrouwen;Totaal;2048;293071;241534;51537
29;Mannen en Vrouwen;Totaal;2049;293120;241802;51318
30;Mannen en Vrouwen;Totaal;2050;293201;242043;51158
31;Mannen en Vrouwen;Totaal;2051;293315;242403;50912
32;Mannen en Vrouwen;Totaal;2052;293393;242734;50659
33;Mannen en Vrouwen;Totaal;2053;293475;242984;50491
34;Mannen en Vrouwen;Totaal;2054;293590;243227;50363
35;Mannen en Vrouwen;Totaal;2055;293682;243465;50217
36;Mannen en Vrouwen;Totaal;2056;293780;243675;50105
37;Mannen en Vrouwen;Totaal;2057;293909;243876;50033
38;Mannen en Vrouwen;Totaal;2058;293996;244059;49937
39;Mannen en Vrouwen;Totaal;2059;294077;244234;49843
40;Mannen en Vrouwen;Totaal;2060;294215;244388;49827
41;Mannen en Vrouwen;Totaal;2061;294306;244540;49766
42;Mannen en Vrouwen;Totaal;2062;294422;244682;49740
43;Mannen en Vrouwen;Totaal;2063;294504;244816;49688
44;Mannen en Vrouwen;Totaal;2064;294584;244935;49649
45;Mannen en Vrouwen;Totaal;2065;294666;245051;49615
46;Mannen en Vrouwen;Totaal;2066;294757;245146;49611
47;Mannen en Vrouwen;Totaal;2067;294834;245235;49599
48;Mannen en Vrouwen;Totaal;2068;294897;245314;49583
49;Mannen en Vrouwen;Totaal;2069;294968;245382;49586
50;Mannen en Vrouwen;Totaal;2070;294968;245408;49560
51;Mannen en Vrouwen;0 jaar;2020;1219;334;885
52;Mannen en Vrouwen;0 jaar;2021;1387;403;984
53;Mannen en Vrouwen;0 jaar;2022;1605;421;1184
54;Mannen en Vrouwen;0 jaar;2023;1664;456;1208
55;Mannen en Vrouwen;0 jaar;2024;1682;484;1198
56;Mannen en Vrouwen;0 jaar;2025;1719;511;1208
57;Mannen en Vrouwen;0 jaar;2026;1739;527;1212
58;Mannen en Vrouwen;0 jaar;2027;1757;542;1215
59;Mannen en Vrouwen;0 jaar;2028;1772;556;1216
60;Mannen en Vrouwen;0 jaar;2029;1774;564;1210
61;Mannen en Vrouwen;0 jaar;2030;1768;572;1196
62;Mannen en Vrouwen;0 jaar;2031;1770;576;1194
63;Mannen en Vrouwen;0 jaar;2032;1767;577;1190
64;Mannen en Vrouwen;0 jaar;2033;1767;576;1191
65;Mannen en Vrouwen;0 jaar;2034;1765;574;1191
66;Mannen en Vrouwen;0 jaar;2035;1764;572;1192
67;Mannen en Vrouwen;0 jaar;2036;1762;570;1192
68;Mannen en Vrouwen;0 jaar;2037;1763;568;1195
69;Mannen en Vrouwen;0 jaar;2038;1758;565;1193
70;Mannen en Vrouwen;0 jaar;2039;1756;563;1193
71;Mannen en Vrouwen;0 jaar;2040;1755;560;1195
72;Mannen en Vrouwen;0 jaar;2041;1753;557;1196
73;Mannen en Vrouwen;0 jaar;2042;1752;555;1197
74;Mannen en Vrouwen;0 jaar;2043;1749;553;1196
75;Mannen en Vrouwen;0 jaar;2044;1749;552;1197
76;Mannen en Vrouwen;0 jaar;2045;1746;549;1197
77;Mannen en Vrouwen;0 jaar;2046;1745;547;1198
78;Mannen en Vrouwen;0 jaar;2047;1744;547;1197
79;Mannen en Vrouwen;0 jaar;2048;1744;546;1198
80;Mannen en Vrouwen;0 jaar;2049;1743;545;1198
81;Mannen en Vrouwen;0 jaar;2050;1743;544;1199
82;Mannen en Vrouwen;0 jaar;2051;1743;544;1199
83;Mannen en Vrouwen;0 jaar;2052;1745;545;1200
84;Mannen en Vrouwen;0 jaar;2053;1745;545;1200
85;Mannen en Vrouwen;0 jaar;2054;1745;545;1200
86;Mannen en Vrouwen;0 jaar;2055;1746;547;1199
87;Mannen en Vrouwen;0 jaar;2056;1748;549;1199
88;Mannen en Vrouwen;0 jaar;2057;1750;549;1201
89;Mannen en Vrouwen;0 jaar;2058;1753;551;1202
90;Mannen en Vrouwen;0 jaar;2059;1755;553;1202
91;Mannen en Vrouwen;0 jaar;2060;1757;556;1201
92;Mannen en Vrouwen;0 jaar;2061;1761;556;1205
93;Mannen en Vrouwen;0 jaar;2062;1761;557;1204
94;Mannen en Vrouwen;0 jaar;2063;1765;559;1206
95;Mannen en Vrouwen;0 jaar;2064;1766;559;1207
96;Mannen en Vrouwen;0 jaar;2065;1766;560;1206
97;Mannen en Vrouwen;0 jaar;2066;1766;559;1207
98;Mannen en Vrouwen;0 jaar;2067;1766;559;1207
99;Mannen en Vrouwen;0 jaar;2068;1767;558;1209
100;Mannen en Vrouwen;0 jaar;2069;1766;558;1208
101;Mannen en Vrouwen;0 jaar;2070;1766;557;1209
102;Mannen en Vrouwen;1 jaar;2020;1945;1137;808
103;Mannen en Vrouwen;1 jaar;2021;2197;1301;896
104;Mannen en Vrouwen;1 jaar;2022;2489;1341;1148
105;Mannen en Vrouwen;1 jaar;2023;2568;1449;1119
106;Mannen en Vrouwen;1 jaar;2024;2601;1557;1044
107;Mannen en Vrouwen;1 jaar;2025;2656;1647;1009
108;Mannen en Vrouwen;1 jaar;2026;2686;1715;971
109;Mannen en Vrouwen;1 jaar;2027;2711;1759;952
110;Mannen en Vrouwen;1 jaar;2028;2749;1803;946
111;Mannen en Vrouwen;1 jaar;2029;2754;1837;917
