ID;AgeMotherOn31December;Periods;TotalLiveBornChildren_1;FirstChild_2;SecondChild_3;ThirdChild_4;FourthOrFollowingChildren_5;TotalMaritalLiveBornChildren_6;FirstChild_7;SecondChild_8;ThirdChild_9;FourthOrFollowingChildren_10;TotalNonMaritalLiveBornChildren_11;FirstChild_12;SecondChild_13;ThirdChild_14;FourthOrFollowingChildren_15;TotalLiveBornChildren_16;FirstChild_17;SecondChild_18;ThirdChild_19;FourthOrFollowingChildren_20
0;Total (ages mothers);1950;229718.0;62373.0;56399.0;39183.0;71763.0;226289.0;59974.0;55980.0;38947.0;71388.0;3429.0;2399.0;419.0;236.0;375.0;90.53;24.58;22.23;15.44;28.28
1;Total (ages mothers);1951;228407.0;64301.0;54907.0;38459.0;70740.0;225174.0;62070.0;54475.0;38240.0;70389.0;3233.0;2231.0;432.0;219.0;351.0;89.4;25.17;21.49;15.05;27.69
2;Total (ages mothers);1952;231888.0;67992.0;54982.0;38141.0;70773.0;228709.0;65785.0;54541.0;37942.0;70441.0;3179.0;2207.0;441.0;199.0;332.0;90.59;26.56;21.48;14.9;27.65
3;Total (ages mothers);1953;227964.0;65933.0;55623.0;37664.0;68744.0;224998.0;63831.0;55260.0;37484.0;68423.0;2966.0;2102.0;363.0;180.0;321.0;88.87;25.7;21.68;14.68;26.8
4;Total (ages mothers);1954;228173.0;66458.0;56692.0;37338.0;67685.0;225232.0;64413.0;56330.0;37127.0;67362.0;2941.0;2045.0;362.0;211.0;323.0;88.63;25.82;22.02;14.5;26.29
5;Total (ages mothers);1955;229222.0;68443.0;56654.0;37823.0;66302.0;226451.0;66529.0;56301.0;37647.0;65974.0;2771.0;1914.0;353.0;176.0;328.0;88.54;26.44;21.88;14.61;25.61
6;Total (ages mothers);1956;231492.0;70117.0;58050.0;37347.0;65978.0;228621.0;68136.0;57697.0;37145.0;65643.0;2871.0;1981.0;353.0;202.0;335.0;88.99;26.96;22.32;14.36;25.36
7;Total (ages mothers);1957;233892.0;72540.0;59466.0;37828.0;64058.0;230975.0;70484.0;59111.0;37647.0;63733.0;2917.0;2056.0;355.0;181.0;325.0;89.45;27.74;22.74;14.47;24.5
8;Total (ages mothers);1958;236859.0;74821.0;60882.0;38041.0;63115.0;233926.0;72775.0;60540.0;37818.0;62793.0;2933.0;2046.0;342.0;223.0;322.0;89.73;28.34;23.06;14.41;23.91
9;Total (ages mothers);1959;242518.0;76420.0;64416.0;39073.0;62609.0;239185.0;74104.0;63994.0;38847.0;62240.0;3333.0;2316.0;422.0;226.0;369.0;90.91;28.65;24.15;14.65;23.47
10;Total (ages mothers);1960;239128.0;74486.0;64779.0;39735.0;60128.0;235899.0;72184.0;64389.0;39549.0;59777.0;3229.0;2302.0;390.0;186.0;351.0;89.01;27.73;24.11;14.79;22.38
11;Total (ages mothers);1961;247407.0;77577.0;67152.0;41793.0;60885.0;243874.0;75083.0;66746.0;41551.0;60494.0;3533.0;2494.0;406.0;242.0;391.0;90.12;28.26;24.46;15.22;22.18
12;Total (ages mothers);1962;246150.0;79152.0;66954.0;41503.0;58541.0;242440.0;76511.0;66508.0;41292.0;58129.0;3710.0;2641.0;446.0;211.0;412.0;87.96;28.29;23.93;14.83;20.92
13;Total (ages mothers);1963;249879.0;80776.0;69214.0;42269.0;57620.0;245888.0;77937.0;68772.0;42013.0;57166.0;3991.0;2839.0;442.0;256.0;454.0;87.95;28.43;24.36;14.88;20.28
14;Total (ages mothers);1964;250914.0;83512.0;70157.0;42748.0;54497.0;246553.0;80306.0;69656.0;42487.0;54104.0;4361.0;3206.0;501.0;261.0;393.0;87.2;29.02;24.38;14.86;18.94
15;Total (ages mothers);1965;245216.0;86598.0;69786.0;40497.0;48335.0;240705.0;83316.0;69277.0;40217.0;47895.0;4511.0;3282.0;509.0;280.0;440.0;84.09;29.7;23.93;13.89;16.58
16;Total (ages mothers);1966;239611.0;89397.0;70477.0;38199.0;41538.0;234915.0;85915.0;69909.0;37961.0;41130.0;4696.0;3482.0;568.0;238.0;408.0;81.14;30.27;23.87;12.94;14.07
17;Total (ages mothers);1967;238678.0;93373.0;72096.0;36448.0;36761.0;233725.0;89691.0;71500.0;36183.0;36351.0;4953.0;3682.0;596.0;265.0;410.0;79.77;31.21;24.1;12.18;12.29
18;Total (ages mothers);1968;237112.0;94222.0;74292.0;35484.0;33114.0;232293.0;90625.0;73729.0;35217.0;32722.0;4819.0;3597.0;563.0;267.0;392.0;78.21;31.08;24.5;11.7;10.92
19;Total (ages mothers);1969;247588.0;96717.0;80305.0;38099.0;32467.0;242210.0;92713.0;79707.0;37771.0;32019.0;5378.0;4004.0;598.0;328.0;448.0;80.58;31.48;26.14;12.4;10.57
20;Total (ages mothers);1970;238912.0;93167.0;80091.0;36879.0;28775.0;233944.0;89511.0;79537.0;36589.0;28307.0;4968.0;3656.0;554.0;290.0;468.0;76.96;30.01;25.8;11.88;9.27
21;Total (ages mothers);1971;227180.0;91766.0;77838.0;33441.0;24135.0;222708.0;88582.0;77273.0;33142.0;23711.0;4472.0;3184.0;565.0;299.0;424.0;72.29;29.2;24.77;10.64;7.68
22;Total (ages mothers);1972;214133.0;90338.0;76593.0;28500.0;18702.0;210056.0;87371.0;76108.0;28249.0;18328.0;4077.0;2967.0;485.0;251.0;374.0;67.25;28.37;24.05;8.95;5.87
23;Total (ages mothers);1973;194993.0;84363.0;72954.0;23310.0;14366.0;191304.0;81763.0;72462.0;23054.0;14025.0;3689.0;2600.0;492.0;256.0;341.0;60.49;26.17;22.63;7.23;4.46
24;Total (ages mothers);1974;185982.0;81122.0;72589.0;20948.0;11323.0;182296.0;78531.0;72029.0;20699.0;11037.0;3686.0;2591.0;560.0;249.0;286.0;56.89;24.82;22.21;6.41;3.46
25;Total (ages mothers);1975;177876.0;77995.0;70411.0;19457.0;10013.0;174056.0;75460.0;69743.0;19151.0;9702.0;3820.0;2535.0;668.0;306.0;311.0;53.58;23.49;21.21;5.86;3.02
26;Total (ages mothers);1976;177090.0;76465.0;70789.0;20136.0;9700.0;172735.0;73615.0;70022.0;19772.0;9326.0;4355.0;2850.0;767.0;364.0;374.0;52.47;22.66;20.98;5.97;2.87
27;Total (ages mothers);1977;173296.0;74026.0;69289.0;20475.0;9506.0;168549.0;70807.0;68459.0;20091.0;9192.0;4747.0;3219.0;830.0;384.0;314.0;50.59;21.61;20.23;5.98;2.78
28;Total (ages mothers);1978;175550.0;74971.0;69222.0;21923.0;9434.0;170191.0;71391.0;68257.0;21471.0;9072.0;5359.0;3580.0;965.0;452.0;362.0;50.49;21.56;19.91;6.31;2.71
29;Total (ages mothers);1979;174979.0;75894.0;66510.0;22753.0;9822.0;168976.0;71886.0;65388.0;22237.0;9465.0;6003.0;4008.0;1122.0;516.0;357.0;49.52;21.48;18.82;6.44;2.78
30;Total (ages mothers);1980;181294.0;78103.0;67228.0;24985.0;10978.0;173840.0;73140.0;65761.0;24350.0;10589.0;7454.0;4963.0;1467.0;635.0;389.0;50.52;21.77;18.74;6.96;3.06
31;Total (ages mothers);1981;178569.0;76368.0;65497.0;25169.0;11535.0;169910.0;70565.0;63747.0;24499.0;11099.0;8659.0;5803.0;1750.0;670.0;436.0;49.07;20.98;18.0;6.92;3.17
32;Total (ages mothers);1982;172071.0;73445.0;62512.0;24364.0;11750.0;161924.0;66589.0;60483.0;23567.0;11285.0;10147.0;6856.0;2029.0;797.0;465.0;46.74;19.95;16.98;6.62;3.19
33;Total (ages mothers);1983;170246.0;74602.0;60638.0;23426.0;11580.0;158389.0;66546.0;58259.0;22485.0;11099.0;11857.0;8056.0;2379.0;941.0;481.0;45.68;20.02;16.27;6.29;3.11
34;Total (ages mothers);1984;174436.0;78076.0;60727.0;23866.0;11767.0;161082.0;69194.0;57765.0;22890.0;11233.0;13354.0;8882.0;2962.0;976.0;534.0;46.2;20.68;16.08;6.32;3.12
35;Total (ages mothers);1985;178136.0;78392.0;63184.0;24507.0;12053.0;163370.0;68763.0;59823.0;23342.0;11442.0;14766.0;9629.0;3361.0;1165.0;611.0;46.59;20.51;16.53;6.41;3.15
36;Total (ages mothers);1986;184513.0;80380.0;66218.0;25560.0;12355.0;168293.0;69994.0;62346.0;24280.0;11673.0;16220.0;10386.0;3872.0;1280.0;682.0;47.71;20.79;17.12;6.61;3.2
37;Total (ages mothers);1987;186667.0;81712.0;66588.0;25731.0;12636.0;169282.0;70599.0;62478.0;24262.0;11943.0;17385.0;11113.0;4110.0;1469.0;693.0;47.78;20.92;17.05;6.59;3.24
38;Total (ages mothers);1988;186647.0;83209.0;65216.0;25601.0;12621.0;167696.0;71060.0;60711.0;24031.0;11894.0;18951.0;12149.0;4505.0;1570.0;727.0;47.45;21.15;16.58;6.51;3.21
39;Total (ages mothers);1989;188979.0;83684.0;66292.0;26247.0;12756.0;168802.0;71017.0;61303.0;24541.0;11941.0;20177.0;12667.0;4989.0;1706.0;815.0;47.79;21.16;16.76;6.64;3.23
40;Total (ages mothers);1990;197965.0;89237.0;68193.0;27474.0;13061.0;175440.0;74614.0;62883.0;25696.0;12247.0;22525.0;14623.0;5310.0;1778.0;814.0;49.86;22.48;17.18;6.92;3.29
41;Total (ages mothers);1991;198665.0;90011.0;68892.0;26965.0;12797.0;174839.0;74902.0;63021.0;25017.0;11899.0;23826.0;15109.0;5871.0;1948.0;898.0;49.77;22.55;17.26;6.76;3.21
42;Total (ages mothers);1992;196734.0;87147.0;69696.0;27007.0;12884.0;172251.0;71963.0;63318.0;24996.0;11974.0;24483.0;15184.0;6378.0;2011.0;910.0;49.07;21.74;17.38;6.74;3.21
43;Total (ages mothers);1993;195748.0;86888.0;70237.0;26396.0;12227.0;170100.0;70948.0;63588.0;24236.0;11328.0;25648.0;15940.0;6649.0;2160.0;899.0;48.68;21.61;17.47;6.56;3.04
44;Total (ages mothers);1994;195611.0;86999.0;69798.0;26652.0;12162.0;167712.0;69591.0;62648.0;24352.0;11121.0;27899.0;17408.0;7150.0;2300.0;1041.0;48.63;21.63;17.35;6.63;3.02
45;Total (ages mothers);1995;190513.0;85030.0;69611.0;24861.0;11011.0;160952.0;67236.0;61573.0;22241.0;9902.0;29561.0;17794.0;8038.0;2620.0;1109.0;47.32;21.12;17.29;6.18;2.74
46;Total (ages mothers);1996;189521.0;85792.0;68334.0;24631.0;10764.0;157329.0;65300.0;60025.0;22268.0;9736.0;32192.0;20492.0;8309.0;2363.0;1028.0;47.43;21.47;17.1;6.16;2.69
47;Total (ages mothers);1997;192443.0;89322.0;68173.0;24238.0;10710.0;155580.0;65912.0;58592.0;21526.0;9550.0;36863.0;23410.0;9581.0;2712.0;1160.0;48.48;22.5;17.17;6.11;2.7
48;Total (ages mothers);1998;199408.0;93876.0;69877.0;24970.0;10685.0;157969.0;67185.0;59190.0;22095.0;9499.0;41439.0;26691.0;10687.0;2875.0;1186.0;50.43;23.74;17.67;6.32;2.7
49;Total (ages mothers);1999;200445.0;93815.0;71289.0;24840.0;10501.0;154853.0;64650.0;59257.0;21732.0;9214.0;45592.0;29165.0;12032.0;3108.0;1287.0;50.79;23.77;18.06;6.29;2.66
50;Total (ages mothers);2000;206619.0;95972.0;74014.0;25685.0;10948.0;155080.0;63607.0;59970.0;22088.0;9415.0;51539.0;32365.0;14044.0;3597.0;1533.0;52.37;24.33;18.76;6.51;2.78
51;Total (ages mothers);2001;202603.0;93695.0;73533.0;24896.0;10479.0;147495.0;59510.0;58114.0;20923.0;8948.0;55108.0;34185.0;15419.0;3973.0;1531.0;51.28;23.72;18.61;6.3;2.65
52;Total (ages mothers);2002;202083.0;92199.0;74403.0;25312.0;10169.0;143558.0;56741.0;57303.0;20953.0;8561.0;58525.0;35458.0;17100.0;4359.0;1608.0;51.16;23.34;18.84;6.41;2.58
53;Total (ages mothers);2003;200297.0;91120.0;73952.0;25299.0;9926.0;138858.0;54522.0;55287.0;20759.0;8290.0;61439.0;36598.0;18665.0;4540.0;1636.0;50.79;23.11;18.75;6.42;2.52
54;Total (ages mothers);2004;194007.0;88432.0;71462.0;24518.0;9595.0;130978.0;51304.0;52013.0;19738.0;7923.0;63029.0;37128.0;19449.0;4780.0;1672.0;49.34;22.49;18.17;6.24;2.44
55;Total (ages mothers);2005;187910.0;84928.0;69668.0;23980.0;9334.0;122347.0;46965.0;48977.0;18769.0;7636.0;65563.0;37963.0;20691.0;5211.0;1698.0;47.97;21.68;17.78;6.12;2.38
56;Total (ages mothers);2006;185057.0;82877.0;69127.0;23680.0;9373.0;116482.0;43958.0;46728.0;18238.0;7558.0;68575.0;38919.0;22399.0;5442.0;1815.0;47.48;21.26;17.74;6.08;2.41
57;Total (ages mothers);2007;181336.0;81905.0;66842.0;23456.0;9133.0;109777.0;41299.0;43545.0;17625.0;7308.0;71559.0;40606.0;23297.0;5831.0;1825.0;46.77;21.13;17.24;6.05;2.36
58;Total (ages mothers);2008;184634.0;83335.0;68144.0;24021.0;9134.0;108497.0;40497.0;43240.0;17617.0;7143.0;76137.0;42838.0;24904.0;6404.0;1991.0;47.79;21.57;17.64;6.22;2.36
59;Total (ages mothers);2009;184915.0;85242.0;66819.0;23810.0;9044.0;104879.0;40310.0;40544.0;17079.0;6946.0;80036.0;44932.0;26275.0;6731.0;2098.0;47.99;22.12;17.34;6.18;2.35
60;Total (ages mothers);2010;184397.0;85466.0;66412.0;23604.0;8915.0;108645.0;42921.0;41658.0;17078.0;6988.0;75752.0;42545.0;24754.0;6526.0;1927.0;48.01;22.25;17.29;6.15;2.32
61;Total (ages mothers);2011;180060.0;83538.0;65423.0;22436.0;8663.0;104864.0;41524.0;40643.0;16012.0;6685.0;75196.0;42014.0;24780.0;6424.0;1978.0;47.09;21.85;17.11;5.87;2.27
62;Total (ages mothers);2012;175959.0;81617.0;64343.0;21616.0;8383.0;100929.0;39902.0;39339.0;15301.0;6387.0;75030.0;41715.0;25004.0;6315.0;1996.0;46.25;21.45;16.91;5.68;2.2
63;Total (ages mothers);2013;171341.0;79460.0;62905.0;20930.0;8046.0;97342.0;38458.0;38251.0;14629.0;6004.0;73999.0;41002.0;24654.0;6301.0;2042.0;45.29;21.0;16.63;5.53;2.13
64;Total (ages mothers);2014;175181.0;80744.0;64013.0;21754.0;8670.0;97933.0;38542.0;38153.0;14791.0;6447.0;77248.0;42202.0;25860.0;6963.0;2223.0;46.54;21.45;17.01;5.78;2.3
65;15 years or younger;1950;21.0;21.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;18.0;18.0;0.0;0.0;0.0;0.27;0.27;0.0;0.0;0.0
66;15 years or younger;1951;25.0;25.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;21.0;21.0;0.0;0.0;0.0;0.32;0.32;0.0;0.0;0.0
67;15 years or younger;1952;19.0;19.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;17.0;17.0;0.0;0.0;0.0;0.24;0.24;0.0;0.0;0.0
68;15 years or younger;1953;24.0;24.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;22.0;22.0;0.0;0.0;0.0;0.29;0.29;0.0;0.0;0.0
69;15 years or younger;1954;24.0;24.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;21.0;21.0;0.0;0.0;0.0;0.29;0.29;0.0;0.0;0.0
70;15 years or younger;1955;23.0;23.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;20.0;20.0;0.0;0.0;0.0;0.27;0.27;0.0;0.0;0.0
71;15 years or younger;1956;25.0;25.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;23.0;23.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0
72;15 years or younger;1957;47.0;47.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.0;0.55;0.55;0.0;0.0;0.0
73;15 years or younger;1958;50.0;50.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;43.0;43.0;0.0;0.0;0.0;0.54;0.54;0.0;0.0;0.0
74;15 years or younger;1959;48.0;48.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;42.0;42.0;0.0;0.0;0.0;0.49;0.49;0.0;0.0;0.0
75;15 years or younger;1960;52.0;52.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;42.0;42.0;0.0;0.0;0.0;0.57;0.57;0.0;0.0;0.0
76;15 years or younger;1961;77.0;77.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;70.0;70.0;0.0;0.0;0.0;0.6;0.6;0.0;0.0;0.0
77;15 years or younger;1962;67.0;67.0;0.0;0.0;0.0;13.0;13.0;0.0;0.0;0.0;54.0;54.0;0.0;0.0;0.0;0.54;0.54;0.0;0.0;0.0
78;15 years or younger;1963;60.0;60.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;0.0;51.0;51.0;0.0;0.0;0.0;0.52;0.52;0.0;0.0;0.0
79;15 years or younger;1964;76.0;76.0;0.0;0.0;0.0;11.0;11.0;0.0;0.0;0.0;65.0;65.0;0.0;0.0;0.0;0.69;0.69;0.0;0.0;0.0
80;15 years or younger;1965;58.0;58.0;0.0;0.0;0.0;13.0;13.0;0.0;0.0;0.0;45.0;45.0;0.0;0.0;0.0;0.54;0.54;0.0;0.0;0.0
81;15 years or younger;1966;79.0;79.0;0.0;0.0;0.0;15.0;15.0;0.0;0.0;0.0;64.0;64.0;0.0;0.0;0.0;0.74;0.74;0.0;0.0;0.0
82;15 years or younger;1967;83.0;83.0;0.0;0.0;0.0;17.0;17.0;0.0;0.0;0.0;66.0;66.0;0.0;0.0;0.0;0.76;0.76;0.0;0.0;0.0
83;15 years or younger;1968;84.0;84.0;0.0;0.0;0.0;21.0;21.0;0.0;0.0;0.0;63.0;63.0;0.0;0.0;0.0;0.78;0.78;0.0;0.0;0.0
84;15 years or younger;1969;95.0;95.0;0.0;0.0;0.0;21.0;21.0;0.0;0.0;0.0;74.0;74.0;0.0;0.0;0.0;0.88;0.88;0.0;0.0;0.0
85;15 years or younger;1970;88.0;88.0;0.0;0.0;0.0;15.0;15.0;0.0;0.0;0.0;73.0;73.0;0.0;0.0;0.0;0.81;0.81;0.0;0.0;0.0
86;15 years or younger;1971;97.0;96.0;1.0;0.0;0.0;23.0;22.0;1.0;0.0;0.0;74.0;74.0;0.0;0.0;0.0;0.88;0.87;0.01;0.0;0.0
87;15 years or younger;1972;93.0;93.0;0.0;0.0;0.0;22.0;22.0;0.0;0.0;0.0;71.0;71.0;0.0;0.0;0.0;0.83;0.83;0.0;0.0;0.0
88;15 years or younger;1973;66.0;66.0;0.0;0.0;0.0;19.0;19.0;0.0;0.0;0.0;47.0;47.0;0.0;0.0;0.0;0.58;0.58;0.0;0.0;0.0
89;15 years or younger;1974;68.0;64.0;4.0;0.0;0.0;17.0;14.0;3.0;0.0;0.0;51.0;50.0;1.0;0.0;0.0;0.58;0.55;0.03;0.0;0.0
90;15 years or younger;1975;58.0;57.0;1.0;0.0;0.0;13.0;12.0;1.0;0.0;0.0;45.0;45.0;0.0;0.0;0.0;0.5;0.49;0.01;0.0;0.0
91;15 years or younger;1976;55.0;55.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;49.0;49.0;0.0;0.0;0.0;0.46;0.46;0.0;0.0;0.0
92;15 years or younger;1977;52.0;52.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;47.0;47.0;0.0;0.0;0.0;0.43;0.43;0.0;0.0;0.0
93;15 years or younger;1978;57.0;57.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;50.0;50.0;0.0;0.0;0.0;0.47;0.47;0.0;0.0;0.0
94;15 years or younger;1979;56.0;55.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;54.0;53.0;1.0;0.0;0.0;0.45;0.45;0.01;0.0;0.0
95;15 years or younger;1980;53.0;53.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;47.0;47.0;0.0;0.0;0.0;0.44;0.44;0.0;0.0;0.0
96;15 years or younger;1981;41.0;41.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;38.0;38.0;0.0;0.0;0.0;0.34;0.34;0.0;0.0;0.0
97;15 years or younger;1982;59.0;59.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;56.0;56.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0
