ID;BedrijfstakBrancheSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;D Energiebedrijven;2003 januari;105.0;
1;D Energiebedrijven;2003 februari;96.4;
2;D Energiebedrijven;2003 maart;89.4;
3;D Energiebedrijven;2003 1e kwartaal;97.0;
4;D Energiebedrijven;2003 april;74.1;
5;D Energiebedrijven;2003 mei;66.7;
6;D Energiebedrijven;2003 juni;62.4;
7;D Energiebedrijven;2003 2e kwartaal;67.7;
8;D Energiebedrijven;2003 juli;58.0;
9;D Energiebedrijven;2003 augustus;60.9;
10;D Energiebedrijven;2003 september;65.5;
11;D Energiebedrijven;2003 3e kwartaal;61.5;
12;D Energiebedrijven;2003 oktober;84.9;
13;D Energiebedrijven;2003 november;92.1;
14;D Energiebedrijven;2003 december;116.2;
15;D Energiebedrijven;2003 4e kwartaal;97.7;
16;D Energiebedrijven;2003;81.0;
17;D Energiebedrijven;2004 januari;112.8;7.4
18;D Energiebedrijven;2004 februari;105.3;9.3
19;D Energiebedrijven;2004 maart;107.4;20.1
20;D Energiebedrijven;2004 1e kwartaal;108.5;11.9
21;D Energiebedrijven;2004 april;81.5;10.0
22;D Energiebedrijven;2004 mei;75.7;13.6
23;D Energiebedrijven;2004 juni;68.3;9.4
24;D Energiebedrijven;2004 2e kwartaal;75.2;11.0
25;D Energiebedrijven;2004 juli;67.3;15.9
26;D Energiebedrijven;2004 augustus;66.4;8.9
27;D Energiebedrijven;2004 september;73.8;12.8
28;D Energiebedrijven;2004 3e kwartaal;69.2;12.5
29;D Energiebedrijven;2004 oktober;82.7;-2.6
30;D Energiebedrijven;2004 november;98.4;6.9
31;D Energiebedrijven;2004 december;117.9;1.4
32;D Energiebedrijven;2004 4e kwartaal;99.7;2.0
33;D Energiebedrijven;2004;88.1;8.8
34;D Energiebedrijven;2005 januari;118.5;5.0
35;D Energiebedrijven;2005 februari;108.1;2.6
36;D Energiebedrijven;2005 maart;107.5;0.2
37;D Energiebedrijven;2005 1e kwartaal;111.4;2.7
38;D Energiebedrijven;2005 april;92.6;13.7
39;D Energiebedrijven;2005 mei;86.7;14.4
40;D Energiebedrijven;2005 juni;81.7;19.6
41;D Energiebedrijven;2005 2e kwartaal;87.0;15.7
42;D Energiebedrijven;2005 juli;73.0;8.5
43;D Energiebedrijven;2005 augustus;72.0;8.5
44;D Energiebedrijven;2005 september;83.2;12.7
45;D Energiebedrijven;2005 3e kwartaal;76.1;10.0
46;D Energiebedrijven;2005 oktober;97.4;17.7
47;D Energiebedrijven;2005 november;128.2;30.3
48;D Energiebedrijven;2005 december;151.2;28.2
49;D Energiebedrijven;2005 4e kwartaal;125.6;26.0
50;D Energiebedrijven;2005;100.0;13.5
51;D Energiebedrijven;2006 januari;163.4;37.9
52;D Energiebedrijven;2006 februari;165.4;53.0
53;D Energiebedrijven;2006 maart;153.3;42.5
54;D Energiebedrijven;2006 1e kwartaal;160.7;44.3
55;D Energiebedrijven;2006 april;119.1;28.6
56;D Energiebedrijven;2006 mei;99.2;14.4
57;D Energiebedrijven;2006 juni;87.2;6.7
58;D Energiebedrijven;2006 2e kwartaal;101.8;17.0
59;D Energiebedrijven;2006 juli;85.1;16.5
60;D Energiebedrijven;2006 augustus;87.2;21.1
61;D Energiebedrijven;2006 september;90.2;8.3
62;D Energiebedrijven;2006 3e kwartaal;87.5;15.0
63;D Energiebedrijven;2006 oktober;107.1;10.0
64;D Energiebedrijven;2006 november;118.9;-7.2
65;D Energiebedrijven;2006 december;136.9;-9.4
66;D Energiebedrijven;2006 4e kwartaal;121.0;-3.6
67;D Energiebedrijven;2006;117.7;17.7
68;D Energiebedrijven;2007 januari;143.3;-12.3
69;D Energiebedrijven;2007 februari;144.6;-12.6
70;D Energiebedrijven;2007 maart;135.2;-11.8
71;D Energiebedrijven;2007 1e kwartaal;141.0;-12.2
72;D Energiebedrijven;2007 april;99.4;-16.5
73;D Energiebedrijven;2007 mei;95.8;-3.4
74;D Energiebedrijven;2007 juni;91.0;4.4
75;D Energiebedrijven;2007 2e kwartaal;95.4;-6.3
76;D Energiebedrijven;2007 juli;91.0;7.0
77;D Energiebedrijven;2007 augustus;90.6;3.9
78;D Energiebedrijven;2007 september;96.3;6.9
79;D Energiebedrijven;2007 3e kwartaal;92.7;5.9
80;D Energiebedrijven;2007 oktober;123.2;15.0
81;D Energiebedrijven;2007 november;138.5;16.5
82;D Energiebedrijven;2007 december;155.1;13.3
83;D Energiebedrijven;2007 4e kwartaal;138.9;14.8
84;D Energiebedrijven;2007;117.0;-0.6
85;D Energiebedrijven;2008 januari;137.0;-4.4
86;D Energiebedrijven;2008 februari;162.0;12.0
87;D Energiebedrijven;2008 maart;142.7;5.5
88;D Energiebedrijven;2008 1e kwartaal;147.2;4.4
89;D Energiebedrijven;2008 april;114.4;15.1
90;D Energiebedrijven;2008 mei;104.9;9.5
91;D Energiebedrijven;2008 juni;92.7;1.9
92;D Energiebedrijven;2008 2e kwartaal;104.0;9.0
93;D Energiebedrijven;2008 juli;84.3;-7.4
94;D Energiebedrijven;2008 augustus;102.4;13.0
95;D Energiebedrijven;2008 september;109.9;14.0
96;D Energiebedrijven;2008 3e kwartaal;98.8;6.7
97;D Energiebedrijven;2008 oktober;111.5;-9.5
98;D Energiebedrijven;2008 november;140.5;1.4
99;D Energiebedrijven;2008 december;161.3;4.0
100;D Energiebedrijven;2008 4e kwartaal;137.7;-0.9
101;D Energiebedrijven;2008;122.0;4.2
102;D Energiebedrijven;2009 januari;157.0;14.6
103;D Energiebedrijven;2009 februari;188.1;16.1
104;D Energiebedrijven;2009 maart;167.8;17.6
105;D Energiebedrijven;2009 1e kwartaal;170.9;16.1
106;D Energiebedrijven;2009 april;126.7;10.7
107;D Energiebedrijven;2009 mei;103.9;-0.9
108;D Energiebedrijven;2009 juni;112.6;21.4
109;D Energiebedrijven;2009 2e kwartaal;114.4;10.0
110;D Energiebedrijven;2009 juli;97.2;15.4
111;D Energiebedrijven;2009 augustus;119.5;16.7
112;D Energiebedrijven;2009 september;110.8;0.8
113;D Energiebedrijven;2009 3e kwartaal;109.2;10.5
114;D Energiebedrijven;2009 oktober;131.0;17.5
115;D Energiebedrijven;2009 november;148.9;6.0
116;D Energiebedrijven;2009 december;180.3;11.8
117;D Energiebedrijven;2009 4e kwartaal;153.4;11.4
118;D Energiebedrijven;2009;137.0;12.3
119;D Energiebedrijven;2010 januari;155.2;-1.1
120;D Energiebedrijven;2010 februari;153.9;-18.2
121;D Energiebedrijven;2010 maart;131.2;-21.8
122;D Energiebedrijven;2010 1e kwartaal;146.8;-14.1
123;D Energiebedrijven;2010 april;101.4;-20.0
124;D Energiebedrijven;2010 mei;97.5;-6.2
125;D Energiebedrijven;2010 juni;88.8;-21.1
126;D Energiebedrijven;2010 2e kwartaal;95.9;-16.2
127;D Energiebedrijven;2010 juli;85.3;-12.2
128;D Energiebedrijven;2010 augustus;94.3;-21.1
129;D Energiebedrijven;2010 september;98.2;-11.3
130;D Energiebedrijven;2010 3e kwartaal;92.6;-15.2
131;D Energiebedrijven;2010 oktober;112.1;-14.4
132;D Energiebedrijven;2010 november;127.5;-14.4
133;D Energiebedrijven;2010 december;161.3;-10.5
134;D Energiebedrijven;2010 4e kwartaal;133.6;-12.9
135;D Energiebedrijven;2010;117.2;-14.4
136;D Energiebedrijven;2011 januari;132.9;-14.4
137;D Energiebedrijven;2011 februari;133.2;-13.4
138;D Energiebedrijven;2011 maart;131.7;0.4
