ID;Belastingdruk25Groepen;KenmerkenHuishouden;Perioden;AantalParticuliereHuishoudens_1;AandeelParticuliereHuishoudens_2
0;113;10000;2006;1777;25.0
1;113;10000;2007;1791;25.0
2;113;10000;2008;1810;25.0
3;113;10000;2009;1826;25.0
4;113;10000;2010;1835;25.0
5;113;10000;2011;1854;25.0
6;113;10000;2012;1868;25.0
7;113;10000;2013;1871;25.0
8;113;10000;2014;1890;25.0
9;113;10050;2006;822;33.2
10;113;10050;2007;829;33.0
11;113;10050;2008;900;35.1
12;113;10050;2009;899;34.6
13;113;10050;2010;885;33.8
14;113;10050;2011;898;33.5
15;113;10050;2012;902;33.2
16;113;10050;2013;881;32.5
17;113;10050;2014;900;32.4
18;113;10450;2006;266;23.6
19;113;10450;2007;274;23.9
20;113;10450;2008;299;25.3
21;113;10450;2009;305;25.4
22;113;10450;2010;295;24.2
23;113;10450;2011;303;24.2
24;113;10450;2012;306;23.9
25;113;10450;2013;304;23.7
26;113;10450;2014;321;24.5
27;113;10500;2006;173;18.3
28;113;10500;2007;178;18.6
29;113;10500;2008;193;19.6
30;113;10500;2009;199;20.1
31;113;10500;2010;187;18.6
32;113;10500;2011;191;18.5
33;113;10500;2012;186;17.8
34;113;10500;2013;191;18.3
35;113;10500;2014;210;19.9
36;113;10550;2006;93;50.4
37;113;10550;2007;96;50.3
38;113;10550;2008;106;53.6
39;113;10550;2009;106;50.7
40;113;10550;2010;108;51.2
41;113;10550;2011;112;50.9
42;113;10550;2012;120;51.1
43;113;10550;2013;114;46.8
44;113;10550;2014;112;43.7
45;113;10600;2006;556;41.3
46;113;10600;2007;554;40.7
47;113;10600;2008;601;43.6
48;113;10600;2009;593;42.5
49;113;10600;2010;590;42.1
50;113;10600;2011;595;41.7
51;113;10600;2012;596;41.4
52;113;10600;2013;577;40.3
53;113;10600;2014;578;39.5
54;113;10650;2006;162;21.3
55;113;10650;2007;160;20.9
56;113;10650;2008;179;22.9
57;113;10650;2009;179;22.8
58;113;10650;2010;176;22.2
59;113;10650;2011;174;21.7
60;113;10650;2012;170;21.3
61;113;10650;2013;172;21.6
62;113;10650;2014;180;22.2
63;113;10700;2006;395;67.0
64;113;10700;2007;394;66.3
65;113;10700;2008;422;70.5
66;113;10700;2009;414;68.0
67;113;10700;2010;414;68.1
68;113;10700;2011;421;67.5
69;113;10700;2012;425;66.6
70;113;10700;2013;405;63.6
71;113;10700;2014;398;61.2
72;113;10100;2006;955;20.6
73;113;10100;2007;963;20.7
74;113;10100;2008;910;19.4
75;113;10100;2009;927;19.7
76;113;10100;2010;950;20.1
77;113;10100;2011;956;20.2
78;113;10100;2012;966;20.3
79;113;10100;2013;990;20.7
80;113;10100;2014;990;20.7
81;113;10150;2006;711;17.9
82;113;10150;2007;710;17.8
83;113;10150;2008;696;17.4
84;113;10150;2009;723;18.1
85;113;10150;2010;765;18.6
86;113;10150;2011;772;18.8
87;113;10150;2012;785;19.1
88;113;10150;2013;807;19.6
89;113;10150;2014;808;19.6
90;113;10200;2006;461;22.7
91;113;10200;2007;462;22.5
92;113;10200;2008;502;24.3
93;113;10200;2009;518;24.9
94;113;10200;2010;552;26.1
95;113;10200;2011;559;26.4
96;113;10200;2012;565;26.6
97;113;10200;2013;574;26.8
98;113;10200;2014;568;26.5
99;113;10750;2006;102;7.6
100;113;10750;2007;99;7.3
101;113;10750;2008;103;7.7
102;113;10750;2009;103;7.8
103;113;10750;2010;118;8.8
104;113;10750;2011;107;8.3
105;113;10750;2012;98;7.8
106;113;10750;2013;105;8.3
107;113;10750;2014;111;9.0
108;113;10800;2006;359;52.1
109;113;10800;2007;363;51.3
110;113;10800;2008;400;54.7
111;113;10800;2009;415;55.0
112;113;10800;2010;434;55.5
113;113;10800;2011;452;54.7
114;113;10800;2012;467;54.2
115;113;10800;2013;469;52.9
116;113;10800;2014;458;50.2
117;113;10250;2006;200;15.0
118;113;10250;2007;198;14.8
119;113;10250;2008;146;11.0
120;113;10250;2009;153;11.6
121;113;10250;2010;158;11.8
122;113;10250;2011;159;11.8
123;113;10250;2012;164;12.3
124;113;10250;2013;172;13.0
125;113;10250;2014;176;13.5
126;113;10300;2006;50;8.3
127;113;10300;2007;50;8.4
128;113;10300;2008;48;8.0
129;113;10300;2009;52;8.7
130;113;10300;2010;55;8.5
131;113;10300;2011;54;8.3
132;113;10300;2012;56;8.5
133;113;10300;2013;61;9.3
134;113;10300;2014;63;9.5
135;113;10350;2006;205;46.0
136;113;10350;2007;213;47.5
137;113;10350;2008;175;37.8
138;113;10350;2009;162;34.0
139;113;10350;2010;157;33.1
140;113;10350;2011;155;31.5
141;113;10350;2012;154;30.6
142;113;10350;2013;155;30.1
143;113;10350;2014;155;29.4
144;113;10850;2006;161;64.5
145;113;10850;2007;170;66.6
146;113;10850;2008;132;50.6
147;113;10850;2009;124;46.6
148;113;10850;2010;119;45.8
149;113;10850;2011;116;43.1
150;113;10850;2012;120;43.4
151;113;10850;2013;122;43.5
152;113;10850;2014;120;42.3
153;113;10900;2006;44;22.4
154;113;10900;2007;44;22.5
155;113;10900;2008;43;21.4
156;113;10900;2009;37;17.9
157;113;10900;2010;39;17.9
158;113;10900;2011;39;17.5
159;113;10900;2012;34;15.0
160;113;10900;2013;33;14.0
161;113;10900;2014;35;14.3
162;113;10400;2006;39;17.4
163;113;10400;2007;39;17.7
164;113;10400;2008;39;17.8
165;113;10400;2009;43;18.7
166;113;10400;2010;28;20.1
167;113;10400;2011;29;20.9
168;113;10400;2012;27;20.1
