ID;LabourVolumeTeachers;Periods;Institutions_1;TotalPupilsStudentsAvPerInst_2;Music_3;Dance_4;Art_5;AudioVisual_6;Drama_7;LanguageAndLiterature_8;Other_9;TotalManYears_10;Teachers_11;TotalReceiptsAvPerInstitution_12;SubsidiesGrantedByMunicipalities_13;SubsidiesGrantedByProvinces_14;Fees_15;OtherReceipts_16;TotalExpenditureAvPerInstitution_17;TeachingStaff_18;Accommodation_19;OtherCosts_20
0;Total;1993;262;1489;66;8;17;2;2;0;5;17;75.0;724;67;2;28;3;725;54;11;35
1;Total;1995;250;1519;67;8;15;2;3;1;4;17;70.0;758;67;2;28;3;758;76;10;14
2;Total;1997;244;1554;66;8;16;2;3;1;4;18;70.0;831;66;1;28;5;828;75;11;14
3;Total;1999;240;1600;66;9;14;1;4;3;3;18;70.0;884;66;1;28;5;884;74;10;16
4;Total;2001;235;1754;59;10;18;2;5;1;5;19;68.0;1028;62;2;28;8;1028;71;10;19
5;Total;2003;235;1830;63;10;16;3;6;1;2;20;67.0;1132;59;3;28;10;1132;73;11;16
6;Total;2005;237;1890;63;10;14;3;5;1;5;19;64.0;1248;61;3;27;9;1248;72;12;16
7;Total;2007;245;1941;59;12;14;3;7;1;4;19;65.0;1262;61;3;27;9;1262;71;13;16
8;< 2.5 man-years;1993;46;441;15;8;62;4;8;1;3;3;67.0;144;56;3;32;9;142;40;17;43
9;< 2.5 man-years;1995;42;431;15;9;51;4;12;1;9;3;;134;52;7;33;8;135;68;15;17
10;< 2.5 man-years;1997;45;528;9;7;59;5;7;1;12;4;48.0;154;56;5;31;8;154;63;16;21
11;< 2.5 man-years;1999;42;450;12;8;67;2;5;1;5;3;54.0;157;62;4;28;6;157;74;12;14
12;< 2.5 man-years;2001;44;702;30;10;34;2;5;1;19;3;46.0;286;55;4;30;11;286;76;11;13
13;< 2.5 man-years;2003;47;773;29;10;40;2;13;0;5;3;53.0;207;49;3;32;16;207;61;16;23
14;< 2.5 man-years;2005;49;660;29;12;40;3;9;1;6;4;38.0;414;57;2;23;18;414;67;17;15
15;< 2.5 man-years;2007;51;789;24;15;37;5;15;1;3;4;34.0;406;44;18;23;15;406;62;13;25
16;2.5 - 5 man-years;1993;39;825;27;8;51;4;4;1;5;6;67.0;319;55;11;31;3;318;44;11;45
17;2.5 - 5 man-years;1995;39;765;18;8;53;5;7;4;5;6;;271;54;4;33;9;265;67;13;20
18;2.5 - 5 man-years;1997;42;699;36;7;43;5;5;1;3;6;67.0;251;55;0;36;9;251;73;12;15
19;2.5 - 5 man-years;1999;39;782;14;6;50;7;7;4;12;7;57.0;269;56;6;33;5;269;76;11;13
20;2.5 - 5 man-years;2001;37;938;14;10;47;5;10;6;8;7;55.0;336;55;3;33;9;336;70;14;16
21;2.5 - 5 man-years;2003;37;975;31;9;40;6;9;1;4;6;57.0;331;57;1;31;11;331;69;14;17
22;2.5 - 5 man-years;2005;37;823;28;10;37;10;8;1;6;6;54.0;360;54;1;31;14;360;71;17;13
23;2.5 - 5 man-years;2007;35;908;24;14;38;6;16;1;2;6;56.0;337;54;1;32;13;337;71;15;13
24;5 - 10 man-years;1993;47;970;66;8;21;2;2;0;2;10;70.0;435;64;3;30;3;432;55;11;34
25;5 - 10 man-years;1995;54;980;63;10;18;1;3;1;3;11;;458;65;3;29;3;454;74;10;16
26;5 - 10 man-years;1997;49;1028;70;10;14;2;2;0;1;11;72.0;550;63;0;31;6;550;73;11;16
27;5 - 10 man-years;1999;46;960;65;7;17;3;4;1;3;11;67.0;501;64;0;30;6;501;74;11;15
28;5 - 10 man-years;2001;40;1184;60;9;20;3;5;0;3;11;67.0;631;60;6;30;4;631;78;8;14
29;5 - 10 man-years;2003;36;1064;71;9;10;1;5;1;4;12;67.0;611;59;7;32;2;611;75;12;13
30;5 - 10 man-years;2005;38;1383;62;15;16;2;4;0;2;11;68.0;649;59;1;30;10;649;71;12;16
31;5 - 10 man-years;2007;42;1297;63;14;14;4;4;0;1;11;68.0;734;57;1;29;12;734;70;15;15
32;10 - 15 man-years;1993;52;1583;68;7;12;1;1;0;11;16;75.0;669;66;2;27;5;669;57;10;33
33;10 - 15 man-years;1995;48;1454;83;7;8;1;1;0;0;17;;750;67;2;29;2;749;78;8;14
34;10 - 15 man-years;1997;42;1559;81;7;9;0;2;0;1;18;73.0;826;64;4;29;3;826;78;8;14
35;10 - 15 man-years;1999;46;1550;86;9;4;0;0;0;1;18;71.0;840;67;1;28;4;840;77;10;13
