ID;Perioden;TotaalAantalInstellingen_1;TotaalAantalVestigingen_2;MinderDan25Bewoners_3;k_2549Bewoners_4;k_5074Bewoners_5;k_7599Bewoners_6;k_100149Bewoners_7;k_150199Bewoners_8;k_200249Bewoners_9;k_250EnMeerBewoners_10;TotaalVerzorgingsEnAnderePlaatsen_11;Verzorgingsplaatsen_12;Ziekenbedden_13;BeddenOpNietErkendeVerpleegafdeling_14;TotaalAppartementen_15;Eenpersoons_16;Meerpersoons_17;AfzonderlijkeZorgwoningen_18;TotaalAantalVestigingen_19;KortdurendeOpname_20;DagverzorgingOpvang_21;NachtverzorgingOpvang_22;Maaltijdverstrekking_23;AansluitingOpAlarmsysteem_24;AantalPersonen_25;AantalVerzorgingsdagen_26;AantalPersonen_27;AantalVerzorgingsdagen_28;AantalPersonen_29;AantalVerzorgingsdagen_30;AantalPersonen_31;AantalVerzorgingsnachten_32;AantalPersonen_33;AantalVerzorgingsuren_34;AantalPersonen_35;AantalVerzorgingsuren_36;AantalPersonen_37;AantalVerzorgingsuren_38;GemiddeldPerDag_39;AantalPersonen_40;OpAlarmsysteemAangeslotenWoningen_41;TotaalMannenEnVrouwen_42;Mannen_43;Vrouwen_44;TotaalMetZonderIndicatieVerzorgHuis_45;MetIndicatieVerzorgingshuis_46;ZonderIndicatieVerzorgingshuis_47;TotaalMannenEnVrouwen_48;Mannen_49;Vrouwen_50;TotaalMannenEnVrouwen_51;Mannen_52;Vrouwen_53;TotaalMannenEnVrouwen_54;Mannen_55;Vrouwen_56;TotaalMannenEnVrouwen_57;Mannen_58;Vrouwen_59;TotaalBijgekomenBewoners_60;Mannen_61;Vrouwen_62;TotaalVertrokkenBewoners_63;Mannen_64;Vrouwen_65;TotaalOverledenBewoners_66;Mannen_67;Vrouwen_68;TotaalBijgekomen_69;EigenOmgeving_70;WoningBehorendBijVerzorgingshuis_71;ZiekenhuisOfPsychiatrischZiekenhuis_72;AnderVerzorgingshuis_73;Verpleeghuis_74;TotaalVertrokken_75;EigenWoning_76;WoningBehorendBijVerzorgingshuis_77;ZiekenhuisOfPsychiatrischZiekenhuis_78;AnderVerzorgingshuis_79;Verpleeghuis_80;TotaalWerkzamePersonen_81;VolledigeWeektaak_82;GedeeltelijkeWeektaak_83;FteS_84;WerkzamePersonen_85;Uren_86;FteS_87;WerkzamePersonen_88;Uren_89;WerkzamePersonen_90;Uren_91;WerkzamePersonen_92;Uren_93;WerkzamePersonen_94;Uren_95;WerkzamePersonen_96;Uren_97;WerkzamePersonen_98;Uren_99;TotaalResultaatVoorBelastingen_100;TotaalBedrijfsresultaat_101;TotaalBedrijfsopbrengsten_102;TotaalOpbrengstenDienstverlening_103;OpbrengstenTerDekkingWettelijkBudget_104;TotaalOverigeOpbrengstenDienstverl_105;OpbrengstenZorgAndereInstell_106;EigenBetalingenVanClienten_107;OpbrengstenOverigeZorgverlening_108;OpbrengstenOverigeDienstverlening_109;TotaalOverigeBedrijfsopbrengsten_110;TotaalSubsidiesEnBijdragen_111;Loonkostensubsidies_112;WBOSubsidie_113;AndereOverheidssubsidies_114;OverigeSubsidies_115;OverigeBedrijfsopbrengstenNEG_116;TotaalBedrijfslasten_117;TotaalArbeidskosten_118;BrutoLonenEnSalarissen_119;Pensioenlasten_120;WerkgAandSocVoorzOvSocLasten_121;AfschrijvOpImMaterieleVasteActiva_122;TotaalOverigeBedrijfslasten_123;TotaalAnderePersoneelskosten_124;KostenUitzendkrachtenED_125;OpleidingsknEnOverigePersoneelskn_126;TotaalKnVoedingEnAndHotelmKn_127;KostenVoeding_128;AndereHotelmatigeKosten_129;AlgemeneKosten_130;ClientBewonergebondenKosten_131;TotaalTerreinEnGebouwgebondenKosten_132;Energiekosten_133;Onderhoudskosten_134;HuurEnOperationeleLeasingKapGoed_135;OverigeBedrijfslastenNEG_136;TotaalFinancieelResultaat_137;FinancieleBaten_138;FinancieleLasten_139;TotaalSaldoVoorzieningen_140;OnttrekkingenAanVoorzieningen_141;ToevoegingenAanVoorzieningen_142;TotaalBuitengewoonResultaat_143;BuitengewoneBaten_144;BuitengewoneLasten_145;TotaalWettBudgetAanvaardbareKosten_146;DuurzaamVerblijf_147;KortdurendVerblijfDagNachtverzorging_148;ExtramuraleEnOverigeZorg_149;OpbrengstenTerDekkingWettelijkBudget_150;FinancieringsverschilBoekjaar_151
0;1995;;1425.0;57.0;184.0;396.0;314.0;323.0;100.0;30.0;21.0;127838;125491;2347;202.0;115926;106641;9285;48194.0;1425.0;87.0;53.0;18.0;75.0;66.0;;;219.0;729.0;159.0;;6.0;;;;;;;;484.0;;594.0;117491;24904;92587;117491;;;4.6;4.3;4.7;23.1;20.7;23.8;40.5;38.3;41.0;31.8;36.7;30.5;25082;6592.0;18490.0;6556;;;;;;25082;83;7;3;4;3;6556;7;0;4;15;74;83708;16989;66719;50201;17712;5932467;2852;7074;2553517;3864;666420;873;163988;2337;1723109;12521.0;4697104.0;50253.0;4981313.0;17;183;2427;1040;62;978;54;924;;;1386;1365;14;1333;14;4;21;2244;1287;;;;108;849;113;76;37;229;169;60;104;11;169;86;83;215;8;-160;14;174;;;;-6;5;11;62;11;16;35;62;0
1;1996;;1404.0;54.0;194.0;389.0;325.0;313.0;84.0;30.0;15.0;123042;121004;2039;145.0;112196;103547;8650;50902.0;1404.0;83.0;50.0;18.0;70.0;54.0;;;241.0;575.0;165.0;;3.0;;;;;;;;517.0;;625.0;113033;23778;89255;113033;;;4.9;4.6;5.0;24.7;22.4;25.3;41.0;38.5;41.6;29.4;34.6;28.1;25074;6613.0;18461.0;6382;1292.0;5090.0;21201.0;6059.0;15142.0;25074;83;7;3;4;3;6382;7;0;3;15;75;83429;15704;67725;49666;18473;5875757;2825;7552;2717279;4181;483312;965;177426;2406;2056541;12145.0;3745927.0;53040.0;5107033.0;-2;161;2435;1050;74;976;57;919;;;1384;1358;17;1323;13;5;26;2274;1303;;;;107;863;115;77;38;230;170;60;108;13;175;92;83;214;8;-159;14;173;;;;-3;6;10;74;5;18;52;74;0
2;1997;;1394.0;61.0;204.0;416.0;307.0;292.0;78.0;26.0;10.0;117309;116323;986;;109586;100752;8835;51690.0;1394.0;86.0;45.0;11.0;72.0;68.0;;;241.0;701.0;150.0;;6.0;;;;;;;;500.0;;646.0;111719;23747;87972;111719;;;4.9;4.5;5.0;25.0;22.8;25.6;42.3;39.4;43.1;27.8;33.3;26.3;25735;6931.0;18804.0;6239;1227.0;5012.0;20967.0;6142.0;14825.0;25735;84;7;3;3;4;6239;7;0;3;12;77;86103;15686;70417;51707;19052;5590580;2688;9782;3180023;6112;604596;1001;223712;2669;2351715;11782.0;3458650.0;56699.0;5513488.0;18;187;2483;2430;2361;69;56;13;;;52;30;14;0;11;4;22;2296;1316;;;;109;871;117;78;39;231;167;64;113;13;172;91;81;217;8;-162;14;176;;;;-7;6;12;2361;2242;29;91;2361;0
3;1998;;1380.0;53.0;213.0;429.0;307.0;278.0;73.0;21.0;6.0;114250;112815;1435;;106381;97813;8574;;1380.0;88.0;47.0;12.0;73.0;70.0;;;266.0;787.0;174.0;;17.0;;;;;;;;546.0;;661.0;107806;23110;84695;107806;;;5.2;4.7;5.4;26.4;23.0;27.3;43.2;41.1;43.7;25.5;31.2;23.9;25598;6855.0;18743.0;6027;1276.0;4751.0;21551.0;6135.0;15416.0;25598;83;6;2;4;4;6027;8;0;2;14;77;86647;14783;71864;52462;16689;5195065;3010;9809;3540763;6176;794313;1113;155614;2520;2590836;11640.0;3461805.0;57529.0;5943439.0;9;184;2605;2544;2470;74;65;9;;;61;34;17;0;11;5;27;2421;1402;;;;111;909;124;83;41;246;178;68;121;16;173;90;83;220;8;-164;15;179;;;;-10;7;17;2470;2315;41;114;2470;0
4;1999;;1366.0;46.0;208.0;423.0;311.0;279.0;75.0;18.0;6.0;112441;111372;1069;;105636;95664;9972;54923.0;1366.0;87.0;47.0;10.0;72.0;70.0;;;281.0;755.0;208.0;;16.0;;;;;;;;575.0;;669.0;107065;22577;84488;107065;;;5.3;5.8;5.2;26.2;25.1;26.5;45.7;42.9;46.5;22.7;26.1;21.8;26333;6879.0;19454.0;6394;1324.0;5070.0;21888.0;6079.0;15809.0;26333;87;6;2;2;4;6394;6;0;1;15;78;89797;13887;75910;53893;11985;3597701;2084;13333;3449339;7441;900314;2037;289271;3855;2259754;;;;;8;183;2745;2673;2590;83;72;11;;;72;38;23;0;8;6;34;2562;1500;;;;117;945;127;80;47;268;196;73;124;16;173;88;86;227;9;-166;12;178;;;;-8;9;18;2590;2386;50;154;2590;0
5;2000;;1352.0;45.0;228.0;402.0;324.0;264.0;67.0;16.0;6.0;110669;109646;1023;;103805;93384;10421;54745.0;1353.0;88.0;49.0;11.0;72.0;72.0;;;275.0;764.0;209.0;;16.0;;;;;;;;588.0;;675.0;104113;22188;81925;104113;;;5.4;5.9;5.2;25.5;24.2;25.9;46.7;44.1;47.4;22.4;25.8;21.5;26800;7099.0;19701.0;7132;1460.0;5672.0;21569.0;5918.0;15651.0;26800;87;5;1;2;3;7132;8;0;1;16;75;91163;13711;77457;54333;12241;3682602;2132;13257;3390357;7923;1156213;1605;229668;3729;2004476;10657.0;3020411.0;57916.0;6402625.0;2;177;2892;2815;2727;88;76;12;;;77;46;26;0;10;11;31;2714;1570;;;;124;1021;142;88;54;301;218;82;135;21;182;93;89;227;13;-153;13;166;;;;-22;9;30;2727;2496;54;177;2727;0
6;2001;;1346.0;44.0;218.0;415.0;314.0;260.0;75.0;14.0;6.0;109885;108864;1021;;101375;92382;8993;56066.0;1346.0;88.0;50.0;11.0;70.0;71.0;;;281.0;774.0;204.0;;16.0;;;;;;;;575.0;;667.0;102920;22075;80845;102920;;;5.7;5.5;5.7;25.8;23.2;26.5;47.3;46.6;47.6;21.2;24.7;20.2;26808;7176.0;19632.0;6861;1434.0;5427.0;21668.0;5764.0;15904.0;26808;86;6;1;2;5;6861;10;0;1;14;75;95058;13973;81085;55809;12733;3750592;2170;13346;3427614;8068;1185630;1612;227850;3666;2014134;10523.0;2801438.0;60739.0;6540602.0;10;172;3065;2977;2885;92;80;12;;;87;51;27;0;12;12;36;2892;1674;;;;141;1076;161;95;66;317;228;89;135;22;185;102;83;248;7;-144;18;162;;;;-19;10;29;2885;2608;72;206;2885;0
7;2002;;1342.0;42.0;216.0;424.0;303.0;270.0;67.0;14.0;6.0;108933;107944;989;;100415;91664;8751;58513.0;1342.0;89.0;53.0;11.0;70.0;69.0;1325.0;38624.0;294.0;890.0;226.0;1312.0;16.0;15.0;746.0;5254.0;173.0;875.0;174.0;1368.0;588.0;716.0;673.0;102088;22012;80077;102088;100813.0;1275.0;;;;;;;;;;;;;27237;;;7116;;;20690.0;;;27237;86;5;2;3;4;7116;11;1;1;13;74;104392;15102;89290;61442;12825;3792106;2194;13256;3465382;8053;1192457;1656;228567;3546;2044358;10261.0;2830598.0;61255.0;6797363.0;115;225;3819;3650;3291;359;192;3;77.0;87.0;169;79;53;0;12;13;90;3594;2117;1727.0;72.0;318.0;176;1302;166;93;73;396;286;110;199;25;220;119;100;279;18;-122;25;147;;;;12;21;9;3291;2919;90;281;3291;0
8;2003;574.0;;;;;;;;;;108163;107050;1113;;101071;93310;7761;54286.0;;;;;;;1289.0;38284.0;305.0;924.0;232.0;1333.0;12.0;16.0;651.0;4512.0;155.0;807.0;155.0;1223.0;588.0;698.0;671.0;100797;21947;78851;100797;;;;;;;;;;;;;;;28077;;;7776;;;21478.0;;;28077;85;5;3;3;4;7776;11;1;5;10;74;108605;15098;93507;64217;13716;3500712;2026;13184;3610466;8097;1192538;1589;218773;3498;2199155;10319.0;2597108.0;60444.0;6624615.0;115;239;4066;3870;3400;470;243;11;100.0;116.0;195;95;57;0;14;24;100;3828;2280;1808.0;99.0;373.0;194;1354;193;109;84;419;301;118;192;27;220;122;98;280;23;-128;20;148;;;;4;10;6;3400;2939;106;355;3400;0
9;2004*;588.0;;;;;;;;;;106975;105841;1134;;99225;91677;7548;49202.0;;;;;;;1299.0;37579.0;302.0;910.0;;;12.0;16.0;;;;;;;;;;100213;22155;78058;100213;;;;;;;;;;;;;;;29265;;;8056;;;21669.0;;;29265;84;5;4;3;4;8056;10;1;5;11;73;111529;14716;96813;65504;13962;3631150;2136;12963;3592466;7846;1155583;1599;223450;3518;2213433;10255.0;2598554.0;60136.0;6373466.0;107;220;4193;3996;3520;476;243;10;91.0;132.0;197;83;48;0;11;24;114;3973;2360;1877.0;127.0;358.0;211;1402;196;108;88;433;311;121;202;27;231;126;106;296;17;-118;19;137;;;;5;10;5;3520;3009;98;413;3520;0
