ID;MarktEnOpinieonderzoek;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Markt- en opinieonderzoek totaal;2006 1e kwartaal;100.0;;;100
1;Markt- en opinieonderzoek totaal;2006 2e kwartaal;100.0;0.0;;100
2;Markt- en opinieonderzoek totaal;2006 3e kwartaal;100.0;0.0;;100
3;Markt- en opinieonderzoek totaal;2006 4e kwartaal;100.0;0.0;;100
4;Markt- en opinieonderzoek totaal;2006 jaargemiddelde;100.0;;;100
5;Markt- en opinieonderzoek totaal;2007 1e kwartaal;102.9;2.9;2.9;100
6;Markt- en opinieonderzoek totaal;2007 2e kwartaal;102.5;-0.4;2.5;100
7;Markt- en opinieonderzoek totaal;2007 3e kwartaal;102.7;0.2;2.7;100
8;Markt- en opinieonderzoek totaal;2007 4e kwartaal;102.7;0.0;2.7;100
9;Markt- en opinieonderzoek totaal;2007 jaargemiddelde;102.7;;2.7;100
10;Markt- en opinieonderzoek totaal;2008 1e kwartaal;105.2;2.4;2.2;100
11;Kwantitatief onderzoek;2006 1e kwartaal;100.0;;;87
12;Kwantitatief onderzoek;2006 2e kwartaal;100.0;0.0;;87
13;Kwantitatief onderzoek;2006 3e kwartaal;100.0;0.0;;87
14;Kwantitatief onderzoek;2006 4e kwartaal;100.0;0.0;;87
15;Kwantitatief onderzoek;2006 jaargemiddelde;100.0;;;87
16;Kwantitatief onderzoek;2007 1e kwartaal;102.8;2.8;2.8;87
17;Kwantitatief onderzoek;2007 2e kwartaal;102.5;-0.3;2.5;87
18;Kwantitatief onderzoek;2007 3e kwartaal;102.6;0.1;2.6;87
19;Kwantitatief onderzoek;2007 4e kwartaal;102.6;0.0;2.6;87
20;Kwantitatief onderzoek;2007 jaargemiddelde;102.6;;2.6;87
21;Kwantitatief onderzoek;2008 1e kwartaal;105.2;2.5;2.3;87
22;Kwalitatief onderzoek;2006 1e kwartaal;100.0;;;13
23;Kwalitatief onderzoek;2006 2e kwartaal;100.0;0.0;;13
24;Kwalitatief onderzoek;2006 3e kwartaal;100.0;0.0;;13
25;Kwalitatief onderzoek;2006 4e kwartaal;100.0;0.0;;13
26;Kwalitatief onderzoek;2006 jaargemiddelde;100.0;;;13
27;Kwalitatief onderzoek;2007 1e kwartaal;103.1;3.1;3.1;13
28;Kwalitatief onderzoek;2007 2e kwartaal;102.2;-0.9;2.2;13
29;Kwalitatief onderzoek;2007 3e kwartaal;103.2;1.0;3.2;13
30;Kwalitatief onderzoek;2007 4e kwartaal;103.2;0.0;3.2;13
31;Kwalitatief onderzoek;2007 jaargemiddelde;102.9;;2.9;13
32;Kwalitatief onderzoek;2008 1e kwartaal;105.6;2.3;2.4;13
