ID;Perioden;Aardappelen_1;Bier_2;Brood_3;Hamlappen_4;Kaas_5;Eieren_6;Koffie_7;Margarine_8;Melk_9;Riblappen_10;Rijst_11;Roomboter_12;Suiker_13;Thee_14
49;1849;0.01;0.02;0.09;0.23;0.16;0.01;0.11;;0.02;0.18;0.08;0.08;0.22;
50;1850;0.01;0.02;0.09;0.23;0.16;0.01;0.14;;0.02;0.21;0.08;0.07;0.22;0.05
51;1851;0.01;0.02;0.08;0.22;0.16;0.01;0.12;;0.02;0.17;0.07;0.08;0.21;
52;1852;0.01;0.02;0.09;0.25;0.17;0.01;0.12;;0.02;0.18;0.07;0.08;0.18;
53;1853;0.02;0.02;0.1;0.27;0.2;0.01;0.14;;0.02;0.22;0.07;0.1;0.2;0.07
54;1854;0.02;0.02;0.1;0.28;0.21;0.01;0.13;;0.02;0.28;0.09;0.11;0.22;0.06
55;1855;0.02;0.02;0.11;0.31;0.2;0.01;0.14;;0.02;0.29;0.1;0.11;0.23;0.09
56;1856;0.02;0.02;0.1;0.35;0.23;0.01;0.15;;0.03;0.27;0.1;0.12;0.25;
57;1857;0.01;0.02;0.08;0.0;0.19;0.01;0.17;;0.03;0.31;0.07;0.13;0.28;0.09
58;1858;0.01;0.02;0.07;0.25;0.17;0.01;0.14;;0.03;0.26;0.07;0.12;0.28;0.09
59;1859;0.01;0.02;0.07;0.23;0.17;0.01;0.16;;0.03;0.25;0.06;0.12;0.24;0.08
60;1860;0.02;0.02;0.07;0.24;0.18;0.01;0.18;;0.03;0.28;0.07;0.12;0.24;0.13
61;1861;0.02;0.02;0.08;0.27;0.15;0.01;0.18;;0.03;0.27;0.08;0.12;0.24;0.07
62;1862;0.02;0.02;0.07;;0.15;0.01;0.2;;0.03;;0.09;0.12;0.23;0.09
63;1863;0.01;0.02;0.07;;0.17;0.01;0.2;;0.03;0.25;0.08;0.12;0.22;0.12
64;1864;0.01;0.02;0.06;;0.2;0.01;0.2;;0.03;0.28;0.08;0.13;0.23;0.08
65;1865;0.01;0.02;0.06;;0.21;0.01;0.2;;0.03;0.32;0.08;0.13;0.24;0.06
66;1866;0.02;0.02;0.06;;0.19;0.01;0.19;;0.03;0.29;0.09;0.13;0.23;0.06
67;1867;0.02;0.02;0.07;;0.21;0.01;0.18;;0.03;0.29;0.08;0.13;0.23;0.06
68;1868;0.02;0.02;0.07;0.28;0.2;0.01;0.16;;0.03;0.29;0.08;0.14;0.23;0.08
69;1869;0.02;0.02;0.06;;0.23;0.01;0.17;;0.03;0.26;0.07;0.14;0.25;0.07
70;1870;0.02;0.02;0.06;0.38;0.19;0.01;0.15;;0.03;0.31;0.06;0.15;0.25;0.06
71;1871;0.02;0.02;0.07;0.36;0.21;0.01;0.16;;0.03;0.34;0.07;0.15;0.24;0.06
72;1872;0.02;0.02;0.07;0.36;0.19;0.02;0.2;;0.03;0.37;0.07;0.14;0.25;0.07
73;1873;0.02;0.02;0.07;0.36;0.21;0.02;0.25;;0.03;0.39;0.07;0.15;0.25;0.06
74;1874;0.02;0.02;0.07;0.39;0.2;0.02;0.28;;0.03;0.36;0.07;0.16;0.24;0.06
75;1875;0.01;0.02;0.06;0.35;0.17;0.02;0.26;;0.03;0.35;0.06;0.16;0.23;0.06
76;1876;0.02;0.02;0.06;0.36;0.19;0.02;0.24;;0.03;0.35;0.07;0.17;0.22;0.06
77;1877;0.02;0.02;0.07;0.0;0.19;0.02;0.24;;0.03;0.38;0.07;0.16;0.24;0.05
78;1878;0.02;0.02;0.06;0.29;0.17;0.02;0.22;;0.03;0.39;0.07;0.15;0.24;0.05
79;1879;0.03;0.02;0.06;0.28;0.15;0.02;0.2;;0.03;0.36;0.07;0.14;0.21;0.0
80;1880;0.02;0.02;0.06;0.34;0.18;0.02;0.19;0.23;0.03;0.36;0.07;0.16;0.22;0.05
81;1881;0.02;0.02;0.06;0.34;0.17;0.02;0.16;0.2;0.03;0.38;0.07;0.15;0.23;0.05
82;1882;0.02;0.02;0.06;0.35;0.17;0.02;0.13;0.21;0.03;0.4;0.06;0.15;0.23;0.04
83;1883;0.02;0.02;0.05;0.36;0.19;0.02;0.14;0.19;0.03;0.41;0.06;0.15;0.23;0.04
84;1884;0.01;0.02;0.05;0.29;0.18;0.02;0.14;0.18;0.03;0.4;0.06;0.14;0.2;0.04
85;1885;0.01;0.02;0.05;0.27;0.15;0.02;0.12;0.15;0.03;0.34;0.05;0.13;0.2;0.05
86;1886;0.01;0.02;0.05;0.25;0.16;0.01;0.15;0.13;0.03;0.32;0.05;0.13;0.18;0.05
87;1887;0.02;0.02;0.05;0.25;0.16;0.01;0.23;0.14;0.03;0.3;0.05;0.12;0.17;0.05
88;1888;0.02;0.02;0.05;0.0;0.17;0.01;0.19;0.13;0.03;0.4;0.05;0.13;0.18;0.04
89;1889;0.02;0.02;0.05;0.25;0.15;0.01;0.23;0.13;0.03;0.41;0.05;0.13;0.19;0.04
90;1890;0.02;0.02;0.05;0.31;0.19;0.01;0.25;0.13;0.03;0.3;0.06;0.13;0.19;0.04
91;1891;0.02;0.02;0.05;0.29;0.18;0.01;0.26;0.15;0.03;0.29;0.06;0.13;0.18;0.04
92;1892;0.01;0.02;0.05;0.28;0.16;0.01;0.25;0.14;0.03;0.29;0.05;0.14;0.18;0.03
93;1893;0.01;0.02;0.04;0.31;0.17;0.02;0.24;0.15;0.03;0.26;0.05;0.14;0.19;0.04
94;1894;0.02;0.02;0.04;0.3;0.16;0.01;0.24;0.13;0.03;0.28;0.05;0.12;0.18;0.03
95;1895;0.01;0.02;0.04;0.27;0.16;0.01;0.25;0.11;0.03;0.26;0.05;0.12;0.17;0.03
96;1896;0.01;0.02;0.04;0.27;0.16;0.01;0.23;0.08;0.03;0.25;0.05;0.12;0.16;0.03
