ID;SITC;GroupsOfCountries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5;ImportValue_6;ExportValue_7;BalanceOfTrade_8;ChangeInImportValue_9;ChangeInExportValue_10
0;Total goods;Total;2002 January;;;;;;16647.0;18341.0;1694.0;-13.6;-11.0
1;Total goods;Total;2002 February;;;;;;16157.0;18364.0;2207.0;-10.2;-7.6
2;Total goods;Total;2002 March;;;;;;18180.0;20783.0;2603.0;-10.1;-7.6
3;Total goods;Total;2002 April;;;;;;17650.0;18939.0;1289.0;-0.5;-2.2
4;Total goods;Total;2002 May;;;;;;17127.0;19666.0;2539.0;-10.1;-6.5
5;Total goods;Total;2002 June;;;;;;17124.0;19600.0;2476.0;-9.3;-6.7
6;Total goods;Total;2002 July;;;;;;16508.0;18771.0;2263.0;-7.2;-0.6
7;Total goods;Total;2002 August;;;;;;15787.0;17809.0;2022.0;-7.2;-3.5
8;Total goods;Total;2002 September;;;;;;17508.0;20393.0;2885.0;0.7;3.5
9;Total goods;Total;2002 October;;;;;;18677.0;20820.0;2143.0;1.2;0.6
10;Total goods;Total;2002 November;;;;;;17513.0;20096.0;2584.0;-3.4;-0.9
11;Total goods;Total;2002 December;;;;;;16697.0;19119.0;2422.0;1.9;1.1
12;Total goods;Total;2002;;;;;;205575.0;232702.0;27127.0;-5.8;-3.6
13;Total goods;Total;2003 January;;;;;;17503.0;19788.0;2285.0;5.1;7.9
14;Total goods;Total;2003 February;;;;;;17136.0;19421.0;2285.0;6.1;5.8
15;Total goods;Total;2003 March;;;;;;18500.0;21025.0;2525.0;1.8;1.2
16;Total goods;Total;2003 April;;;;;;16934.0;18803.0;1869.0;-4.1;-0.7
17;Total goods;Total;2003 May;;;;;;16567.0;18882.0;2315.0;-3.3;-4.0
18;Total goods;Total;2003 June;;;;;;16267.0;18783.0;2516.0;-5.0;-4.2
19;Total goods;Total;2003 July;;;;;;16624.0;18613.0;1989.0;0.7;-0.8
20;Total goods;Total;2003 August;;;;;;15130.0;16784.0;1654.0;-4.2;-5.8
21;Total goods;Total;2003 September;;;;;;17532.0;20795.0;3263.0;0.1;2.0
22;Total goods;Total;2003 October;;;;;;18897.0;21561.0;2664.0;1.2;3.6
23;Total goods;Total;2003 November;;;;;;17639.0;19996.0;2358.0;0.7;-0.5
24;Total goods;Total;2003 December;;;;;;18137.0;19714.0;1577.0;8.6;3.1
25;Total goods;Total;2003;;;;;;206867.0;234166.0;27299.0;0.6;0.6
26;Total goods;Total;2004 January;;;;;;16970.0;19109.0;2139.0;;
27;Total goods;Total;2004 February;;;;;;17338.0;19303.0;1965.0;;
28;Total goods;Total;2004 March;;;;;;20235.0;22749.0;2514.0;;
29;Total goods;Total;2004 April;;;;;;18219.0;20337.0;2119.0;;
30;Total goods;Total;2004 May;;;;;;17819.0;19708.0;1889.0;;
31;Total goods;Total;2004 June;;;;;;19680.0;22369.0;2689.0;;
32;Total goods;Total;2004 July;;;;;;18387.0;20795.0;2408.0;;
33;Total goods;Total;2004 August;;;;;;18183.0;19579.0;1396.0;;
34;Total goods;Total;2004 September;;;;;;19894.0;23189.0;3296.0;;
35;Total goods;Total;2004 October;;;;;;20186.0;22817.0;2631.0;;
36;Total goods;Total;2004 November;;;;;;20736.0;23119.0;2382.0;;
37;Total goods;Total;2004 December;;;;;;20554.0;22395.0;1842.0;;
38;Total goods;Total;2004;;;;;;228200.0;255468.0;27269.0;;
39;Total goods;Total;2005 January;;;;;;18712.0;21089.0;2377.0;10.3;10.4
40;Total goods;Total;2005 February;;;;;;18700.0;21258.0;2558.0;7.9;10.1
41;Total goods;Total;2005 March;;;;;;21073.0;24200.0;3127.0;4.1;6.4
42;Total goods;Total;2005 April;;;;;;20286.0;23109.0;2823.0;11.3;13.6
43;Total goods;Total;2005 May;;;;;;19332.0;22215.0;2883.0;8.5;12.7
44;Total goods;Total;2005 June;;;;;;20865.0;23696.0;2831.0;6.0;5.9
45;Total goods;Total;2005 July;;;;;;20147.0;22140.0;1992.0;9.6;6.5
46;Total goods;Total;2005 August;;;;;;20404.0;22300.0;1896.0;12.2;13.9
47;Total goods;Total;2005 September;;;;;;22327.0;25408.0;3081.0;12.2;9.6
48;Total goods;Total;2005 October;;;;;;22280.0;24896.0;2616.0;10.4;9.1
49;Total goods;Total;2005 November;;;;;;23042.0;25897.0;2855.0;11.1;12.0
50;Total goods;Total;2005 December;;;;;;22631.0;24891.0;2260.0;10.1;11.1
51;Total goods;Total;2005;;;;;;249798.0;281097.0;31299.0;9.5;10.0
52;Total goods;Total;2006 January;;;;;;22776.0;24922.0;2146.0;21.7;18.2
53;Total goods;Total;2006 February;;;;;;21510.0;24702.0;3193.0;15.0;16.2
54;Total goods;Total;2006 March;;;;;;25393.0;29256.0;3863.0;20.5;20.9
55;Total goods;Total;2006 April;;;;;;22442.0;24909.0;2466.0;10.6;7.8
56;Total goods;Total;2006 May;;;;;;24215.0;26421.0;2206.0;25.3;18.9
57;Total goods;Total;2006 June;;;;;;24104.0;27203.0;3099.0;15.5;14.8
58;Total goods;Total;2006 July;;;;;;22783.0;24362.0;1580.0;13.1;10.0
59;Total goods;Total;2006 August;;;;;;23178.0;25405.0;2226.0;13.6;13.9
60;Total goods;Total;2006 September;;;;;;24148.0;27461.0;3313.0;8.2;8.1
61;Total goods;Total;2006 October;;;;;;25645.0;28187.0;2542.0;15.1;13.2
62;Total goods;Total;2006 November;;;;;;25551.0;29212.0;3662.0;10.9;12.8
63;Total goods;Total;2006 December;;;;;;23629.0;26921.0;3292.0;4.4;8.2
64;Total goods;Total;2006;;;;;;285373.0;318961.0;33588.0;14.2;13.5
65;Total goods;Total;2007 January;24175.0;27021.0;2846.0;;;24470.0;27370.0;2900.0;7.4;9.8
66;Total goods;Total;2007 February;23658.0;26484.0;2826.0;;;23764.0;26724.0;2960.0;10.5;8.2
67;Total goods;Total;2007 March;26727.0;30707.0;3980.0;;;26470.0;30759.0;4289.0;4.2;5.1
