ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total;The Netherlands;1965;1836
1;Listed monuments total;The Netherlands;1966;9663
2;Listed monuments total;The Netherlands;1967;16141
3;Listed monuments total;The Netherlands;1968;19491
4;Listed monuments total;The Netherlands;1969;21302
5;Listed monuments total;The Netherlands;1970;29024
6;Listed monuments total;The Netherlands;1971;32226
7;Listed monuments total;The Netherlands;1972;33931
8;Listed monuments total;The Netherlands;1973;36879
9;Listed monuments total;The Netherlands;1974;37900
10;Listed monuments total;The Netherlands;1975;38844
11;Listed monuments total;The Netherlands;1976;39892
12;Listed monuments total;The Netherlands;1977;40332
13;Listed monuments total;The Netherlands;1978;40840
14;Listed monuments total;The Netherlands;1979;41180
15;Listed monuments total;The Netherlands;1980;41569
16;Listed monuments total;The Netherlands;1981;41767
17;Listed monuments total;The Netherlands;1982;41978
18;Listed monuments total;The Netherlands;1983;42194
19;Listed monuments total;The Netherlands;1984;42590
20;Listed monuments total;The Netherlands;1985;42893
21;Listed monuments total;The Netherlands;1986;43069
22;Listed monuments total;The Netherlands;1987;43167
23;Listed monuments total;The Netherlands;1988;43311
24;Listed monuments total;The Netherlands;1989;43382
25;Listed monuments total;The Netherlands;1990;43506
26;Listed monuments total;The Netherlands;1991;43743
27;Listed monuments total;The Netherlands;1992;44098
28;Listed monuments total;The Netherlands;1993;44542
29;Listed monuments total;The Netherlands;1994;45186
30;Listed monuments total;The Netherlands;1995;45656
31;Listed monuments total;The Netherlands;1996;46076
32;Listed monuments total;The Netherlands;1997;47195
33;Listed monuments total;The Netherlands;1998;48428
34;Listed monuments total;The Netherlands;1999;50232
35;Listed monuments total;The Netherlands;2000;52035
36;Listed monuments total;The Netherlands;2001;55443
37;Listed monuments total;The Netherlands;2002;59350
38;Listed monuments total;The Netherlands;2003;60059
39;Listed monuments total;The Netherlands;2004;61087
40;Listed monuments total;The Netherlands;2005;61903
41;Listed monuments total;The Netherlands;2006;62682
42;Listed monuments total;The Netherlands;2007;62969
43;Listed monuments total;The Netherlands;2008;63109
44;Listed monuments total;The Netherlands;2009;63190
45;Listed monuments total;The Netherlands;2010;63486
46;Listed monuments total;The Netherlands;2011;63716
47;Listed monuments total;The Netherlands;2012;63975
48;Listed monuments total;The Netherlands;2013;63163
49;Listed monuments total;The Netherlands;2014;63201
50;Listed monuments total;The Netherlands;2015;63283
51;Listed monuments total;The Netherlands;2016;63406
52;Listed monuments total;The Netherlands;2017;63424
53;Listed monuments total;The Netherlands;2018;63366
54;Listed monuments total;The Netherlands;2019;63323
55;Listed monuments total;The Netherlands;2020;63273
56;Listed monuments total;Noord-Nederland (LD);1965;409
57;Listed monuments total;Noord-Nederland (LD);1966;924
58;Listed monuments total;Noord-Nederland (LD);1967;1686
59;Listed monuments total;Noord-Nederland (LD);1968;2406
60;Listed monuments total;Noord-Nederland (LD);1969;2414
61;Listed monuments total;Noord-Nederland (LD);1970;2722
62;Listed monuments total;Noord-Nederland (LD);1971;3599
63;Listed monuments total;Noord-Nederland (LD);1972;3823
64;Listed monuments total;Noord-Nederland (LD);1973;4315
65;Listed monuments total;Noord-Nederland (LD);1974;4376
66;Listed monuments total;Noord-Nederland (LD);1975;4682
67;Listed monuments total;Noord-Nederland (LD);1976;4855
68;Listed monuments total;Noord-Nederland (LD);1977;4917
69;Listed monuments total;Noord-Nederland (LD);1978;5014
70;Listed monuments total;Noord-Nederland (LD);1979;5090
71;Listed monuments total;Noord-Nederland (LD);1980;5134
72;Listed monuments total;Noord-Nederland (LD);1981;5170
73;Listed monuments total;Noord-Nederland (LD);1982;5230
74;Listed monuments total;Noord-Nederland (LD);1983;5316
75;Listed monuments total;Noord-Nederland (LD);1984;5350
76;Listed monuments total;Noord-Nederland (LD);1985;5429
77;Listed monuments total;Noord-Nederland (LD);1986;5457
78;Listed monuments total;Noord-Nederland (LD);1987;5470
79;Listed monuments total;Noord-Nederland (LD);1988;5493
80;Listed monuments total;Noord-Nederland (LD);1989;5520
