ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
0;A-U All economic activities;2001;68.3;;63.1;;
1;A-U All economic activities;2002;71.3;4.4;66.4;5.1;0.7
2;A-U All economic activities;2003;73.4;2.9;68.9;3.9;0.9
3;A-U All economic activities;2004;73.9;0.8;69.9;1.5;0.7
4;A-U All economic activities;2005;75.5;2.0;71.9;2.9;0.8
5;A-U All economic activities;2006;76.6;1.5;73.4;2.1;0.6
6;A-U All economic activities;2007;78.9;3.1;75.7;3.1;0.1
7;A-U All economic activities;2008;81.9;3.8;78.7;3.9;0.1
8;A-U All economic activities;2009;83.3;1.7;80.9;2.8;1.2
9;A-U All economic activities;2010;83.5;0.3;81.7;1.0;0.7
10;A-U All economic activities;2011;85.0;1.8;83.4;2.0;0.2
11;A-U All economic activities;2012;86.8;2.1;85.8;2.8;0.7
12;A-U All economic activities;2013;87.8;1.1;87.4;1.9;0.8
13;A-U All economic activities;2014;88.5;0.8;88.4;1.2;0.4
14;A-U All economic activities;2015;88.8;0.3;88.6;0.2;-0.1
15;A-U All economic activities;2016;89.9;1.3;89.5;1.0;-0.3
16;A-U All economic activities;2017;91.3;1.5;90.3;0.9;-0.5
17;A-U All economic activities;2018;93.7;2.6;92.4;2.3;-0.3
18;A-U All economic activities;2019;96.1;2.7;94.9;2.8;0.1
19;A-U All economic activities;2020;98.8;2.7;98.9;4.2;1.4
20;A-U All economic activities;2021;100.0;1.2;100.0;1.1;-0.2
21;A-U All economic activities;2022;106.0;6.0;105.5;5.5;-0.5
22;A-U All economic activities;2023;112.9;6.5;112.7;6.9;0.4
23;A-U All economic activities;2024;118.9;5.4;119.2;5.8;0.4
24;A-U All economic activities;2006 January - 2006 December;76.6;1.5;73.4;2.1;0.6
25;A-U All economic activities;2006 April - 2007 March;77.3;;74.2;;
26;A-U All economic activities;2006 July - 2007 June;77.9;;74.7;;
27;A-U All economic activities;2006 October - 2007 September;78.3;;75.1;;
28;A-U All economic activities;2007 January - 2007 December;78.9;3.1;75.7;3.1;0.1
29;A-U All economic activities;2007 April - 2008 March;80.0;3.4;76.7;3.5;0.1
30;A-U All economic activities;2007 July - 2008 June;80.8;3.7;77.6;3.8;0.0
31;A-U All economic activities;2007 October - 2008 September;81.3;3.8;78.0;3.8;0.0
32;A-U All economic activities;2008 January - 2008 December;81.9;3.8;78.7;3.9;0.1
33;A-U All economic activities;2008 April - 2009 March;82.3;2.9;79.2;3.2;0.3
34;A-U All economic activities;2008 July - 2009 June;83.1;2.8;80.2;3.4;0.6
35;A-U All economic activities;2008 October - 2009 September;83.2;2.4;80.6;3.3;0.9
36;A-U All economic activities;2009 January - 2009 December;83.3;1.7;80.9;2.8;1.2
37;A-U All economic activities;2009 April - 2010 March;83.6;1.6;81.5;2.9;1.3
38;A-U All economic activities;2009 July - 2010 June;83.9;1.0;81.9;2.2;1.2
39;A-U All economic activities;2009 October - 2010 September;83.5;0.3;81.6;1.3;0.9
40;A-U All economic activities;2010 January - 2010 December;83.5;0.3;81.7;1.0;0.7
41;A-U All economic activities;2010 April - 2011 March;83.6;0.0;81.9;0.4;0.4
42;A-U All economic activities;2010 July - 2011 June;83.7;-0.2;81.9;0.0;0.3
43;A-U All economic activities;2010 October - 2011 September;83.9;0.5;82.3;0.8;0.3
44;A-U All economic activities;2011 January - 2011 December;85.0;1.8;83.4;2.0;0.2
45;A-U All economic activities;2011 April - 2012 March;85.0;1.6;83.5;2.0;0.3
46;A-U All economic activities;2011 July - 2012 June;85.3;1.9;83.9;2.4;0.4
47;A-U All economic activities;2011 October - 2012 September;86.1;2.5;84.8;3.1;0.5
48;A-U All economic activities;2012 January - 2012 December;86.8;2.1;85.8;2.8;0.7
49;A-U All economic activities;2012 April - 2013 March;87.9;3.5;87.0;4.2;0.7
50;A-U All economic activities;2012 July - 2013 June;87.9;3.1;87.2;3.9;0.8
51;A-U All economic activities;2012 October - 2013 September;88.0;2.2;87.4;3.1;0.8
52;A-U All economic activities;2013 January - 2013 December;87.8;1.1;87.4;1.9;0.8
53;A-U All economic activities;2013 April - 2014 March;87.7;-0.2;87.4;0.5;0.7
54;A-U All economic activities;2013 July - 2014 June;87.9;0.0;87.7;0.6;0.6
55;A-U All economic activities;2013 October - 2014 September;87.9;-0.1;87.7;0.3;0.5
56;A-U All economic activities;2014 January - 2014 December;88.5;0.8;88.4;1.2;0.4
57;A-U All economic activities;2014 April - 2015 March ;88.7;1.1;88.6;1.3;0.2
58;A-U All economic activities;2014 July - 2015 June;89.0;1.2;88.8;1.3;0.1
59;A-U All economic activities;2014 October - 2015 September;89.3;1.7;89.2;1.6;0.0
60;A-U All economic activities;2015 January - 2015 December;88.8;0.3;88.6;0.2;-0.1
61;A-U All economic activities;2015 April - 2016 March;89.2;0.6;89.0;0.5;-0.1
62;A-U All economic activities;2015 July - 2016 June;88.8;-0.2;88.5;-0.4;-0.2
63;A-U All economic activities;2015 October - 2016 September;89.2;-0.1;88.9;-0.3;-0.2
64;A-U All economic activities;2016 January - 2016 December;89.9;1.3;89.5;1.0;-0.3
