ID;Vakantiekenmerken;Perioden;Totaal_1;Auto_2;TreinAutoslaaptrein_3;Touringcar_4;Vliegtuig_5;OverigeVervoermiddelen_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11
402;45;2014;;;;;;;;;;;
403;45;2015;;;;;;;;;;;
404;45;2016;;;;;;;;;;;
405;41;2002;12573.0;7094.0;352.0;838.0;3870.0;419.0;2296.0;838.0;3870.0;593.0;4975.0
406;41;2003;12541.0;6847.0;300.0;844.0;4252.0;298.0;2399.0;838.0;4252.0;525.0;4527.0
407;41;2004;13175.0;7042.0;351.0;732.0;4736.0;313.0;2958.0;732.0;4736.0;595.0;4154.0
408;41;2005;13341.0;6893.0;334.0;727.0;5067.0;320.0;2893.0;724.0;5067.0;544.0;4113.0
409;41;2006;12961.0;6809.0;278.0;699.0;4887.0;288.0;2951.0;692.0;4887.0;494.0;3937.0
410;41;2007;13293.0;6735.0;321.0;778.0;5194.0;264.0;3078.0;776.0;5194.0;494.0;3750.0
411;41;2008;14398.0;7095.0;423.0;808.0;5806.0;267.0;3049.0;799.0;5806.0;587.0;4157.0
412;41;2009;13767.0;7103.0;353.0;698.0;5320.0;295.0;3206.0;698.0;5315.0;577.0;3972.0
413;41;2010;14020.0;7150.0;352.0;618.0;5563.0;337.0;3193.0;618.0;5563.0;569.0;4077.0
414;41;2011;14102.0;6867.0;383.0;593.0;5887.0;372.0;3446.0;592.0;5887.0;658.0;3519.0
415;41;2012;14041.0;6989.0;284.0;497.0;5954.0;318.0;3468.0;497.0;5954.0;568.0;3555.0
416;41;2013;13631.0;6822.0;289.0;480.0;5701.0;339.0;3311.0;476.0;5701.0;547.0;3595.0
417;41;2014;13660.0;6546.0;279.0;461.0;6055.0;319.0;3196.0;461.0;6055.0;556.0;3391.0
418;41;2015;13687.0;6527.0;269.0;479.0;6123.0;289.0;3507.0;479.0;6123.0;477.0;3101.0
419;41;2016;13531.0;6799.0;192.0;444.0;5820.0;276.0;3681.0;442.0;5820.0;394.0;3194.0
420;46;2002;1275.0;667.0;43.0;4.0;516.0;45.0;21.0;4.0;516.0;79.0;654.0
421;46;2003;1086.0;515.0;50.0;12.0;488.0;22.0;9.0;12.0;488.0;58.0;520.0
422;46;2004;1209.0;559.0;51.0;14.0;551.0;35.0;23.0;14.0;551.0;73.0;548.0
423;46;2005;1219.0;525.0;61.0;6.0;605.0;22.0;6.0;6.0;605.0;58.0;543.0
424;46;2006;1112.0;452.0;43.0;4.0;587.0;26.0;18.0;4.0;587.0;52.0;451.0
425;46;2007;1162.0;479.0;31.0;3.0;622.0;27.0;10.0;3.0;622.0;55.0;473.0
426;46;2008;1272.0;538.0;50.0;8.0;671.0;6.0;15.0;1.0;671.0;35.0;551.0
427;46;2009;1113.0;452.0;61.0;10.0;565.0;24.0;12.0;10.0;564.0;66.0;461.0
428;46;2010;1228.0;466.0;67.0;11.0;654.0;30.0;15.0;11.0;654.0;87.0;461.0
429;46;2011;1078.0;368.0;53.0;5.0;631.0;20.0;24.0;5.0;631.0;56.0;362.0
430;46;2012;1011.0;410.0;41.0;5.0;540.0;15.0;8.0;5.0;540.0;50.0;409.0
431;46;2013;935.0;357.0;21.0;6.0;543.0;9.0;0.0;6.0;543.0;28.0;359.0
432;46;2014;832.0;317.0;13.0;3.0;492.0;6.0;11.0;3.0;492.0;18.0;308.0
433;46;2015;913.0;318.0;38.0;7.0;537.0;13.0;4.0;7.0;537.0;37.0;328.0
434;46;2016;996.0;420.0;26.0;18.0;517.0;15.0;1.0;18.0;517.0;35.0;425.0
435;47;2002;550.0;435.0;11.0;3.0;89.0;12.0;191.0;3.0;89.0;19.0;247.0
436;47;2003;601.0;480.0;16.0;10.0;80.0;15.0;252.0;10.0;80.0;29.0;230.0
437;47;2004;513.0;434.0;10.0;4.0;59.0;6.0;196.0;4.0;59.0;16.0;238.0
438;47;2005;626.0;510.0;16.0;7.0;78.0;15.0;203.0;7.0;78.0;28.0;311.0
439;47;2006;611.0;496.0;6.0;8.0;86.0;15.0;222.0;8.0;86.0;16.0;279.0
440;47;2007;635.0;505.0;10.0;10.0;105.0;5.0;223.0;10.0;105.0;15.0;282.0
441;47;2008;738.0;521.0;26.0;2.0;177.0;12.0;240.0;2.0;177.0;30.0;289.0
442;47;2009;719.0;543.0;2.0;7.0;149.0;17.0;269.0;7.0;149.0;17.0;277.0
443;47;2010;767.0;599.0;7.0;8.0;140.0;14.0;249.0;8.0;140.0;9.0;361.0
444;47;2011;673.0;482.0;15.0;6.0;151.0;20.0;240.0;6.0;151.0;28.0;249.0
445;47;2012;828.0;629.0;10.0;7.0;177.0;5.0;314.0;7.0;177.0;13.0;317.0
446;47;2013;890.0;716.0;9.0;2.0;158.0;4.0;347.0;2.0;158.0;9.0;373.0
447;47;2014;936.0;637.0;25.0;13.0;248.0;13.0;339.0;13.0;248.0;38.0;298.0
448;47;2015;993.0;701.0;24.0;13.0;247.0;8.0;394.0;13.0;247.0;30.0;309.0
449;47;2016;1035.0;730.0;5.0;12.0;275.0;13.0;500.0;12.0;275.0;15.0;234.0
450;48;2002;3590.0;946.0;124.0;606.0;1799.0;114.0;490.0;606.0;1799.0;213.0;482.0
451;48;2003;3903.0;985.0;119.0;600.0;2093.0;106.0;488.0;600.0;2093.0;209.0;514.0
452;48;2004;4484.0;1091.0;176.0;556.0;2564.0;97.0;651.0;556.0;2564.0;251.0;462.0
453;48;2005;4841.0;1227.0;179.0;537.0;2780.0;119.0;576.0;533.0;2780.0;273.0;679.0
454;48;2006;4682.0;1218.0;128.0;531.0;2697.0;108.0;597.0;528.0;2697.0;227.0;632.0
455;48;2007;4847.0;1158.0;172.0;578.0;2848.0;92.0;623.0;578.0;2848.0;236.0;562.0
456;48;2008;5389.0;1186.0;249.0;636.0;3230.0;89.0;643.0;636.0;3230.0;305.0;575.0
457;48;2009;4908.0;1123.0;169.0;564.0;2964.0;88.0;672.0;564.0;2964.0;242.0;467.0
458;48;2010;5187.0;1275.0;172.0;467.0;3168.0;103.0;810.0;467.0;3168.0;248.0;493.0
459;48;2011;5242.0;1132.0;200.0;459.0;3344.0;106.0;769.0;459.0;3344.0;293.0;377.0
460;48;2012;5208.0;1151.0;147.0;373.0;3445.0;91.0;815.0;373.0;3445.0;233.0;341.0
461;48;2013;4932.0;1070.0;158.0;341.0;3283.0;80.0;767.0;341.0;3283.0;223.0;317.0
462;48;2014;5033.0;1060.0;154.0;336.0;3388.0;95.0;715.0;336.0;3388.0;235.0;359.0
463;48;2015;5275.0;1118.0;129.0;368.0;3568.0;92.0;879.0;368.0;3568.0;201.0;258.0
464;48;2016;5009.0;1192.0;94.0;331.0;3301.0;92.0;894.0;331.0;3301.0;167.0;316.0
465;49;2002;428.0;264.0;31.0;30.0;66.0;37.0;45.0;30.0;66.0;53.0;234.0
466;49;2003;393.0;240.0;24.0;34.0;81.0;14.0;61.0;34.0;81.0;34.0;184.0
467;49;2004;445.0;278.0;21.0;8.0;115.0;22.0;47.0;8.0;115.0;44.0;231.0
