ID;Geslacht;KenmerkenVanPersonen;TypeMaatwerkvoorziening;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2019;1058270.0;61.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2019;1090980.0;63.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2019;1166485.0;68.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2020;1129465.0;65.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2020;1137275.0;65.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2020;1221820.0;70.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2021;1137495.0;65.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2021;;
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2021;;
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2022;1143020.0;65.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2022;1151590.0;65.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2022;1240195.0;71.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2023;1152985.0;65.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2023;1161160.0;65.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2023;1248125.0;70.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2019;1430.0;56.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2019;1475.0;58.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2019;1605.0;63.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2020;1715.0;67.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2020;1725.0;68.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2020;1865.0;73.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2021;1755.0;69.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2021;1775.0;70.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2021;1935.0;76.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2022;1780.0;70.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2022;1795.0;70.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2022;1925.0;75.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2023;1775.0;69.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2023;1745.0;68.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2023;1875.0;73.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2019;;
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2019;;
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2019;;
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2020;;
34;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2020;;
35;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2020;;
36;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2021;;
37;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2021;;
38;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2021;;
39;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2022;;
40;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2022;;
41;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2022;;
42;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2023;1695.0;51.0
43;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2023;1800.0;54.0
44;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2023;1855.0;56.0
45;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2019;1530.0;57.0
46;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2019;1635.0;61.0
47;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2019;1745.0;65.0
48;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2020;2010.0;74.0
49;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2020;2010.0;74.0
50;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2020;2140.0;79.0
51;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2021;1995.0;74.0
52;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2021;1925.0;71.0
53;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2021;2170.0;80.0
54;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2022;1910.0;70.0
55;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2022;1925.0;71.0
56;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2022;2065.0;76.0
57;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2023;1930.0;71.0
58;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2023;1920.0;70.0
59;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2023;2080.0;76.0
60;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2019;1725.0;62.0
61;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2019;1790.0;64.0
62;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2019;1930.0;69.0
63;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2020;1775.0;64.0
64;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2020;1770.0;64.0
65;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2020;1935.0;70.0
66;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2021;1770.0;63.0
67;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2021;1795.0;64.0
68;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2021;1955.0;70.0
69;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2022;1680.0;60.0
70;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2022;1770.0;63.0
71;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2022;1905.0;68.0
72;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2023;1680.0;60.0
