ID;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;Totaal personen;2011;6995.0;3080.0;3915.0;44.0;2895.0;93.9
1;Geslacht: mannen;2011;3775.0;1710.0;2065.0;45.3;1600.0;93.6
2;Geslacht: vrouwen;2011;3215.0;1370.0;1850.0;42.6;1295.0;94.4
3;Leeftijd: 25 tot 35 jaar;2011;1915.0;875.0;1045.0;45.5;835.0;95.6
4;Leeftijd: 35 tot 45 jaar;2011;2055.0;960.0;1095.0;46.6;900.0;93.6
5;Leeftijd: 45 tot 55 jaar;2011;2010.0;920.0;1090.0;45.7;870.0;94.4
6;Leeftijd: 55 tot 65 jaar;2011;1010.0;330.0;680.0;32.5;295.0;89.2
7;Migratieachtergrond: Nederland;2011;5590.0;2565.0;3025.0;45.9;2420.0;94.3
8;Migratieachtergrond: westers;2011;740.0;280.0;455.0;38.0;255.0;91.4
9;Migratieachtergrond: niet-westers;2011;665.0;;;;;
10;Migratieachtergrond : onbekend;2011;;;;;;
11;Onderwijsniveau: 1 Laag;2011;1460.0;340.0;1120.0;23.3;305.0;90.0
12;Onderwijsniveau: 2 Middelbaar;2011;2960.0;1225.0;1735.0;41.4;1160.0;94.8
13;Onderwijsniveau: 3 Hoog;2011;2565.0;1510.0;1055.0;58.9;1425.0;94.2
14;Onderwijsniveau: weet niet of onbekend;2011;;;;;;
15;Werkkring: vaste arbeidsrelatie;2011;4890.0;2235.0;2655.0;45.7;2135.0;95.6
16;Werkkring: flexibele arbeidsrelatie;2011;960.0;325.0;630.0;34.1;315.0;97.1
17;Werkkring: zelfstandige;2011;1145.0;520.0;625.0;45.3;440.0;84.8
18;Werkkring: positie onbekend;2011;;;;;;
19;Arbeidsduur: minder dan 12 uur per week;2011;370.0;;;;;
20;Arbeidsduur: 12 tot 20 uur per week;2011;525.0;185.0;345.0;34.8;185.0;100.0
21;Arbeidsduur: 20 tot 28 uur per week;2011;1020.0;430.0;585.0;42.4;395.0;92.0
22;Arbeidsduur: 28 tot 35 uur per week;2011;1050.0;535.0;515.0;51.1;515.0;96.0
23;Arbeidsduur: voltijd;2011;4025.0;1865.0;2160.0;46.4;1745.0;93.3
24;Anciënniteit: korter dan 1 jaar;2011;630.0;225.0;405.0;35.7;210.0;92.9
25;Anciënniteit: 1 tot 2 jaar;2011;545.0;245.0;300.0;44.8;230.0;95.5
26;Anciënniteit: 2 tot 5 jaar;2011;1455.0;690.0;765.0;47.3;630.0;91.2
27;Anciënniteit: 5 tot 10 jaar;2011;1390.0;625.0;765.0;45.0;605.0;96.3
28;Anciënniteit: 10 tot 20 jaar;2011;1695.0;755.0;940.0;44.5;715.0;94.7
29;Anciënniteit: 20 jaar of langer;2011;1205.0;505.0;700.0;41.9;475.0;94.4
30;Anciënniteit: onbekend;2011;;;;;;
31;Bedrijfsgr.: 1 tot 10 werkzame personen;2011;1435.0;590.0;845.0;41.0;510.0;86.2
32;Bedrijfsgr.:10 tot 100 werkzame personen;2011;1135.0;430.0;705.0;37.7;410.0;95.8
33;Bedrijfsgr.100 of meer werkzame personen;2011;4255.0;2010.0;2245.0;47.2;1930.0;96.0
34;Bedrijfsgr.: Werkzame personen: onbekend;2011;165.0;;;;;
