ID;RegioS;Woningtype;Perioden;BeginstandWoningvoorraad_1
0;Nederland;Totaal woningen;2021;7966331.0
1;Nederland;Totaal woningen;2022;8045580.0
2;Nederland;Totaal woningen;2023;8125229.0
3;Nederland;Totaal woningen;2024;8204049.0
4;Nederland;Meergezinswoningen totaal;2021;2870532.0
5;Nederland;Meergezinswoningen totaal;2022;2915893.0
6;Nederland;Meergezinswoningen totaal;2023;2965440.0
7;Nederland;Meergezinswoningen totaal;2024;3014543.0
8;Nederland;Eengezinswoningen totaal;2021;5095799.0
9;Nederland;Eengezinswoningen totaal;2022;5129687.0
10;Nederland;Eengezinswoningen totaal;2023;5159789.0
11;Nederland;Eengezinswoningen totaal;2024;5189506.0
12;Nederland;Vrijstaande woning;2021;1035389.0
13;Nederland;Vrijstaande woning;2022;1042650.0
14;Nederland;Vrijstaande woning;2023;1048853.0
15;Nederland;Vrijstaande woning;2024;1055194.0
16;Nederland;2-onder-1-kapwoning;2021;698022.0
17;Nederland;2-onder-1-kapwoning;2022;704055.0
18;Nederland;2-onder-1-kapwoning;2023;707902.0
19;Nederland;2-onder-1-kapwoning;2024;711792.0
20;Nederland;Hoekwoning;2021;1012593.0
21;Nederland;Hoekwoning;2022;1018885.0
22;Nederland;Hoekwoning;2023;1024770.0
23;Nederland;Hoekwoning;2024;1030287.0
24;Nederland;Tussenwoning;2021;2347198.0
25;Nederland;Tussenwoning;2022;2361261.0
26;Nederland;Tussenwoning;2023;2374914.0
27;Nederland;Tussenwoning;2024;2388465.0
28;Nederland;Onbekend woningtype eengezinswoning;2021;2597.0
29;Nederland;Onbekend woningtype eengezinswoning;2022;2836.0
30;Nederland;Onbekend woningtype eengezinswoning;2023;3350.0
31;Nederland;Onbekend woningtype eengezinswoning;2024;3768.0
32;Noord-Nederland (LD);Totaal woningen;2021;814261.0
33;Noord-Nederland (LD);Totaal woningen;2022;820520.0
34;Noord-Nederland (LD);Totaal woningen;2023;827237.0
35;Noord-Nederland (LD);Totaal woningen;2024;832867.0
36;Noord-Nederland (LD);Meergezinswoningen totaal;2021;200758.0
37;Noord-Nederland (LD);Meergezinswoningen totaal;2022;203737.0
38;Noord-Nederland (LD);Meergezinswoningen totaal;2023;207726.0
39;Noord-Nederland (LD);Meergezinswoningen totaal;2024;210849.0
40;Noord-Nederland (LD);Eengezinswoningen totaal;2021;613503.0
41;Noord-Nederland (LD);Eengezinswoningen totaal;2022;616783.0
42;Noord-Nederland (LD);Eengezinswoningen totaal;2023;619511.0
43;Noord-Nederland (LD);Eengezinswoningen totaal;2024;622018.0
44;Noord-Nederland (LD);Vrijstaande woning;2021;222106.0
45;Noord-Nederland (LD);Vrijstaande woning;2022;223238.0
46;Noord-Nederland (LD);Vrijstaande woning;2023;223798.0
47;Noord-Nederland (LD);Vrijstaande woning;2024;224767.0
48;Noord-Nederland (LD);2-onder-1-kapwoning;2021;123253.0
49;Noord-Nederland (LD);2-onder-1-kapwoning;2022;123978.0
50;Noord-Nederland (LD);2-onder-1-kapwoning;2023;124578.0
51;Noord-Nederland (LD);2-onder-1-kapwoning;2024;124894.0
52;Noord-Nederland (LD);Hoekwoning;2021;94502.0
53;Noord-Nederland (LD);Hoekwoning;2022;94891.0
54;Noord-Nederland (LD);Hoekwoning;2023;95460.0
55;Noord-Nederland (LD);Hoekwoning;2024;95759.0
56;Noord-Nederland (LD);Tussenwoning;2021;173222.0
57;Noord-Nederland (LD);Tussenwoning;2022;174183.0
58;Noord-Nederland (LD);Tussenwoning;2023;175154.0
59;Noord-Nederland (LD);Tussenwoning;2024;176031.0
60;Noord-Nederland (LD);Onbekend woningtype eengezinswoning;2021;420.0
61;Noord-Nederland (LD);Onbekend woningtype eengezinswoning;2022;493.0
62;Noord-Nederland (LD);Onbekend woningtype eengezinswoning;2023;521.0
63;Noord-Nederland (LD);Onbekend woningtype eengezinswoning;2024;567.0
64;Oost-Nederland (LD);Totaal woningen;2021;1612176.0
65;Oost-Nederland (LD);Totaal woningen;2022;1628674.0
66;Oost-Nederland (LD);Totaal woningen;2023;1644939.0
67;Oost-Nederland (LD);Totaal woningen;2024;1662092.0
68;Oost-Nederland (LD);Meergezinswoningen totaal;2021;406520.0
69;Oost-Nederland (LD);Meergezinswoningen totaal;2022;413640.0
70;Oost-Nederland (LD);Meergezinswoningen totaal;2023;421381.0
71;Oost-Nederland (LD);Meergezinswoningen totaal;2024;430630.0
72;Oost-Nederland (LD);Eengezinswoningen totaal;2021;1205656.0
73;Oost-Nederland (LD);Eengezinswoningen totaal;2022;1215034.0
74;Oost-Nederland (LD);Eengezinswoningen totaal;2023;1223558.0
75;Oost-Nederland (LD);Eengezinswoningen totaal;2024;1231462.0
76;Oost-Nederland (LD);Vrijstaande woning;2021;274909.0
77;Oost-Nederland (LD);Vrijstaande woning;2022;277239.0
78;Oost-Nederland (LD);Vrijstaande woning;2023;279662.0
79;Oost-Nederland (LD);Vrijstaande woning;2024;281481.0
80;Oost-Nederland (LD);2-onder-1-kapwoning;2021;190542.0
81;Oost-Nederland (LD);2-onder-1-kapwoning;2022;192183.0
82;Oost-Nederland (LD);2-onder-1-kapwoning;2023;193355.0
83;Oost-Nederland (LD);2-onder-1-kapwoning;2024;194434.0
84;Oost-Nederland (LD);Hoekwoning;2021;243617.0
85;Oost-Nederland (LD);Hoekwoning;2022;245344.0
86;Oost-Nederland (LD);Hoekwoning;2023;246776.0
87;Oost-Nederland (LD);Hoekwoning;2024;248181.0
88;Oost-Nederland (LD);Tussenwoning;2021;496171.0
89;Oost-Nederland (LD);Tussenwoning;2022;499817.0
90;Oost-Nederland (LD);Tussenwoning;2023;503258.0
91;Oost-Nederland (LD);Tussenwoning;2024;506752.0
92;Oost-Nederland (LD);Onbekend woningtype eengezinswoning;2021;417.0
93;Oost-Nederland (LD);Onbekend woningtype eengezinswoning;2022;451.0
94;Oost-Nederland (LD);Onbekend woningtype eengezinswoning;2023;507.0
95;Oost-Nederland (LD);Onbekend woningtype eengezinswoning;2024;614.0
96;West-Nederland (LD);Totaal woningen;2021;3851851.0
97;West-Nederland (LD);Totaal woningen;2022;3891537.0
98;West-Nederland (LD);Totaal woningen;2023;3930019.0
99;West-Nederland (LD);Totaal woningen;2024;3969640.0
100;West-Nederland (LD);Meergezinswoningen totaal;2021;1827653.0
101;West-Nederland (LD);Meergezinswoningen totaal;2022;1854055.0
102;West-Nederland (LD);Meergezinswoningen totaal;2023;1881120.0
103;West-Nederland (LD);Meergezinswoningen totaal;2024;1908456.0
104;West-Nederland (LD);Eengezinswoningen totaal;2021;2024198.0
105;West-Nederland (LD);Eengezinswoningen totaal;2022;2037482.0
106;West-Nederland (LD);Eengezinswoningen totaal;2023;2048899.0
107;West-Nederland (LD);Eengezinswoningen totaal;2024;2061184.0
108;West-Nederland (LD);Vrijstaande woning;2021;262767.0
109;West-Nederland (LD);Vrijstaande woning;2022;264637.0
110;West-Nederland (LD);Vrijstaande woning;2023;266326.0
111;West-Nederland (LD);Vrijstaande woning;2024;268302.0
112;West-Nederland (LD);2-onder-1-kapwoning;2021;192688.0
113;West-Nederland (LD);2-onder-1-kapwoning;2022;194666.0
114;West-Nederland (LD);2-onder-1-kapwoning;2023;195989.0
115;West-Nederland (LD);2-onder-1-kapwoning;2024;197565.0
