ID;Voertuigtypes;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometersNederlandseVoertuigen_4;KilometersInNederland_5;KilometersInHetBuitenland_6
0;Totaal motorvoertuigen;2018;135644.0;128373.2;7270.8;148873.1;128373.2;20500.0
1;Totaal motorvoertuigen;2019;135912.9;128545.5;7367.4;150108.0;128545.5;21562.5
2;Totaal motorvoertuigen;2020;117852.8;112759.0;5093.8;127567.0;112759.0;14808.0
3;Totaal motorvoertuigen;2021;123989.0;118868.8;5120.2;134366.4;118868.8;15497.7
4;Totaal motorvoertuigen;2022;130225.9;123493.6;6732.3;143941.0;123493.6;20447.4
5;Totaal motorvoertuigen;2023;134635.6;127336.1;7299.4;148818.1;127336.1;21481.9
6;Personenauto;2018;109337.4;103785.6;5551.8;120338.8;103785.6;16553.1
7;Personenauto;2019;109086.8;103493.0;5593.7;121231.5;103493.0;17738.5
8;Personenauto;2020;91723.0;88390.5;3332.5;99650.6;88390.5;11260.1
9;Personenauto;2021;96988.8;93657.3;3331.5;105424.8;93657.3;11767.6
10;Personenauto;2022;102679.6;97763.4;4916.3;114616.7;97763.4;16853.3
11;Personenauto;2023;107143.1;101662.5;5480.6;119551.6;101662.5;17889.1
12;Bestelauto;2018;17961.2;17224.8;736.4;17961.2;17224.8;736.4
13;Bestelauto;2019;18438.8;17664.4;774.4;18438.8;17664.4;774.4
14;Bestelauto;2020;17904.7;17170.6;734.1;17904.7;17170.6;734.1
15;Bestelauto;2021;18635.9;17890.4;745.4;18635.9;17890.4;745.4
16;Bestelauto;2022;18940.9;18183.2;757.6;18940.9;18183.2;757.6
17;Bestelauto;2023;19101.9;18337.8;764.1;19101.9;18337.8;764.1
18;Vrachtauto (excl. trekker voor oplegger);2018;2126.4;1981.2;145.2;2449.9;1981.2;468.7
19;Vrachtauto (excl. trekker voor oplegger);2019;2102.7;1950.0;152.7;2410.1;1950.0;460.1
20;Vrachtauto (excl. trekker voor oplegger);2020;2027.3;1863.2;164.0;2310.6;1863.2;447.3
21;Vrachtauto (excl. trekker voor oplegger);2021;2029.7;1865.8;164.0;2334.2;1865.8;468.5
22;Vrachtauto (excl. trekker voor oplegger);2022;2034.4;1867.3;167.0;2306.2;1867.3;438.9
23;Vrachtauto (excl. trekker voor oplegger);2023;1983.9;1820.5;163.4;2246.8;1820.5;426.3
24;Trekker voor oplegger;2018;5126.4;4383.7;742.7;6781.2;4383.7;2397.6
25;Trekker voor oplegger;2019;5209.4;4455.5;753.9;6726.7;4455.5;2271.2
26;Trekker voor oplegger;2020;5255.5;4468.2;787.3;6615.0;4468.2;2146.8
27;Trekker voor oplegger;2021;5383.4;4580.4;803.0;6874.8;4580.4;2294.4
28;Trekker voor oplegger;2022;5594.5;4783.8;810.7;6914.0;4783.8;2130.2
29;Trekker voor oplegger;2023;5443.4;4631.5;811.9;6749.7;4631.5;2118.2
30;Speciaal voertuig;2018;460.5;385.1;75.5;668.3;385.1;283.2
31;Speciaal voertuig;2019;460.0;387.1;72.9;639.8;387.1;252.7
32;Speciaal voertuig;2020;448.2;380.9;67.3;578.2;380.9;197.3
33;Speciaal voertuig;2021;464.9;398.2;66.7;598.4;398.2;200.3
34;Speciaal voertuig;2022;486.2;422.1;64.1;623.0;422.1;200.9
35;Speciaal voertuig;2023;481.5;420.7;60.7;622.7;420.7;201.9
36;Bus;2018;632.2;;;673.7;;
37;Bus;2019;615.2;;;661.0;;
38;Bus;2020;494.1;;;507.9;;
39;Bus;2021;486.4;;;498.3;;
40;Bus;2022;490.3;;;540.2;;
41;Bus;2023;481.9;;;545.4;;
