ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;OmzetNetto_1;PersoneleKosten_2;ToegevoegdeWaardeTegenMarktprijzen_3
0;C Industrie;Nederland;2009;245704;40440;54629.0
1;C Industrie;Nederland;2010;267976;41152;60328.0
2;C Industrie;Nederland;2011;300932;43187;62720.0
3;C Industrie;Nederland;2012;307345;42745;60205.0
4;C Industrie;Nederland;2013;301156;42810;58430.0
5;C Industrie;Nederland;2014;324489;44165;
6;C Industrie;Noord-Nederland (LD);2009;18119;4140;5293.0
7;C Industrie;Noord-Nederland (LD);2010;19790;4071;5725.0
8;C Industrie;Noord-Nederland (LD);2011;21541;4216;5944.0
9;C Industrie;Noord-Nederland (LD);2012;19995;4219;5496.0
10;C Industrie;Noord-Nederland (LD);2013;18319;3860;4695.0
11;C Industrie;Noord-Nederland (LD);2014;20970;4451;
12;C Industrie;Oost-Nederland (LD);2009;44840;9173;10950.0
13;C Industrie;Oost-Nederland (LD);2010;46859;9174;12226.0
14;C Industrie;Oost-Nederland (LD);2011;50668;9628;13004.0
15;C Industrie;Oost-Nederland (LD);2012;51448;9718;12688.0
16;C Industrie;Oost-Nederland (LD);2013;52231;9550;12714.0
17;C Industrie;Oost-Nederland (LD);2014;52931;9873;
18;C Industrie;West-Nederland (LD);2009;112968;14592;20268.0
19;C Industrie;West-Nederland (LD);2010;120135;14859;21980.0
20;C Industrie;West-Nederland (LD);2011;134432;15599;21994.0
21;C Industrie;West-Nederland (LD);2012;143438;15180;20863.0
22;C Industrie;West-Nederland (LD);2013;139355;15365;20609.0
23;C Industrie;West-Nederland (LD);2014;157528;15613;
24;C Industrie;Zuid-Nederland (LD);2009;69776;12535;18118.0
25;C Industrie;Zuid-Nederland (LD);2010;81193;13048;20397.0
26;C Industrie;Zuid-Nederland (LD);2011;94291;13744;21778.0
27;C Industrie;Zuid-Nederland (LD);2012;92465;13628;21158.0
28;C Industrie;Zuid-Nederland (LD);2013;91251;14035;20413.0
29;C Industrie;Zuid-Nederland (LD);2014;93060;14228;
30;C Industrie;Groningen (PV);2009;5676;1335;1369.0
31;C Industrie;Groningen (PV);2010;6685;1375;1624.0
32;C Industrie;Groningen (PV);2011;7158;1462;1701.0
33;C Industrie;Groningen (PV);2012;7016;1416;1633.0
34;C Industrie;Groningen (PV);2013;6592;1331;1572.0
35;C Industrie;Groningen (PV);2014;6607;1447;
36;C Industrie;Friesland (PV);2009;7046;1651;2412.0
