ID;Geslacht;Perioden;Totaal_1;HuwendePersonen_2;PersonenDieEenPartnerschapSluiten_3;Totaal_4;NaHuwelijkGescheidenPersonen_5;NaPartnerschapGescheidenPersonen_6;NaHuwelijkVerweduwdePersonen_7;NaPartnerschapVerweduwdePersonen_8
0;Totaal mannen en vrouwen;2010 januari;6521;5077;1444;10650;5386;161;5072;31
1;Totaal mannen en vrouwen;2010 februari;7292;5798;1494;9410;4626;147;4607;30
2;Totaal mannen en vrouwen;2010 maart;8952;7187;1765;10958;5780;260;4882;36
3;Totaal mannen en vrouwen;2010 april;12285;10854;1431;9852;5117;178;4530;27
4;Totaal mannen en vrouwen;2010 mei;19589;18096;1493;9206;4422;146;4607;31
5;Totaal mannen en vrouwen;2010 juni;20524;19007;1517;10256;5568;216;4443;29
6;Totaal mannen en vrouwen;2010 juli;16234;14692;1542;9828;5158;160;4479;31
7;Totaal mannen en vrouwen;2010 augustus;16629;15076;1553;9799;5200;231;4330;38
8;Totaal mannen en vrouwen;2010 september;22440;20834;1606;10015;5362;195;4426;32
9;Totaal mannen en vrouwen;2010 oktober;14379;12806;1573;10040;5117;183;4707;33
10;Totaal mannen en vrouwen;2010 november;8741;6880;1861;9778;4996;194;4553;35
11;Totaal mannen en vrouwen;2010 december;8988;7183;1805;11082;5636;251;5165;30
12;Totaal mannen en vrouwen;2010;162574;143490;19084;120874;62368;2322;55801;383
13;Totaal mannen en vrouwen;2011 januari;6408;4952;1456;10639;5545;180;4887;27
14;Totaal mannen en vrouwen;2011 februari;7350;5776;1574;9753;5174;190;4357;32
15;Totaal mannen en vrouwen;2011 maart;7719;6135;1584;10814;5807;246;4735;26
16;Totaal mannen en vrouwen;2011 april;11087;9631;1456;9622;4839;189;4559;35
17;Totaal mannen en vrouwen;2011 mei;18768;16944;1824;10246;5396;240;4583;27
18;Totaal mannen en vrouwen;2011 juni;20857;19478;1379;9437;4903;197;4310;27
19;Totaal mannen en vrouwen;2011 juli;17021;15431;1590;9915;5150;205;4524;36
20;Totaal mannen en vrouwen;2011 augustus;15532;13709;1823;10294;5646;192;4426;30
21;Totaal mannen en vrouwen;2011 september;20622;19074;1548;9630;5151;185;4249;45
22;Totaal mannen en vrouwen;2011 oktober;11025;9322;1703;9223;4512;174;4505;32
23;Totaal mannen en vrouwen;2011 november;11743;9758;1985;10106;5233;227;4615;31
24;Totaal mannen en vrouwen;2011 december;8547;6638;1909;10176;4945;221;4973;37
25;Totaal mannen en vrouwen;2011;156679;136848;19831;119855;62301;2446;54723;385
26;Totaal mannen en vrouwen;2012 januari;6294;4799;1495;10532;5350;225;4912;45
27;Totaal mannen en vrouwen;2012 februari;6928;5375;1553;10216;5114;208;4857;37
28;Totaal mannen en vrouwen;2012 maart;7813;6396;1417;10719;5288;251;5138;42
29;Totaal mannen en vrouwen;2012 april;11699;10411;1288;9567;4614;210;4703;40
30;Totaal mannen en vrouwen;2012 mei;18221;16528;1693;9925;5028;237;4629;31
31;Totaal mannen en vrouwen;2012 juni;22273;20722;1551;10259;5504;251;4465;39
32;Totaal mannen en vrouwen;2012 juli;13583;12077;1506;10447;5723;256;4430;38
33;Totaal mannen en vrouwen;2012 augustus;15410;13988;1422;10696;6077;204;4387;28
34;Totaal mannen en vrouwen;2012 september;18692;17458;1234;9646;5013;274;4328;31
35;Totaal mannen en vrouwen;2012 oktober;11365;9531;1834;10277;5379;278;4581;39
36;Totaal mannen en vrouwen;2012 november;8372;6714;1658;10677;5723;216;4705;33
37;Totaal mannen en vrouwen;2012 december;12003;10288;1715;10177;4908;237;4989;43
38;Totaal mannen en vrouwen;2012;152653;134287;18366;123138;63721;2847;56124;446
39;Totaal mannen en vrouwen;2013 januari;5975;4422;1553;11038;5482;306;5198;52
40;Totaal mannen en vrouwen;2013 februari;6146;4651;1495;10510;5430;202;4825;53
41;Totaal mannen en vrouwen;2013 maart;8128;6725;1403;11195;5589;212;5347;47
42;Totaal mannen en vrouwen;2013 april;10503;9046;1457;10087;4919;252;4864;52
43;Totaal mannen en vrouwen;2013 mei;17539;16091;1448;10086;5187;246;4605;48
44;Totaal mannen en vrouwen;2013 juni;18730;17195;1535;9330;4746;232;4307;45
45;Totaal mannen en vrouwen;2013 juli;12811;11188;1623;10840;5956;343;4493;48
46;Totaal mannen en vrouwen;2013 augustus;16125;14655;1470;10623;5914;296;4371;42
47;Totaal mannen en vrouwen;2013 september;18395;16675;1720;9683;5191;243;4211;38
48;Totaal mannen en vrouwen;2013 oktober;10196;8492;1704;10716;5695;260;4712;49
49;Totaal mannen en vrouwen;2013 november;7292;5699;1593;9757;4880;247;4596;34
50;Totaal mannen en vrouwen;2013 december;9128;7365;1763;10315;5295;249;4728;43
51;Totaal mannen en vrouwen;2013;140968;122204;18764;124180;64284;3088;56257;551
52;Totaal mannen en vrouwen;2014 januari;5803;4376;1427;11090;5941;258;4841;50
53;Totaal mannen en vrouwen;2014 februari;7089;5628;1461;10022;5278;273;4418;53
54;Totaal mannen en vrouwen;2014 maart;7200;5624;1576;10928;5829;288;4763;48
55;Totaal mannen en vrouwen;2014 april;11380;9860;1520;10420;5560;302;4515;43
56;Totaal mannen en vrouwen;2014 mei;17304;15954;1350;9983;5108;230;4608;37
57;Totaal mannen en vrouwen;2014 juni;18421;16852;1569;10204;5662;319;4174;49
58;Totaal mannen en vrouwen;2014 juli;14982;13252;1730;11163;6159;336;4614;54
59;Totaal mannen en vrouwen;2014 augustus;16805;15100;1705;10351;5495;330;4474;52
60;Totaal mannen en vrouwen;2014 september;18220;16254;1966;10546;5759;295;4444;48
61;Totaal mannen en vrouwen;2014 oktober;11305;9227;2078;10835;5804;328;4654;49
62;Totaal mannen en vrouwen;2014 november;7670;5723;1947;10307;5268;347;4653;39
63;Totaal mannen en vrouwen;2014 december;8851;6547;2304;11486;5889;301;5240;56
64;Totaal mannen en vrouwen;2014;145030;124397;20633;127335;67752;3607;55398;578
65;Totaal mannen en vrouwen;2015 januari;5981;4253;1728;11322;5380;270;5607;65
66;Totaal mannen en vrouwen;2015 februari;6499;4768;1731;10619;5371;262;4939;47
67;Totaal mannen en vrouwen;2015 maart;8171;6049;2122;11655;6011;385;5214;45
68;Totaal mannen en vrouwen;2015 april;9541;7792;1749;10493;5429;309;4699;56
69;Totaal mannen en vrouwen;2015 mei;19826;18137;1689;9685;4695;262;4684;44
70;Totaal mannen en vrouwen;2015 juni;19214;16809;2405;10600;5731;335;4498;36
71;Totaal mannen en vrouwen;2015 juli;14826;12585;2241;11482;6421;398;4615;48
72;Totaal mannen en vrouwen;2015 augustus;16270;14083;2187;10388;5567;271;4498;52
73;Totaal mannen en vrouwen;2015 september;19204;17000;2204;10152;5310;310;4484;48
74;Totaal mannen en vrouwen;2015 oktober;11742;9494;2248;10349;5193;299;4810;47
75;Totaal mannen en vrouwen;2015 november;8114;5661;2453;10181;5146;299;4689;47
76;Totaal mannen en vrouwen;2015 december;8697;6017;2680;10654;5320;415;4867;52
77;Totaal mannen en vrouwen;2015;148085;122648;25437;127580;65574;3815;57604;587
78;Totaal mannen en vrouwen;2016 januari;6387;4280;2107;11413;5639;303;5419;52
79;Totaal mannen en vrouwen;2016 februari;7719;5257;2462;10740;5361;290;5027;62
80;Totaal mannen en vrouwen;2016 maart;8028;5722;2306;11258;5632;316;5255;55
81;Totaal mannen en vrouwen;2016 april;12087;9688;2399;10458;5378;315;4717;48
82;Totaal mannen en vrouwen;2016 mei;16098;13480;2618;10366;5261;298;4751;56
83;Totaal mannen en vrouwen;2016 juni;21804;19176;2628;10416;5592;322;4440;62
84;Totaal mannen en vrouwen;2016 juli;17080;14420;2660;10390;5369;360;4607;54
85;Totaal mannen en vrouwen;2016 augustus;16587;13677;2910;10281;5362;320;4552;47
86;Totaal mannen en vrouwen;2016 september;20524;18007;2517;10074;5180;298;4530;66
87;Totaal mannen en vrouwen;2016 oktober;12002;9009;2993;9644;4506;300;4788;50
88;Totaal mannen en vrouwen;2016 november;8631;5728;2903;10466;5252;340;4819;55
89;Totaal mannen en vrouwen;2016 december;8669;5915;2754;11027;5348;388;5225;66
90;Totaal mannen en vrouwen;2016;155616;124359;31257;126533;63880;3850;58130;673
91;Totaal mannen en vrouwen;2017 januari;7837;4954;2883;11941;5708;311;5869;53
92;Totaal mannen en vrouwen;2017 februari;7730;5010;2720;10814;5191;356;5203;64
93;Totaal mannen en vrouwen;2017 maart;9005;6078;2927;11291;5805;391;5047;48
94;Totaal mannen en vrouwen;2017 april;10642;8090;2552;9455;4443;316;4645;51
95;Totaal mannen en vrouwen;2017 mei;16460;13299;3161;10408;5268;380;4712;48
96;Totaal mannen en vrouwen;2017 juni;18428;15863;2565;10344;5411;400;4489;44
97;Totaal mannen en vrouwen;2017 juli;20184;17142;3042;10553;5534;355;4610;54
98;Totaal mannen en vrouwen;2017 augustus;15633;12487;3146;10588;5587;411;4535;55
99;Totaal mannen en vrouwen;2017 september;21796;19026;2770;9536;4510;368;4598;60
100;Totaal mannen en vrouwen;2017 oktober;12401;8942;3459;10233;5050;369;4753;61
101;Totaal mannen en vrouwen;2017 november;8818;5721;3097;10736;5454;431;4794;57
102;Totaal mannen en vrouwen;2017 december;9248;6009;3239;10248;4620;350;5212;66
103;Totaal mannen en vrouwen;2017;158182;122621;35561;126147;62581;4438;58467;661
104;Totaal mannen en vrouwen;2018 januari;8262;4939;3323;11523;5510;333;5597;83
105;Totaal mannen en vrouwen;2018 februari;8014;4952;3062;10782;4957;349;5412;64
106;Totaal mannen en vrouwen;2018 maart;8823;5743;3080;11877;5258;426;6119;74
107;Totaal mannen en vrouwen;2018 april;11577;8381;3196;10171;4862;415;4831;63
108;Totaal mannen en vrouwen;2018 mei;16469;13301;3168;10266;5111;408;4685;62
109;Totaal mannen en vrouwen;2018 juni;20775;17516;3259;9538;4645;417;4421;55
110;Totaal mannen en vrouwen;2018 juli;16158;12541;3617;10238;5037;443;4694;64
111;Totaal mannen en vrouwen;2018 augustus;20591;17340;3251;9904;4770;394;4676;64
112;Totaal mannen en vrouwen;2018 september;19910;16823;3087;9346;4445;316;4539;46
113;Totaal mannen en vrouwen;2018 oktober;13178;9230;3948;10070;4636;441;4928;65
114;Totaal mannen en vrouwen;2018 november;9001;5655;3346;10315;5015;408;4827;65
115;Totaal mannen en vrouwen;2018 december;8655;5535;3120;9855;4253;449;5092;61
116;Totaal mannen en vrouwen;2018;161413;121956;39457;123885;58499;4799;59821;766
117;Totaal mannen en vrouwen;2019 januari;8350;4944;3406;11367;5429;449;5423;66
118;Totaal mannen en vrouwen;2019 februari;8418;5053;3365;10062;4641;412;4953;56
119;Totaal mannen en vrouwen;2019 maart;9178;5910;3268;10901;4948;433;5455;65
120;Totaal mannen en vrouwen;2019 april;12062;8259;3803;10255;4868;445;4866;76
121;Totaal mannen en vrouwen;2019 mei;18417;14704;3713;10350;5054;436;4797;63
122;Totaal mannen en vrouwen;2019 juni;19391;16177;3214;9644;4447;508;4625;64
123;Totaal mannen en vrouwen;2019 juli;16859;12780;4079;10687;5311;490;4822;64
124;Totaal mannen en vrouwen;2019 augustus;17106;13514;3592;9755;4609;395;4689;62
125;Totaal mannen en vrouwen;2019 september;20908;17347;3561;9057;4069;419;4528;41
126;Totaal mannen en vrouwen;2019 oktober;13174;9137;4037;10349;4715;532;5035;67
127;Totaal mannen en vrouwen;2019 november;9579;5906;3673;10102;4521;396;5118;67
128;Totaal mannen en vrouwen;2019 december;9909;6107;3802;10398;4536;493;5293;76
129;Totaal mannen en vrouwen;2019;163351;119838;43513;122927;57148;5408;59604;767
130;Totaal mannen en vrouwen;2020 januari;8418;4986;3432;11153;5133;454;5488;78
131;Totaal mannen en vrouwen;2020 februari;10697;7078;3619;9931;4540;416;4893;82
132;Totaal mannen en vrouwen;2020 maart;9143;5241;3902;11643;4608;498;6455;82
133;Totaal mannen en vrouwen;2020 april;7246;4407;2839;11818;4093;440;7194;91
134;Totaal mannen en vrouwen;2020 mei;8940;5781;3159;10016;4507;491;4953;65
135;Totaal mannen en vrouwen;2020 juni;12998;8780;4218;10256;5080;518;4579;79
136;Totaal mannen en vrouwen;2020 juli;15096;10468;4628;10552;5333;584;4555;80
137;Totaal mannen en vrouwen;2020 augustus;17204;12614;4590;9872;4555;439;4799;79
138;Totaal mannen en vrouwen;2020 september;18759;14427;4332;9481;4315;432;4651;83
139;Totaal mannen en vrouwen;2020 oktober;14028;9745;4283;10354;4066;434;5763;91
140;Totaal mannen en vrouwen;2020 november;10082;5636;4446;10781;4398;406;5902;75
141;Totaal mannen en vrouwen;2020 december;10751;6140;4611;11807;4721;502;6496;88
142;Totaal mannen en vrouwen;2020;143362;95303;48059;127664;55349;5614;65728;973
143;Totaal mannen en vrouwen;2021 januari;8144;4192;3952;11776;4611;460;6608;97
144;Totaal mannen en vrouwen;2021 februari;9078;5064;4014;10200;4281;431;5409;79
145;Totaal mannen en vrouwen;2021 maart;10788;5940;4848;11137;5042;504;5508;83
146;Totaal mannen en vrouwen;2021 april;9983;6129;3854;10237;4198;465;5488;86
147;Totaal mannen en vrouwen;2021 mei;14017;9662;4355;9691;3955;402;5266;68
148;Totaal mannen en vrouwen;2021 juni;16751;11921;4830;9527;4237;395;4809;86
149;Totaal mannen en vrouwen;2021 juli;17231;12612;4619;9811;4338;498;4881;94
