ID;Perioden;NieuwePupillen_1;BeeindigdeVoogdij_2;PupillenPer3112_3;NieuwePupillen_4;BeeindigdeVoogdijAsiel_5;PupillenPer3112_6;NieuwePupillen_7;BeeindigdeVoorlopigeVoogdij_8;PupillenPer3112_9;NieuwePupillen_10;BeeindigdeOndertoezichtstelling_11;PupillenPer3112_12
0;1912;1830.0;;;;;;;;;;;
1;1913;1655.0;;7882.0;;;;;;;;;
2;1914;1433.0;;;;;;;;;;;
3;1915;1369.0;;;;;;451.0;;;;;
4;1916;1550.0;;;;;;;;;;;
5;1917;1575.0;;;;;;;;;;;
6;1918;1546.0;;;;;;;;;;;
7;1919;1812.0;;;;;;;;;;;
8;1920;1919.0;;11571.0;;;;752.0;;;;;
9;1921;1607.0;;;;;;;;;;;
10;1922;1365.0;;;;;;;;;;;
11;1923;1308.0;;;;;;;;;665.0;;
12;1924;1189.0;;;;;;;;;773.0;;
13;1925;1469.0;;;;;;517.0;;;1029.0;;
14;1926;1442.0;;;;;;;;;1041.0;;
15;1927;1320.0;;;;;;;;;1156.0;;
16;1928;1413.0;;;;;;;;;1291.0;;
17;1929;1775.0;;;;;;;;;1396.0;;
18;1930;1993.0;;11899.0;;;;968.0;;;1915.0;;
19;1931;1706.0;;;;;;;;;2086.0;;
20;1932;1246.0;;;;;;;;;1783.0;;
21;1933;1107.0;;;;;;;;;1635.0;;
22;1934;1305.0;;;;;;;;;2093.0;;
23;1935;1340.0;;;;;;408.0;;;1919.0;;
24;1936;1433.0;;;;;;578.0;;;2078.0;;
25;1937;1730.0;;;;;;630.0;;;2052.0;;
26;1938;1875.0;;;;;;900.0;;;2384.0;;
27;1939;1967.0;;;;;;828.0;;;2500.0;;
28;1940;1620.0;;12395.0;;;;875.0;;;2495.0;;
29;1941;2535.0;;;;;;1939.0;;;3634.0;;
30;1942;3147.0;;;;;;2372.0;;;4756.0;;
31;1943;2705.0;;;;;;2603.0;;;5016.0;;
32;1944;;;;;;;;;;;;
33;1945;;;;;;;;;;;;
34;1946;2279.0;;;;;;3927.0;;;5609.0;;
35;1947;2735.0;;;;;;3013.0;;;6159.0;;
36;1948;3644.0;;;;;;3060.0;;;6179.0;;
37;1949;3625.0;;19355.0;;;;2471.0;;2375.0;6178.0;;15196.0
38;1950;2607.0;;19993.0;;;;1613.0;;1928.0;6512.0;;16565.0
39;1951;2329.0;;20177.0;;;;1313.0;;1690.0;6386.0;5625.0;17215.0
40;1952;2315.0;;20330.0;;;;1670.0;;1418.0;6541.0;5810.0;17856.0
41;1953;1932.0;;20199.0;;;;1539.0;;1433.0;5910.0;5453.0;17962.0
42;1954;2006.0;;19937.0;;;;1497.0;;1378.0;5560.0;5407.0;17987.0
43;1955;1907.0;;19767.0;;;;1504.0;;1419.0;6322.0;5121.0;19150.0
44;1956;1863.0;;19231.0;;;;1549.0;;1434.0;5972.0;5062.0;20065.0
45;1957;2066.0;;19131.0;;;;1800.0;;1622.0;6355.0;5700.0;20418.0
46;1958;2038.0;;18899.0;;;;1749.0;;1659.0;5907.0;5859.0;20329.0
47;1959;1949.0;;18815.0;;;;1745.0;;1721.0;5943.0;5492.0;20959.0
48;1960;2051.0;;18580.0;;;;1756.0;;1781.0;6238.0;5720.0;21604.0
49;1961;1871.0;;18211.0;;;;1769.0;;1818.0;5985.0;5634.0;21613.0
50;1962;2145.0;;18328.0;;;;2043.0;;1961.0;5308.0;5748.0;21168.0
51;1963;2229.0;;18457.0;;;;1869.0;;2079.0;5140.0;5589.0;21302.0
52;1964;2106.0;;18714.0;;;;2116.0;2007.0;2083.0;5174.0;5824.0;20863.0
53;1965;2267.0;;18926.0;;;;1848.0;2053.0;1857.0;5464.0;5424.0;20645.0
54;1966;2360.0;;19272.0;;;;2035.0;1999.0;1884.0;5484.0;5639.0;20671.0
55;1967;2229.0;;19146.0;;;;1944.0;2030.0;1790.0;5436.0;5461.0;20312.0
56;1968;1870.0;;18715.0;;;;2165.0;1889.0;2225.0;4825.0;5326.0;19941.0
57;1969;2099.0;;18363.0;;;;2198.0;2203.0;1977.0;4732.0;5514.0;18933.0
58;1970;1947.0;;17820.0;;;;1814.0;2147.0;1611.0;4432.0;5078.0;18316.0
59;1971;1502.0;;16990.0;;;;1189.0;;1189.0;3551.0;5271.0;16798.0
60;1972;1080.0;;15852.0;;;;935.0;1351.0;921.0;3309.0;4459.0;15514.0
61;1973;1077.0;;14765.0;;;;839.0;1088.0;713.0;3377.0;4041.0;14568.0
62;1974;1078.0;;13922.0;;;;861.0;929.0;666.0;3350.0;3908.0;14075.0
63;1975;1135.0;;13296.0;;;;801.0;865.0;623.0;2679.0;4088.0;12796.0
64;1976;1446.0;;12730.0;;;;630.0;797.0;477.0;2561.0;3746.0;11759.0
65;1977;1020.0;1699.0;12033.0;;;;502.0;643.0;394.0;2695.0;3296.0;11159.0
66;1978;1085.0;1690.0;11468.0;;;;540.0;532.0;402.0;2623.0;3058.0;10725.0
67;1979;1048.0;1701.0;10814.0;;;;410.0;522.0;318.0;2675.0;3136.0;10265.0
68;1980;1484.0;1634.0;10645.0;;;;418.0;490.0;289.0;2734.0;2695.0;10304.0
69;1981;1443.0;1647.0;10372.0;;;;308.0;429.0;202.0;2799.0;2903.0;10200.0
70;1982;1114.0;1526.0;9909.0;;;;278.0;322.0;186.0;2886.0;2573.0;10512.0
71;1983;983.0;1472.0;9376.0;;;;335.0;327.0;189.0;3085.0;2679.0;10922.0
72;1984;889.0;1463.0;8781.0;;;;277.0;281.0;166.0;2694.0;2848.0;10767.0
73;1985;974.0;1429.0;8269.0;;;;344.0;302.0;192.0;3171.0;2819.0;11119.0
74;1986;993.0;1263.0;7979.0;;;;319.0;329.0;161.0;3281.0;2978.0;11422.0
75;1987;931.0;1200.0;7243.0;;;;305.0;295.0;168.0;3594.0;3232.0;11744.0
76;1988;751.0;824.0;4750.0;;;;265.0;308.0;126.0;4142.0;2890.0;10949.0
77;1989;855.0;823.0;4861.0;;;;221.0;259.0;138.0;3676.0;3119.0;11510.0
78;1990;794.0;796.0;4536.0;370.0;;646.0;238.0;257.0;151.0;3547.0;3059.0;11959.0
79;1991;622.0;616.0;4469.0;390.0;242.0;794.0;199.0;252.0;128.0;3735.0;3095.0;12595.0
80;1992;723.0;625.0;4532.0;503.0;279.0;1018.0;214.0;214.0;136.0;4208.0;3296.0;13477.0
81;1993;682.0;597.0;4580.0;976.0;381.0;1613.0;218.0;214.0;149.0;4761.0;3278.0;14909.0
82;1994;747.0;504.0;4785.0;2064.0;676.0;3001.0;201.0;234.0;128.0;4968.0;3793.0;16238.0
83;1995;644.0;535.0;4835.0;1869.0;1324.0;3546.0;190.0;188.0;136.0;4625.0;4220.0;16777.0
84;1996;642.0;540.0;4858.0;1636.0;1477.0;3705.0;171.0;;;5151.0;;
85;1997;500.0;566.0;4781.0;2658.0;1466.0;4897.0;162.0;;;5367.0;;
86;1998;563.0;635.0;4743.0;3695.0;1814.0;6778.0;197.0;205.0;41.0;5447.0;4838.0;19445.0
87;1999;718.0;638.0;4823.0;5079.0;2722.0;9135.0;175.0;184.0;40.0;5598.0;5246.0;20441.0
88;2000;700.0;672.0;4848.0;6661.0;3865.0;11820.0;225.0;182.0;162.0;5513.0;5203.0;20955.0
89;2001;652.0;713.0;4791.0;5512.0;4566.0;12630.0;290.0;255.0;138.0;4957.0;5442.0;20605.0
90;2002;904.0;729.0;5001.0;3447.0;5468.0;10423.0;334.0;321.0;154.0;5378.0;5890.0;20429.0
91;2003;973.0;731.0;5137.0;1268.0;4759.0;6949.0;412.0;349.0;189.0;6670.0;5243.0;21415.0
92;2004;823.0;750.0;5190.0;545.0;2959.0;4535.0;549.0;450.0;186.0;6745.0;5594.0;22243.0
93;2005;872.0;769.0;5034.0;412.0;1694.0;3253.0;425.0;312.0;143.0;7701.0;5865.0;23979.0
94;2006;971.0;771.0;5212.0;333.0;1131.0;2477.0;408.0;291.0;168.0;8575.0;6251.0;26379.0
95;2007;1039.0;999.0;5460.0;415.0;795.0;2098.0;505.0;396.0;162.0;10568.0;8061.0;29605.0
96;2008;1145.0;923.0;5789.0;631.0;743.0;1986.0;401.0;269.0;178.0;11137.0;8624.0;32147.0
97;2009;1471.0;849.0;6381.0;1290.0;675.0;2600.0;363.0;233.0;148.0;11451.0;9208.0;33168.0
98;2010;1512.0;936.0;6952.0;1053.0;1067.0;2587.0;323.0;211.0;153.0;10188.0;9542.0;32565.0
99;2011;1529.0;1014.0;7633.0;843.0;1079.0;2348.0;280.0;;;10589.0;10819.0;32062.0
100;2012;1592.0;824.0;8151.0;513.0;902.0;1968.0;270.0;;;10554.0;11739.0;30606.0
