ID;Periods;ImportPriceBasedOnWeight_1;NetCalorificValue_2;ImportPriceBasedOnCalorificValue_3
0;1981 1st quarter;80.01;26.9;2.73
1;1981 2nd quarter;89.11;26.0;3.04
2;1981 3rd quarter;97.42;26.3;3.33
3;1981 4th quarter;97.23;27.1;3.32
4;1981;91.51;26.5;3.12
5;1982 1st quarter;100.11;26.2;3.42
6;1982 2nd quarter;97.73;26.1;3.34
7;1982 3rd quarter;100.8;26.8;3.44
8;1982 4th quarter;104.86;26.6;3.58
9;1982;101.11;26.5;3.45
10;1983 1st quarter;92.24;26.7;3.15
11;1983 2nd quarter;85.34;27.0;2.91
12;1983 3rd quarter;85.11;26.6;2.9
13;1983 4th quarter;85.75;27.1;2.93
14;1983;86.74;26.9;2.96
15;1984 1st quarter;87.81;27.0;2.99
16;1984 2nd quarter;83.45;27.2;2.85
17;1984 3rd quarter;83.15;27.0;2.84
18;1984 4th quarter;91.29;26.8;3.12
19;1984;86.58;27.0;2.95
20;1985 1st quarter;99.97;27.0;3.41
21;1985 2nd quarter;96.04;27.1;3.28
22;1985 3rd quarter;85.13;26.5;2.9
23;1985 4th quarter;76.25;27.3;2.6
24;1985;88.69;27.0;3.03
25;1986 1st quarter;68.67;27.1;2.34
26;1986 2nd quarter;63.28;26.8;2.16
27;1986 3rd quarter;55.81;26.9;1.91
28;1986 4th quarter;50.15;27.1;1.71
29;1986;59.39;27.0;2.03
30;1987 1st quarter;45.08;26.8;1.54
31;1987 2nd quarter;40.21;26.8;1.37
32;1987 3rd quarter;41.29;26.9;1.41
33;1987 4th quarter;38.67;26.8;1.32
34;1987;41.1;26.8;1.4
35;1988 1st quarter;37.62;26.7;1.28
36;1988 2nd quarter;40.28;26.7;1.37
37;1988 3rd quarter;42.9;27.0;1.47
38;1988 4th quarter;43.26;26.4;1.47
39;1988;40.76;26.7;1.39
40;1989 1st quarter;46.23;26.9;1.58
41;1989 2nd quarter;51.06;27.1;1.74
