ID;ZorginstellingenSBI2008;Perioden;Ondernemingen_1;Totaal_2;KleinerDan0_3;k_0Tot10_4;k_10Tot20_5;k_20Tot35_6;k_35OfMeer_7;Totaal_8;KleinerDan0_9;k_0Tot10_10;k_10Tot15_11;k_15Tot20_12;k_20Tot30_13;k_30OfMeer_14;Totaal_15;KleinerDan30_16;k_30Tot70_17;k_70Tot130_18;k_130OfMeer_19;Totaal_20;KleinerDan30_21;k_30Tot70_22;k_70Tot130_23;k_130OfMeer_24;Totaal_25;KleinerDan0_26;k_0Tot2_27;k_2Tot4_28;k_4OfMeer_29;Leverage_30;AandeelKapitaallasten_31;GemLeeftijdMaterieleVasteActiva_32;Debiteurentermijn_33;AandeelPersoneelskosten_34;OpbrengstenPerArbeidsjaar_35;ArbeidskostenPerArbeidsjaar_36;AandeelOverhead_37;Parttimefactor_38;KleinerDan0_39;k_0Tot10_40;k_10Tot20_41;k_20Tot35_42;k_35OfMeer_43;KleinerDan0_44;k_0Tot10_45;k_10Tot15_46;k_15Tot20_47;k_20Tot30_48;k_30OfMeer_49;KleinerDan30_50;k_30Tot70_51;k_70Tot130_52;k_130OfMeer_53;KleinerDan30_54;k_30Tot70_55;k_70Tot130_56;k_130OfMeer_57;KleinerDan0_58;k_0Tot2_59;k_2Tot4_60;k_4OfMeer_61;MinderDan4MlnEuro_62;k_4Tot10MlnEuro_63;k_10Tot25MlnEuro_64;k_25Tot75MlnEuro_65;k_75Tot125MlnEuro_66;k_125MlnEuroOfMeer_67
0;1;2007;1010.0;18.0;-11.0;7.0;14.0;25.0;48.0;16.0;-8.0;7.0;12.0;17.0;24.0;41.0;59.0;16.0;51.0;98.0;172.0;67.0;19.0;52.0;87.0;181.0;1.0;-2.0;1.0;3.0;6.0;52.0;10.0;11.0;26.0;67.0;75167.0;44817.0;13.0;63.0;6.0;20.0;36.0;21.0;17.0;6.0;27.0;31.0;14.0;12.0;10.0;19.0;30.0;25.0;26.0;16.0;26.0;33.0;25.0;33.0;37.0;15.0;16.0;22.0;18.0;17.0;23.0;10.0;10.0
1;1;2008;953.0;16.0;-15.0;7.0;14.0;26.0;46.0;15.0;-10.0;7.0;13.0;17.0;24.0;41.0;57.0;18.0;49.0;95.0;175.0;69.0;20.0;54.0;87.0;183.0;1.0;-4.0;1.0;3.0;6.0;53.0;10.0;12.0;29.0;67.0;79100.0;46926.0;14.0;63.0;4.0;14.0;29.0;26.0;27.0;4.0;19.0;20.0;21.0;19.0;16.0;19.0;27.0;26.0;28.0;15.0;20.0;29.0;36.0;24.0;33.0;20.0;23.0;20.0;19.0;17.0;21.0;11.0;11.0
2;1;2009;922.0;18.0;-6.0;7.0;15.0;26.0;47.0;16.0;-8.0;7.0;13.0;17.0;23.0;41.0;59.0;17.0;46.0;89.0;178.0;72.0;21.0;49.0;89.0;181.0;2.0;-2.0;1.0;3.0;7.0;54.0;10.0;11.0;29.0;66.0;82267.0;47756.0;14.0;62.0;5.0;10.0;28.0;27.0;30.0;5.0;16.0;20.0;18.0;23.0;18.0;14.0;26.0;28.0;32.0;14.0;22.0;28.0;36.0;16.0;30.0;24.0;30.0;21.0;18.0;16.0;21.0;11.0;13.0
3;1;2010;909.0;19.0;-7.0;7.0;15.0;25.0;48.0;17.0;-9.0;8.0;13.0;17.0;24.0;43.0;64.0;17.0;48.0;89.0;185.0;81.0;19.0;53.0;93.0;182.0;2.0;-2.0;1.0;3.0;6.0;57.0;11.0;9.0;27.0;66.0;84144.0;49116.0;14.0;62.0;5.0;9.0;25.0;33.0;29.0;5.0;17.0;15.0;20.0;23.0;21.0;10.0;26.0;29.0;35.0;5.0;22.0;35.0;38.0;16.0;33.0;23.0;28.0;24.0;16.0;15.0;21.0;10.0;14.0
4;1;2011;838.0;21.0;-4.0;8.0;15.0;25.0;47.0;19.0;-5.0;7.0;13.0;17.0;23.0;44.0;76.0;19.0;52.0;90.0;185.0;91.0;22.0;53.0;96.0;187.0;2.0;-3.0;1.0;3.0;6.0;60.0;10.0;11.0;28.0;67.0;85054.0;49942.0;13.0;62.0;5.0;7.0;23.0;32.0;33.0;5.0;13.0;13.0;20.0;27.0;22.0;11.0;23.0;29.0;36.0;5.0;18.0;37.0;40.0;16.0;31.0;25.0;28.0;21.0;17.0;15.0;22.0;10.0;14.0
5;5;2007;116.0;15.0;-4.0;7.0;13.0;23.0;53.0;17.0;-4.0;8.0;12.0;18.0;23.0;31.0;67.0;18.0;53.0;100.0;145.0;71.0;15.0;56.0;85.0;186.0;1.0;-2.0;1.0;3.0;6.0;52.0;10.0;11.0;54.0;60.0;92478.0;49757.0;19.0;72.0;3.0;53.0;38.0;5.0;2.0;3.0;44.0;33.0;12.0;4.0;4.0;9.0;37.0;39.0;16.0;3.0;11.0;44.0;43.0;21.0;47.0;22.0;10.0;;;7.0;24.0;23.0;42.0
6;5;2008;114.0;12.0;-19.0;7.0;13.0;25.0;38.0;14.0;-19.0;8.0;13.0;17.0;23.0;35.0;69.0;21.0;51.0;96.0;152.0;69.0;23.0;56.0;84.0;145.0;1.0;-4.0;1.0;3.0;5.0;56.0;10.0;11.0;53.0;61.0;97758.0;52499.0;20.0;71.0;2.0;34.0;50.0;12.0;3.0;2.0;22.0;40.0;17.0;15.0;4.0;8.0;35.0;40.0;17.0;2.0;15.0;39.0;44.0;12.0;56.0;26.0;7.0;;;7.0;18.0;26.0;45.0
7;5;2009;111.0;14.0;-6.0;7.0;14.0;26.0;40.0;15.0;-8.0;8.0;13.0;17.0;23.0;34.0;63.0;21.0;47.0;89.0;159.0;71.0;25.0;51.0;87.0;139.0;2.0;-2.0;1.0;3.0;6.0;57.0;9.0;11.0;52.0;60.0;101863.0;53888.0;20.0;71.0;3.0;21.0;63.0;12.0;2.0;3.0;15.0;40.0;19.0;20.0;4.0;4.0;44.0;38.0;14.0;0.0;9.0;43.0;48.0;12.0;51.0;30.0;7.0;;;5.0;18.0;26.0;48.0
8;5;2010;107.0;15.0;-6.0;7.0;15.0;23.0;45.0;15.0;-9.0;9.0;13.0;17.0;23.0;40.0;62.0;22.0;47.0;89.0;164.0;81.0;0.0;56.0;93.0;154.0;2.0;-1.0;1.0;3.0;6.0;60.0;12.0;7.0;48.0;59.0;107524.0;55552.0;20.0;71.0;2.0;14.0;57.0;25.0;2.0;2.0;16.0;28.0;29.0;21.0;4.0;6.0;42.0;36.0;16.0;0.0;30.0;61.0;9.0;7.0;54.0;29.0;9.0;;;5.0;17.0;23.0;53.0
9;5;2011;106.0;16.0;-3.0;8.0;15.0;23.0;39.0;17.0;-5.0;8.0;12.0;17.0;23.0;40.0;80.0;20.0;55.0;89.0;169.0;93.0;0.0;58.0;97.0;153.0;2.0;-5.0;1.0;3.0;6.0;65.0;10.0;9.0;52.0;60.0;106829.0;56669.0;20.0;71.0;2.0;11.0;57.0;27.0;3.0;2.0;7.0;25.0;35.0;27.0;5.0;3.0;30.0;42.0;25.0;0.0;16.0;69.0;15.0;6.0;51.0;32.0;11.0;;;4.0;18.0;24.0;58.0
