ID;RegioS;Perioden;TotaalJeugdzorgtrajectenInNatura_1;TotaalJeugdhulptrajectenInNatura_2;TotaalJeugdhulpZonderVerblijf_3;UitgevoerdDoorHetWijkOfBuurtteam_4;TotaalNietUitgevoerd_5;AmbulanteJeugdhulpOpLocatieAanbieder_6;DaghulpOpLocatieVanDeAanbieder_7;JeugdhulpInHetNetwerkVanDeJongere_8;TotaalJeugdhulpMetVerblijf_9;Pleegzorg_10;Gezinsgericht_11;GeslotenPlaatsing_12;AnderVerblijfBijJeugdhulpaanbieder_13;TotaalJeugdbeschermingstrajecten_14;TotaalOndertoezichtstelling_15;Ondertoezichtstelling_16;VoorlopigeOndertoezichtstelling_17;TotaalVoogdij_18;ReguliereVoogdij_19;VoorlopigeVoogdij_20;TijdelijkeVoogdij_21;TotaalJeugdreclasseringstrajecten_22;ToezichtEnBegeleidingGedwongenKader_23;ToezichtEnBegeleidingVrijwillig_24;IndividueleTrajectbegeleidingHardeKern_25;IndividueleTrajectbegeleidingCriem_26;ScholingsEnTrainingsprogramma_27;GedragsbeinvloedendeMaatregel_28;VoorbereidGedragsbeinvloedMaatregel_29
0;Nederland;31 maart 2015;319590.0;277720.0;245135.0;14705.0;230430.0;181495.0;16605.0;32330.0;32585.0;18290.0;2940.0;1225.0;10125.0;33565.0;24605.0;24355.0;250.0;8960.0;8835.0;115.0;10.0;8305.0;6970.0;875.0;105.0;60.0;;145.0;150.0
1;Nederland;30 juni 2015;341375.0;300185.0;266965.0;18980.0;247985.0;195625.0;18155.0;34210.0;33215.0;18400.0;3080.0;1305.0;10430.0;32780.0;23720.0;23405.0;315.0;9055.0;8940.0;105.0;10.0;8410.0;7010.0;905.0;130.0;80.0;;145.0;145.0
2;Nederland;31 december 2015;349210.0;309780.0;276690.0;24795.0;251895.0;197030.0;19035.0;35830.0;33090.0;18335.0;3220.0;1250.0;10285.0;31075.0;21730.0;21445.0;285.0;9345.0;9225.0;115.0;;8350.0;6885.0;990.0;135.0;60.0;;140.0;145.0
3;Nederland;30 juni 2016;356665.0;318600.0;282420.0;37390.0;245035.0;192195.0;18125.0;34715.0;36180.0;18630.0;3400.0;1250.0;12895.0;30630.0;20765.0;20420.0;345.0;9865.0;9725.0;105.0;40.0;7435.0;6275.0;740.0;115.0;65.0;;15.0;225.0
4;Nederland;31 december 2016;362265.0;325140.0;288725.0;40710.0;248015.0;191960.0;19060.0;36995.0;36420.0;18590.0;3515.0;1205.0;13105.0;30300.0;20410.0;20085.0;325.0;9895.0;9755.0;110.0;25.0;6820.0;5925.0;590.0;95.0;60.0;;15.0;135.0
5;Nederland;30 juni 2017;383050.0;345520.0;307255.0;52200.0;255055.0;201345.0;19160.0;34545.0;38265.0;19040.0;3580.0;1305.0;14345.0;30805.0;20645.0;20345.0;300.0;10160.0;9990.0;125.0;45.0;6725.0;5780.0;770.0;115.0;50.0;;10.0;
6;Nederland;31 december 2017;372445.0;335170.0;296840.0;48610.0;248225.0;193045.0;19315.0;35865.0;38330.0;18885.0;3670.0;1315.0;14455.0;30785.0;20705.0;20380.0;325.0;10080.0;9935.0;105.0;40.0;6490.0;5595.0;720.0;115.0;50.0;;10.0;
7;Nederland;30 juni 2018;395650.0;358100.0;323040.0;49825.0;273215.0;206580.0;20050.0;46590.0;35055.0;18090.0;4330.0;1205.0;11435.0;31290.0;21070.0;20710.0;360.0;10220.0;10020.0;120.0;80.0;6265.0;5445.0;665.0;90.0;50.0;;10.0;
8;Nederland;31 december 2018;407000.0;369800.0;334705.0;49140.0;285570.0;216780.0;20410.0;48380.0;35095.0;17985.0;4345.0;1075.0;11695.0;31250.0;21120.0;20770.0;350.0;10130.0;9940.0;120.0;70.0;5945.0;5125.0;650.0;105.0;50.0;;15.0;
9;Nederland;30 juni 2019;406455.0;368535.0;332680.0;53560.0;279125.0;206100.0;21015.0;52005.0;35850.0;19195.0;3820.0;1150.0;11685.0;31870.0;21705.0;21360.0;345.0;10165.0;9900.0;150.0;120.0;6050.0;5195.0;680.0;130.0;35.0;;15.0;
