ID;CharacteristicsOfHouseholds;Periods;NetWorth_1;Total_2;CurrencyAndDeposits_3;DebtSecurities_4;Loans_5;EquityInvestmentFundSharesOrUnits_6;InsurancePensionAndGuaranteeSchemes_7;FinDerivativesEmployeeStockOptions_8;OtherAccountsReceivablePayable_9;Total_10;Loans_11;FinDerivativesEmployeeStockOptions_12;OtherLiabilities_13;Total_14;Dwellings_15;LandUnderlyingDwellings_16;OtherNonFinancialAssets_17;NetWorth_18;Total_19;CurrencyAndDeposits_20;DebtSecurities_21;Loans_22;EquityInvestmentFundSharesOrUnits_23;InsurancePensionAndGuaranteeSchemes_24;FinDerivativesEmployeeStockOptions_25;OtherAccountsReceivablePayable_26;Total_27;Loans_28;FinDerivativesEmployeeStockOptions_29;OtherLiabilities_30;Total_31;Dwellings_32;LandUnderlyingDwellings_33;OtherNonFinancialAssets_34;NetWorth_35;Total_36;CurrencyAndDeposits_37;DebtSecurities_38;Loans_39;EquityInvestmentFundSharesOrUnits_40;InsurancePensionAndGuaranteeSchemes_41;FinDerivativesEmployeeStockOptions_42;OtherAccountsReceivablePayable_43;Total_44;Loans_45;FinDerivativesEmployeeStockOptions_46;OtherLiabilities_47;Total_48;Dwellings_49;LandUnderlyingDwellings_50;OtherNonFinancialAssets_51;NetWorth_52;Total_53;CurrencyAndDeposits_54;DebtSecurities_55;Loans_56;EquityInvestmentFundSharesOrUnits_57;InsurancePensionAndGuaranteeSchemes_58;FinDerivativesEmployeeStockOptions_59;OtherAccountsReceivablePayable_60;Total_61;Loans_62;FinDerivativesEmployeeStockOptions_63;OtherLiabilities_64;Total_65;Dwellings_66;LandUnderlyingDwellings_67;OtherNonFinancialAssets_68
0;Total;2015;2848709;2187322;398971;7332;9789;315894;1398048;968;56320;798304;765032;639;32633;1459691;685797;554105;219789;360.1;276.5;50.4;0.9;1.2;39.9;176.7;0.1;7.1;100.9;96.7;0.1;4.1;184.5;86.7;70.1;27.8;239.7;184.0;33.6;0.6;0.8;26.6;117.6;0.1;4.7;67.2;64.4;0.1;2.7;122.8;57.7;46.6;18.5;100;76.8;14.0;0.3;0.3;11.1;49.1;0.0;2.0;28.0;26.9;0.0;1.1;51.2;24.1;19.5;7.7
1;Total;2016;3001980;2297532;403587;5736;9988;332147;1487849;966;57259;806366;772661;592;33113;1510814;671723;615907;223184;376.4;288.1;50.6;0.7;1.3;41.6;186.5;0.1;7.2;101.1;96.9;0.1;4.2;189.4;84.2;77.2;28.0;251.0;192.1;33.7;0.5;0.8;27.8;124.4;0.1;4.8;67.4;64.6;0.0;2.8;126.3;56.2;51.5;18.7;100;76.5;13.4;0.2;0.3;11.1;49.6;0.0;1.9;26.9;25.7;0.0;1.1;50.3;22.4;20.5;7.4
2;Total;2017;3248917;2463412;412657;4923;9671;357378;1623703;934;54146;814577;781720;537;32320;1600082;676176;694146;229760;404.1;306.4;51.3;0.6;1.2;44.5;202.0;0.1;6.7;101.3;97.2;0.1;4.0;199.0;84.1;86.3;28.6;269.7;204.5;34.3;0.4;0.8;29.7;134.8;0.1;4.5;67.6;64.9;0.0;2.7;132.8;56.1;57.6;19.1;100;75.8;12.7;0.2;0.3;11.0;50.0;0.0;1.7;25.1;24.1;0.0;1.0;49.2;20.8;21.4;7.1
3;Total;2018;3370196;2465474;419271;4397;9937;370482;1606409;502;54476;827533;793596;71;33866;1732255;687208;805906;239141;415.7;304.1;51.7;0.5;1.2;45.7;198.2;0.1;6.7;102.1;97.9;0.0;4.2;213.7;84.8;99.4;29.5;277.8;203.2;34.6;0.4;0.8;30.5;132.4;0.0;4.5;68.2;65.4;0.0;2.8;142.8;56.6;66.4;19.7;100;73.2;12.4;0.1;0.3;11.0;47.7;0.0;1.6;24.6;23.5;0.0;1.0;51.4;20.4;23.9;7.1
4;Total;2019;3573356;2514977;428800;3951;10426;369072;1647453;499;54776;840246;806144;45;34057;1898625;734408;917110;247107;437.3;307.8;52.5;0.5;1.3;45.2;201.6;0.1;6.7;102.8;98.6;0.0;4.2;232.3;89.9;112.2;30.2;292.5;205.8;35.1;0.3;0.9;30.2;134.8;0.0;4.5;68.8;66.0;0.0;2.8;155.4;60.1;75.1;20.2;100;70.4;12.0;0.1;0.3;10.3;46.1;0.0;1.5;23.5;22.6;0.0;1.0;53.1;20.6;25.7;6.9
5;Total;2020;4014390;2818547;450199;3916;10558;395241;1905166;487;52980;852188;816721;51;35416;2048031;790863;1001599;255569;486.2;341.4;54.5;0.5;1.3;47.9;230.7;0.1;6.4;103.2;98.9;0.0;4.3;248.0;95.8;121.3;31.0;325.7;228.7;36.5;0.3;0.9;32.1;154.6;0.0;4.3;69.2;66.3;0.0;2.9;166.2;64.2;81.3;20.7;100;70.2;11.2;0.1;0.3;9.8;47.5;0.0;1.3;21.2;20.3;0.0;0.9;51.0;19.7;25.0;6.4
6;Total;2021;4446622;3091362;493791;3694;10881;417125;2109954;402;55515;868754;833045;32;35677;2224014;854247;1106429;263338;535.6;372.4;59.5;0.4;1.3;50.2;254.2;0.0;6.7;104.6;100.3;0.0;4.3;267.9;102.9;133.3;31.7;359.1;249.6;39.9;0.3;0.9;33.7;170.4;0.0;4.5;70.2;67.3;0.0;2.9;179.6;69.0;89.4;21.3;100;69.5;11.1;0.1;0.2;9.4;47.5;0.0;1.2;19.5;18.7;0.0;0.8;50.0;19.2;24.9;5.9
7;Disposable income: 1st 20%-group;2015;164321;149932;34249;659;764;17215;93650;60;3335;40205;38180;59;1966;54594;25696;20762;8136;103.9;94.8;21.6;0.4;0.5;10.9;59.2;0.0;2.1;25.4;24.1;0.0;1.2;34.5;16.2;13.1;5.1;79.6;72.7;16.6;0.3;0.4;8.3;45.4;0.0;1.6;19.5;18.5;0.0;1.0;26.5;12.5;10.1;3.9;100;91.2;20.8;0.4;0.5;10.5;57.0;0.0;2.0;24.5;23.2;0.0;1.2;33.2;15.6;12.6;5.0
8;Disposable income: 1st 20%-group;2016;196069;177450;35919;581;835;22850;114048;66;3151;38509;36519;60;1930;57128;25527;23406;8195;122.9;111.2;22.5;0.4;0.5;14.3;71.5;0.0;2.0;24.1;22.9;0.0;1.2;35.8;16.0;14.7;5.1;94.9;85.9;17.4;0.3;0.4;11.1;55.2;0.0;1.5;18.6;17.7;0.0;0.9;27.7;12.4;11.3;4.0;100;90.5;18.3;0.3;0.4;11.7;58.2;0.0;1.6;19.6;18.6;0.0;1.0;29.1;13.0;11.9;4.2
9;Disposable income: 1st 20%-group;2017;342019;305792;42048;756;944;55827;203146;83;2988;42450;40194;82;2174;78677;30641;31456;16580;212.7;190.2;26.2;0.5;0.6;34.7;126.4;0.1;1.9;26.4;25.0;0.1;1.4;48.9;19.1;19.6;10.3;164.9;147.4;20.3;0.4;0.5;26.9;97.9;0.0;1.4;20.5;19.4;0.0;1.0;37.9;14.8;15.2;8.0;100;89.4;12.3;0.2;0.3;16.3;59.4;0.0;0.9;12.4;11.8;0.0;0.6;23.0;9.0;9.2;4.8
